Longitude,Latitude
10.661655,59.917068
10.446832,59.448117
10.468104,59.377755
14.2327,55.85949
16.53125,56.31745
18.13177,57.43638
16.40462,56.57574
19.07065,59.71797
10.63369,59.887786
35.116094,44.817814
9.184905,58.702586
10.387498,59.437832
-75.316379,38.933276
3.35333,51.36009
3.35311,51.36002
-94.748505,29.36913
-75.713895,37.937668
17.12162,57.35365
8.084703,58.189153
10.634014,59.888214
34.833522,44.819194
24.333499,57.825605
-82.830192,27.975367
10.597578,59.893108
-73.49302,40.595377
-87.372167,30.32524
9.704608,59.006773
24.334502,57.819338
4.28764,51.305
4.28767,51.30298
24.333341,57.820142
16.3741,56.47644
12.62819,56.10728
12.71247,56.47075
16.88608,56.96561
16.40688,56.41595
9.041651,58.747263
10.63528,59.899651
10.590598,59.892969
12.62376,56.74093
12.583979,55.717525
-76.417787,39.220572
-96.120313,19.112204
-96.120313,19.112204
-73.951845,40.831692
-76.531447,38.705803
10.556184,59.887282
-87.798263,30.253133
-80.710428,32.419706
-88.019944,30.231333
-70.922705,42.466287
30.770412,46.557013
18.73961,59.76561
16.40325,56.33248
10.841252,53.992531
3.20713,51.29464
-88.017936,30.231933
-76.30149,37.782721
-81.228287,29.698675
9.080943,58.75101
10.688622,59.897055
10.500767,59.834879
10.468104,59.377755
25.150255,60.183917
-76.250016,38.98088
10.354278,59.51378
-60.347887,46.232067
20.490662,54.966456
21.521082,61.548366
25.14293,60.18477
25.836683,60.266906
24.714515,60.107981
5.7,53.45
3.65,51.6
4.75,52.4
17.61952,59.01803
12.05642,57.45277
17.61965,59.01849
12.61571,56.78828
25.968642,59.582071
2.94844,51.21952
23.180104,59.973169
22.925764,59.828497
10.543113,59.88734
-3.036982,53.473805
-76.516125,38.832944
-3.034765,53.473288
21.371841,59.781287
27.659108,60.4896
-87.555305,30.285122
18.670263,54.696228
13.134156,54.325054
16.75976,58.62601
3.22444,51.22151
10.550938,59.888787
-71.958358,41.044982
-87.477867,30.289025
16.40593,56.41508
18.68118,59.21415
12.87708,56.65059
12.74331,56.64379
12.74324,56.64307
17.51002,62.15297
11.84795,57.65317
11.16087,58.99026
3.95,51.8
25.104405,60.192606
24.186667,60.029444
25.108713,60.194589
22.285985,60.147335
12.60518,56.81994
19.03436,59.83712
21.071153,55.980151
17.515245,54.759808
17.526249,54.76136
17.444865,54.755125
17.444929,54.755425
17.444854,54.755125
23.249515,59.898193
9.258792,58.712328
-62.578742,46.199263
21.025926,56.149339
2.94221,51.2179
3.22605,51.22194
3.22576,51.22175
2.94228,51.21793
2.94224,51.21793
2.94212,51.21786
21.03305,55.381547
20.14607,54.945639
17.55692,58.8149
17.63085,58.82018
17.603,58.7936
17.68679,58.79241
17.76023,58.77658
-87.554747,30.283542
21.100029,55.552668
-82.81331,27.809763
18.44949,62.87945
12.80265,55.90613
16.40579,56.57781
18.44949,62.87945
12.7331,56.64225
12.56223,56.44571
18.44949,62.87945
25.742749,60.252518
22.486299,60.088685
21.486142,61.569114
20.48698,54.963963
20.494859,54.96742
16.48484,56.24969
-88.112415,30.254257
11.670941,57.89045
18.401389,57.741389
-88.85863,30.378325
10.530459,59.886368
10.537578,59.881471
16.52641,56.75708
14.32597,55.91964
16.39116,56.55002
17.71088,59.00622
3.21188,51.27838
24.438109,59.979594
-74.963366,38.965668
16.7252,57.44894
19.03436,59.83712
-74.214288,40.506416
10.534975,59.885826
-82.151061,26.460903
-74.025115,40.906891
24.015071,59.929726
-73.993903,40.773395
9.78578,54.558155
16.39084,56.54881
11.64098,57.69854
30.765169,46.471446
20.921019,55.249342
24.333818,57.820878
10.541739,59.882662
16.4047,56.57605
2.77461,51.13559
-73.989372,40.77905
-73.906897,41.139222
30.765505,46.456934
30.76497,46.471469
20.297613,54.943747
12.83762,56.27103
-87.548737,30.292647
14.23033,55.68782
16.41723,56.82644
10.752987,59.861691
12.68879,56.2337
18.3097,56.94293
-74.110564,40.776663
-88.267401,30.386845
-70.324678,41.631983
10.212337,54.397923
3.20426,51.30922
2.62041,51.0691
14.08333,54.9999999991142
14.08333,54.9999999991142
17.62367,58.8033299991648
12.81394,56.23702
16.37761,56.52981
-88.124367,30.344847
-75.40137,39.184321
2.74568,51.14514
17.62367,58.8033299991648
25.142778,60.186667
12.9491,55.44768
18.23809,59.38812
10.527928,59.894868
10.530744,59.896461
10.531876,59.895341
-3.041256,53.483175
25.183333,60.202778
-97.047375,28.025614
9.171009,58.718528
11.01171,59.032289
24.949745,60.176637
14.08333,54.9999999991142
10.595144,59.887804
16.20167,56.3708299991307
21.048745,55.920073
19.08733,57.94295
10.573297,59.889589
24.288367,60.058641
23.20336,59.922728
23.192969,59.947769
4.8,52.4
16.20167,56.3708299991307
17.62367,58.8033299991648
17.62367,58.8033299991648
17.62367,58.8033299991648
19.819,63.4996699992475
12.68475,56.69766
4.41102,51.22959
4.9,52.35
16.20167,56.3708299991307
18.23333,58.5833299991615
17.62367,58.8033299991648
17.62367,58.8033299991648
18.26383,62.863669999235
19.8085,63.524999999248
23.23333,65.1664999992818
14.31915,55.91544
11.79341,57.56675
-64.523048,46.333654
18.82695,59.68515
11.44761,58.07959
11.827742,58.318536
23.382156,59.944659
23.192969,59.947769
23.20336,59.922728
19.80817,63.524999999248
19.81917,63.4996699992475
19.819,63.4998299992475
18.26433,62.863669999235
17.62367,58.8033299991648
10.525094,59.889789
10.522636,59.891138
10.527235,59.888534
10.52317,59.8932
10.530459,59.886368
21.06674,55.801261
18.72939,59.75436
12.19887,57.11615
10.537578,59.881471
10.520154,59.891975
10.519032,59.893622
10.522435,59.892446
10.52458,59.893716
18.474587,59.188092
21.073639,55.807644
18.474165,59.188262
21.068666,55.792885
2.63517,51.12323
17.62367,58.8033299991648
22.088426,60.427279
24.395025,59.966844
21.567505,61.463767
11.63643,57.71919
18.5316,59.45377
18.570309,54.74025
22.138621,60.383837
21.2142,60.314124
19.80817,63.524999999248
19.81917,63.4996699992475
18.64253,57.21973
-74.505643,39.322191
10.504099,59.803009
7.975405,58.078424
12.72692,56.64683
-97.175917,26.144415
18.23333,58.5833299991615
18.23333,58.5833299991615
17.62367,58.8033299991648
10.634014,59.888214
17.50894,62.15565
16.09162,56.37841
-74.025763,40.906536
2.73549,51.14516
3.19822,51.32524
17.62367,58.8033299991648
14.08333,54.9999999991142
14.08333,54.9999999991142
10.721283,53.904415
21.07247,56.033255
-87.399834,30.310511
-88.823503,30.367919
-73.92722,40.791226
-73.926809,40.79137
-94.8156,29.271564
14.08333,54.9999999991142
-88.542161,30.415811
21.081358,55.75758
-73.929493,40.797749
-73.92687,40.795672
-75.58493,39.577137
17.695442,59.051945
17.693488,59.051764
-90.094762,29.985835
-90.094957,29.986026
-70.806564,42.789989
16.49385,57.01721
16.37761,56.52981
3.26205,51.29533
15.98333,55.249999999117
9.165214,58.699641
-82.630112,27.75217
-122.458869,37.805611
-73.889041,40.384998
30.762843,46.46434
3.21287,51.27458
24.739069,60.117772
24.950116,60.151504
-74.254533,40.502632
-70.806292,42.789964
-71.007156,42.314547
-73.925633,40.583477
19.06986,59.71802
-76.452736,38.447014
51.76947,37.378478
51.721449,37.613809
4.1789,51.10195
9.291077,58.731077
37.298774,44.943393
18.72568,59.20752
16.71159,57.73322
11.2465,58.34883
11.20839,58.33525
-97.2009,28.0841
-97.2009,28.0841
-97.2009,28.0841
-97.2009,28.0841
-97.2009,28.0841
-97.2009,28.0841
-97.2009,28.0841
-97.2009,28.0841
-97.2009,28.0841
24.286228,60.058357
5.8,53.45
17.62367,58.8033299991648
16.20167,56.3708299991307
17.62367,58.8033299991648
19.80817,63.524999999248
12.84408,56.66266
13.133949,54.325367
13.11428,54.332794
-73.30352,40.639107
3.21281,51.27782
4.6,52.7
16.20167,56.3708299991307
17.62367,58.8033299991648
18.23333,58.5833299991615
19.81817,63.4993299992475
18.26283,62.863329999235
12.09142,57.25361
-73.973892,40.386116
12.65681,55.9885
12.6726,55.98732
11.36078,58.32499
11.36078,58.32499
9.83468,54.759427
21.072199,56.03762
9.7482,59.0107
9.7012,59.0466
9.7029,59.0452
9.7006,59.0635
9.7082,59.0528
7.9989,58.1411
7.9988,58.1416
8.0031,58.1423
9.6803,59.054
9.694,59.0617
7.9917,58.1431
8.009,58.1442
8.005,58.144
9.6803,59.054
8.0343,58.1506
8.0033,58.1431
9.6995,59.0472
9.6932,59.0611
2.75548,51.12543
4.28078,51.29736
4.32263,51.17181
23.677022,59.898023
8.9535,58.6249
17.62367,58.8033299991648
17.62367,58.8033299991648
18.23333,58.5833299991615
19.808,63.5246699992479
13.114394,54.333363
11.08494,58.95249
11.07374,58.96253
9.808552,58.99358
23.667923,59.888992
25.055045,60.101129
18.23333,58.5833299991615
17.62367,58.8033299991648
17.62367,58.8033299991648
18.26517,62.863169999235
19.81917,63.4991699992474
9.650691,59.102513
19.03436,59.83712
12.90669,55.54114
17.93033,58.8736
14.08333,54.9999999991142
17.62367,58.8033299991648
17.62367,58.8033299991648
19.81933,63.4996699992475
24.425533,60.026448
-94.804835,29.277917
17.62367,58.8033299991648
-82.741258,27.639443
-70.242805,41.300964
13.523266,54.337563
17.62367,58.8033299991648
20.05,57.3333299991434
-72.917926,41.293442
-73.932967,40.789049
-73.927055,40.795591
-73.926959,40.795713
-87.10717,30.337223
12.3104,57.02776
12.56088,56.45039
10.480887,59.399455
4,51.9
14.08333,54.9999999991142
3.21229,51.27841
2.68644,51.13934
4.4,52.2
-74.036781,40.36771
16.37402,56.47645
-73.932648,40.789248
-118.279474,33.720271
-76.601915,38.1184
-73.932753,40.78941
-73.932656,40.78945
-123.964622,45.895186
-122.101067,37.457655
-122.101116,37.457654
-122.101228,37.457603
-73.932895,40.789046
-73.932846,40.789188
-122.101107,37.457605
-82.667796,9.631499
4.33009,51.14316
3.20417,51.30923
4.33009,51.14316
18.53131,59.45376
17.38888,58.74031
23.512459,59.22673
11.225501,59.091999
11.84363,57.66058
-74.093921,40.440107
12.89628,55.57052
17.50318,60.65366
16.37432,56.71104
-73.620488,40.619159
-80.692405,32.24688
17.681808,59.103923
-122.499387,37.697488
-74.266648,40.475834
-74.008511,40.668588
-74.023164,40.751708
10.347343,59.21766
-74.008834,40.668609
-70.231781,43.689632
24.9577,59.4941
24.0388,59.4981
24.9579,59.4943
24.0388,59.4981
24.9573,59.4938
24.9391,59.4983
14.08333,54.9999999991142
13.62236,54.41074
4.17879,51.1019
23.207093,59.839023
-73.9621,40.818925
18.80987,60.17554
-57.225481,-35.272673
11.65507,57.7319
18.38939,60.50432
-75.011108,39.232538
23.2167,58.8167
24.31617,58.26732
23.3667,59.1833
16.20167,56.3708299991307
-75.565262,39.658524
3.21206,51.27298
25.183364,60.201525
21.052479,55.923197
21.072904,56.036124
-73.99219,40.77541
-73.99214,40.775695
14.87038,56.1628
19.07071,59.71796
18.76562,60.20369
12.14751,57.33199
11.76576,57.6901
18.01257,60.50981
19.17964,58.39388
-73.962021,40.819164
18.51408,60.19322
10.29634,59.04313
4.65,52.7
26.45105,59.79857
27.7833,59.4067
27.175,59.54
24.88149,59.55186
23.50922,58.58147
23.51194,58.57974
17.62533,58.8031699991648
17.62533,58.8031699991648
18.23333,58.5833299991615
12.79358,55.8702299991244
11.65092,57.75303
3.20219,51.3331
-82.737792,27.62218
18.474664,63.117448
8.499985,53.922234
11.7539,57.613098
-96.895258,28.418319
15.83821,56.07308
-76.209595,38.795295
18.83409,60.05942
9.650606,59.046549
9.638341,59.052456
9.638725,59.051716
6.74908,58.18797
6.754077,58.155961
6.84674,58.10523
6.739,58.13229
6.97068,58.12197
6.928097,58.130494
6.814786,58.179702
6.743022,58.171501
6.850275,58.159516
6.86,58.13867
7.023346,58.129232
24.19963,59.40937
24.14702,59.36812
24.03575,59.40872
24.73644,59.5729
24.19927,59.41098
24.04581,59.41131
22.27934,58.56214
24.04091,59.41138
24.09467,59.37953
24.04085,59.40868
24.09457,59.37943
24.0405,59.39798
24.20036,59.41321
24.09619,59.38092
24.07331,59.38897
24.37103,59.47461
24.19913,59.41048
24.09486,59.38004
24.73418,59.57222
22.27886,58.56196
24.09712,59.38154
24.07384,59.3873
24.37047,59.47553
24.73719,59.57334
21.82913,58.26939
23.25253,58.92625
24.73808,59.57348
27.78455,59.40783
24.19982,59.40614
24.18563,59.42372
24.12371,59.37566
24.04634,59.39785
24.1817,59.41452
24.1205,59.37601
24.74015,59.57398
24.18134,59.40622
24.12086,59.37896
23.25932,58.93805
24.36686,59.48024
24.74286,59.57423
24.07021,59.38715
21.83099,58.26946
24.07339,59.38672
24.14136,59.36808
21.99775,58.03854
24.3678,59.47881
22.27721,58.562
24.0404,59.41715
19.80817,63.524999999248
18.26333,62.863669999235
17.62533,58.8031699991648
17.62533,58.8031699991648
16.42817,58.611
18.39027,59.45562
11.2717,58.61953
18.53167,59.45365
18.54422,59.44249
-90.094048,29.984871
11.26825,58.43986
17.31444,60.85439
17.44349,61.98411
14.28417,55.91769
17.44889,62.06663
17.48476,61.73583
17.37467,61.88483
17.38215,61.76022
17.47198,62.04832
17.23448,61.58524
17.54179,61.74161
17.54694,61.74382
17.51694,61.73075
17.36723,61.93834
9.753881,59.02325
11.115303,59.038457
10.58157,59.43692
27.83447,59.3995
24.9149,59.52383
24.88149,59.55186
26.65562,59.54969
27.83459,59.40084
25.74277,59.65431
24.91884,59.51101
25.74416,59.65492
26.5589,59.65731
23.51241,58.57941
26.70043,59.55063
24.29124,58.32096
25.7436,59.65463
26.69362,59.55431
23.50922,58.58147
25.74259,59.65412
26.75108,59.52479
25.74242,59.65408
26.75041,59.52373
26.74594,59.52228
24.91604,59.5242
26.65766,59.55082
19.81917,63.4998299992475
19.81883,63.4996699992475
19.80833,63.525169999248
18.26467,62.863669999235
17.62533,58.8031699991648
17.09248,58.65237
3.2126,51.2732
11.01748,58.85421
-73.962105,40.819049
17.39627,58.74403
11.11536,58.87777
22.99452,58.34397
22.99471,58.3539
25.00074,59.51377
24.91813,59.52021
19.8195,63.4996699992475
19.8085,63.5246699992479
17.62533,58.8031699991648
17.62533,58.8031699991648
10.7243,59.9073
10.238,59.1025
10.6715,59.9187
10.6913,59.9161
10.7542,59.9036
2.75852,51.13152
2.75873,51.13136
2.75873,51.13136
-74.242724,40.523568
-85.096405,29.684922
-73.962152,40.819039
12.12537,57.39032
17.94115,58.88337
17.86801,58.74385
18.43593,60.34108
17.62533,58.8031699991648
17.62533,58.8031699991648
2.93414,51.23631
2.93235,51.23647
2.75642,51.16443
-73.975154,40.80009
11.146488,54.00951
16.20167,56.3708299991307
18.23333,58.5833299991615
14.08333,54.9999999991142
14.08333,54.9999999991142
12.69933,56.0245799991263
12.68808,56.0333299991264
12.73367,55.9859699991258
12.71017,56.0086699991261
12.73367,55.9859699991258
12.73562,55.9819999991258
12.68808,56.0333299991264
12.68808,56.0333299991264
12.72705,55.996629999126
-97.045746,27.833736
11.015167,53.99889
13.836502,54.140484
-95.079601,29.592382
-95.078754,29.588588
-74.113982,39.976605
-73.959213,40.821194
-73.95929,40.821202
-73.961957,40.818082
-94.734375,29.326919
15.98333,55.249999999117
14.08333,54.9999999991142
5.95,53.45
18.04685,59.37196
17.62533,58.8031699991648
3.2073,51.29417
2.93458,51.22716
-56.77773,-36.294755
-75.554121,39.603742
14.08333,54.9999999991142
14.08333,54.9999999991142
-84.715708,9.923146
-84.709396,9.924636
-94.993137,29.590747
27.750649,42.256698
-92.767744,29.638541
22.98061,58.37066
22.97801,58.37177
14.08333,54.9999999991142
14.08333,54.9999999991142
-97.172812,27.667395
-95.049934,29.754595
23.14617,58.93697
24.9388,59.4981
23.14617,58.93697
18.57286,59.4062
16.68387,57.55034
-97.322122,27.710994
-122.386372,37.920765
38.074749,44.557433
38.074466,44.557282
24.30897,58.26937
23.18442,58.80427
24.45674,58.22444
24.27714,58.28241
24.45091,58.2216
24.31035,58.21873
22.30343,58.56998
23.18023,58.80589
23.17736,58.80864
23.1753,58.75712
23.17493,58.75552
22.30038,58.57078
27.7833,59.4067
-76.608139,39.284511
-94.797786,29.282585
-97.348282,21.020665
24.88192,59.55103
24.91867,59.51098
24.9157,59.51083
24.308,58.2685
16.20167,56.3708299991307
17.62533,58.8031699991648
17.62533,58.8031699991648
22.203249,60.426708
23.255843,59.843023
-73.92754,40.790853
-76.0462,38.2492
22.99476,58.35547
23.38689,59.27805
25.74387,59.65498
21.83503,58.26274
22.27821,58.5621
21.83471,58.26308
22.70157,59.07314
23.39026,59.27925
23.39415,59.28071
25.74461,59.65535
21.82897,58.26006
23.39114,59.27953
22.27674,58.56214
25.74419,59.65524
24.30735,58.21937
21.83265,58.26168
22.6978,59.07191
21.83621,58.26393
22.27942,58.56209
21.83633,58.2637
22.69935,59.07236
25.74447,59.65505
24.3839,57.95409
22.05811,58.91605
22.69865,59.07211
25.74409,59.65486
24.38805,57.95387
24.3192,58.26723
22.05814,58.91603
22.27862,58.56212
24.5343,58.28263
22.56897,58.1407
23.38652,59.27757
22.27997,58.56216
25.74367,59.65466
24.51261,58.28976
25.74318,59.65439
22.99467,58.34354
24.38627,57.95313
22.99472,58.33409
23.3876,59.27826
24.45674,58.22444
23.38835,59.27853
25.74529,59.65541
23.0154,58.32763
23.39164,59.27975
22.70169,59.06707
23.02141,58.32527
23.38926,59.27884
23.39196,59.2799
25.74512,59.65538
24.28599,58.28355
27.75135,59.42583
22.70331,59.07371
23.3899,59.27908
25.74481,59.65528
22.53638,58.1703
23.39276,59.28009
27.70731,59.42198
-76.0462,38.2492
