Longitude,Latitude
174.803189,-41.292327
-4.140545,50.363036
-4.140545,50.363036
-117.917,33.6
-3.97,48.799999
-3.97,48.799999
2.69,51.75
2.7,51.75
2.69,51.75
-11.17,36.709999
144.563,-38.1517
-105.245,20.625
-87.521389,19.789722
174.837204,-41.269699
174.837174,-41.269665
174.823502,-41.323502
-86.775,21.551944
-105.508333,20.741667
-105.541667,20.641667
-103.750833,18.578889
-123.871,39.6769
144.53,-4.1
144.53,-4.1
-76.025,37.2667
-76.025,37.2667
-76.025,37.2667
-3.59,48.44
-3.59,48.44
-4.181929,53.31057
-4,49.85
-132.58,53.38
-132.04,52.8
-131.67,54.2
-1.58,48.34
-1.58,48.34
0,0
-3.15,49.65
