Longitude,Latitude
1.054274,52.96685
1.3522,52.92053
0.490893,52.94657
1.103211,52.95711
1.20778,52.94847
1.35486,52.91903
1.135129,52.95127
1.147587,52.94994
1.278021,52.93862
1.102663,52.95746
1.206997,52.94775
1.219233,52.94569
1.102288,52.95721
1.102995,52.95794
1.212567,52.95016
1.13667,52.95084
1.219441,52.94628
1.087196,52.96029
1.138093,52.95075
1.086551,52.96022
1.054133,52.96655
1.352113,52.91911
1.276523,52.93948
1.143806,52.95129
1.218431,52.94591
1.144243,52.94993
1.209009,52.94857
1.298336,52.9352
1.215718,52.94687
1.215833,52.94712
1.275332,52.93988
1.204077,52.94752
1.100051,52.95894
1.137766,52.95076
1.277614,52.93915
1.100269,52.95815
1.217671,52.9467
1.054539,52.96545
1.145234,52.95076
1.206643,52.94628
1.224652,52.94697
-3.510491,50.48034
1.055362,52.9677
1.145887,52.95073
1.218142,52.94694
1.352293,52.91893
1.276541,52.93913
1.351621,52.91891
1.14449,52.94902
1.191369,52.94876
1.145098,52.95033
1.069067,52.96434
1.216213,52.94743
1.085784,52.96168
1.101721,52.9571
1.215423,52.94761
1.316023,52.93192
1.218227,52.94627
1.143768,52.95026
1.084266,52.96034
1.352711,52.91915
1.352689,52.91944
1.344805,52.92267
1.213134,52.94747
-5.101842,56.20069
-5.411922,57.23014
-5.101842,56.20069
1.580614,52.09423
-5.59939,56.03285
1.053082,52.96727
1.144663,52.94997
1.142652,52.95108
1.167391,52.9482
1.142633,52.94939
1.055321,52.96566
1.352244,52.92003
1.102631,52.95692
-5.362478,55.57881
1.098826,52.95806
1.208099,52.94735
1.052981,52.96744
1.278297,52.9403
1.098825,52.95805
1.217523,52.94653
1.055365,52.96733
1.35454,52.91903
1.352949,52.91857
1.101306,52.95713
1.167709,52.94959
1.217119,52.9469
1.0525,52.9678
1.135053,52.95216
5.51632,59.782529
1.216422,52.94844
1.054436,52.96556
1.276997,52.93975
1.203324,52.94741
1.34403,52.92343
1.149278,52.95119
1.101448,52.95704
1.054483,52.96675
1.354992,52.91911
1.345952,52.92316
1.206589,52.94807
1.055733,52.96706
1.25507,52.94425
1.138531,52.95032
-5.019718,56.22918
1.276376,52.94099
1.146016,52.94973
1.053713,52.96682
1.197939,52.94667
4.55,52.45
11.76918,57.6329199991476
11.2512,58.5283299991606
11.84725,57.6051499991472
11.23872,58.3886299991585
11.22623,58.3826299991585
11.2325,58.3874999991585
1.298326,52.93508
1.054276,52.96678
1.100374,52.95721
1.13882,52.95031
1.053594,52.96673
1.144427,52.9501
1.210089,52.94626
1.144667,52.95044
1.34628,52.92125
1.054401,52.96528
1.276862,52.93865
1.354694,52.91843
1.354694,52.91843
1.100399,52.95787
1.098137,52.95811
1.142882,52.95066
1.104579,52.95853
1.191749,52.94654
1.256078,52.94448
-5.446183,57.22378
-1.587499,55.436291
-1.653887,55.616201
-1.537651,55.23843
1.137483,52.95087
1.054797,52.96561
1.381693,51.28344
1.219294,52.9461
1.144996,52.94994
1.218386,52.94691
1.141445,52.95108
1.348307,52.92002
1.142633,52.95083
1.138469,52.95039
1.141276,52.94967
1.275138,52.93869
1.219538,52.94678
1.342122,52.92203
1.143908,52.94983
1.054472,52.96523
1.275138,52.93869
1.052538,52.96717
1.052323,52.96686
1.166946,52.95025
1.14502,52.95069
1.219628,52.9469
1.054547,52.96545
1.219093,52.94641
1.054025,52.96807
1.218673,52.94686
1.29843,52.93557
1.350482,52.91928
1.296765,52.93578
1.256982,52.94374
1.143772,52.95052
1.293258,52.93616
1.276511,52.93845
1.206733,52.9492
1.207798,52.948
1.207798,52.948
1.143815,52.9505
0.486164,52.94223
1.100932,52.95803
1.30723,52.93237
-5.446703,57.2235
1.196147,52.9462
3.7,51.4
3.7,51.4
1.143489,52.95
1.346968,52.9208
1.141457,52.95433
1.196147,52.9462
1.054448,52.96711
1.143439,52.95076
1.053409,52.96695
1.054704,52.96631
1.135047,52.95126
1.05461,52.96593
1.220473,52.94635
1.05563,52.96623
1.143703,52.95049
1.143145,52.94978
1.223675,52.94616
1.141512,52.95068
1.141955,52.95042
1.211008,52.94772
1.054298,52.96678
1.350005,52.92025
1.135509,52.95168
1.055059,52.96575
1.209403,52.94685
1.350618,52.92018
1.219815,52.94681
1.141893,52.95038
-3.05151,53.89656
1.138261,52.94989
1.14177,52.95022
1.053307,52.96561
1.10133,52.95746
1.346458,52.92017
1.054971,52.96703
1.135081,52.95132
1.143527,52.95052
1.208881,52.94665
1.144403,52.95213
1.143411,52.94955
1.138572,52.95027
1.144914,52.94984
1.135262,52.95279
1.254862,52.94218
1.5546,52.96529
1.167314,52.94826
1.135442,52.95054
1.051743,52.96656
1.052422,52.96648
1.210458,52.94662
1.052767,52.96682
1.347555,52.92002
1.145011,52.94974
1.052467,52.96616
1.05437,52.96526
3.4,51.5
1.051166,52.96673
4.55,52.45
3.277,51.381
0.7681,50.92255
-6.80145,58.229941
-6.783638,58.224314
-6.781942,58.224378
-6.783638,58.224314
-6.781942,58.224378
-6.781942,58.224378
-6.778428,58.22361
-6.778428,58.22361
-6.780124,58.223547
-6.780124,58.223547
-6.780124,58.223547
-6.778428,58.22361
-5.46233,54.390832
-6.879586,58.215279
-6.879586,58.215279
-6.879709,58.216174
-6.879709,58.216174
-6.764135,58.218748
-6.767648,58.219516
-6.764135,58.218748
-6.764135,58.218748
-5.535133,56.155073
-6.764135,58.218748
-5.535133,56.155073
-6.774674,58.221052
-6.764135,58.218748
-6.765952,58.21958
-6.765952,58.21958
-6.767648,58.219516
-6.774674,58.221052
-5.535133,56.155073
-6.765952,58.21958
-6.774674,58.221052
-5.535133,56.155073
-6.765952,58.21958
-6.767648,58.219516
-6.765952,58.21958
-6.774674,58.221052
-6.767648,58.219516
-6.767648,58.219516
-6.774674,58.221052
-5.535133,56.155073
-2.987577,53.928112
-3.052764,53.855652
4.104,51.988
4.39,52.21
1.83518,50.96958
1.5486,50.46467
1.5486,50.46467
1.84675,50.96898
1.83518,50.96958
1.5486,50.46467
