Longitude,Latitude
4.920358,43.420659
4.939352,43.428328
-5.632,54.452
-6.037083,56.62281
-5.578592,54.394603
1.298336,52.9352
-1.994395,55.776178
-5.144805,56.679
-2.48422,57.67344
-5.126945,56.16413
-3.775488,57.77625
-5.264558,56.06868
-5.658215,56.67723
-2.48422,57.67344
-5.132531,58.47289
-5.123081,58.47447
-5.101133,58.41935
-5.03832,58.45024
-5.1256,58.41824
-5.01691,54.94796
-0.40479,50.78629
-6.531906,57.36275
-1.574484,55.41983
-4.939188,55.71924
-4.933839,55.98338
-5.539993,56.24303
-4.943308,55.71409
-5.101842,56.20069
-5.528809,50.120446
-5.533205,50.114599
-5.529528,50.119966
-5.599568,56.0327
-5.59939,56.03285
-5.565782,57.35786
-5.547066,50.10338
-5.539754,50.110441
-5.39611,50.239156
-4.994458,51.60809
-5.281812,51.69274
-5.539875,50.110384
-5.396157,50.239102
-5.547187,50.103323
-5.099588,58.40451
-5.104433,58.40625
-1.149426,60.13299
-1.045297,60.17204
-1.119276,60.1193
-5.553483,54.51401
-4.12768,50.35658
-5.237026,57.91878
-5.2974,56.54774
-5.273927,56.54565
-5.119293,58.47607
-5.019718,56.22918
-5.10206,58.40575
-5.274199,56.54522
-5.032699,58.45345
-5.298024,56.54874
-10.067507,54.143164
-10.065836,54.125831
-10.035503,54.164999
-10.074505,54.161328
-10.066004,54.125667
-10.063827,54.143665
-10.035503,54.164999
-10.065067,54.125676
-10.066738,54.143011
-10.034734,54.164849
-10.063057,54.143512
-10.034734,54.164849
-10.073735,54.161177
-10.065234,54.125511
-5.065708,58.45444
-5.224072,58.36539
-5.372746,56.51437
-5.372746,56.51437
-5.070004,55.48006
-5.100509,58.41946
-5.038624,58.45058
-5.038124,58.45076
-5.032954,58.45344
-5.272428,56.54592
-5.034433,58.4503
-3.076766,58.82557
-6.191826,54.068306
-5.659335,56.31378
-1.536845,55.238872
-5.372032,56.51338
-5.566619,57.35809
-5.593131,56.03799
-5.593131,56.03799
-2.447355,50.6026
-4.776134,56.19148
1.390603,51.151
-5.989145,56.64978
-5.53666,56.38083
-5.588742,56.50222
-4.656498,53.32133
-4.769639,54.05563
-4.777684,54.07747
-4.744424,54.12236
1.206208,51.0862
14.669717,45.153112
14.670136,45.153172
14.670211,45.153218
0.483092,50.76474
0.477381,50.75666
-6.116257,56.87908
-2.286348,50.5936
-5.742513,57.02095
-6.461339,57.04702
-5.592473,57.1201
-6.475237,57.05292
-5.66047,56.99425
-6.461339,57.04702
-1.396993,55.0026
-1.428541,55.04034
-1.430409,55.039387
-0.115021,54.10256
-5.565978,57.3579
-5.565978,57.3579
-5.598511,56.0335
-5.566135,57.35815
-5.297423,56.54895
-5.603885,56.02964
-2.373921,49.72274
-5.195026,51.8581
-5.144986,56.67803
-5.869207,56.66399
-2.743187,59.20745
-5.144986,56.67803
-4.79953,54.090597
-2.890559,50.70731
3.699579,43.424918
-4.913372,51.60542
-2.859242,50.70338
-6.335618,49.88181
-6.300826,49.90276
-6.290874,49.90366
-6.245016,49.97523
-6.251735,49.96851
0.270299,50.750936
-2.748145,59.18348
-4.509134,53.43337
-2.44171,50.57023
-3.92833,47.86861
-5.553951,54.5194
-5.553815,54.50983
-5.598288,54.37839
-5.577282,54.39389
-4.814135,54.06025
-4.768347,54.0585
-5.065387,50.07215
-6.248608,55.29087
-2.340411,50.59215
-5.572279,54.38989
-5.646461,54.48989
-3.182694,58.8357
-6.069043,57.13861
-5.552695,57.35853
-5.552695,57.35853
-4.399766,53.58833
-4.374811,53.59577
-4.355857,53.59293
-4.352557,53.59582
-4.367615,53.59237
-4.335154,53.59312
-4.45437,53.60217
-4.377711,53.59587
-4.464021,53.59878
-4.378556,53.59613
-4.437521,53.61633
-4.366004,53.59682
-4.332106,53.58922
-4.359206,53.58942
-4.344502,53.58957
-4.466819,53.60217
-5.641795,54.49006
-5.575783,54.40606
-5.690538,56.50049
-2.415077,50.57209
1.204407,51.08609
1.205215,51.08558
-9.007207,53.150702
-9.006437,53.150439
-5.617961,54.55474
-5.969807,57.1573
1.30494,51.026635
-3.326928,51.181847
-1.856498,50.683
-5.225885,51.77001
-1.794192,50.68053
-4.406251,52.88626
-3.826334,53.29125
-3.838693,53.29146
-4.275335,53.14293
-4.085943,52.40955
-4.642309,53.32017
-4.20896,53.18564
-6.089761,57.37315
-6.089761,57.37315
-4.248364,51.67955
-3.938093,51.61492
-3.172728,51.45742
-5.036906,51.71105
-3.931508,51.6177
-3.173546,51.44443
-3.184298,51.44727
-4.940949,51.71014
1.421557,51.330918
-1.033094,50.79061
-1.120841,50.802095
-0.232807,50.830695
-0.100136,50.810623
-1.118087,50.797578
1.311475,51.118202
-5.208667,51.85585
-5.575788,54.5209
-5.537275,54.46673
-5.537275,54.46673
-5.575788,54.5209
-4.281784,51.01782
-1.310263,50.851929
-1.294586,50.761009
-1.290482,50.751092
-2.450041,50.606696
-1.982244,50.710982
-1.403476,50.894707
-1.389246,50.895533
0.861082,51.74037
-2.401431,50.62982
-4.280448,51.019644
-5.547066,50.10338
-1.116804,50.790374
-5.577453,54.39355
-5.494432,57.26141
-5.215857,56.10091
11.15655,59.05893
-5.005478,56.2423
11.04334,58.68209
-2.020355,50.415115
-5.051334,51.61176
-5.062146,51.63006
