Longitude,Latitude
-9.66961,53.315952
-9.66961,53.315952
-9.66961,53.315952
4.870046,60.801402
11.4069,58.2164
-9.859242,53.621442
11.59035,57.93206
11.75786,57.54986
11.70201,57.52033
11.70201,57.52033
11.55912,58.32168
-5.983492,56.64958
-5.27467,56.54446
-5.24473,56.67616
-5.912325,56.55645
-4.829647,56.11815
-5.2749,56.54486
11.05054,58.57814
-4.56195,48.35343
-4.45359,48.29332
-5.5923,56.03839
-4.829573,56.11781
-5.297498,56.54887
-4.917036,55.9402
-1.75312,48.87414
-4.45359,48.29332
-2.231951,49.17309
-7.699741,55.20847
-5.243604,51.73607
-4.918079,55.94087
-4.897929,55.98033
-4.957273,55.72817
-5.903718,56.6585
-5.317861,56.52842
-5.104426,58.40617
-2.806764,50.68081
-5.044636,48.477552
-2.01798,48.59619
-2.24725,48.70793
-5.633953,56.9852
-5.026196,58.44823
-5.072024,56.703
-5.132458,56.68057
-5.20704,56.74223
-5.633953,56.9852
-5.028203,58.44924
-6.430589,57.02942
-3.035727,50.65075
-2.261646,50.59283
-1.934451,50.62598
-2.952492,50.70351
-3.035727,50.65075
11.56899,58.32956
-5.155765,56.68037
-5.926078,57.33353
-5.917688,57.3361
-5.274465,56.54472
-5.27497,56.5451
-2.981276,50.65011
-4.15933,50.35901
-2.947946,50.65011
-2.809223,50.67893
-2.809223,50.67893
-2.809223,50.67893
11.59897,58.36237
-5.297015,56.54894
-5.826203,57.37178
-6.74615,57.45818
8.229799,63.270482
-5.730207,54.95994
-5.371947,56.51315
11.093565,63.83825
-7.701015,55.20868
-2.48422,57.67344
-5.156034,56.67987
-2.48422,57.67344
-2.48422,57.67344
-5.144805,56.679
-5.126945,56.16413
-4.977139,56.24993
-5.641684,56.67758
-5.274185,56.54562
-3.775488,57.77625
-5.655467,57.28333
-5.126945,56.16413
-5.06775,56.23109
-4.977139,56.24993
-2.48422,57.67344
-2.48422,57.67344
-5.421044,58.00636
-5.283834,57.91246
-4.45359,48.29332
10.455608,59.445678
-2.9146,50.67406
-5.132531,58.47289
-5.374008,58.02949
-5.103441,58.40568
-5.03832,58.45024
-5.119668,58.47527
-5.1256,58.41824
-5.042323,58.4545
-5.03832,58.45024
-5.070094,55.48061
-5.101133,58.41935
-5.123081,58.47447
-5.07579,58.45856
-5.097202,58.4678
-5.129017,55.41365
-5.097202,58.4678
-6.26834,55.30792
-6.287961,55.29715
-6.236398,55.29323
-6.25024,55.29103
-5.477244,50.11311
11.2465,58.34883
11.21433,58.34367
10.29634,59.04313
6.50283,58.22833
4.914171,60.423669
-2.653903,49.48949
-2.482667,49.44007
