Longitude,Latitude
18.002346,69.636786
6.257835,62.573356
6.169117,62.466107
8.83423,63.730769
-5.813,54.71
5.746738,58.923965
6.018883,58.98976
18.400982,69.7748
11.39389,58.2629
11.40011,58.2618
3.700291,43.424848
18.230608,69.720186
3.85,51.7
9.260193,58.718084
-5.983492,56.64958
9.260193,58.718084
-5.583604,56.316522
-5.183679,56.689479
-5.63755,54.51748
-5.556825,54.384348
-5.568712,54.524133
6.240003,62.464911
7.49283,63.045201
-5.568712,54.524133
11.18657,58.35703
-4.917036,55.9402
-5.075883,58.45786
-4.917036,55.9402
-0.918819,50.77943
11.78663,58.32579
-5.429537,57.23408
-4.897929,55.98033
-2.815716,56.18545
1.138093,52.95075
-2.871511,50.71051
-1.97771,48.57014
18.962834,69.650298
-5.578987,54.393858
-5.578987,54.393858
-5.028203,58.44924
-5.597428,56.03481
-5.028203,58.44924
-5.028203,58.44924
-5.026196,58.44823
-5.026196,58.44823
-2.330746,50.59002
-0.774724,50.72867
1.212259,52.94732
1.137766,52.95076
-2.330746,50.59002
-5.620732,54.679606
-5.067415,56.70239
-5.038604,56.70564
-5.038604,56.70564
-2.48422,57.67344
-2.48422,57.67344
6.12943,62.467619
-3.220605,57.75536
-6.456189,57.35884
-5.549267,57.35318
-2.48422,57.67344
-2.48422,57.67344
-2.48422,57.67344
-7.249581,57.67236
-4.604174,53.42579
-5.21402,58.37468
-5.076211,58.45749
-5.132531,58.47289
-5.450834,58.00477
-6.240754,55.29283
-6.25024,55.29103
3.66769,43.43958
10.29634,59.04313
4.914171,60.423669
-5.599928,54.25792
-4.904521,55.74978
-6.96853,57.73977
-5.124903,51.70984
13.511196,66.825735
13.798533,66.815333
1.086533,52.96111
-5.334826,56.61787
-4.46879,48.31916
10.87016,59.04749
11.115303,59.038457
9.753881,59.02325
10.58157,59.43692
9.808552,58.99358
10.703994,59.254302
-4.933839,55.98338
-4.94758,55.98672
-4.943308,55.71409
-4.939188,55.71924
-5.881263,56.67116
-4.87396,56.09414
-5.143878,56.67875
-5.390729,55.86483
-5.771515,54.6661
9.260193,58.718084
-4.915285,51.70192
-5.856425,56.6626
-5.867786,56.66558
-5.894475,56.66291
-5.871304,56.66755
-5.876822,56.67038
-5.860295,56.66228
3.75,51.65
4.097654,51.642951
9.223497,58.709664
6.289339,62.472925
4.05,51.6
6.284461,62.487029
-5.101842,56.20069
-5.143788,56.67894
-5.545176,57.36025
-5.545176,57.36025
-2.782502,56.065833
-5.297252,56.54782
-5.599568,56.0327
-5.599568,56.0327
1.549125,52.08192
6.264402,62.49105
-9.300857,51.50047
11.18281,58.81362
10.58157,59.43692
10.703994,59.254302
10.5268,59.0267
10.87016,59.04749
11.115303,59.038457
9.808552,58.99358
9.753881,59.02325
-5.238125,51.71417
-6.110573,53.28839
-6.114133,53.28825
-2.484308,57.67372
-1.372924,54.98693
-1.119276,60.1193
-1.291325,54.80919
-5.404392,58.00026
-5.404392,58.00026
-5.538077,54.32897
-5.642986,54.49026
-10.07615,54.25583
-10.06619,54.10143
-10.05819,54.09979
-5.124815,51.70961
-5.094974,56.16049
-5.273544,56.54612
-5.019718,56.22918
-5.094974,56.16049
-4.8267,56.11879
-5.10206,58.40575
-5.088009,55.54583
-5.2974,56.54774
-10.065836,54.125831
-10.066004,54.125667
-10.074505,54.161328
-9.957497,54.27117
-10.035503,54.164999
-10.035503,54.164999
-10.035503,54.164999
-10.060161,54.111004
-10.060161,54.111004
-10.068998,54.135166
-10.063827,54.143665
-10.077328,54.256004
-10.067507,54.143164
-10.037171,54.191663
-10.068228,54.135012
-10.036402,54.191516
-10.065067,54.125676
-10.066738,54.143011
-10.034734,54.164849
-10.034734,54.164849
-10.063057,54.143512
-10.073735,54.161177
-10.034734,54.164849
-10.059392,54.110847
-10.065234,54.125511
-10.059392,54.110847
14.62522,67.22741
-5.115307,51.66925
-5.075995,55.5102
-5.515539,56.39283
-5.296472,56.54737
-5.868757,56.66381
-5.070004,55.48006
-5.296472,56.54737
-5.088912,55.54774
-5.088912,55.54774
-5.075995,55.5102
-5.088912,55.54774
-6.191826,54.068306
-2.079535,49.23893
-5.068278,56.23123
-5.068278,56.23123
-5.264853,56.06856
-5.289375,56.04887
-5.289375,56.04887
-5.290221,56.04786
-5.290221,56.04786
-5.068278,56.23123
-5.264853,56.06856
-5.289375,56.04887
-5.046472,56.23793
-5.372936,56.5133
-3.356581,56.026581
-5.588737,56.52967
-5.53666,56.38083
-5.588737,56.52967
-5.588737,56.52967
-5.53666,56.38083
-5.53666,56.38083
-5.652152,56.68193
-5.714342,56.49601
-5.989145,56.64978
-5.989145,56.64978
11.59326,57.63678
8.859976,63.626286
11.08161,58.55154
10.29634,59.04313
-4.74774,54.11627
-6.181191,54.07351
-6.181191,54.07351
-3.19909,47.67445
-10.010835,53.47926
-3.064051,58.38279
-5.698006,55.05621
-5.57507,54.42407
11.26825,58.43986
-5.555688,57.35516
-5.742513,57.02095
-6.116257,56.87908
-6.475237,57.05292
-5.889217,57.06038
-5.66047,56.99425
-6.475237,57.05292
-5.592473,57.1201
-0.688446,50.77559
0.481269,50.76272
10.87016,59.04749
10.482809,59.45012
10.5268,59.0267
10.703994,59.254302
-4.467506,53.04838
-4.466806,53.04788
-4.452119,53.12794
-5.295096,55.71103
-5.064713,55.50693
-5.445691,57.22384
-5.133926,55.41497
-5.297278,56.54859
-5.565569,57.35798
-5.445691,57.22384
-5.493426,57.24781
-5.295096,55.71103
-5.446183,57.22378
-5.298125,56.5486
-5.297278,56.54859
-5.566842,57.35824
-5.091233,55.54528
-5.492949,57.24768
-5.087816,55.5462
-5.064713,55.50693
-1.594818,55.62638
-5.087816,55.5462
-1.59634,55.626333
-5.795536,54.95806
9.260193,58.718084
-2.144149,55.91971
-4.763467,50.24538
-5.297681,56.54789
6.286869,62.479758
10.413729,59.611468
7.784297,62.97619
-5.453075,54.575302
-5.418217,54.50005
-5.45265,54.575953
-4.915831,55.747797
-4.898335,55.749335
-4.893554,55.765682
-5.545732,54.43511
-5.545732,54.43511
10.29634,59.04313
-5.640011,54.49554
-9.821136,51.630004
9.267662,58.74279
10.703994,59.254302
5.71851,59.05966
9.753881,59.02325
11.115303,59.038457
8.581778,58.316602
8.035953,58.144695
7.603002,58.010866
8.06625,58.1323
8.537156,58.273133
8.944219,58.5132
-4.613948,53.25912
-4.658475,53.27414
-5.507668,57.28577
3.7001,43.424617
6.651953,62.48334
-8.440604,54.998336
-9.580272,53.323983
-9.506624,51.683896
-4.297644,52.89202
1.142633,52.95083
-4.297644,52.89202
1.164248,51.94791
1.544564,52.08958
1.158953,51.95116
1.054453,52.96518
1.549154,52.08191
1.14502,52.95069
1.14502,52.95069
10.5268,59.0267
-6.245016,49.97523
-6.153409,56.44078
-6.227008,56.45782
-6.243192,56.46135
-6.153409,56.44078
-6.153409,56.44078
-6.300826,49.90276
-6.243192,56.46135
-6.214671,56.46434
-4.140545,50.363036
-4.13075,50.364115
-4.140585,50.363935
-5.274866,56.54484
-5.208358,56.74176
-2.565935,59.02002
1.298051,52.93538
-2.748145,59.18348
-5.208358,56.74176
-5.079278,55.54107
-5.039118,56.70552
-4.39306,48.32548
-7.263938,57.400904
-5.494961,57.24773
-5.553951,54.5194
-5.634264,54.44614
-5.553815,54.50983
-5.553815,54.50983
-5.541614,54.48673
-5.626125,54.45339
-5.554083,54.45865
-5.554083,54.45865
-5.569799,54.38138
3.7,43.42472
-3.294527,58.964775
-2.957954,58.987687
-2.976006,59.323119
-3.294527,58.964775
-2.976006,59.323119
11.115303,59.038457
9.267662,58.74279
9.753881,59.02325
9.808552,58.99358
8.944219,58.5132
8.537156,58.273133
8.581778,58.316602
8.06625,58.1323
10.703994,59.254302
8.035953,58.144695
-2.957954,58.987687
9.395864,63.656243
-6.25456,55.3117
1.269991,51.99534
-4.155449,50.36056
-5.545786,54.38005
11.26825,58.43986
-5.15277,51.70363
-5.375187,56.0059
-5.375197,56.00583
0.872833,51.784576
0.872833,51.784576
0.884835,51.77684
1.135047,52.95126
1.05461,52.96593
1.608237,52.86069
1.053409,52.96695
-1.44951,55.07696
1.135047,52.95126
-5.572279,54.38989
-5.126369,50.096457
-7.383955,57.01572
-7.383955,57.01572
-7.372523,57.01653
1.220473,52.94635
0.840713,51.73048
1.135047,52.95126
