Longitude,Latitude
18.734527,69.643134
6.075612,58.906099
18.002346,69.636786
9.239307,58.721937
10.255197,56.150664
7.732897,63.117504
4.101827,51.610274
10.229182,56.163912
-68.282567,44.308695
-68.264505,44.341652
-5.650278,54.493333
-8.872934,40.152312
-1.691862,55.606392
-5.57522,54.392381
-5.575,54.392
-68.220151,44.396243
4.264372,52.105977
-5.575981,54.391833
4.55,52.45
4.25,52.1
4.5,52.4
4.6,52.65
4.05,51.95
3.7,51.4
4.6,52.55
4.45,52.3
4.55,52.45
4.5,52.35
4.6,52.55
4.15,52
4.6,52.5
4.2,52.05
4.45,52.25
4.5,52.45
4.5,52.4
4.55,52.45
4.5,52.35
4.35,52.2
3.95,51.9
4.1,51.95
4.7,52.9
4.5,52.35
4.15,52
4.45,52.3
4.45,52.3
3.95,51.9
4.5,52.35
4.6,52.6
4.3,52.15
4.2,52.05
5.05,53.3
4.2,52.05
4.15,52.05
3.95,51.9
4.05,51.95
4.5,52.45
4.2,52.05
4.4,52.2
3.7,51.4
3.7,51.4
4.6,52.5
4.4,52.2
4.45,52.3
3.7,51.4
4.05,51.95
5.05,53.3
4.45,52.3
4.7,52.95
4.5,52.35
4.2,52.05
4.55,52.45
4.4,52.2
3.8,51.75
4.75,52.95
4.15,52
3.7,51.4
4.55,52.45
4.15,52
4.5,52.4
4.5,52.45
4.6,52.65
4.4,52.2
4.55,52.45
4.55,52.45
4.85,53.15
4.05,51.95
4.15,52
3.7,51.4
4.05,51.95
4.15,52.05
4.1,52
4.2,52.05
4.4,52.2
3.7,51.4
4.1,52
4.35,52.2
4.5,52.4
4.4,52.2
4.15,52
4.5,52.4
4.5,52.4
3.7,51.4
4.5,52.45
4.6,52.55
4.55,52.45
4.5,52.4
3.7,51.4
4.55,52.5
4.55,52.4
4.95,53.25
6.977727,62.8021
18.734527,69.643134
11.016431,59.025941
4.19008,52.057677
4.190681,52.058179
4.191625,52.058785
9.239307,58.721937
7.169322,53.718678
4.36705,52.18108
10.255197,56.150664
10.228881,56.116623
18.957183,69.643631
4.325311,52.145423
4.606096,52.556965
4.324264,52.14439
4.297709,52.125686
2.766146,51.17128
4.325824,52.145771
-8.767445,42.360921
4.32849,52.147914
4.33007,52.149517
4.273938,52.111581
-1.018418,50.783757
4.339494,52.15631
4.33183,52.150702
-3.039712,53.443979
7.737177,63.111437
-3.637108,51.462344
4.196475,52.060518
4.197054,52.060696
1.493434,50.179319
-3.919251,47.868339
11.79972,58.0575
11.22348,58.42043
18.734527,69.643134
10.634014,59.888214
9.427711,63.79595
6.610163,62.51487
7.733701,63.111755
4.004524,51.596982
5.842256,59.712525
10.560756,63.431671
0.348543,53.146549
3.848673,51.676538
-69.719795,43.783895
3.848654,51.676571
3.848681,51.676598
8.458223,55.040595
-4.911925,55.745842
12.121455,56.082908
-69.720323,43.784052
1.53502,50.213991
3.459612,51.550145
-3.691222,51.475742
11.145936,55.32687
-2.076937,46.780549
18.002346,69.636786
6.098707,59.19904
6.083113,59.203676
5.987307,60.221088
15.891143,67.981813
-3.391615,50.609383
-1.429578,43.668826
10.758653,57.669099
4.564014,52.468983
11.365545,55.841478
-1.312656,54.809631
-0.868049,49.369419
-4.90836,55.749573
10.53081,57.334215
-4.105963,51.568653
-1.983747,46.721195
-1.225043,44.578075
1.682615,52.325383
-8.843743,41.683095
-4.701206,51.67241
-3.046902,53.481616
-3.962948,47.894398
-68.176627,44.34045
-69.719905,43.784251
-1.429578,43.668826
13.737594,66.84394
-63.917642,44.496522
-1.982996,55.752371
-2.884468,47.331758
-2.882636,47.332608
12.48819,65.834671
12.62376,56.74093
-1.603503,55.640453
10.171294,54.433675
3.879492,51.742978
4.56086,52.468006
-8.79137,40.49336
4.568102,52.46899
