Longitude,Latitude
18.747615,69.676326
5.258935,59.418674
5.251327,59.41584
18.747615,69.676326
18.747615,69.676326
10.128,57.736
-8.873,63.296
4.876,58.898
-8.367,63.055
4.408,59.126
0.077,54.347
-25.252,63.053
-0.25,54.987
9.097,57.369
-0.085,54.667
2.28,54.127
-5.753,51.776
-5.92,51.459
-6.077,51.141
6.539,55.557
-12.368,63.402
-2.305,58.107
-16.076,63.407
-6.332,61.897
5.339,58.667
-9.91,63.773
-10.983,64.241
1.178,60.271
5.794,58.436
-9.387,63.535
-16.815,63.396
-6.057,49.21
-11.627,63.39
-14.592,63.416
-10.91,63.326
-15.334,63.413
-9.183,62.719
-13.851,63.416
-13.109,63.411
-1.29,56.9
-10.276,63.158
-0.932,56.263
-3.52,58.847
3.213,54.512
-0.585,55.625
-0.757,55.945
-2.973,58.663
-1.11,56.582
3.688,54.7
11.5478,58.3238999991576
11.5478,58.3238999991576
11.5478,58.3238999991576
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
-56.982,46.113
-59.69,45.457
-58.343,45.793
-60.135,45.34
-56.065,46.318
-58.795,45.682
-61.02,45.103
-57.437,46.008
-57.892,45.902
-60.578,45.222
-56.525,46.217
-59.243,45.57
-64.758,43.477
-46.892,49.23
-65.087,43.245
-67.942,41.117
-66.06,42.545
-69.04,40.62
-65.738,42.778
-68.63,40.74
-67.633,41.358
-71.232,40.543
-67.323,41.597
-66.697,42.072
-66.38,42.308
-69.477,40.58
-68.247,40.877
-38.592,56.047
-44.048,52.628
-62.767,44.61
-63.2,44.482
-61.898,44.86
-61.46,44.982
-45.127,49.915
-45.573,49.747
-46.017,49.577
-46.455,49.403
-67.012,41.835
-65.413,43.013
-47.325,49.055
-49.447,48.155
-47.755,48.878
-51.493,47.217
-49.862,47.97
-50.273,47.783
-41.857,52.143
-48.607,48.52
-52.29,46.832
-48.182,48.7
-51.893,47.025
-42.155,51.865
-49.028,48.338
-52.687,46.637
-50.683,47.597
-51.088,47.408
-42.742,51.308
11.2622,58.2356999991563
11.2622,58.2356999991563
11.2622,58.2356999991563
11.2622,58.2356999991563
11.2622,58.2356999991563
11.2622,58.2356999991563
11.2622,58.2356999991563
11.2622,58.2356999991563
11.2622,58.2356999991563
11.4357,58.2597999991566
11.4357,58.2597999991566
-52.777,46.588
-53.148,46.398
-64.085,43.942
-52.458,46.842
-65.403,43.012
-67.308,41.592
-70.778,40.555
-65.727,42.777
-68.615,40.743
-66.997,41.83
-51.153,47.84
-48.032,50.03
-49.103,49.308
-45.788,51.44
-49.452,49.067
-46.172,51.208
-49.8,48.823
-46.552,50.975
-51.483,47.592
-48.392,49.79
-47.298,50.505
-50.82,48.087
-47.667,50.268
-57.417,46.067
-58.312,45.83
-62.247,44.675
-60.08,45.333
-57.865,45.948
-61.817,44.81
-59.642,45.46
-60.517,45.205
-55.143,46.63
-58.757,45.708
-62.673,44.538
-55.602,46.522
-59.2,45.585
-61.385,44.943
-60.953,45.075
-56.513,46.298
-56.058,46.41
-56.965,46.183
-64.42,43.71
-64.75,43.478
-65.078,43.245
-54.05,46.158
-53.6,46.28
-67.617,41.352
-71.217,40.543
-66.048,42.542
-69.025,40.623
-66.367,42.307
-69.462,40.58
-67.923,41.112
-71.655,40.532
-66.682,42.068
-69.902,40.573
-70.34,40.565
-68.228,40.87
-50.483,48.333
-52.137,47.092
-50.143,48.58
-46.927,50.74
-51.812,47.343
-48.75,49.55
11.5478,58.3238999991576
11.5478,58.3238999991576
11.5478,58.3238999991576
11.5478,58.3238999991576
-68.850962,48.553031
-63.5,43.927
-61.408,44.657
-57.51,45.872
-59.697,45.213
-55.725,46.367
-59.263,45.348
-55.272,46.487
-63.913,43.775
-61.832,44.513
-57.952,45.743
-65.07,43.245
-64.075,43.938
-64.742,43.478
-64.408,43.708
-69.438,40.582
-65.397,43.013
-67.617,41.357
-69.02,40.627
-68.608,40.743
-28.143,61.86
-49.267,49.263
-52.26,47.025
-30.953,60.39
-33.517,58.867
-26.118,62.805
-30.503,60.64
-50.962,48.028
-27.648,62.1
-25.592,63.037
-47.487,50.472
-50.63,48.278
-48.918,49.508
-51.94,47.277
-30.045,60.887
-33.922,58.608
-33.107,59.123
-27.147,62.337
-31.397,60.14
-64.733,43.47
-62.67,44.223
-58.827,45.482
-63.087,44.075
-60.983,44.798
-60.557,44.938
-64.323,43.623
-62.252,44.37
-58.39,45.613
-34.33,58.373
-44.043,52.573
-35.708,57.69
-45.227,51.885
-34.795,58.148
-44.443,52.345
-35.255,57.92
-44.837,52.115
-25.057,63.267
-36.157,57.46
-45.613,51.652
-69.878,40.578
-67.925,41.118
-71.632,40.545
-68.23,40.877
-38.732,56.042
-37.037,56.993
-40.733,54.822
-39.142,55.8
-42.617,53.572
-36.6,57.227
-37.468,56.757
-41.118,54.575
-37.893,56.52
-41.5,54.325
-39.947,55.313
-43.338,53.063
-39.547,55.558
-42.98,53.318
-40.342,55.068
-43.693,52.807
-47.85,50.233
-46.748,50.948
-49.955,48.773
-48.21,49.992
-51.292,47.78
-38.315,56.282
-41.877,54.075
-45.995,51.418
-42.248,53.823
-46.373,51.183
-49.613,49.018
-47.118,50.712
-50.295,48.525
-48.565,49.75
-51.617,47.528
11.2622,58.2356999991563
11.2622,58.2356999991563
11.2622,58.2356999991563
11.2622,58.2356999991563
11.5478,58.3238999991576
11.5478,58.3238999991576
11.5478,58.3238999991576
11.5478,58.3238999991576
11.5478,58.3238999991576
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
-65.482,43.233
-65.023,43.243
-63.397,43.868
-61.318,44.615
-25.327,63.158
-46.158,51.31
-23.68,63.837
-44.997,52.005
-24.787,63.387
-45.775,51.543
-23.113,64.06
-44.603,52.233
-24.237,63.613
-45.388,51.775
-70.338,40.567
-49.083,49.407
-52.112,47.183
-37.897,56.512
-41.533,54.333
-40.367,55.07
-43.747,52.825
-25.858,62.928
-48.013,50.128
-51.132,47.932
-42.66,53.583
-46.912,50.842
-50.123,48.673
-39.967,55.315
-43.388,53.078
-48.73,49.648
-51.788,47.433
-39.563,55.557
-43.027,53.332
-37.468,56.747
-41.15,54.58
-49.433,49.163
-52.432,46.932
-47.282,50.605
-50.463,48.428
-47.65,50.368
-50.798,48.18
-38.74,56.037
-42.288,53.835
-46.537,51.077
-40.76,54.827
-44.1,52.57
-48.373,49.89
-38.322,56.275
-41.913,54.083
-64.62,43.402
-62.985,44.022
-59.185,45.325
-63.807,43.715
-64.215,43.558
-62.572,44.172
-58.752,45.462
-60.895,44.76
-60.045,45.045
-57.442,45.862
-59.615,45.187
-34.775,58.125
-63.753,44.168
-60.47,44.903
-56.557,46.122
-35.238,57.9
-64.09,43.938
-62.155,44.322
-58.317,45.597
-64.423,43.707
-61.738,44.47
-57.88,45.73
-64.753,43.477
-36.147,57.443
-35.695,57.672
-36.593,57.213
-65.082,43.243
-65.408,43.01
-67,41.828
-67.312,41.59
-66.37,42.303
-71.217,40.545
-66.052,42.54
-69.04,40.63
-65.732,42.775
-66.687,42.067
-71.653,40.533
-26.382,62.697
-30.74,60.525
-51.462,47.683
-28.878,61.507
-32.913,59.263
-26.897,62.462
-31.188,60.277
-28.395,61.748
-49.78,48.918
-52.75,46.678
-29.355,61.265
-33.328,59.008
-29.823,61.02
-33.737,58.75
-27.903,61.988
-32.063,59.773
-27.403,62.227
-31.628,60.025
-32.492,59.52
-30.287,60.773
-34.14,58.492
-39.153,55.798
-37.033,56.98
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
18.142142,69.62689
18.964055,69.831038
12.11667,56.6666699991345
12.11667,56.6666699991345
12.11667,56.6666699991345
12.11667,56.6666699991345
12.21167,56.9399999991381
12.21167,56.9399999991381
12.21167,56.9399999991381
12.21167,56.9399999991381
12.21167,56.9399999991381
-64.235,43.588
-25.328,63.158
-36.452,57.295
-46.183,51.282
-24.79,63.385
-36.006,57.525
-45.801,51.515
-25.862,62.927
-48.036,50.104
-51.148,47.914
-40.225,55.161
-43.605,52.923
-42.519,53.679
-46.935,50.814
-50.14,48.654
-28.882,61.505
-32.915,59.263
-49.103,49.384
-52.126,47.166
-38.599,56.124
-42.147,53.929
-46.561,51.049
-47.672,50.342
-50.815,48.162
-38.18,56.361
-41.772,54.178
-39.826,55.404
-43.247,53.176
-26.385,62.695
-30.743,60.523
-51.476,47.666
-49.453,49.141
-28.397,61.747
-49.798,48.898
-44.309,52.413
-48.751,49.625
-51.803,47.417
-47.305,50.579
-50.479,48.408
-40.618,54.918
-43.959,52.669
-48.395,49.865
-64.49,43.31
-64.743,43.032
-23.682,63.837
-35.097,57.98
-45.026,51.975
-23.117,64.058
-34.634,58.205
-44.632,52.203
-24.242,63.612
-35.554,57.754
-45.416,51.745
-65.003,42.763
-66.785,41.743
-67.135,41.537
-70.69,40.558
-65.723,42.358
-68.957,40.652
-65.365,42.562
-68.547,40.77
-66.08,42.155
-69.373,40.587
-68.17,40.91
-66.433,41.95
-69.812,40.577
-67.827,41.12
-71.567,40.533
-67.483,41.328
-71.128,40.547
-70.25,40.568
-29.358,61.263
-33.33,59.007
-27.407,62.225
-31.632,60.025
-29.827,61.018
-33.74,58.748
-26.898,62.462
-31.19,60.275
-27.907,61.987
-32.067,59.772
-32.493,59.518
-30.287,60.772
-34.142,58.49
-37.327,56.831
-41.008,54.672
-39.013,55.885
-36.891,57.064
-37.757,56.597
-41.392,54.426
-39.421,55.646
-42.885,53.429
18.002346,69.636786
-65.102,43.317
-66.4,43.265
-66.853,43.31
-60.928,44.77
-65.508,43.163
-63.87,43.77
-60.068,45.043
-60.685,44.863
-56.753,46.045
-63.457,43.917
-59.635,45.177
-63.04,44.063
-65.948,43.217
-61.778,44.492
-23.865,63.762
-60.258,45.002
-24.965,63.31
-23.303,63.985
-61.355,44.632
-58.082,45.667
-24.42,63.537
-62.38,44.295
-58.522,45.537
-59.202,45.308
-22.683,64.167
-28.55,61.665
-32.62,59.428
-39.242,55.753
-42.718,53.527
-27.062,62.382
-31.325,60.187
-37.995,56.473
-41.602,54.28
-25.502,63.08
-36.7,57.178
-28.06,61.905
-38.832,55.995
-29.03,61.422
-33.037,59.173
-39.647,55.512
-43.082,53.275
-26.03,62.848
-30.428,60.687
-37.137,56.945
-40.835,54.777
-26.548,62.617
-30.88,60.438
-37.568,56.71
-41.22,54.53
-66.147,43.205
-65.265,43.245
-65.692,43.18
-64.86,43.398
-64.452,43.552
-64.283,43.62
-60.5,44.907
-62.202,44.35
-34.895,58.098
-34.43,58.323
-44.325,52.408
-61.96,44.44
-35.357,57.87
-45.113,51.95
-62.622,44.207
-63.213,44.003
-59.393,45.272
-64.042,43.703
-64.693,43.468
-61.537,44.583
-57.643,45.793
-35.81,57.642
-63.628,43.853
-62.798,44.15
-58.958,45.405
-61.112,44.723
-36.257,57.41
-27.565,62.143
-31.763,59.935
-38.417,56.235
-41.978,54.03
-46.268,51.252
-29.968,60.933
-33.857,58.657
-40.443,55.023
-43.797,52.765
-48.115,50.065
-32.193,59.683
-42.35,53.78
-46.645,51.017
-49.872,48.852
-29.503,61.178
-33.45,58.915
-40.048,55.268
-43.442,53.02
-48.473,49.825
-48.828,49.583
-47.387,50.543
-47.018,50.782
-47.753,50.305
-49.178,49.34
-49.528,49.097
-52.51,46.857
-57.983,45.717
-27.46,62.062
-38.195,56.233
-47.433,50.403
-56.652,46.095
-64.468,43.323
-64.213,43.6
-26.938,62.29
-37.758,56.463
-47.06,50.638
-64.723,43.047
-63.953,43.877
-27.973,61.832
-38.627,56.002
-47.802,50.167
-26.408,62.515
-46.685,50.872
-40.302,55.065
-39.052,55.77
-45.93,51.368
-41.507,54.347
-39.89,55.302
-43.425,53.127
-34.827,58.183
-32.708,59.438
-36.415,57.157
-40.708,54.827
-48.167,49.93
-41.9,54.105
-45.235,51.875
-45.585,51.622
-41.11,54.588
-39.473,55.537
-25.872,62.738
-46.305,51.103
-64.96,42.77
-70.223,40.587
-51.957,47.253
-51.628,47.502
-49.24,49.213
-52.282,47.003
-28.478,61.6
-52.605,46.753
-30.898,60.415
-31.36,60.173
-29.952,60.895
-33.997,58.69
-31.817,59.93
-35.632,57.672
-28.977,61.367
-33.143,59.19
-29.468,61.132
-33.573,58.94
-30.428,60.657
-34.415,58.437
-32.265,59.685
-36.027,57.415
-65.048,43.345
-63.576,44.119
-60.445,44.937
-56.497,46.097
-62.988,44.092
-59.147,45.338
-61.725,44.522
-57.832,45.725
-27.162,58.857
-36.535,52.975
-46.198,48.485
-62.148,44.38
-58.272,45.598
-59.582,45.207
-60.875,44.8
-56.943,45.975
-26.792,59.132
-36.105,53.187
-45.73,48.605
-60.015,45.073
-57.388,45.852
-62.568,44.237
-58.71,45.47
-61.302,44.662
-65.683,42.39
-65.326,42.592
-69.344,40.598
-40.602,50.78
-48.963,47.717
-36.958,52.763
-39.422,51.453
-47.592,48.108
-51.647,46.883
-38.208,52.115
-39.022,51.675
-40.212,51.007
-49.417,47.582
-38.617,51.897
-46.665,48.362
-47.13,48.235
-51.205,47.027
-37.797,52.332
-41.367,50.325
-39.818,51.232
-37.38,52.548
-40.985,50.553
-63.86,43.855
-64.141,43.592
-64.696,43.062
-64.42,43.327
-34.793,53.812
-26.037,59.675
-35.235,53.605
-26.417,59.403
-35.672,53.397
-45.258,48.725
-64.97,42.797
-48.052,47.98
-52.085,46.738
-27.523,58.582
-48.508,47.848
-49.867,47.447
-29.515,57.307
-50.762,47.168
-29.925,57.058
-33.393,54.773
-28.245,58.042
-31.903,55.8
-27.882,58.307
-31.517,56.055
-28.673,57.798
-32.283,55.545
-31.127,56.308
-29.097,57.553
-32.658,55.288
-30.332,56.81
-33.755,54.513
-30.732,56.558
-34.112,54.252
-33.028,55.032
11.5478,58.3238999991576
11.5478,58.3238999991576
11.5478,58.3238999991576
11.5478,58.3238999991576
11.5478,58.3238999991576
11.5478,58.3238999991576
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
18.729218,69.685974
19.346163,69.796518
6.159227,62.528233
-65.038,43.34
-44.494,52.344
-61.293,44.662
-57.383,45.857
-60.008,45.075
-24.04,63.651
-25.664,62.971
-62.56,44.235
-58.705,45.473
-59.142,45.342
-25.131,63.2
-61.718,44.522
-57.825,45.73
-60.438,44.938
-56.492,46.103
-62.978,44.09
-56.938,45.98
-64.277,43.548
-59.577,45.208
-24.59,63.426
-58.267,45.602
-66.137,42.122
-32.733,59.332
-28.689,61.56
-27.212,62.274
-30.099,60.831
-26.703,62.508
-28.204,61.8
-29.637,61.076
-33.559,58.821
-27.712,62.038
-29.166,61.319
-33.15,59.077
-64.22,43.645
-64.63,43.493
-63.808,43.795
-63.395,43.943
-34.158,58.477
-34.625,58.25
-35.988,57.562
-35.085,58.022
-35.54,57.792
-38.567,56.142
-49.269,49.247
-36.87,57.093
-40.572,54.922
-47.867,50.22
-50.947,48.007
-38.978,55.9
-42.457,53.67
-49.611,49.001
-36.432,57.328
-37.302,56.858
-40.958,54.673
-48.223,49.979
-51.272,47.757
-37.73,56.622
-41.34,54.425
-48.575,49.736
-51.594,47.505
-39.785,55.413
-43.18,53.162
-50.286,48.506
-39.383,55.658
-42.82,53.415
-46.777,50.939
-49.95,48.754
-40.18,55.168
-50.618,48.257
-38.15,56.382
-41.717,54.173
-48.924,49.492
-42.09,53.922
11.2622,58.2356999991563
11.2622,58.2356999991563
11.2622,58.2356999991563
11.2622,58.2356999991563
11.2622,58.2356999991563
11.2622,58.2356999991563
11.2622,58.2356999991563
11.5478,58.3238999991576
11.5478,58.3238999991576
11.5478,58.3238999991576
11.5478,58.3238999991576
11.5478,58.3238999991576
11.5478,58.3238999991576
11.2622,58.2356999991563
11.2622,58.2356999991563
11.2622,58.2356999991563
11.2622,58.2356999991563
11.2622,58.2356999991563
11.2622,58.2356999991563
11.5478,58.3238999991576
11.5478,58.3238999991576
11.5478,58.3238999991576
11.5478,58.3238999991576
11.5478,58.3238999991576
11.5478,58.3238999991576
18.747615,69.676326
-23.65,63.765
-64.777,42.988
-64.017,43.823
-23.078,63.985
-64.525,43.267
-63.758,44.1
-24.21,63.543
-66.13,42.127
-65.773,42.33
-66.483,41.922
-26.372,62.637
-36.45,57.27
-39.992,55.008
-50.097,47.672
-48.5,48.957
-36.03,57.515
-27.402,62.172
-26.892,62.405
-43.18,52.662
-65.415,42.533
-36.865,57.023
-47.502,49.717
-50.407,47.412
-38.857,55.773
-46.122,50.715
-49.148,48.445
-37.273,56.777
-50.713,47.152
-48.825,48.702
-49.468,48.188
-42.813,52.922
-49.783,47.93
-48.17,49.21
-27.907,61.937
-25.308,63.095
11.2622,58.2356999991563
11.2622,58.2356999991563
11.2622,58.2356999991563
11.2622,58.2356999991563
11.2622,58.2356999991563
5.855017,59.489366
5.8509,59.4952
5.853634,59.491666
11.43333,58.2583299991566
11.43333,58.2583299991566
11.43333,58.2583299991566
11.43333,58.2583299991566
11.43333,58.2583299991566
11.43333,58.2583299991566
-63.693,43.892
-61.602,44.623
-57.707,45.838
-59.458,45.315
-55.472,46.457
-64.105,43.74
-62.025,44.48
-58.148,45.71
-60.322,45.043
-56.372,46.215
9.975,57.692
-63.278,44.04
-60.75,44.903
-56.818,46.092
-62.862,44.188
-59.023,45.448
-64.515,43.588
-62.445,44.335
-58.587,45.58
-57.263,45.967
15.677,76.587
-61.177,44.763
11.148,57.74
-59.892,45.18
-55.922,46.337
9.462,57.503
-52.955,46.652
17.737,74.677
8.955,57.312
-0.186,54.804
0.275,53.843
-34.08,58.97
-9.115,62.232
16.34,76.307
-0.03,54.485
-67.887,41.097
-64.99,43.185
7.375,56.327
6.43,55.478
3.913,52.892
-68.977,40.562
-65.945,42.47
-70.245,40.445
-66.877,41.748
6.74,55.762
7.7,56.607
1.038,57.915
8.028,56.887
5.23,54.337
-66.46,41.942
4.298,53.132
-68.223,40.882
-65.31,42.948
-67.547,41.312
-64.668,43.422
-69.368,40.45
-66.258,42.23
-70.683,40.44
-69.807,40.448
-66.568,41.99
6.123,55.193
3.635,52.605
7.055,56.043
-68.59,40.718
-20.222,63.495
-44.233,53.835
-18.092,63.318
-9.712,62.417
-47.323,51.812
-10.315,62.598
-16.652,63.327
-40.858,55.657
-10.928,62.778
-17.35,63.328
-10.403,64.002
2.825,59.58
5.37,58.547
5.86,58.333
-9.347,63.527
13.97,77.13
2.298,59.78
4.37,58.965
4.873,58.757
14.843,76.86
-71.558,40.425
-52.687,46.928
17.982,74.35
16.645,75.982
18.868,73.042
-71.122,40.433
-52.415,47.207
18.217,74.023
19.977,71.07
16.935,75.657
19.07,72.713
17.213,75.332
19.265,72.385
-64.522,43.317
-44.635,53.602
17.48,75.005
19.452,72.057
-51.863,47.76
-7.235,61.255
18.66,73.368
-52.142,47.483
18.442,73.697
-7.695,61.505
-64.782,43.043
-8.162,61.755
-1.785,57.22
-8.635,62.002
-65.628,42.71
-67.205,41.523
-66.808,41.733
-65.753,42.355
-70.943,40.552
-67.157,41.525
-65.038,42.767
8.455,57.118
-66.108,42.148
-71.382,40.54
-67.5,41.315
-12.283,62.99
-18.803,63.308
-1.354,57.039
-15.917,63.28
-19.515,63.405
-1.532,57.358
-5.218,60.032
-50.138,49.402
-1.006,56.401
-3.636,58.974
-51.302,48.31
-48.61,50.75
-0.837,56.082
-3.216,58.736
-51.583,48.035
-1.178,56.72
-51.015,48.583
-48.293,51.017
-49.232,50.213
-31.807,60.175
-50.727,48.857
-47.973,51.283
-25.627,62.887
-49.84,49.673
-46.993,52.075
-49.537,49.943
-46.658,52.338
-48.923,50.482
-50.433,49.13
-47.65,51.548
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
11.5478,58.3238999991576
11.5478,58.3238999991576
11.43333,58.2583299991566
11.43333,58.2583299991566
11.43333,58.2583299991566
11.43333,58.2583299991566
11.43333,58.2583299991566
11.43333,58.2583299991566
-64.987,43.503
-11.707,64.085
-67.605,43.392
-68.06,43.437
-4.983,61.663
-67.15,43.343
-25.485,62.945
-47.017,50.573
-25.85,62.91
0.137,54.128
1.207,53.938
19.072,71.82
-25.283,63.123
17.155,73.737
-26.407,62.697
-46.615,51.188
-66.455,41.937
-69.848,40.577
-65.387,42.548
-68.567,40.755
-67.502,41.315
-71.165,40.552
-65.025,42.75
-69.41,40.582
-70.287,40.57
-68.19,40.897
