Longitude,Latitude
-6.965,55.191
-6.965,55.191
11.46575,58.25196
-71.906236,41.327975
-70.900371,42.463658
-73.579597,40.584902
-69.348157,48.392589
-2.205994,56.951498
9.523,63.596
30.375745,80.017487
12.54797,65.52455
-70.655117,42.597687
-72.52,41.27
33.1,66.3
32.89711,66.71241
17.768113,76.117912
17.718073,75.888537
22.5095,74.181167
-66.912993,45.003278
22.6978,59.07191
23.39276,59.28009
22.69865,59.07211
23.39196,59.2799
-70.521095,41.349338
33.1,66.6
33.1,66.6
35.809179,74.073545
35.820592,74.073397
35.807157,74.072808
35.807157,74.072808
35.82346,74.072597
35.812286,74.072607
22.27875,58.56211
22.27977,58.56215
33.2,66.5
27.611167,76.4795
9.53722,63.59361
-4.090848,52.416598
36.1,69.1
22.08286,58.10038
11.26825,58.43986
22.02737,58.93156
22.02905,58.94859
22.27879,58.56216
23.38968,59.27948
21.69469,58.37475
22.31272,59.05469
22.46837,58.66728
22.27735,58.5621
22.36923,58.78923
22.31653,59.02727
22.44202,58.65878
22.2791,58.5621
22.23017,59.04362
22.46336,59.01596
22.50904,59.03252
-73.980022,40.571918
-63.762,59.4515
-63.534,59.2922
-63.76,59.45
-63.53,59.29
-63.529999,59.290001
-63.759998,59.450001
-3.435212,50.612212
-3.434455,50.633806
22.27727,58.56202
22.27854,58.56212
22.27938,58.56214
22.27981,58.56203
22.28095,58.5621
-3.262909,58.964199
-1.495976,55.112906
-1.495976,55.112906
-1.495976,55.112906
-57.88,49.522
-57.88,49.52
-57.880001,49.52
22.06665,58.91687
22.05985,58.91314
22.27985,58.5621
22.06295,58.91486
22.066632,58.917083
22.061,58.91386
22.06524,58.91616
21.95222,58.40454
21.90709,58.50919
1.59611,50.75083
1.59611,50.75083
-69.084663,44.225442
-1.96,55.735
-2.13194,55.89389
-1.69083,55.60861
-1.69083,55.60861
-2.13194,55.89389
-1.96,55.735
21.37917,58.2863
21.37876,58.27394
21.3679,58.27964
7.9,53.791
22.10542,58.88897
22.1001,58.90903
22.03418,58.92393
