Longitude,Latitude
-122.873349,49.298209
3.7,51.4
3.7,51.4
11.22807,58.3523
-123.813578,48.996449
18.002346,69.636786
3.7,51.4
18.962834,69.650298
18.963885,69.650963
4.985812,60.657783
4.977646,60.807186
5.007299,60.639382
-122.480967,37.502952
-63.708012,44.46238
-64.057777,44.596622
3.7,51.4
3.7,51.4
3.7,51.4
18.747615,69.676326
18.747615,69.676326
5.258935,59.418674
-71.256058,41.649678
2.91993,51.22733
-70.202378,41.274881
18.962834,69.650298
3.20097,51.33322
3.20095,51.33324
3.20213,51.33318
3.20097,51.33322
5.738276,58.980026
5.74849,59.000375
5.741088,58.983799
18.747615,69.676326
3.20105,51.33315
3.20096,51.33327
11.6776,58.26083
-6.193711,55.292161
-6.193711,55.292161
18.002346,69.636786
-70.599464,42.660564
3.7,51.4
7.08866,62.624521
-70.59849,42.666182
3.997157,51.71229
-0.37442,49.44856
-123.94817,49.199366
-0.31733,49.4179
18.002346,69.636786
3.19669,51.31714
-125.223,50.117
-125.223,50.117
-125.223,50.117
-125.223,50.117
-125.223,50.117
-125.223,50.117
-125.223,50.117
-125.223,50.117
-125.223,50.117
-125.223,50.117
-125.223,50.117
-125.223,50.117
-125.223,50.117
2.62995,51.11951
3.7,43.42472
18.962834,69.650298
18.963885,69.650963
18.962834,69.650298
18.962834,69.650298
18.747615,69.676326
18.747615,69.676326
11.44928,58.25575
13.1414,58.3058
-56.15152,46.83078
18.747615,69.676326
18.002346,69.636786
19.417345,69.825729
3.20179,51.33316
3.20714,51.29462
18.956069,69.646796
18.747615,69.676326
4.35,52.15
-125.135078,48.83572
7.679437,63.034486
-125.136817,48.833267
-123.406999,48.900243
11.797731,65.10678
-123.408392,48.899699
-123.407387,48.900335
8.583498,54.298496
3.20146,51.33345
3.20228,51.33325
-70.39563,41.621425
-70.904964,42.419992
-70.904964,42.419992
-124.321225,43.3446
3.9,51.7
10.4072,63.4432
10.3986,63.4392
10.4072,63.4432
-124.022413,49.631958
10.4072,63.4432
-71.050118,42.357173
-70.920772,42.267039
3.20307,51.33348
6.07647,60.08163
6.07202,60.08108
6.07765,60.08225
-5.811538,54.71065
-5.670671,54.66453
5.041271,61.570619
5.050601,61.572979
6.05288,60.15468
6.05342,60.15432
8.937402,58.587814
8.954029,58.62538
9.40988,58.864623
9.024664,58.583651
9.238508,58.720799
8.623809,58.33929
8.580761,58.323429
8.3798,58.2473
9.2401,58.719
8.5969,58.3406
9.2382,58.7217
8.5945,58.339
8.5127,58.2648
8.581,58.3233
3.997157,51.71229
8.9535,58.6249
8.9535,58.6249
-5.771515,54.6661
3.20528,51.31277
21.73533,69.88472
9.6472,63.6219
9.7197,63.616
9.7418,63.6266
9.5233,63.5958
9.5233,63.5958
10.7369,64.55222
-5.813453,54.710146
-121.893139,36.606207
-166.509,53.8971
-166.509,53.8971
-4.70258,48.3483
11.8299,58.14152
10.587674,59.732552
11.82871,58.14206
-73.997801,40.448215
3.20219,51.3331
-128.13007,51.65456
-128.13007,51.65456
2.49935,51.12433
-3.99988,47.7208
5.258935,59.418674
1.37556,50.94361
-69.989512,43.746797
-69.989512,43.746797
-63.615531,44.640391
3.7,51.6
1.44032,50.46197
1.37556,50.94361
1.59595,50.79948
1.49413,50.77858
-4.41225,48.1536
3.7,51.6
3.9,51.6
5.7332,58.9743
5.7458,58.96
5.2917,60.392
10.4068,63.4413
5.3099,60.3943
10.5062,63.4378
10.3791,63.4323
5.7607,58.9576
5.2378,60.2566
10.4072,63.4432
5.74,58.9755
