Longitude,Latitude
-2.307729,47.025169
4.95252,60.338341
-69.947212,41.668547
-122.324449,37.896757
-70.222946,41.740227
-65.017375,-42.77996
-65.351846,44.905808
4.320772,52.142269
-65.182222,44.994633
4.321579,52.142723
4.286471,52.116959
-65.351846,44.905808
-65.728347,-44.843292
138.446271,-35.26952
-122.854295,38.116367
-64.510846,46.314706
-65.351846,44.905808
4.28543,52.114536
4.351308,52.166148
-66.471205,-45.162033
-64.510823,46.314467
144.318573,-38.344365
4.311185,52.134182
4.29101,52.120071
-64.972118,-42.646815
-70.004397,41.847001
-68.279716,44.293129
146.560115,-41.165424
-73.919037,40.582755
4.31105,52.13406
8.353583,54.703027
4.320872,52.142406
-122.66755,48.77942
4.290858,52.119938
4.287908,52.117176
-5.576132,54.39168
-6.725114,55.177012
4.282548,52.114899
-71.008817,42.313187
4.302604,52.128822
-8.731763,41.342934
4.303679,52.129276
-63.134525,-41.156067
-2.286305,48.667032
-2.286302,48.667022
-7.994603,37.008635
-2.286294,48.667048
-8.73345,41.309069
4.303916,52.129658
4.304249,52.12962
4.29184,52.120087
-9.230311,39.424569
4.311135,52.134327
-122.148075,37.64294
144.181335,-38.428806
4.303962,52.129684
-63.126667,-41.156175
-5.480318,56.419628
-8.776086,41.279216
4.291006,52.120014
-64.277744,-42.577809
-8.050159,43.633814
-64.846514,-40.801754
6.735091,53.614155
8.37729,54.610256
8.105924,55.60788
-2.2928,47.008026
-122.148075,37.64294
-65.030134,-42.762638
-70.526213,41.857019
-65.001459,-42.78083
-8.785645,41.522474
145.680551,-38.661167
138.498978,-34.877113
4.75,52.95
4.4,52.25
4.6,52.55
3.8,51.75
4.2,52.05
5.05,53.25
4.15,52
4.55,52.45
5.25,53.35
3.7,51.4
4.3,52.1
4.5,52.35
4.35,52.15
5.05,53.25
3.7,51.4
4.75,52.95
4.6,52.6
4.7,53.05
4.25,52.05
3.95,51.8
4.6,52.55
4.45,52.25
5.05,53.3
4.1,51.95
3.95,51.9
4.25,52.1
4.25,52.1
4.75,52.95
3.7,51.4
4.45,52.25
3.95,51.9
3.7,51.4
4.55,52.45
3.7,51.4
4.55,52.5
4.3,52.1
4.2,52.05
4.55,52.45
4.45,52.25
3.7,51.4
4.3,52.1
4.25,52.1
4.15,52
3.85,51.75
3.7,51.4
4.75,52.95
4.55,52.45
4.2,52.05
4.6,52.6
4.55,52.45
4.25,52.1
4.5,52.4
4.35,52.15
4.3,52.1
4.3,52.1
4.55,52.45
4.85,53.15
3.7,51.4
4.5,52.4
4.55,52.4
4.15,52
4.85,53.15
3.7,51.4
4.15,52
4.75,53
4.25,52.1
4.85,53.15
4.5,52.35
4.25,52.1
4.7,53
3.75,51.7
3.7,51.4
4.3,52.1
4.25,52.1
4.05,51.95
4.35,52.15
4.15,52.05
4.3,52.1
4.75,52.95
4.35,52.2
4.55,52.45
4.55,52.45
3.7,51.4
4.3,52.1
4.35,52.2
3.7,51.4
3.7,51.4
4.3,52.1
4.9,53.25
4.4,52.25
4.3,52.1
4.3,52.1
4.25,52.1
4.5,52.4
3.7,51.4
4.7,53
4.15,52.05
4.2,52.05
3.55,51.45
4.05,51.95
4.55,52.45
4.6,52.55
-4.761552,55.405352
-70.90718,42.419543
-64.885025,-42.827637
-3.876972,50.281162
-65.619031,-45.003122
-64.876071,-42.973753
-7.796072,37.036031
147.927567,-37.879407
9.983052,54.854028
-1.543576,49.654613
-2.138328,48.634379
-5.069472,50.142556
-2.128247,48.636274
-70.812592,42.823197
-21.930487,64.103583
-2.129091,48.63664
-2.45019,48.650276
147.927567,-37.879407
-2.128383,48.636031
-70.366762,41.621159
-2.128247,48.636274
-9.149037,39.504162
-8.748984,41.340132
-2.128121,48.636005
-73.838192,40.808128
-71.97432,41.271126
-122.894505,38.133698
1.41721,50.08802
-64.857142,45.632102
145.605209,-38.668411
-64.857137,45.632104
1.419058,50.08974
-64.982743,-40.727523
-65.133215,-40.891348
4.38068,52.193169
-2.137765,48.634346
-65.09433,-40.810828
-65.078843,-40.799737
-64.929297,-40.757822
-65.061795,-40.798911
147.344145,-42.850853
-65.09433,-40.810828
4.380654,52.193539
-70.361303,41.737416
145.74765,-38.637328
-65.008897,-42.783874
-65.007506,-42.784145
8.437742,55.021706
-63.177367,44.702725
8.437837,55.015675
-64.757237,45.172755
-4.442595,48.345898
-4.450737,48.326218
-64.757774,45.172342
-4.079915,50.317018
8.496969,55.027205
-64.757272,45.172693
8.375813,54.994427
8.437771,55.021194
8.595281,55.016891
-124.046078,44.624893
8.434539,55.014423
-3.615795,48.684786
-1.511457,48.636063
8.437768,55.021202
-4.084932,53.228759
8.437742,55.021706
-123.055273,38.316231
-122.371047,37.738167
144.710543,-38.195167
146.809694,-38.647344
146.847054,-38.659275
4.690158,52.839267
145.687379,-38.655991
4.328826,52.148385
-8.714612,41.268429
-64.34605,45.162467
4.338739,52.156363
-2.854771,54.193226
145.729364,-38.631461
4.35923,52.173014
149.906332,-36.895484
-66.512467,-45.094695
-66.509533,-45.092186
-70.386528,41.739795
-66.509087,-45.092219
4.363543,52.169285
-66.509502,-45.092146
-65.014713,-42.781584
-65.015976,-42.780911
-65.016379,-42.780647
-65.017672,-42.779901
-4.138381,50.375278
8.439408,55.02345
-70.98928,42.412772
-122.886939,38.128533
-122.874539,38.117518
-9.051155,38.862557
4.259223,52.098948
-7.825695,37.028377
8.436797,55.024661
-122.419937,37.963245
8.293756,54.897454
-66.508708,-45.092177
-3.919578,48.690913
-3.442256,54.922438
1.251771,52.942183
7.894179,54.176785
-8.676083,40.609029
-3.921162,48.69022
8.307187,54.855459
147.702222,-42.954167
-70.529097,41.854
4.287897,52.120285
8.439573,55.023057
-5.035062,50.227676
145.029008,-37.991383
-0.069766,50.805255
8.438157,55.024211
4.261786,52.099846
-123.9393,45.425828
4.261175,52.100021
-68.211891,44.395865
11.346557,64.025643
-70.891962,42.51917
-1.152438,49.393826
-122.720035,37.894105
-1.14992,49.394318
-64.919404,-40.751185
-69.71727,43.932034
-3.045857,53.923698
3.848682,51.676526
-122.650025,37.812168
-3.047492,53.8845
-71.038078,42.318333
-72.990281,41.227681
-122.480437,37.502445
-0.53038,54.425408
-3.584283,54.567696
-70.6307,41.951558
-72.990306,41.227189
-64.990909,-42.678681
-122.737748,37.841587
-69.720511,43.784525
-122.688053,37.998182
-71.036669,42.317598
10.501728,57.671353
-8.713551,41.304716
-4.507265,53.41279
-63.490972,44.607887
-63.493136,44.609806
-4.090212,53.261515
8.570765,54.687016
4.738333,53.048611
8.439598,55.022218
8.439724,55.022615
-122.865918,38.1114
4.708922,53.024475
8.378117,55.027206
8.439415,55.023117
-70.775505,42.70188
8.380746,55.03241
4.771556,53.005882
8.570734,54.687116
-59.967178,46.035858
-8.663547,40.635648
-122.490335,37.920708
-122.370942,37.738145
1.605349,50.234637
-122.931854,38.040546
-74.9635,38.965813
146.310836,-38.691172
-4.507265,53.41279
148.726525,-37.813182
4.771041,53.006138
-2.688636,47.706163
1.21095,52.94553
4.708935,53.025345
8.439701,55.022516
4.771246,53.006187
8.439698,55.022632
-122.827172,38.082183
-2.730926,47.597958
4.782832,53.003807
4.771041,53.006138
-2.730926,47.597958
8.375755,55.023872
1.441901,51.34964
145.530459,-38.402268
18.002346,69.636786
6.098707,59.19904
6.0986,59.198879
5.579149,59.030583
15.829501,67.986356
15.891143,67.981813
20.63273,69.518202
4.965986,60.581724
10.651854,59.616326
-70.217025,43.556703
-4.610288,48.261743
-0.7341,54.529
0.067747,49.506102
-5.022275,50.175119
-1.429578,43.668826
-4.860233,55.779808
-7.013781,55.07741
-1.429578,43.668826
-1.429578,43.668826
-1.429578,43.668826
-64.435172,44.212167
-117.103282,32.827977
0.083914,49.498883
-4.190597,51.052345
-4.086082,53.266342
-4.127154,52.832967
145.342987,-38.527634
-1.429578,43.668826
4.261655,52.099731
-1.429578,43.668826
-4.830836,55.573016
-2.136542,50.612338
8.138595,55.540803
0.085815,49.501338
0.068343,49.504544
-0.867345,49.367653
-64.434997,44.212125
-4.542321,48.624366
-4.12708,52.832971
10.609215,59.419833
-8.66255,40.621935
-71.254989,41.652165
4.958071,60.574468
-3.92736,48.679997
-69.006529,44.279246
-3.880037,50.27748
-122.915586,38.162368
-4.274821,53.164046
-71.036755,42.317642
-1.119487,46.103084
145.525593,-38.407068
