Longitude,Latitude
-166.509,53.8971
-124.326,43.3272
-124.326,43.3272
-80.8552,31.4176
-80.8348,31.4141
-80.8552,31.4176
-80.8348,31.4141
-80.8789,31.3838
-80.8313,31.3989
-80.8348,31.4141
-80.8313,31.3989
-80.8789,31.3838
-80.8544,31.3776
-80.8582,31.3989
-80.8313,31.3989
-80.8582,31.3989
-80.8544,31.3776
-80.8452,31.3725
-80.8444,31.3791
-80.8789,31.3838
-80.8582,31.3989
-80.8957,31.3877
-80.8444,31.3791
-80.8452,31.3725
-80.8444,31.3791
-80.8957,31.3877
-80.8957,31.3877
-80.8452,31.3725
-124.33,43.35
-124.330002,43.349998
-124.330002,43.349998
-124.330002,43.349998
-124.330002,43.349998
-124.322,43.3428
-124.319,43.3419
-124.319,43.3419
-124.322,43.3428
-80.8985,31.4084
-80.8872,31.4012
-80.8872,31.4012
-80.8768,31.4149
-80.8985,31.4084
-80.8872,31.4012
-80.9053,31.4013
-80.8768,31.4149
-80.9079,31.3884
-80.891,31.3654
-80.9079,31.3884
-80.8554,31.3662
-80.8554,31.3662
-80.9084,31.3771
-80.8554,31.3662
-80.8713,31.3727
-80.9084,31.3771
-80.891,31.3654
-80.8713,31.3727
-70.226,43.643
-63.492222,48.392778
-68.278315,44.380177
-65.806016,44.979852
