Longitude,Latitude
-76.067194,10.019556
-76.071278,10.016444
-76.064778,10.021583
-76.064778,10.021583
-76.067194,10.019556
-76.065722,10.026
-76.068722,10.022444
-76.0685,10.01375
-76.0685,10.01375
150.75435,-35.84148
151.50405,-33.90842
151.25872,-34.17264
135.14117,-37.98381
145.92879,-44.40015
152.47041,-32.84674
150.52103,-36.4817
136.81216,-38.17702
150.86961,-35.52121
151.74786,-33.6437
147.44618,-38.90619
151.01966,-34.53673
151.99018,-33.37852
150.1637,-37.44116
153.10883,-31.63975
151.01697,-34.87061
150.63817,-36.16165
149.63588,-37.91823
149.97797,-37.72403
150.98394,-35.20082
149.69112,-37.89107
152.83189,-32.48962
153.04996,-31.84776
152.15547,-33.31252
150.03306,-37.69683
151.0297,-35.19261
150.8212,-35.83766
152.38359,-33.03913
153.15785,-31.52669
151.00958,-34.52506
152.94131,-32.16873
153.26501,-31.20553
150.60582,-36.482
152.61029,-32.76533
151.0196,-34.85883
147.91423,-38.785
149.34739,-38.08432
150.73236,-35.84733
150.22344,-37.47033
153.63388,-30.88366
120.98004,-36.09961
125.89019,-36.62723
148.2482,-38.69878
150.45695,-36.82944
150.2945,-37.13486
117.74841,-35.63776
126.71803,-36.75955
142.01848,-38.7891
143.67201,-38.83628
146.21228,-39.19335
142.44108,-38.834
145.82722,-39.04723
145.44375,-38.89985
153.4822,-31.19113
149.61942,-37.91501
147.85005,-38.81186
145.06188,-38.75122
152.86541,-32.41919
151.91237,-33.44599
150.79998,-35.86727
132.88284,-37.62375
152.96396,-32.0519
151.66925,-33.7108
149.62297,-37.91355
143.28784,-38.91923
148.93751,-38.30889
150.8396,-35.5252
148.59379,-38.50434
121.38655,-36.15122
146.62317,-39.10216
117.34719,-35.57398
126.31236,-36.69069
151.03323,-34.5584
140.33365,-38.59432
149.27938,-38.11244
141.59642,-38.74267
149.96859,-37.72331
118.55274,-35.76132
150.34069,-37.14994
152.63293,-32.64876
150.18271,-37.45648
147.03325,-39.00682
152.39419,-32.91496
149.95762,-37.7166
147.44221,-38.91005
153.78459,-30.57602
150.98412,-34.87175
153.82167,-28.91177
-81.715328,24.476055
-81.414645,24.538628
-80.379534,25.006077
-77.454748,6.272983
-77.437461,6.272063
-77.437461,6.272063
-77.454748,6.272983
-77.437461,6.272063
-77.454748,6.272983
-77.460554,6.297746
-77.412097,6.231994
-77.412097,6.231994
-77.460554,6.297746
-77.412097,6.231994
-77.460554,6.297746
-77.411155,6.25295
-77.403338,6.251811
-77.411155,6.25295
-77.411155,6.25295
-77.403338,6.251811
-77.403338,6.251811
152.29895,-33.06547
152.91417,-32.22562
153.59121,-29.96482
144.84581,-38.67059
146.39464,-39.17153
145.60806,-38.96879
149.42685,-38.03185
145.2251,-38.82128
153.37812,-30.94981
152.05195,-33.32702
145.99262,-39.11503
150.22979,-37.31657
146.80398,-39.07328
153.03136,-31.90683
151.55347,-33.84864
148.0251,-38.77001
151.28625,-34.09691
149.76452,-37.83229
151.80346,-33.58808
151.67796,-33.86752
153.61395,-29.92169
153.15246,-31.54182
153.74538,-29.26332
152.93537,-32.18374
151.91017,-33.59569
152.37024,-33.05075
152.82463,-32.50414
142.16698,-38.78689
153.25989,-31.22073
153.04429,-31.86283
-77.349022,3.925211
-77.351245,3.928604
-77.329396,3.96832
-77.329396,3.96832
-77.349022,3.925211
-77.349022,3.925211
-77.329396,3.96832
-77.081336,3.891564
-77.061697,3.897239
-77.062754,3.89054
-77.062754,3.89054
-77.081336,3.891564
-77.062754,3.89054
-77.061697,3.897239
-77.061697,3.897239
-77.351245,3.928604
-77.351245,3.928604
-77.081336,3.891564
148.74568,-38.46867
149.46029,-38.11061
146.77811,-39.08613
145.94248,-39.18879
147.18562,-38.9846
150.16788,-37.74827
145.59022,-39.005
146.36943,-39.18624
145.24471,-38.80892
147.99712,-38.77731
149.81496,-37.92997
144.9011,-38.61182
150.485,-37.55088
137.73641,-10.7791
153.78231,-29.0895
153.65107,-29.74787
153.3179,-31.05107
153.92014,-28.10377
136.24495,-38.08863
140.84641,-38.68765
141.26831,-38.73312
140.42506,-38.64067
147.86257,-38.7974
140.00427,-38.59217
147.45748,-38.90218
148.56067,-38.5111
150.24866,-37.49488
151.02569,-35.24437
149.96902,-37.72441
150.91739,-35.56618
151.03854,-34.5784
150.69816,-36.20949
150.80822,-35.88788
148.24681,-38.69262
148.9412,-38.30836
152.97988,-31.92941
153.05177,-31.60102
153.69342,-29.38953
153.19405,-30.94411
152.90747,-32.25777
153.12316,-31.27258
150.38746,-37.38356
149.76102,-39.29765
150.26247,-38.02524
150.88547,-36.26326
150.12576,-38.34077
151.65148,-34.08131
149.86806,-38.9746
151.12742,-35.62527
151.72846,-34.38883
150.40469,-37.71152
151.44146,-35.01289
150.46235,-37.08403
151.59156,-34.70289
150.30362,-21.38975
151.15995,-22.83406
148.5525,-19.76823
151.42553,-23.4563
147.60438,-19.32545
149.38396,-20.36813
148.23879,-19.61566
-78.755942,1.809066
-78.807813,1.849744
-78.807813,1.849744
-78.755942,1.809066
-78.807813,1.849744
-78.757833,1.819308
-78.757833,1.819308
-78.757833,1.819308
-78.729661,1.820886
-78.729661,1.820886
-78.757359,1.819171
-78.738116,1.807601
-78.738116,1.807601
-78.738116,1.807601
-77.062306,3.896959
-77.062306,3.896959
-77.062306,3.896959
-77.062582,3.890542
-77.062582,3.890542
-78.731566,1.818178
-77.062582,3.890542
-78.729661,1.820886
-78.807741,1.851586
-78.807741,1.851586
-78.755952,1.809023
-78.807741,1.851586
-78.731925,1.817926
-78.731925,1.817926
-78.731925,1.817926
-78.728848,1.819936
-78.731566,1.818178
-77.081383,3.891612
-78.731566,1.818178
-77.081383,3.891612
-78.728841,1.819938
-78.728841,1.819938
-78.728841,1.819938
-78.755952,1.809023
-78.755952,1.809023
-78.757359,1.819171
-78.757359,1.819171
-78.728848,1.819936
-78.728848,1.819936
-78.755942,1.809066
-77.081383,3.891612
147.2842,-38.92553
146.48359,-39.16114
146.88456,-39.04402
153.00807,-31.91872
153.12057,-31.59879
153.23229,-31.27877
152.89479,-32.23854
-77.454719,6.27306
-77.454719,6.27306
-77.402307,6.251378
-77.402307,6.251378
-77.409232,6.249157
-77.409232,6.249157
-77.460627,6.297765
-77.460627,6.297765
-77.460627,6.297765
-77.358652,3.923322
-77.358652,3.923322
-77.402307,6.251378
-77.329259,3.968493
-77.437191,6.272228
-77.329259,3.968493
-77.454719,6.27306
-77.329259,3.968493
-77.349115,3.925192
-77.349115,3.925192
-77.349115,3.925192
-77.358652,3.923322
-77.409232,6.249157
-77.411468,6.232894
-77.411468,6.232894
-77.411468,6.232894
-77.437191,6.272228
-77.437191,6.272228
115.80293,-35.13004
115.48261,-34.92499
116.56672,-35.34497
117.35199,-35.52609
117.74708,-35.61072
116.17542,-35.25251
116.95891,-35.43616
134.64431,-37.81816
128.87211,-37.01698
143.21121,-38.94002
144.27325,-38.51908
141.97294,-38.68821
142.38472,-38.7736
140.07338,-37.96721
142.79748,-38.85754
141.56214,-38.60138
150.39731,-35.94678
150.68975,-35.32451
151.47734,-33.78742
151.32213,-34.09524
150.84962,-35.0175
150.28884,-36.26861
150.0206,-37.57925
151.00829,-34.71028
150.52866,-35.63131
152.20768,-32.95192
153.47449,-29.86366
153.2352,-30.84439
152.71156,-32.45325
152.47778,-32.70933
151.39684,-34.08448
153.03306,-31.4893
152.81948,-32.13202
152.92664,-31.81071
151.96209,-33.2142
150.78699,-36.11113
151.04919,-34.82356
150.24301,-37.3678
151.15309,-34.50647
149.72442,-38.6256
150.92975,-35.79818
150.50005,-36.7367
149.84372,-38.30545
148.89745,-41.0015
149.29897,-40.04911
148.61813,-41.96948
149.17262,-40.36831
148.75028,-41.31593
149.04393,-40.68706
149.54998,-39.41068
148.53721,-42.29745
148.64481,-41.63672
149.67465,-39.09144
149.42473,-39.72989
145.13874,-38.69381
153.74912,-30.1269
151.29846,-34.87882
149.95767,-37.66987
147.88561,-38.78327
150.14145,-37.37274
153.30124,-31.40601
152.42108,-33.25349
148.28667,-38.6709
152.95726,-32.3643
146.67493,-39.11209
153.87451,-29.13536
150.41595,-36.74244
149.33567,-38.10548
152.6185,-32.96381
145.51582,-38.84933
153.41433,-31.08638
151.82086,-34.12065
151.49399,-34.58655
149.6811,-37.91402
150.27927,-37.05767
147.4833,-38.89426
151.61805,-34.40904
153.07272,-32.04497
151.10153,-35.17076
150.95168,-35.48
153.85319,-29.46901
153.83172,-29.80265
152.81463,-32.67381
148.98844,-38.29592
144.34369,-38.5194
151.04538,-22.48166
144.02541,-38.74076
142.4918,-38.90657
140.20219,-38.09847
151.34071,-23.09201
141.27439,-38.63658
114.67821,-33.60238
117.42597,-35.38859
116.61067,-35.38192
114.77933,-33.28431
115.8973,-35.09318
114.7451,-34.2679
118.64254,-35.3166
114.87414,-34.55338
150.13495,-37.18007
150.67978,-35.58916
149.82299,-37.77375
150.2476,-36.51871
150.66018,-35.94155
151.09773,-34.65535
150.09276,-37.54697
150.88069,-35.29865
150.98964,-34.97705
153.74675,-27.30952
153.0326,-31.23188
153.37358,-30.28407
151.86469,-32.9722
152.64822,-31.81317
153.74757,-26.64092
152.25897,-32.39329
152.06247,-32.6829
153.74837,-25.97232
153.4523,-29.95701
152.45421,-32.10338
153.29233,-26.30264
142.4516,-38.74158
153.44675,-24.97339
143.26767,-38.93642
153.38404,-25.63969
138.25787,-35.79597
139.62264,-37.44577
153.41548,-25.30655
140.48731,-38.1216
144.10864,-38.93321
140.86772,-38.26728
141.64003,-38.5411
142.85908,-38.83971
138.97466,-36.58983
153.47785,-24.64023
139.40502,-37.16085
138.55064,-36.01729
142.04525,-38.64204
141.24965,-38.41172
140.10843,-37.97469
152.02014,-23.94671
138.76187,-36.30375
136.32834,-35.35211
135.92111,-35.36477
152.75598,-32.31808
152.86357,-31.99682
151.72598,-33.29255
147.86791,-38.8027
150.47585,-36.45174
150.12101,-37.41178
149.38888,-38.21794
153.07651,-31.35402
143.76019,-38.82711
151.04099,-34.8478
152.60202,-32.61548
150.93554,-35.1701
142.16267,-38.71491
153.50384,-29.7256
144.09843,-38.62431
146.64862,-39.11193
150.59217,-36.1315
149.91301,-37.69522
144.43476,-38.42054
140.98226,-38.35525
147.46266,-38.90719
151.13663,-34.52339
140.61111,-38.19479
142.98838,-38.88165
152.97041,-31.67546
150.35856,-36.77187
152.01949,-33.06754
142.57504,-38.79901
139.45684,-37.27484
153.58167,-29.39847
150.70755,-35.81114
153.18189,-31.03249
149.65187,-37.95687
139.9187,-37.83195
141.35505,-38.51454
143.40267,-38.96283
153.34666,-30.37973
153.42551,-30.05269
141.75127,-38.62937
150.24029,-37.09188
149.0206,-38.3802
139.00177,-36.71596
152.3115,-32.84185
136.11902,-35.42663
135.30329,-35.42321
132.44902,-35.39639
130.41089,-35.37231
151.81299,-33.46766
151.30175,-34.37237
152.50487,-32.68576
152.21558,-32.91348
152.93713,-31.77816
151.94822,-33.15359
153.32392,-30.48457
153.04378,-31.45682
151.67223,-33.77995
152.72158,-32.42057
153.40386,-30.1577
153.1497,-31.1354
151.48763,-34.0763
153.24343,-30.81139
147.555,-43.17
152.87791,-31.9504
151.76019,-33.27647
153.67643,-29.02547
152.98566,-31.62927
153.36143,-30.33345
153.60907,-23.15849
153.28138,-30.66032
153.09267,-31.30806
153.74933,-28.02951
151.60129,-33.57822
153.19895,-30.98675
153.70561,-23.48088
153.74966,-28.36376
153.74992,-23.80574
153.41738,-22.51353
153.44096,-30.00652
153.59845,-29.35254
153.51996,-29.67955
153.03926,-21.22296
152.05006,-33.04822
152.33811,-32.81901
153.74998,-28.698
153.74901,-27.69527
153.3222,-22.19097
152.76547,-32.27017
152.59723,-32.57217
153.74869,-27.36102
147.555,-43.17
140.96931,-38.35748
140.59835,-38.19675
151.04359,-34.87462
142.97157,-38.89237
153.36274,-22.31817
153.75,-27.40269
140.22902,-38.03485
150.11805,-37.43732
153.61077,-24.59553
151.13406,-34.54919
149.89331,-37.71316
147.4299,-38.91489
142.14608,-38.72462
143.7404,-38.84066
141.34193,-38.51704
148.954,-20.1756
148.951,-20.1613
153.22103,-27.25917
153.32223,-27.16988
153.2215,-27.15628
153.16998,-27.1106
148.954,-20.1756
153.23177,-27.21137
135.57315,-35.45526
136.79678,-35.43386
136.38898,-35.44236
133.12487,-35.46099
135.98109,-35.4495
137.20439,-35.42173
132.71686,-35.45714
152.97415,-31.66994
152.86742,-31.99132
153.18543,-31.02692
151.72785,-33.28569
152.75993,-32.31261
153.50906,-29.72029
153.08015,-31.34847
152.3137,-32.83533
153.35096,-30.37428
147.555,-43.17
152.02437,-33.06086
153.07803,-31.3448
152.60887,-32.61065
153.50501,-29.7164
153.74058,-28.06616
153.18501,-31.02366
153.65898,-29.06185
153.50501,-29.7164
151.72988,-33.28494
153.58224,-29.38914
153.74254,-27.73192
153.42727,-30.0436
151.45881,-33.9102
153.74449,-27.39769
153.73523,-28.73451
152.86187,-31.9868
152.97032,-31.66584
152.75265,-32.30766
151.58922,-33.59454
153.73861,-28.4004
147.555,-43.17
153.44005,-24.9899
138.76999,-36.44131
142.16732,-38.71983
146.36334,-39.16757
153.11092,-24.12156
152.04357,-23.90877
147.9948,-38.76903
152.75474,-24.05145
153.46943,-24.65661
141.36082,-38.5148
153.4105,-25.32318
138.99301,-36.7225
147.5897,-38.87339
147.18341,-38.97635
153.35586,-24.36712
149.74323,-37.87436
140.24582,-38.03589
153.3808,-25.65646
140.61323,-38.20035
152.39896,-23.98052
153.35092,-25.98973
139.22205,-37.00093
