Longitude,Latitude
5.47071,55.016
5.47,55.02
8.01667,54.0628
8.01667,54.0628
8.02,54.060001
8.02,54.060001
8.01738,54.1512
8.01738,54.1512
8.01738,54.1512
8.02,54.150002
8.02,54.150002
8.02,54.150002
11.10917,58.88278
31.590167,44.7565
31.5915,44.7265
-5.048484,51.681201
5,54.5
4.5,56.25
5.5,55.75
1.5,56.25
4.5,56.75
0,57
0.5,56.75
0,56.5
6.5,56.25
5,56
6,55.5
0,57
7.5,54.25
5.5,56.25
6,56.5
3,56
5.5,56.75
6.5,55.25
5,56.5
8,54
4,56.5
3.5,56.25
4.5,56.75
5,57
1,56
5.5,55.25
3,57
4,57
2.5,56.75
3,56.5
1.5,56.25
0,56
6,55
1.5,56.75
2,56.5
2,57
0.5,56.25
4.5,55.75
6.5,54.75
6,56
6,55.5
1,56.5
0.5,56.75
1,57
7,54.5
4,56
5,55.5
6,56.5
6.5,56.25
7.5,54.25
5.5,56.75
5,56.5
4.5,56.25
2,56
6.5,55.25
8,54
3.5,56.75
5,57
4,56.5
2.5,56.25
1,56
6,55
0,56
2.5,56.75
3,57
3,56.5
6.5,54.75
3.5,55.75
2,56.5
6,56
0.5,56.25
1.5,56.75
2,57
7,54.5
3,54.5
2,54.5
5.5,53.75
3,53
4,55
3.5,55.75
3,52
5.5,54.25
2,55
3.5,53.75
4.5,52.75
5,55.5
4.5,56.25
5.5,54.75
2.5,51.75
3.5,56.25
3.5,54.75
3.5,54.25
2,55.5
3,55.5
3.5,52.75
4,56
5,56
5.5,55.25
2.5,54.75
6,54
3,53.5
4,52.5
3.5,55.25
2,56
4,54
3.5,53.25
3.5,52.25
6.5,53.75
4,53
4,54.5
5,55
4.5,55.75
4,52
2,53
3,55
2.5,55.75
6.5,54.25
5.5,56.25
3.5,51.75
4,55.5
4.5,54.75
6,53.5
4.5,52.75
3,51.5
2,55.5
2.5,56.25
3.5,54.75
2.5,54.25
4,53.5
2.5,52.75
5,54
2,53.5
4.5,55.25
3,56
6,54.5
3,52.5
2.5,53.25
4,54.5
3,54
2,54
2.5,55.25
5.5,55.75
2.5,52.25
1,57.5
8,57.5
3,57.5
0,57.5
6,57.5
9,57.5
4,58
2,57.5
8,57.5
1,57.5
-1,57.5
6,57.5
4,57.5
9,57.5
3,58
4,58
2,57.5
7,57.5
0,57.5
3,58
4,57.5
5,58
5,53.5
4.5,53.75
4.5,54.25
4.5,53.25
3.784004,51.671033
3.394443,51.672087
4.149145,51.436526
3.815321,51.672689
4.166467,51.448402
3.894513,51.550125
3.894513,51.550125
4.141062,51.441565
3.894513,51.550125
3.894513,51.550125
4.006944,51.58028
4.000556,51.57556
3.999722,51.56639
4.003333,51.57556
3.942222,51.61722
3.917778,51.56917
4.076667,51.52222
4.268611,51.45806
3.83,51.61722
4.268611,51.45806
3.901389,51.57139
4.000278,51.60361
4.045278,51.53944
3.520556,51.67028
4.033889,51.55694
4.0525,51.62389
4.123889,51.60778
4.150556,51.48667
4,51.55417
3.916389,51.59139
3.721111,51.60778
3.875833,51.62472
4.224167,51.48361
3.860278,51.64639
4.268611,51.45806
3.4425,51.63278
4.268611,51.45806
3.892222,51.63083
3.7625,51.60694
3.317222,51.62833
-90.2453,28.6672
3.999722,51.56639
4.003333,51.57556
4.000556,51.57556
4.006944,51.58028
6.903545,53.40049
3.994038,51.739357
3.8824,51.396198
3.841237,51.576913
11.466667,58.266667
11.466667,58.266667
0.939,53.172333
