Longitude,Latitude
4.7,52.9
4.7,52.9
-5.983492,56.64958
-6.009518,56.58845
-6.037083,56.62281
-5.529334,50.121142
8.559975,64.59281
7.5683,63.88504
1.20778,52.94847
1.211955,52.95004
1.211955,52.95004
1.276036,52.93915
1.218005,52.94619
1.209783,52.94817
1.102995,52.95794
-5.243604,51.73607
-5.243604,51.73607
1.055564,52.96572
1.054133,52.96655
1.138093,52.95075
1.138093,52.95075
1.055732,52.96577
1.054133,52.96655
1.055564,52.96572
18.747615,69.676326
18.279126,69.743015
18.747615,69.676326
18.747615,69.676326
-5.61002,54.40356
1.315238,52.93159
1.053556,52.96565
1.100269,52.95815
1.207665,52.94913
18.747615,69.676326
1.055104,52.96637
1.054751,52.96645
1.145234,52.95076
1.102345,52.95686
1.207207,52.94897
1.224652,52.94697
1.208898,52.94949
1.354952,52.91927
1.206643,52.94628
1.223027,52.94754
1.205811,52.94852
-1.948892,50.60802
-5.264558,56.06868
-1.949302,50.60825
-1.949302,50.60825
-1.949302,50.60825
173.043055,-40.855833
-3.508387,50.48001
-5.058574,55.51949
174.830496,-41.310794
4.914171,60.423669
6.50283,58.22833
1.209483,52.94895
1.352293,52.91893
1.135252,52.95121
1.255052,52.94282
1.145887,52.95073
-0.329612,50.67412
1.054216,52.96677
1.298844,52.93542
1.054447,52.96551
1.255052,52.94282
1.352293,52.91893
13.511196,66.825735
13.798533,66.815333
13.823241,66.79569
13.969951,66.807046
30.270558,69.84588
1.145098,52.95033
1.276515,52.93968
1.316023,52.93192
1.316023,52.93192
-0.114384,54.13303
1.086533,52.96111
-0.770248,50.70371
1.215423,52.94761
1.137835,52.95079
1.346431,52.92213
-0.770248,50.70371
1.052785,52.96761
-0.770248,50.70371
-0.10884,54.13274
7.376118,53.728252
10.87016,59.04749
11.115303,59.038457
10.58157,59.43692
10.703994,59.254302
9.808552,58.99358
-5.271375,51.70375
-5.788216,56.70113
-5.298236,56.54931
-5.641551,56.67772
-5.265024,56.06868
-4.939188,55.71924
-5.787439,56.70138
-5.390729,55.86483
-5.539993,56.24303
-5.297565,56.5475
-5.515689,56.39244
1.206723,52.94918
-5.641551,56.67772
-4.829834,56.11808
-5.40216,55.88645
10.5268,59.0267
1.084266,52.96034
1.084266,52.96034
1.144505,52.94995
1.213134,52.94747
1.352711,52.91915
1.344805,52.92267
1.102326,52.95764
1.143768,52.95026
174.049444,-41.391666
1.211444,52.94867
1.271432,51.99482
-5.143788,56.67894
-82.01792,26.449444
-3.341702,56.037077
-5.59939,56.03285
-5.393637,55.60802
-5.599568,56.0327
-5.59939,56.03285
-5.086244,55.48244
-5.565782,57.35786
-5.552325,57.3584
-5.297252,56.54782
-5.39611,50.239156
-5.203683,51.71657
-5.396157,50.239102
-128.117773,51.674538
-128.13007,51.65456
-128.117773,51.674538
-128.117773,51.674538
-6.350087,49.88055
1.278297,52.9403
1.167709,52.94959
1.167391,52.9482
1.144663,52.94997
1.208099,52.94735
1.167391,52.9482
1.0525,52.9678
1.102631,52.95692
10.703994,59.254302
10.87016,59.04749
9.753881,59.02325
10.58157,59.43692
9.808552,58.99358
11.115303,59.038457
1.054483,52.96675
-5.250336,51.7253
1.054564,52.9657
1.216422,52.94844
1.276376,52.94099
-5.019718,56.22918
1.25507,52.94425
1.345952,52.92316
1.055733,52.96706
1.276376,52.94099
1.297551,52.93624
1.25507,52.94425
1.345952,52.92316
-5.279307,56.54736
1.146016,52.94973
-5.088912,55.54774
-5.088912,55.54774
1.053713,52.96682
-5.075995,55.5102
1.216169,52.94644
-5.075995,55.5102
1.053713,52.96682
-5.272428,56.54592
1.210722,52.94878
1.145937,52.95029
1.210722,52.94878
1.139224,52.95012
-5.566619,57.35809
-5.372032,56.51338
-5.264853,56.06856
-5.566619,57.35809
-5.289375,56.04887
-5.290221,56.04786
-5.372936,56.5133
-66.91428,45.00401
-5.182148,49.96074
-2.448692,50.55742
-5.206799,49.94802
-5.179558,49.96099
-5.205299,49.94864
-5.209332,49.94879
-5.220361,49.94763
-5.206638,49.94802
-2.448692,50.55742
-5.068545,50.02758
6.50283,58.22833
4.914171,60.423669
10.29634,59.04313
-4.76368,54.05934
-4.738954,54.06427
-4.748204,54.11496
-4.738954,54.06427
-4.779432,54.09333
-4.779432,54.09333
-4.78159,54.05769
-6.311407,49.9794
-3.635848,50.22349
-128.095136,51.66538
-128.128944,51.654578
-128.128944,51.654578
-128.095136,51.66538
-128.095136,51.66538
-2.484558,49.51292
-2.484558,49.51292
1.754987,52.47077
1.754987,52.47077
-5.698006,55.05621
7.901619,53.790783
-128.079534,51.691303
-128.079534,51.691303
-128.029589,51.655796
-128.126534,51.678304
5.593711,60.19853
1.142882,52.95066
0.313591,52.94128
1.145849,52.95031
1.053081,52.96695
1.357232,52.91873
10.5268,59.0267
10.703994,59.254302
-5.064713,55.50693
-5.298125,56.5486
-5.079167,55.48042
-5.274356,56.54497
-5.133926,55.41497
-5.091233,55.54528
-5.298125,56.5486
1.056331,52.96835
1.054797,52.96561
-3.190453,58.84671
1.137483,52.95087
1.097729,52.95886
-2.126072,55.90685
1.097729,52.95886
-5.297681,56.54789
-5.566135,57.35815
-5.372936,56.51357
-5.297681,56.54789
-5.296478,56.54818
-5.598511,56.0335
-5.565978,57.3579
-5.598511,56.0335
-5.515302,56.39202
-91.972778,20.219222
10.29634,59.04313
-89.682389,22.382472
-89.682389,22.382472
-89.682389,22.382472
-91.959972,20.195667
-91.959972,20.195667
-91.959972,20.195667
9.808552,58.99358
10.703994,59.254302
6.405344,59.322629
8.581778,58.316602
5.426855,59.255626
8.522821,58.25454
9.267662,58.74279
7.603002,58.010866
11.115303,59.038457
9.753881,59.02325
6.50283,58.22833
8.537156,58.273133
8.944219,58.5132
-89.748639,22.542444
-89.787556,22.502389
-2.777153,56.336175
-1.974234,50.68488
-89.787555,22.502389
-91.972778,20.219222
-89.748639,22.542444
-3.968645,50.29172
1.054472,52.96523
1.053995,52.96724
1.142633,52.95083
1.158953,51.95116
10.497991,59.488168
1.054025,52.96807
1.054521,52.96529
1.053896,52.96773
1.14502,52.95069
1.054547,52.96545
1.052323,52.96686
10.5268,59.0267
1.29843,52.93557
1.207798,52.948
1.278044,51.03616
1.143772,52.95052
1.29843,52.93557
-6.335618,49.88181
1.145501,52.94993
-6.245016,49.97523
1.145501,52.94993
