Longitude,Latitude
-92.2176,20.9071
-92.2176,20.907017
-91.990861,20.191611
-91.990861,20.191611
-89.772361,22.495222
-89.695333,22.382167
-89.653861,22.380083
-89.772361,22.495222
-89.695333,22.382167
-89.653861,22.380083
-91.990861,20.191639
-91.990861,20.191639
-91.990861,20.191639
-91.990861,20.191639
-3.507748,50.316304
-3.567855,50.221971
-3.546865,50.223152
-3.54608,50.198878
-3.575768,50.164302
-3.597381,50.140622
-3.578679,50.210132
-3.645478,50.237087
1.239641,51.09563
-0.414329,50.73246
-2.856966,50.6943
1.36488,51.13356
-16.671484,17.66985
1.27586,51.442126
1.270435,51.446775
1.289111,51.446252
1.254313,51.442727
1.263984,51.437061
1.251535,51.464391
151.19299,-33.84683
151.76999,-32.91999
1.439489,51.340287
1.450434,51.390338
149.916,-37.083
-2.902934,59.017567
151.14166,-33.483
151.14166,-33.483
-79.7383,31.5317
-3.486667,50.401667
-78.333333,35.9
-78.333333,35.9
32.94482,-26.01707
32.94482,-26.01707
-76.4667,37.225
31.7,-29.583333
23.45,-34.033333
25.701389,-33.885556
28.466667,-32.716667
14.41667,40.88333
14.41667,40.88333
20.933333,-34.5
-16.15,23
-16.15,23
-123.783333,49.1
-123.7,49.066667
70.216667,-49.35
139.99,-66.66
140.027,-66.6665
140.029,-66.662
-58.726364,-38.551942
-58.726364,-38.551942
32.735,-27.55
32.2,-28.95
20.933333,-34.5
28.466667,-32.716667
23.45,-34.033333
31.7,-29.583333
25.701389,-33.885556
-62,-45
-123.806667,49.13
-123.806667,49.13
-79.94972,9.37
-80.013336,27.18
