Longitude,Latitude
6.8,53.3
4.95,52.2
5.35,52.55
4.7,52.4
4.65,52.7
10.531876,59.895341
24.620646,60.156991
10.52458,59.893716
4.55,51.85
18.5316,59.45377
-82.7852,42.6535
-82.7852,42.6535
9.6314,59.0646
4.39143,51.28355
4.390913,51.283439
-76.4405,39.321
-76.4405,39.321
-76.4405,39.321
4.95,52.4
3.85,51.5
18.7461,47.7266
4.55,51.95
4.75,52.55
-8.267083,51.861314
-9.572248,53.391483
24.5343,58.28263
24.28975,58.31991
24.33848,58.31409
25.74461,59.65535
24.3474,58.31277
24.51261,58.28976
24.3839,57.95409
24.28854,58.3215
24.91116,59.52328
24.7459,59.57489
24.37198,59.47385
24.91375,59.52371
24.27714,58.28241
24.91002,59.52289
23.70969,58.37317
24.49243,58.26182
24.49743,58.26042
26.65104,59.54638
26.74453,59.52145
24.30782,58.31674
24.2897,58.32127
4.85,52.85
-0.035895,53.606874
-72.954872,41.314175
-8.188618,54.574099
-6.610535,52.200329
-6.392598,52.200257
23.01502,58.32782
24.49393,58.26137
24.28858,58.32156
24.288035,58.32172
24.28955,58.32137
24.2683,58.28316
24.267273,58.283095
25.91422,59.62541
24.91332,59.52367
24.04622,59.39693
25.91553,59.62534
26.65514,59.54911
26.6509,59.54639
-7.275193,57.54669
-7.335176,57.54742
-2.989545,53.39874
4.39106,51.28333
-111.480003,36.939999
-111.480003,36.939999
-111.480003,36.939999
-91.394872,22.103536
-91.3949,22.103536
4.75,52.9
4.75,52.4
4.0895,51.04509
5.4,53.15
22.20802,58.15717
24.38608,57.95317
24.53333,58.28356
24.51154,58.29106
24.34729,58.31281
24.33967,58.31407
23.57401,58.75825
24.28569,58.2835
23.62102,58.73545
24.27788,58.28286
-114.57,35.200001
-114.57,35.200001
-114.57,35.200001
27.7569,59.4133
24.30784,58.31683
25.01197,59.614
25.02947,59.63095
24.3549,57.9614
27.70731,59.42198
27.7605,59.41753
27.70731,59.42198
27.7569,59.4133
27.74676,59.41196
27.70878,59.4291
27.75135,59.42583
27.70753,59.42624
-114.739998,36.02
1.492845,52.159498
1.492845,52.159498
1.59342,52.318379
1.59342,52.318379
1.59342,52.318379
22.89195,59.17899
22.89768,59.17262
25.46481,59.52051
26.66268,59.55395
24.26978,58.28316
25.53508,59.63373
24.277208,58.28273
24.283061,58.283461
24.285571,58.283415
24.347481,58.312557
24.339779,58.31405
24.49916,58.294391
24.511261,58.291152
1.485831,52.06976
1.485831,52.06976
1.485831,52.06976
1.485831,52.06976
