Longitude,Latitude
4.938921,43.428002
4.939636,43.428531
-119.689181,34.406046
3.700075,43.424991
-66.522832,-45.207745
-117.22274,32.715393
4.938554,43.427882
3.699458,43.425125
-117.925346,33.609046
-122.001779,36.96365
-64.989162,-42.679838
-64.989162,-42.679838
138.465728,-35.156555
-5.811932,54.710278
-5.813,54.71
138.469233,-35.117017
-64.26033,-42.623936
5.286218,43.280146
11.18074,58.57344
-122.481893,37.50164
-122.481893,37.50164
3.70003,43.424697
-117.274466,32.814683
4.577598,43.395698
-117.280966,32.843872
-117.27447,32.814639
3.20213,51.33318
4,51.75
-122.257729,37.804691
-70.216967,43.556786
-117.281547,32.84331
-120.856282,35.37018
-70.606267,42.659336
-122.51319,47.305876
-119.227814,34.168762
-117.867729,33.588802
-119.223004,34.162374
-119.689579,34.405992
-122.32982,47.401712
-122.774864,48.10674
-122.773244,48.107143
-118.283695,33.713471
4.05,51.6
-64.266909,-42.623604
-117.27443,32.814567
8.74246,41.8383
-122.480758,37.501955
-5.2749,56.54486
-5.2749,56.54486
-6.009518,56.58845
129.419998,37.049999
129.419998,37.049999
129.419998,37.049999
129.422,37.0544
129.422,37.0544
129.422,37.0544
-5.468992,54.381683
23.345864,39.175787
-5.468992,54.381683
-2.441696,50.57026
-2.448699,50.57151
-1.873289,50.7136
-6.370093,55.244273
-73.51325,40.646331
-73.51325,40.646331
-73.51325,40.646331
-73.51325,40.646331
-6.370093,55.244273
-2.467199,50.58576
8.74053,41.83737
-64.993774,-42.78014
-5.18727,51.75474
-2.128899,55.90049
-2.128739,55.90064
1.055564,52.96572
-1.719079,55.61597
1.087196,52.96029
1.055564,52.96572
-2.33084,48.68806
138.536085,-34.807514
138.436261,-34.6687
-5.847862,54.695635
-5.848025,54.69566
-70.623481,42.662722
-5.847862,54.695635
-5.848025,54.69566
-4.162249,53.22032
1.207665,52.94913
1.215833,52.94712
1.100051,52.95894
1.217671,52.9467
1.207665,52.94913
1.315238,52.93159
6.84759,43.41002
4.1,51.6
174.803189,-41.292327
-6.694121,55.19534
1.207207,52.94897
-4.120364,50.32851
1.207207,52.94897
1.145234,52.95076
1.102345,52.95686
6.027758,62.510043
-120.853325,35.364331
-5.654984,54.6709
1.277846,52.94044
-2.461707,50.59329
-2.444762,50.56965
-1.948892,50.60802
-2.461707,50.59329
-2.461707,50.59329
0.11775,49.48892
-5.126945,56.16413
-5.641684,56.67758
-5.641684,56.67758
3.85,51.7
-64.260222,-42.624056
-64.260222,-42.624056
-64.253717,-42.620333
-64.274401,-42.632535
-64.274401,-42.632535
-64.253717,-42.620333
-64.253717,-42.620333
-64.253717,-42.620333
-64.253717,-42.620333
-64.266139,-42.623778
-64.260222,-42.624056
-64.24525,-42.640833
-64.274401,-42.632535
-64.24525,-42.640833
-64.256885,-42.620258
-64.260222,-42.624056
-64.260222,-42.624056
-64.274401,-42.632535
-64.260222,-42.624056
-64.266139,-42.623778
-64.253717,-42.620333
-64.274401,-42.632535
-64.274401,-42.632535
-64.253717,-42.620333
-64.256885,-42.620258
-64.274401,-42.632535
-64.260222,-42.624056
-64.256885,-42.620258
-64.256885,-42.620258
-64.274401,-42.632535
-64.256885,-42.620258
-64.260222,-42.624056
-64.24525,-42.640833
-64.260222,-42.624056
-64.274401,-42.632535
-64.256885,-42.620258
-64.260222,-42.624056
-64.260222,-42.624056
-64.256885,-42.620258
-64.253717,-42.620333
-64.260222,-42.624056
-64.266139,-42.623778
-64.260222,-42.624056
-64.274401,-42.632535
-64.256885,-42.620258
-64.24525,-42.640833
-64.274401,-42.632535
-64.274401,-42.632535
-64.256885,-42.620258
-64.24525,-42.640833
-64.260222,-42.624056
-64.24525,-42.640833
-64.274401,-42.632535
-64.256885,-42.620258
-64.274401,-42.632535
-64.260222,-42.624056
-64.274401,-42.632535
-64.266139,-42.623778
-64.274401,-42.632535
-64.274401,-42.632535
-64.256885,-42.620258
-64.256885,-42.620258
-64.253717,-42.620333
-64.260222,-42.624056
-64.274401,-42.632535
-64.24525,-42.640833
-3.19909,47.67445
-1.24113,49.58325
11.03266,58.5325
-1.949302,50.60825
-5.405213,58.00017
-3.508387,50.48001
10.455896,59.445381
-6.240754,55.29283
3.20228,51.33325
3.20146,51.33345
-64.989913,-42.678164
6.50283,58.22833
10.29634,59.04313
4.914171,60.423669
3.95,51.7
-2.441698,50.57043
-6.583638,57.33271
1.054447,52.96551
-6.574942,57.33153
-8.81005,37.9225
-8.80043,37.82833
5.33573,43.20895
8.72606,41.90796
3.98186,43.52279
1.316023,52.93192
1.102369,52.95751
1.069067,52.96434
1.215423,52.94761
1.277275,52.939
-0.702387,50.74492
1.276515,52.93968
-8.81372,37.6378
-8.8147,37.62697
-8.81607,37.74462
2.36981,51.04325
1.573116,52.83556
-5.515689,56.39244
-5.40216,55.88645
-4.933839,55.98338
-5.390729,55.86483
-4.94758,55.98672
-4.943308,55.71409
-5.788216,56.70113
-5.390729,55.86483
-4.87396,56.09414
-4.829322,56.11823
-5.515689,56.39244
-5.547187,50.103323
-8.79353,37.54337
-8.80285,37.68038
-2.84902,47.5628
-1.8784,48.88583
-123.154682,48.609829
10.5268,59.0267
-1.923387,50.69132
1.275798,52.94034
-5.062269,48.483778
-8.80213,37.83055
-8.8029,37.8295
3.85,51.7
-121.939008,36.520514
-61.1987,14.76768
-80.309851,27.456299
6.271804,62.490639
-80.3099,27.4563
-80.3099,27.4563
-5.393637,55.60802
-5.553541,57.35815
3.7,43.42472
3.51543,43.264
3.7,43.42472
-6.194227,55.290535
-6.193235,55.29054
-5.576221,54.43497
-6.194227,55.290535
5.23698,43.32926
-4.357983,53.06493
-5.753567,57.56199
-1.59304,55.62634
0.452654,50.76338
8.72246,41.83427
3.7,43.42472
1.37556,50.94361
9.753881,59.02325
-1.952276,49.14713
-5.619594,54.68021
1.216422,52.94844
1.054436,52.96556
1.216422,52.94844
-1.119276,60.1193
1.276997,52.93975
-4.97992,58.62127
1.216422,52.94844
3.97498,43.51075
3.98186,43.52279
3.98538,43.51814
1.49413,50.77858
3.98186,43.52279
1.37556,50.94361
1.53259,50.76339
1.59595,50.79948
4.007,43.51883
1.44032,50.46197
-7.701048,55.20858
-10.07615,54.25583
-10.06619,54.10143
1.345952,52.92316
-5.094974,56.16049
1.276376,52.94099
1.345952,52.92316
1.345952,52.92316
-5.094974,56.16049
-5.435404,58.00582
-5.428299,58.00856
-5.273927,56.54565
-10.077328,54.256004
-10.074671,54.255336
3.98083,43.49926
3.84376,43.44901
3.9,51.6
1.146016,52.94973
-3.245359,58.93304
-5.088912,55.54774
-5.088912,55.54774
-5.515539,56.39283
-5.088912,55.54774
-5.515539,56.39283
138.519672,-34.776985
-3.2083,47.6714
2.36981,51.04325
1.44032,50.46197
2.36981,51.04325
-119.362369,34.01382
-2.441667,50.57014
-5.289375,56.04887
-5.372032,56.51338
-5.593131,56.03799
-5.593131,56.03799
-5.372032,56.51338
-5.068278,56.23123
-5.290221,56.04786
-2.447355,50.6026
0.11775,49.48892
76.9882,8.3761
76.989998,8.38
-65.029212,-42.737316
0.11842,49.4863
-5.930167,56.6771
-5.911473,56.53843
-3.2083,47.6714
3.7,43.42472
-1.24306,44.62848
3.95,51.7
3.85,51.7
3.9,51.6
3.9,51.6
-4.34759,48.1027
-70.880049,42.558428
3.86077,51.7773
10.29634,59.04313
6.50283,58.22833
4.914171,60.423669
-4.638336,53.24846
-5.300932,56.5427
-5.311421,56.53274
-65.029591,-42.736877
-65.029591,-42.736877
-3.19909,47.67445
-4.45359,48.29332
-127.997238,51.733635
-128.141767,51.652704
-5.697959,57.32998
1.276862,52.93865
1.276862,52.93865
3.51543,43.264
-128.254167,51.803633
-128.029589,51.655796
-128.079534,51.691303
-128.079534,51.691303
-160.738,71.075
1.31405,51.04524
-0.688446,50.77559
-2.392471,50.62533
-5.889217,57.06038
0.372077,50.74973
-5.705724,57.31953
-5.689495,57.33783
-5.725818,57.30362
-5.716434,57.31778
-5.734476,57.2975
-5.736783,57.29527
-5.736823,57.29844
-5.725164,57.30109
-5.686942,57.32904
-5.606167,57.34236
-5.192619,51.76275
-1.594818,55.62638
-5.091233,55.54528
-5.274356,56.54497
-1.604287,55.64034
-1.60296,55.64429
-5.297278,56.54859
-5.087816,55.5462
-5.091233,55.54528
-1.592317,55.62717
-1.593838,55.627169
-1.604502,55.643836
-1.59634,55.626333
4.05,51.45
0.11775,49.48892
0.11775,49.48892
-4.737636,50.33215
-4.7944,50.21227
-4.732426,50.3168
-4.763467,50.24538
-4.7944,50.21227
-5.598511,56.0335
-5.297681,56.54789
-5.297681,56.54789
-5.297681,56.54789
-5.296478,56.54818
-5.297681,56.54789
-64.993675,-42.779949
-83.05,29.09
0.11775,49.48892
-80.314944,27.488463
-4.48523,50.17416
-2.556511,56.18368
-4.915831,55.747797
-4.695584,53.30691
10.29634,59.04313
-65.02928,-42.737208
-2.228103,49.68934
-2.532728,49.45516
-5.551665,57.35562
-65.029181,-42.737221
-65.029181,-42.737221
-65.029181,-42.737221
-65.029181,-42.737221
3.7,43.42472
8.06625,58.1323
8.035953,58.144695
6.50283,58.22833
7.603002,58.010866
8.944219,58.5132
4.914171,60.423669
8.537156,58.273133
1.321549,51.05391
1.158953,51.95116
1.164248,51.94791
