Longitude,Latitude
6.030606,62.510259
171.562778,-41.743333
4.351308,52.166148
-2.809067,56.355705
146.553423,-41.160712
174.984973,-36.755055
175.009832,-36.777118
8.165408,55.554293
8.535141,55.08963
6.731873,53.61359
8.38995,54.612415
8.100406,55.599758
8.098716,55.595299
-1.373603,46.039902
-2.887305,56.204388
4.1,52
4.4,52.2
4.15,52
4.55,52.5
4.2,52.05
4.6,52.5
4.55,52.45
4.5,52.35
4.8,53.15
4.55,52.45
4.6,52.6
4.2,52.05
4.15,52
4.65,52.85
4.55,52.45
4.8,53.15
4.15,52.05
4.55,52.45
4.15,52
4.4,52.25
4.15,52
3.95,51.95
4.45,52.25
4.9,53.25
4.1,52
4.9,53.25
4.35,52.15
4.5,52.4
3.65,51.6
5.75,53.45
4.55,52.45
4.7,53.05
3.95,51.8
4.45,52.3
4.15,52.05
4.7,53.05
4.2,52.05
4.55,52.45
4.55,52.45
4.05,51.95
4.5,52.45
4.2,52.05
4.7,52.95
4.7,53
4.45,52.25
4.15,52.05
144.772117,-38.356234
147.927567,-37.879407
10.51413,42.99373
12.922253,45.613728
172.789451,-40.803487
172.684943,-40.675033
-3.016424,53.758817
-7.438112,37.176013
-3.049778,53.761743
144.356292,-38.138436
174.779174,-41.288614
175.1856,-36.798031
-2.897681,53.342806
-3.093738,53.575241
-77.646453,34.349423
3.965644,51.950559
-6.243777,53.706215
-4.104031,52.90886
151.4,-23.9
5.564866,58.869931
18.734527,69.643134
8.180225,55.562904
-3.431066,54.971392
10.73473,56.532628
8.079857,55.556186
144.51462,-38.272581
0.762191,50.938267
6.776549,58.06955
14.608925,42.20345
22.654956,40.330426
143.891919,-39.701142
-2.84405,56.03872
143.891919,-39.701142
144.772117,-38.356234
11.58791,58.34623
-4.609067,48.260068
-4.860553,55.780472
-7.033216,37.202785
-2.979714,53.931514
-2.806486,56.351719
8.284736,55.480956
19.489444,41.305556
20.984555,70.028107
-6.298247,36.68402
174.756908,-36.69855
174.784194,-36.317151
-77.39628,24.963644
172.73874,-43.523139
147.124175,-43.24273
-5.314979,57.9928
174.814468,-38.006565
-3.106951,53.566206
-3.106115,53.569371
173.047517,-40.885497
6.040137,62.512112
115.735524,-32.056749
174.82678,-37.821664
115.74574,-32.13741
8.367772,55.419128
151.278244,-33.838366
7.520876,53.757236
4.8,53.15
4.8,53.15
3.95,51.8
4.55,52.45
5.2,53.4
3.95,51.8
4.55,52.45
4.75,52.95
3.65,51.45
4.4,52.25
4.15,52
-9.089024,53.1574
-8.729436,54.263403
-8.385507,54.87411
172.687778,-40.700278
138.709765,-35.513547
-5.862443,54.227021
12.298068,45.243437
174.827642,-36.61986
151.253123,-33.840248
-7.791389,37.012222
174.827203,-36.62025
151.252862,-33.839787
174.827203,-36.62025
173.006424,-41.002182
7.454804,58.020975
-2.795867,56.443913
-8.05504,43.659073
17.898095,40.249342
-1.259091,44.653954
10.714629,56.533383
8.267672,55.490892
7.036173,53.686291
6.676261,53.607376
-5.854313,54.229059
-2.75171,47.52412
3.95,51.9
6.1,53.45
4.7,52.95
5.4,53.4
4.6,52.55
4.6,52.7
6.15,53.5
4.4,52.2
0.258547,53.356543
4.7,52.85
4.4,52.2
4.7,52.9
4.8,53.15
5.7,53.45
5.65,53.45
4.8,53.1
5.75,53.45
6.1,53.45
3.65,51.6
3.5,51.45
-6.247813,53.759686
-5.857014,54.228636
-6.055934,55.061083
-6.113945,53.411097
-9.9391,54.002076
18.761054,69.663202
17.127135,68.80226
18.761054,69.663202
173.005145,-40.824183
12.335222,45.360322
18.761054,69.663202
9.824344,63.67379
-3.041784,53.476383
-3.041726,53.47629
9.70926,57.370824
10.501362,57.671375
4.580473,52.488805
10.791803,56.517577
146.565466,-41.16232
146.565638,-41.162434
10.427325,57.571396
145.224209,-42.213423
-8.075294,43.641265
10.597419,56.518994
-3.041844,53.476429
-3.098276,53.426511
9.677965,63.698082
8.346863,54.623772
6.706638,53.612381
8.638577,54.382721
6.729727,53.612747
8.584453,54.310104
5.05,53.3
3.65,51.6
4.55,52.45
5.6,53.4
5.8,53.45
4.15,52.05
4.6,52.65
5.9,53.45
4.5,52.35
4.4,52.2
5.35,53.4
4.8,53
4.25,52.1
5.95,53.45
5.6,53.45
5.6,53.4
3.8,51.7
4.55,52.4
4.35,52.15
4.55,52.4
5.6,53.4
5.75,53.45
14.092491,42.583057
-8.374745,54.889415
-6.242146,53.694765
-8.442673,54.456297
-8.478445,54.433607
-8.569406,54.32541
-4.627317,55.512597
8.357268,55.273946
4.343657,52.160132
-3.076873,53.594663
18.020762,69.634126
12.348574,45.379528
10.076679,57.589523
9.632473,57.297694
8.394194,55.49737
13.888821,42.946571
-3.151944,47.598333
4.569003,52.472481
8.148133,55.53923
-4.292248,51.578416
7.018614,53.685017
6.70754,53.612171
6.654797,53.606167
8.329917,54.961838
6.65411,53.606182
6.712303,53.6106
23.049615,-34.049118
-3.157618,47.604163
4.3,52.1
5.35,53.4
4.4,52.2
4.15,52.05
3.75,51.7
4.1,51.95
4.5,52.45
4.7,52.95
5.75,53.45
3.5,51.45
5.25,53.4
4.7,52.95
