Longitude,Latitude
-4.930976,55.750729
-5.547187,50.103323
-5.547187,50.103323
-88.083333,16.8
-3.33213,47.63388
-3.33213,47.63388
-5.814415,59.1191
-5.762159,56.85039
1.39382,52.976793
-1.561804,50.689478
-5.258199,53.73083
-64.726983,32.349133
-4.467555,54.126534
-5.544942,54.43472
-5.643287,54.49606
-1.077277,50.708233
-5.026851,53.417433
-5.104015,53.526056
0.243102,53.451829
0.268681,53.451346
0.278569,53.382829
0.325233,53.383727
0.292813,53.396042
8.7305,42.5799
-5.772845,54.713884
-4.38135,47.78647
-3.57714,49.00391
-5.423136,56.55066
-2.95756,48.76409
-5.591267,56.273034
-3.41999,47.64054
-97.684917,24.476306
-97.810056,24.41425
-97.791944,24.390639
-97.674861,24.55675
-97.829611,24.382278
-97.754583,23.759
-97.829611,24.382278
-97.715417,24.629361
-97.741278,24.495778
-97.747167,24.451417
-5.347895,55.984081
-5.347895,55.984081
-97.810056,24.41425
-97.715417,24.629361
-97.747167,24.451417
-97.735028,24.533889
-97.741278,24.495778
-97.829611,24.382278
-97.791944,24.390639
-97.674861,24.55675
-1.19316,44.68583
-97.754583,23.759
-97.684917,24.476306
-97.791944,24.390639
-97.810056,24.41425
-97.674861,24.55675
-97.791944,24.390639
-97.715417,24.629361
-97.684917,24.476306
-97.810056,24.41425
-97.735028,24.533889
-97.741278,24.495778
-5.318091,55.86082
-5.318091,55.86082
-5.318091,55.86082
-5.318091,55.86082
1.276038,51.905342
-97.684917,24.476306
-4.61257,48.60727
11.35791,58.23359
11.35791,58.23359
11.358,58.234
11.9445,56.95084
11.944,56.951
-6.194672,55.29102
-5.874687,52.96649
-5.892658,52.98398
-5.882407,52.94533
-4.66566,52.97484
-5.89449,52.94655
-7.098367,57.73328
-4.355823,53.693291
-4.352967,53.642102
-4.918895,53.489361
-5.374465,52.34798
-5.750892,52.02778
-5.089322,53.30817
-5.158371,53.30968
-6.149475,57.02626
-7.172612,57.64013
-4.396445,51.305119
-4.451717,51.292282
-5.243472,51.737136
-89.751111,21.268889
-89.751111,21.268889
-89.865,21.243056
-89.751111,21.269444
-89.751111,21.269444
-89.751111,21.269444
-89.751111,21.269444
-89.524444,21.312778
-89.524444,21.312778
-89.475,21.320556
-89.475,21.320556
-4.06249,53.291101
3.37,51.439999
-5.303574,51.69581
-4.331606,51.51401
-4.370202,52.28231
-5.316526,51.75962
23.919167,39.962222
23.919167,39.962222
-4.876833,52.2295
-4.166725,54.051061
-3.6833,53.2833
-25.1456,37.80455
-25.13992,37.80447
-25.15127,37.80464
-25.14481,37.83608
-25.30631,37.73037
-25.5784,37.74298
-25.14548,37.80906
-25.4655,37.71453
-25.14537,37.81356
-25.43486,37.82227
-25.19255,37.7422
-25.15037,37.84068
-25.13969,37.81347
-25.50528,37.71053
-25.51096,37.7106
-25.42919,37.8222
-25.29486,37.73471
-25.14492,37.83158
-25.13958,37.81798
-25.43147,37.71408
-25.14503,37.82708
-25.14593,37.79104
-25.58975,37.74312
-25.31188,37.73496
-25.3061,37.73938
-25.68069,37.73516
-25.49961,37.71046
-25.44054,37.82235
-25.51645,37.71969
-25.67892,37.83428
-25.68453,37.83885
-25.14526,37.81807
-25.15161,37.79113
-25.52212,37.71976
-25.3062,37.73488
-25.204,37.73787
-25.51996,37.82788
-25.51419,37.83231
-25.14469,37.84059
-25.67324,37.83421
-25.19822,37.74229
-25.51086,37.71511
-25.19833,37.73778
-25.15116,37.80915
-25.31198,37.73045
-25.13981,37.80897
-25.43467,37.83128
-25.29476,37.73922
-25.15049,37.83617
-25.30043,37.7393
-25.14571,37.80005
-25.1506,37.83167
-25.30053,37.73479
-25.42909,37.8267
-25.50519,37.71504
-25.13947,37.82248
-25.15082,37.82266
-25.49952,37.71496
-25.1515,37.79564
-25.15139,37.80014
-25.42899,37.83121
-25.43477,37.82678
-25.68461,37.83434
-25.15105,37.81365
-25.51987,37.83238
-25.68445,37.84335
-25.14582,37.79555
-25.15071,37.82717
-25.66756,37.83415
-25.67876,37.84329
-25.14515,37.82257
-25.28919,37.73463
-25.51663,37.71067
-25.43733,37.70514
-25.51105,37.7061
-25.4997,37.70595
-25.30641,37.72587
-25.43743,37.70064
-25.59542,37.74318
-25.50537,37.70603
-25.47117,37.7146
-25.443,37.70522
-25.4431,37.70071
-25.51654,37.71518
-25.44045,37.82685
-25.67884,37.83878
-25.18688,37.74211
-25.14003,37.79996
-25.52221,37.71525
-25.13402,37.81338
-25.13413,37.80888
-25.13924,37.83149
-25.13424,37.80438
-25.13935,37.82699
-25.13379,37.82239
-5.372,55.011
-4.4375,48.365667
-4.451739,50.344296
-5.886361,53.011444
-5.810991,53.112197
-5.929376,53.121925
-5.931493,53.117267
-5.917122,53.164695
