Longitude,Latitude
-2.201236,48.623275
-2.01587,48.65747
-5.061596,50.145796
-5.452665,50.113376
4.144521,51.521143
4.981621,60.245919
-1.735698,46.464781
-3.839271,48.70883
9.47261,42.75353
9.45917,42.70587
9.45917,42.70587
9.45917,42.70587
9.45337,42.99703
4.08941,51.644404
-1.66471,49.6704
-5.065346,55.53481
-8.88516,37.038458
10.656715,59.428696
4.05,51.6
4.1,51.5
3.818021,51.617794
3.90152,51.626116
3.9,51.6
4.1,51.6
3.88258,47.79177
4.3653,48.31355
4.3653,48.31355
4.3653,48.31355
4.05,51.6
-4.44568,48.23238
1.256982,52.94374
-3.34281,47.7236
-3.34281,47.7236
-3.92833,47.86861
-4.37117,48.32195
-3.88413,47.79177
-3.88413,47.79177
-4.37117,48.32195
-3.88413,47.79177
-3.13253,47.33133
-3.88413,47.79177
-4.46015,48.3371
-3.13253,47.33133
-3.28482,47.64712
-3.95782,47.82383
-4.37117,48.32195
-3.13253,47.33133
-3.13253,47.33133
-4.37117,48.32195
-4.46015,48.3371
-3.13253,47.33133
-0.5,38.2
-0.5,38.19
-0.5,38.19
-0.5,38.19
-0.5,38.2
-0.51,38.18
-0.5,38.19
-0.5,38.2
-0.5,38.2
-0.5,38.19
-0.5,38.19
-0.5,38.19
-0.51,38.19
-0.51,38.18
-0.5,38.19
-0.51,38.18
-0.49,38.2
-0.13,38.5
-0.12,38.5
-0.5,38.2
-0.12,38.5
-0.51,38.18
-0.12,38.5
-0.13,38.5
0.008,38.62
-0.12,38.5
0.01,38.62
0.008,38.62
0.008,38.62
0.008,38.62
0.008,38.62
0.008,38.62
-2.985695,59.12395
-3.33213,47.63388
-3.33213,47.63388
-3.33213,47.63388
-3.33213,47.63388
-3.33213,47.63388
-3.33213,47.63388
-3.33213,47.63388
-3.33213,47.63388
-3.33213,47.63388
-3.33213,47.63388
-3.33213,47.63388
-3.33213,47.63388
-3.33213,47.63388
-3.33213,47.63388
-3.33213,47.63388
-3.33213,47.63388
-3.33213,47.63388
-3.33213,47.63388
0.09,38.86
-0.39,38.35
-0.39,38.35
-0.39,38.35
-0.38,38.42
0.1,38.86
0.12,38.83
-0.33,38.44
-0.39,38.35
-0.39,38.35
0.1,38.86
0.12,38.84
0.1,38.86
0.09,38.87
0.09,38.86
0.12,38.83
0.1,38.86
-0.38,38.42
-0.38,38.43
-0.34,38.45
0.1,38.86
0.13,38.84
0.09,38.87
-0.39,38.35
0.09,38.87
-0.34,38.45
0.1,38.86
-0.34,38.45
0.1,38.86
-0.39,38.35
-0.33,38.45
-0.34,38.45
0.09,38.86
-0.33,38.44
-0.34,38.45
-0.34,38.45
-0.34,38.45
-0.33,38.45
-0.34,38.45
-0.34,38.45
0.12,38.83
-0.34,38.45
-0.33,38.45
-0.34,38.45
-0.34,38.45
-0.34,38.45
-1.75312,48.87414
-0.119693,54.102409
-4.281828,51.018718
-0.493994,54.408961
-0.493994,54.408961
0.19,40.17
-4.281828,51.018718
1.11385,50.12873
-3.46438,47.63722
-3.46438,47.63722
-3.46438,47.63722
-3.46438,47.63722
1.11385,50.12873
1.11718,50.03894
1.2566,50.041
1.2566,50.041
1.11385,50.12873
1.2566,50.041
1.2566,50.041
3.9,51.5
4.174075,51.515313
1.839627,51.675984
-4.37117,48.32195
-4.37117,48.32195
-4.37117,48.32195
-3.05987,47.48338
-4.42375,48.32068
-4.37117,48.32195
-5.752832,57.2778
-5.761157,57.28194
-5.748373,57.27623
-2.11,48.6425
-2.11,48.6425
-3.88413,47.79177
-3.88413,47.79177
-3.88413,47.79177
4.1,51.5
-0.47,38.15
-0.47,38.15
-0.47,38.15
-0.47,38.15
-0.47,38.15
-0.47,38.15
-0.47,38.15
-0.47,38.15
-0.47,38.15
-0.47,38.16
-0.47,38.16
-0.47,38.16
-0.46,38.33
-0.46,38.33
-0.46,38.34
-0.46,38.34
-0.46,38.34
-0.46,38.34
-0.46,38.34
-0.46,38.34
-0.46,38.34
-0.46,38.34
-0.46,38.34
-0.39,38.35
-0.39,38.35
-0.39,38.35
-0.39,38.35
-0.39,38.35
-0.39,38.35
-0.39,38.35
-0.01,38.61
-0.01,38.61
-0.01,38.61
-0.01,38.61
-0.01,38.61
-0.01,38.61
-0.01,38.61
-0.01,38.61
0.01,38.62
0.01,38.62
0.01,38.62
4.09581,51.645849
1.309483,51.010315
1.306573,51.009498
1.303499,51.046465
-0.47,38.16
-0.47,38.16
-0.47,38.16
-0.47,38.16
-0.47,38.16
-0.47,38.16
-0.47,38.16
-0.46,38.16
-0.46,38.16
-0.46,38.16
-0.46,38.16
-0.46,38.16
-0.46,38.16
-0.46,38.16
-0.46,38.16
-0.46,38.16
-0.46,38.16
-0.33,38.45
-0.33,38.45
-0.33,38.45
-0.33,38.45
-0.33,38.45
-0.33,38.46
-0.18,38.51
-0.18,38.51
-0.18,38.51
-0.18,38.51
-0.18,38.51
-0.18,38.51
-0.17,38.51
-0.16,38.52
-0.16,38.52
-0.16,38.52
-0.16,38.52
-0.16,38.52
-0.16,38.52
-0.16,38.52
-0.16,38.52
-0.16,38.52
-0.16,38.52
-0.16,38.52
-0.16,38.52
-0.05,38.56
0.19,38.8
0.19,38.8
0.19,38.8
0.19,38.8
0.19,38.8
0.19,38.8
-0.5,38.22
-0.5,38.22
-0.5,38.22
-0.5,38.22
-0.5,38.22
-0.5,38.22
-0.5,38.22
-0.5,38.22
-0.49,38.22
0.09,38.86
0.09,38.86
0.09,38.86
0.09,38.87
0.09,38.87
0.33,40.29
0.33,40.29
0.33,40.29
0.34,40.29
0.34,40.29
0.34,40.29
0.34,40.29
0.34,40.29
0.34,40.29
0.34,40.29
-1.57465,50.677835
1.39382,52.976793
-1.586067,50.667084
1.205279,52.965843
1.145763,52.987219
-1.57748,50.677845
-1.56182,50.687679
0.97419,50.1265
1.11385,50.12873
1.11385,50.12873
1.11051,50.2185
0.97419,50.1265
0.97777,50.03672
1.11385,50.12873
1.11385,50.12873
-5.547066,50.10338
3.9,51.6
-4.46015,48.3371
-4.3653,48.31355
-4.46015,48.3371
-4.37117,48.32195
-4.3653,48.31355
-4.45517,48.3332
-4.3653,48.31355
-4.42375,48.32068
-4.37117,48.32195
-4.3653,48.31355
-4.38765,48.32039
-4.38765,48.32039
-3.986613,48.730315
-3.919627,48.68733
-5.036906,50.196439
-5.032652,50.195651
-5.046013,50.185405
-5.055482,50.158169
-5.032798,50.175856
-5.032798,50.175856
-5.036963,50.197337
-5.032798,50.175856
-5.032855,50.176754
-0.7,37.91
-0.19,39.09
-0.12,39.1
-0.2,39.1
-0.2,39.11
-0.16,39.12
-0.2,39.12
-0.14,39.13
-0.2,39.14
-0.14,39.14
-0.15,39.16
-0.18,39.13
-0.17,39.17
-0.16,39.18
-0.69,37.9
-0.7,37.91
-0.69,37.92
-0.18,39.07
-0.75,37.85
-0.74,37.86
-0.73,37.87
-0.74,37.88
-0.74,37.89
-0.73,37.89
-0.7,37.93
-0.7,37.93
-0.64,37.99
-4.281828,51.018718
0.17,38.82
0.08,38.88
0.06,38.92
0.04,38.94
0.19,38.81
0.12,38.86
0.09,38.86
0.11,38.87
0.12,38.88
0.06,38.88
0.04,38.92
0.2,38.76
0.22,38.76
0.19,38.78
0.18,38.79
0.18,38.82
0.12,38.85
0.09,38.87
0.03,38.87
0.05,38.87
0.04,38.88
31.350167,70.115833
-0.379454,54.263711
-0.525743,54.423779
-0.522726,54.421944
1.150061,52.95151
1.102339,52.95596
2.35979,51.04277
-1.123746,50.64654
-1.204129,50.74424
-1.182872,50.744093
-5.229055,53.185514
-4.933183,53.587021
-5.248972,53.389109
0.292813,53.396042
0.36865,50.789453
0.325233,53.383727
-1.25833,49.58472
-0.64,49.34722
-1.25833,49.58472
-0.64,49.34722
-6.130436,54.03473
-0.39,38.35
-0.38,38.37
-0.43,38.33
-0.43,38.35
-0.39,38.35
-0.46,38.33
-0.51,38.31
-0.45,38.35
-0.4,38.35
-0.4,38.35
-6.170004,55.27752
0.720357,51.636216
0.877786,51.74848
-0.12,38.53
-0.16,38.52
0.01,38.62
-0.03,38.6
-0.14,38.53
-0.11,38.53
-0.008,38.61
-0.06,38.54
-0.05,38.58
-0.13,38.53
-0.1,38.52
-0.06,38.53
-0.03,38.61
-0.04,38.6
-0.05,38.58
-0.16,38.52
-0.01,38.61
-0.73,37.91
-0.73,37.89
-0.009,38.87
-0.74,37.89
-0.73,37.9
-0.73,37.91
0.11,38.85
0.1,38.86
0.07,38.88
0.06,38.86
-0.74,37.89
0.1,38.87
0.11,38.84
0.12,38.84
-0.47,38.18
-0.59,38.15
-0.37,38.4
-0.38,38.38
-0.34,38.45
-0.49,38.22
-0.52,38.17
-0.39,38.39
-0.35,38.44
-0.37,38.41
-0.38,38.43
-0.3,38.48
-0.5,38.21
-0.38,38.43
-0.39,38.41
-0.39,38.41
-0.5,38.21
-0.5,38.21
-1.990193,55.78437
-0.232546,54.162322
1.01218,45.43244
-1.57279,49.66929
-4.196622,50.389873
-3.01943,48.82352
-3.99835,48.73556
-0.38,38.4
-0.38,38.41
-0.33,38.46
-2.87108,48.71812
-0.05691,49.39948
-0.26476,49.4332
-0.07253,49.3234
-0.07183,49.3239
-0.12038,49.31087
-2.85169,48.71609
-2.83395,48.71311
-1.24938,49.70737
-1.49036,49.67969
-1.45233,49.71497
-8.88,38.48
-3.18338,48.88182
-3.44351,48.83588
5.15,43.31667
-6.455084,57.03505
-6.447774,57.04455
-3.27219,48.8544
-5.140104,56.68335
7.898,54.168999
7.898,54.168999
-0.343451,54.242548
-3.48587,48.83218
-3.17505,47.69428
-3.154154,58.874566
1.6865,54.618667
-4.556389,48.239444
-4.556389,48.239444
-2.60327,48.57056
-2.48671,48.62935
-4.35941,48.29659
-4.35941,48.29659
-5.034652,50.183004
-5.033449,50.208224
-5.03231,50.190262
-5.032595,50.194752
-5.037305,50.202725
-5.032855,50.176754
-5.032798,50.175856
-5.032798,50.175856
-4.567778,48.29
-4.567778,48.29
-3.88413,47.79177
-3.88577,47.79158
-4.37117,48.32195
-4.37117,48.32195
-4.3653,48.31355
-4.3653,48.31355
-3.88577,47.79158
-3.88577,47.79158
-4.37117,48.32195
-3.88258,47.79177
-3.88258,47.79177
-3.88258,47.79177
-4.3653,48.31355
-0.75,37.86
-0.75,37.86
-0.75,37.86
-0.75,37.86
-0.75,37.86
-0.74,37.87
-0.5,38.3
-0.47,38.3
-0.47,38.3
-0.47,38.3
-0.46,38.29
-0.46,38.29
-0.46,38.29
-0.46,38.29
-0.46,38.3
-0.46,38.3
-0.46,38.3
-0.38,38.43
-0.38,38.43
-0.38,38.43
-0.38,38.43
-0.37,38.39
-0.37,38.39
-0.37,38.39
-0.37,38.39
-0.37,38.39
-0.37,38.39
-0.37,38.39
-0.16,38.52
-0.16,38.52
-0.12,38.53
-0.12,38.53
-0.12,38.53
-0.12,38.53
-0.05,38.56
-0.05,38.58
-0.05,38.59
-0.05,38.59
-0.05,38.59
-0.05,38.59
-0.05,38.59
-0.05,38.59
-0.04,38.56
-0.04,38.56
-0.04,38.56
-0.04,38.56
-0.75,37.86
-0.75,37.86
-0.75,37.86
-0.75,37.86
-0.75,37.86
-0.75,37.86
-0.67,37.97
-0.67,37.97
-0.66,37.97
-0.66,37.97
-0.55,38.18
-0.55,38.18
-0.55,38.18
-0.55,38.18
-0.55,38.18
-0.55,38.18
-0.48,38.16
-0.48,38.16
-0.48,38.16
-0.48,38.16
-0.48,38.16
-0.47,38.33
-0.47,38.33
-0.47,38.33
-0.47,38.33
-0.47,38.33
-0.47,38.15
-0.47,38.15
-0.36,38.39
-0.36,38.39
-0.36,38.39
-0.36,38.39
-0.21,38.5
-0.21,38.5
-0.21,38.5
-0.2,38.51
-0.18,38.51
-0.18,38.51
-0.18,38.51
-0.17,38.51
-0.17,38.51
-0.1,38.52
-0.1,38.52
-0.05,38.59
-0.04,38.56
-0.04,38.56
-0.53,38.18
-2.62867,48.59036
-2.88805,48.70468
-2.96929,48.78708
-2.49335,48.64868
-2.93791,48.76626
-2.87443,48.68623
-2.57892,48.59985
-2.85513,48.79848
-1.092732,60.493834
-1.092732,60.493834
-1.092732,60.493834
-1.092732,60.493834
-1.092732,60.493834
-0.23,38.5
-0.23,38.5
-0.21,38.5
-0.21,38.5
-0.21,38.5
-0.008,38.62
0.007,38.63
0.007,38.63
0.007,38.63
0.007,38.63
0.06,38.63
0.11,38.85
0.11,38.85
0.11,38.85
0.11,38.85
0.13,38.68
0.13,38.68
0.12,38.84
0.12,38.85
0.13,38.83
0.13,38.83
0.13,38.83
0.13,38.83
0.13,38.83
0.18,38.79
0.19,38.8
0.2,38.76
0.22,38.76
0.2,38.76
0.22,38.76
-3.40156,47.64542
-3.97819,47.86605
-3.46154,47.65794
-4.03597,47.79542
-3.91815,47.86463
-3.88012,47.8069
-3.87404,47.79655
-0.3,39.46
-0.29,39.46
-0.29,39.46
-0.29,39.46
-0.29,39.46
-0.29,39.46
-0.2,39.65
-1.011084,60.365751
-0.995803,60.685288
-0.22,39.15
-4.35941,48.29659
-4.35941,48.29659
-4.35941,48.29659
-4.3653,48.31355
-3.88577,47.79158
-3.88258,47.79177
-3.88258,47.79177
-4.3653,48.31355
-3.88413,47.79177
-4.3653,48.31355
-4.37117,48.32195
-4.42463,48.33463
-3.88413,47.79177
-3.88413,47.79177
-2.93448,47.5258
-2.87,48.78713
-4.37117,48.32195
-3.88577,47.79158
-4.45517,48.3332
-3.88258,47.79177
-4.38765,48.32039
-0.46,38.33
-0.46,38.34
-3.983397,48.716806
-4.050067,48.700078
-4.050067,48.700078
-3.983397,48.716806
-4.456068,52.840098
-1.199208,60.235023
-1.199208,60.235023
0.473771,53.092123
-1.199208,60.235023
-1.199208,60.235023
-1.199208,60.235023
-7.011918,55.19181
-7.011918,55.19181
-0.14,38.53
-0.16,38.52
-0.11,38.53
-0.05,38.56
-0.14,38.53
-0.16,38.52
-0.15,38.52
-0.14,38.53
-0.04,38.56
-0.11,38.53
-0.05,38.56
-0.06,38.53
-0.05,38.56
-0.05,38.56
-0.1,38.52
-0.04,38.56
-0.04,38.56
-0.05,38.58
-0.008,38.61
-0.04,38.59
-0.05,38.58
-0.05,38.59
0.12,38.85
0.008,38.62
0.22,38.76
0.2,38.76
-0.05,38.59
-0.04,38.59
-0.13,38.53
0.04,38.63
-0.007,38.63
0.2,38.76
0.03,38.63
0.12,38.84
0.08,38.65
0.12,38.85
-0.008,38.62
0.12,38.85
0.03,38.63
0.03,38.62
0.13,38.68
0.07,38.63
0.18,38.8
0.04,38.63
0.13,38.68
0.08,38.65
0.19,38.8
0.13,38.68
0.18,38.79
0.18,38.79
-6.192327,54.07155
-5.744958,54.81494
-5.744958,54.81494
-6.192327,54.07155
-0.71,37.91
-0.75,37.86
-0.75,37.86
-0.75,37.86
-0.67,37.97
-0.71,37.91
-0.67,37.97
2.696,51.185
-0.48,38.16
-0.46,38.16
-0.48,38.16
-0.48,38.16
-0.47,38.15
-0.55,38.18
-0.47,38.16
-0.55,38.18
-0.53,38.18
-0.55,38.18
-0.46,38.16
-1.007249,60.61085
-1.007249,60.61085
-1.007249,60.61085
-1.127007,60.437495
-1.007249,60.61085
-1.018425,60.603749
-1.007249,60.61085
-1.007249,60.61085
-1.007249,60.61085
-1.018425,60.603749
-1.018425,60.603749
-1.007249,60.61085
-1.007249,60.61085
-1.018425,60.603749
-1.007249,60.61085
-1.018425,60.603749
29.609501,36.189602
-0.18,38.51
-0.18,38.51
-0.21,38.5
-0.19,38.51
-0.2,38.51
-0.17,38.51
-0.18,38.52
-0.19,38.5
-0.19,38.51
-0.32,38.46
-0.21,38.5
-0.19,38.51
