Longitude,Latitude
-1.35057,5.08587
149.333611,32.5
149.167222,34.250278
149.266667,29.983889
149.333611,26.5
-46.44,-32.18
-46.439999,-32.18
122.9662,-34.7088
115.0616,-32.3286
125.0461,-34.8313
115.4961,-35.1913
114.01028,-21
114.42778,-21.35
115.25167,-21
114.71611,-21
113.71472,-21.35
114.93583,-21.35
113.762,-21.674
113.929,-21.763
115.12583,-20.80806
113.6975,-21.5
114.006,-21.823
113.596,-22.18
113.75,-22.221
112.87694,-23
113.33194,-22.75
113.804,-22.245
113.584,-22.751
113.69,-22.75
113.762,-23.0001
113.52667,-23
113.79806,-22.33306
-0.21035,5.53579
147.3274,-43.8815
147.2367,-44.2105
147.3504,-43.8016
147.2123,-44.2912
9.2,-37.540001
9.2,-37.54
162.650165,-34.20725
161.79025,-32.447915
167.79275,-32.597665
169.472585,-34.987
-118.220001,32.060001
151.248,-34.9462
151.248,-34.9462
151.248,-34.9462
151.245,-34.935
43.933334,-33.433334
43.950001,-33.516666
43.883335,-33.599998
43.595001,-33.141998
43.876999,-33.143002
44.183334,-32.933334
44.216667,-32.900002
46.016666,-31.366667
43.866665,-33.216667
43.916668,-33.316666
43.766666,-33.900002
45.266666,-32.849998
43.933334,-33.25
43.766666,-34.066666
43.766666,-33.966667
43.983334,-33.166668
43.833332,-33.25
43.833332,-33.366665
43.783333,-33.883335
46.233334,-31.1
46.016666,-31.299999
46.183334,-31.25
46.216667,-31.183332
128.966667,26.333333
126.583333,25.4
151.42,-34.37
151.3,-34.45
150.45,-36.15
134.866667,31.916667
-117.916667,28
178.526667,-36.773333
141.5,34.383333
144.266667,33.633333
126.211667,17.5075
129.995834,21.211667
125.005,24.5775
129.946667,23.955834
125.001667,20.025834
128.746667,19.975834
127.483334,23.610834
128.73,20.9275
127.4975,20.6475
126.2275,19.985
130.1,22.491667
127.500834,20.1425
124.991667,24.565833
126.205834,22.571667
126.203334,19.956667
127.480834,23.59
130.026667,22.031667
126.213334,17.51
126.209167,18.935
124.995834,24.0425
130.008334,21.988334
128.734167,19.929167
126.268333,17.055
128.73,22.331667
126.195,17.499167
129.915833,23.994167
128.728334,20.98
125.015834,22.004167
128.740833,19.949167
129.908333,24.009167
127.485,23.600834
126.250834,20.954167
125.011667,20.040834
126.2725,17.001667
126.22,23.9875
125.026667,22.021667
126.271667,17.02
127.490834,22.525833
128.681667,22.254167
128.483334,20
129.9975,22.004167
127.5,20.143334
129.998334,21.9975
128.698333,22.280834
126.203334,22.561667
130.27,31.065
130.281667,31.049167
130.26,31.083334
148.4175,-42.675
128.674167,27.159167
128.7925,21.950834
128.673333,27.153334
131.471667,27.6125
130.0575,21.034167
128.671667,27.145834
128.315834,22.781667
128.775834,21.914167
128.7575,21.97
131.47,27.6275
128.319167,22.786667
128.706667,25.7225
131.060834,22.254167
130.051667,21.025834
128.6875,25.758334
128.773334,21.905834
128.793333,21.944167
128.7475,21.975
126.44,20.939167
126.524167,25.608333
129.046667,31.171667
126.4775,22.101667
129.040834,31.163334
125.0675,22.193334
126.484167,22.125
124.504167,22.02
126.519167,25.590833
127.455834,28.315
126.5125,25.699167
126.514167,25.685833
126.516667,25.574167
126.114167,23.619167
125.0575,22.175
126.428333,20.945
127.455834,28.345834
126.130833,23.641667
148.4464,-42.5125
148.6219,-42.47139
148.4844,-42.56194
151.916,-34.083
155.5,-40.5
153.75,-39.5833
150.2667,-37.8133
-78.45,-31.985
-109.2817,-30.9367
-109.2833,-36.9
-76.9467,-32.34
-109.4067,-37.9183
-80.7117,-31.6483
-87.0333,-30.6833
22.5583,-35.7333
19.615,-36.1483
25.5833,-38.1667
19.76,-37.8167
20.03,-40.0667
97.0233,-23.6783
63.125,-19.1567
12.275,-22.6
13.4,-28.66665
11.6083,-22.81665
13.4,-28.66665
13.4,-28.66665
11.6083,-22.81665
11.6083,-22.81665
13.4,-28.66665
11.6083,-22.81665
14.11665,-28.6417
14.11665,-28.6417
11.6083,-22.81665
14.11665,-28.6417
14.11665,-28.6417
12.275,-22.6
14.11665,-28.6417
11.6083,-22.81665
12.275,-22.6
11.6083,-22.81665
14.11665,-28.6417
13.4,-28.66665
11.6083,-22.81665
151.183,-34.066
151.183,-34.066
151.616,-34.066
151.25,-34.066
-43.1583,-28.035
172.1,-34.1917
172.47,-34.6377
172.0253,-34.155
171.8,-34.0833
172.1167,-34.1967
171.95,-34.1115
172.1233,-34.2958
172.47,-34.6367
172.1233,-34.2958
172.2667,-34.3083
172.01,-34.1445
172.4815,-34.4482
172.025,-34.4737
172.25,-34.2167
172.3333,-34.5333
171.0833,-33.2
172.111,-34.1927
172.3,-34.5667
172.1017,-34.195
171.9942,-34.207
171.9942,-34.207
172.7733,-34.3917
171.9942,-34.207
172,-34.25
171.9942,-34.207
167.5167,-52.2667
171.9942,-34.207
172.1333,-34.1917
172.2333,-34.4333
171.5,-33.6167
172,-34.25
171.9167,-34.0667
172.1017,-34.195
172.7783,-34.4167
172.7783,-34.4167
172.1333,-34.2333
171.2,-34.9667
171.8833,-34.5
172.7733,-34.3917
171.8833,-34.5
120.05,20.9667
117.883,21.5167
-116.941667,29.875
-116.933,29.8667
-156.562,21.2528
-156.561,21.1986
-158.717,21.2167
-17.021667,24.723333
-124.95,35.5167
-124.758,35.6083
-128.483,35.1917
-129.083,35.0583
-81.57,-29.55
20.5,-39.183333
-47,-30
