Longitude,Latitude
32.860739,66.699462
14.86603,56.1412699991278
14.87803,56.1516299991279
14.86252,56.159719999128
11.85121,57.66978
11.90765,57.5026499991458
10.3986,63.4392
9.6761,59.0543
9.694,59.0617
9.6932,59.0611
9.7006,59.0635
9.7006,59.0635
5.3298,60.3785
5.3185,60.3985
5.3099,60.3943
5.3139,60.384
5.3298,60.3785
5.3249,60.3959
5.3298,60.3785
5.3139,60.384
5.3298,60.3785
5.2553,60.3189
5.3298,60.3785
5.3249,60.3959
5.306481,59.348899
18.75532,57.3069999991431
16.74403,57.4263799991447
18.09573,57.3169199991432
16.70813,57.4288299991448
18.91075,57.6852299991483
14.88462,56.1443799991278
14.87867,56.1473699991278
10.6112,59.6591
10.6112,59.6591
-122.483,48.4884
5.287,60.3925
5.2401,60.4226
5.308,60.3955
5.3138,60.384
5.3243,60.3965
5.3183,60.3967
5.3151,60.4003
5.3284,60.3788
5.208,60.2987
5.2875,60.3926
10.3485,63.4404
5.2917,60.392
5.7458,58.96
5.3151,60.4003
5.2399,60.423
5.7443,58.9592
5.3045,60.4007
5.3104,60.3854
5.3186,60.3985
16.62045,57.1098699991404
18.7549,57.3069199991431
16.59723,57.1373499991408
16.59492,57.0714799991399
16.61147,57.0631199991398
15.27938,56.1472299991278
15.06155,56.1652799991281
16.5675,57.375399999144
15.07253,56.1725799991282
-14.0086,64.7458
-71.984478,41.325261
-1.587499,55.436291
16.74875,57.4102799991445
18.9638,57.7094999991487
-8.942636,53.196839
-8.641309,54.25453
-7.241356,57.33794
-7.183612,57.61023
-7.247077,57.3343
-7.205809,57.52045
-7.239116,57.33775
-7.247558,57.46782
-7.179138,57.54345
-7.247077,57.3343
-1.82621,48.88089
-1.82815,48.88118
-1.82621,48.88089
-1.82815,48.88118
-1.82815,48.88118
-1.82621,48.88089
-2.957954,58.987687
-3.294527,58.964775
5.316101,59.331899
8.76183,58.409
14.3185,55.7284999991227
-3.312267,58.916348
-3.262315,58.964115
-3.251896,58.98226
-3.251896,58.98226
-3.312267,58.916348
-7.491213,57.58942
-7.491833,57.59385
-7.488496,57.59252
-7.489801,57.59316
-7.491927,57.59447
-7.488738,57.59079
-7.491559,57.58794
-7.491833,57.59385
-7.491833,57.59385
-7.493539,57.59206
-7.487378,57.58822
-7.488732,57.59197
-7.490129,57.5919
-7.491212,57.59274
-7.48955,57.58518
-7.487378,57.58822
-7.491833,57.59385
-7.492373,57.59354
-7.491833,57.59385
-5.822723,59.12619
-5.814081,59.12286
-4.601229,58.55684
-4.600499,58.55696
-5.822723,59.12619
-5.822723,59.12619
-4.600499,58.55696
-5.814081,59.12286
-4.601229,58.55684
-4.600499,58.55696
-1.400003,50.722031
-1.397124,50.725613
-1.400003,50.722031
-1.398541,50.72562
-1.397124,50.725613
-1.017415,50.794076
-1.400003,50.722031
-1.397124,50.725613
-3.567855,50.221971
-3.576537,50.187676
-1.82815,48.88118
-1.82815,48.88118
-1.82815,48.88118
-1.82815,48.88118
-1.82815,48.88118
-2.959667,58.984845
-2.971292,58.956486
-2.972007,58.739513
-3.042451,59.089598
-2.971292,58.956486
-3.185061,58.917154
-3.185061,58.917154
-2.971292,58.956486
-2.959667,58.984845
-3.185061,58.917154
-2.959667,58.984845
-3.312267,58.916348
-3.312267,58.916348
-5.872264,56.74572
-5.85312,56.75711
-5.85312,56.75711
-5.85312,56.75711
-5.868677,56.74808
-5.85023,56.75047
-5.854768,56.75546
-5.849096,56.75138
-5.85312,56.75711
1.458023,52.040448
1.458023,52.040448
1.458023,52.040448
-3.262909,58.964199
-3.312231,58.916312
-5.641755,56.00546
4.85,53.1
4.1495,53.166667
-5.599414,56.03285
-1.82815,48.88118
-1.82815,48.88118
-1.82815,48.88118
-1.82815,48.88118
-1.82815,48.88118
-6.363144,49.939074
-6.336538,49.90678
-5.76064,54.71743
-3.19155,58.845085
-3.312231,58.916312
-3.251896,58.98226
-3.262909,58.964199
15.72527,55.9793299991257
-0.936072,60.58896
-1.182978,54.624133
-1.181393,54.62592
-1.17212,54.624958
-1.182978,54.624133
-1.181393,54.62592
-1.17212,54.624958
-1.182978,54.624133
-1.181448,54.623224
-1.181393,54.62592
-1.17518,54.626776
-1.170498,54.628542
-66.82805,45.0575
-5.170433,56.6901
-5.170433,56.6901
-5.170433,56.6901
-5.129771,50.095016
-5.00799,50.226878
-5.137103,50.100216
-5.167284,50.091299
-4.983071,50.232019
-5.007444,50.151328
-5.007444,50.151328
-5.012983,50.239342
-4.992478,50.225479
-5.739511,54.8616
-5.756312,54.86203
-66.2361,45.169722
-66.2375,45.173889
-66.2675,45.162778
-5.392221,54.41898
-6.234416,55.28352
4.85,53.1
2.358693,61.304278
2.35298,61.298874
2.360323,61.302176
2.379455,61.303226
2.357466,61.299469
2.358693,61.304278
2.249258,61.330002
2.371986,61.282776
2.358693,61.304278
2.371986,61.282776
2.371986,61.282776
2.358693,61.304278
2.363228,61.297908
2.35298,61.298874
2.366342,61.300858
2.355415,61.308482
2.366342,61.300858
2.358693,61.304278
2.360323,61.302176
2.371986,61.282776
2.34399,61.297663
2.355415,61.308482
2.360323,61.302176
2.370713,61.30165
2.355415,61.308482
2.357466,61.299469
2.379455,61.303226
2.363228,61.297908
2.363228,61.297908
2.370713,61.30165
2.366342,61.300858
2.357466,61.299469
2.249258,61.330002
2.360323,61.302176
2.360323,61.302176
2.355415,61.308482
2.35298,61.298874
2.379455,61.303226
2.370713,61.30165
2.34399,61.297663
2.370713,61.30165
2.357466,61.299469
2.366342,61.300858
2.379455,61.303226
2.36698,61.291425
2.355415,61.308482
2.364467,61.29575
2.370713,61.30165
2.36698,61.291425
2.36698,61.291425
2.35298,61.298874
2.34399,61.297663
2.249258,61.330002
2.366342,61.300858
