Longitude,Latitude
10.530459,59.886368
14.73488,56.1515799991279
14.87867,56.1473699991278
23.192969,59.947769
10.522636,59.891138
11.38329,59.120762
4.95,52.9
16.73467,57.590269999147
-5.538055,54.47764
-5.566066,54.52846
-5.538055,54.47764
-2.213333,56.894999
-2.205994,56.951498
24.9577,59.4941
24.0388,59.4981
24.0388,59.4981
22.98079,58.37064
22.97344,58.35648
18.10883,59.3194999991728
14.85652,56.1502699991279
14.73488,56.1515799991279
15.25655,56.0740299991269
23.4598,58.9582
23.14624,58.93665
22.98067,58.36498
22.98067,58.36498
27.175,59.54
24.12086,59.37896
22.28082,58.5619
24.09712,59.38154
22.98067,58.36498
24.09457,59.37943
24.09467,59.37953
24.12371,59.37566
24.07021,59.38715
21.9601,58.3797
24.09455,59.37936
24.1205,59.37601
24.09619,59.38092
24.14136,59.36808
22.97336,58.35661
24.36686,59.48024
23.51194,58.57974
23.50922,58.58147
23.51241,58.57941
24.9388,59.4981
23.14617,58.93697
23.14617,58.93697
23.14617,58.93697
23.04318,59.0005
23.14617,58.93697
23.04318,59.0005
16.59492,57.0714799991399
14.3186,55.7285399991227
16.62843,57.0764799991399
23.2167,58.8167
23.255843,59.843023
-8.267083,51.861314
-10.010835,53.47926
22.28322,58.56218
22.98067,58.36498
22.28148,58.56266
22.27942,58.56209
22.53638,58.1703
22.56897,58.1407
22.27997,58.56216
22.53638,58.1703
22.28227,58.56227
22.56897,58.1407
22.27862,58.56212
22.99476,58.35547
22.71772,59.08031
24.3839,57.95409
22.99469,58.36094
22.69865,59.07211
23.72028,58.37728
22.9948,58.36037
22.70331,59.07371
24.38805,57.95387
22.99463,58.36187
22.6978,59.07191
25.74447,59.65505
22.99467,58.34354
22.69756,59.07188
25.74387,59.65498
23.7219,58.37691
22.99472,58.33409
23.39026,59.27925
25.74318,59.65439
24.0931,58.22884
23.39196,59.2799
25.7425,59.6543
24.0978,58.23281
22.74115,59.09214
23.39276,59.28009
25.74234,59.65423
24.38627,57.95313
23.39415,59.28071
25.74215,59.65418
22.27674,58.56214
24.45674,58.22444
27.83452,59.39941
24.9388,59.4981
24.91038,59.52299
24.37051,59.47567
24.9388,59.4981
24.74573,59.57483
24.91756,59.51104
24.27714,58.28241
24.42496,58.00995
26.75035,59.5243
23.72915,58.37604
24.91375,59.52371
24.41068,58.01064
23.71541,58.37413
24.74589,59.57482
24.43825,58.00755
26.74453,59.52145
23.72631,58.37563
24.91116,59.52328
24.88166,59.55136
27.83407,59.3978
23.25764,58.93482
24.91002,59.52289
22.25601,58.09011
24.3708,59.47506
24.41643,58.01063
23.72727,58.37574
24.91587,59.52419
24.43584,58.00827
26.74847,59.52408
24.91277,59.52358
24.8813,59.55184
26.74366,59.52131
23.25664,58.93282
22.26098,58.08988
26.75159,59.52511
23.70969,58.37317
24.7459,59.57489
24.9157,59.51083
24.9388,59.4981
23.25974,58.93881
24.37116,59.47438
23.10909,59.02734
23.26085,58.94191
24.36807,59.47905
24.9661,59.4901
23.10567,59.02734
23.26073,58.94093
24.37198,59.47385
23.26152,58.94307
24.36735,59.48043
26.67105,59.55905
26.65595,59.5496
23.11142,59.02736
26.65313,59.54807
23.1129,59.02731
26.6513,59.54673
23.11423,59.02728
26.65104,59.54638
23.11613,59.02729
24.74261,59.57422
24.49243,58.26182
26.65082,59.54635
23.11673,59.02724
24.74397,59.57449
24.91867,59.51098
24.03615,59.37041
24.03759,59.36742
24.03248,59.36879
24.03033,59.37292
24.034,59.37312
24.03277,59.3714
24.0377,59.36746
24.04004,59.35751
24.04121,59.35614
24.0372,59.36603
24.03622,59.36335
24.03287,59.36663
24.03382,59.36413
24.03313,59.36667
24.03785,59.36698
24.03792,59.36682
24.9388,59.4981
22.97329,58.37815
24.9388,59.4981
24.9388,59.4981
22.97074,58.37905
22.9661,58.36908
22.96715,58.37974
22.98167,58.3591
26.091,59.60355
22.96616,58.3693
-3.32952,47.70151
-3.59488,48.67828
-3.32952,47.70151
24.83347,59.56115
24.92151,59.51323
22.96517,58.37903
24.9131,59.52678
23.47939,58.94303
24.31687,58.26647
23.51651,58.96558
