Longitude,Latitude
3.879825,51.743195
4.101705,51.610385
3.879825,51.743195
4.939645,43.428581
4.939649,43.428577
3.703603,43.430493
3.995499,51.711421
3.879492,51.742978
3.997157,51.71229
18.45356,-34.192352
18.45356,-34.192352
3.879825,51.743195
3.879825,51.743195
3.85,51.7
5.986355,58.435828
3.995657,51.711457
3.879825,51.743195
3.85,51.7
3.85,51.7
3.997177,51.713221
3.997157,51.71229
3.997157,51.71229
4.142404,51.51983
3.997157,51.71229
4.170573,51.515521
4,51.7
4.098291,51.643306
3.878956,51.743191
3.996096,51.711444
3.913615,51.628912
3.913422,51.628952
3.828706,51.740112
18.425961,-34.187772
4.170573,51.515521
3.879825,51.743195
4.142404,51.51983
3.7,51.6
4.100218,51.611234
3.995657,51.711457
5.9871,58.4358
3.997231,51.712139
4,51.7
4,51.7
10.623863,59.682102
3.997157,51.71229
4.099628,51.643054
-5.657378,54.226425
3.995657,51.711457
-5.657378,54.226425
3.828706,51.740112
4.090869,51.643319
-1.23891,44.67294
3.995657,51.711457
4.089259,51.643632
3.995657,51.711457
4.170573,51.515521
4.170573,51.515521
4.090869,51.643319
4.092827,51.524716
4.001364,51.707907
-4.918079,55.94087
4.005191,51.59694
-3.209949,47.656694
4.001085,51.708864
3.7,51.6
3.95,51.7
3.95,51.7
4.003603,51.70935
3.913579,51.628596
3.995657,51.711457
3.995657,51.711457
18.462204,-34.207759
3.885651,51.744772
4.090869,51.643319
4.05,51.6
4.1,51.6
3.9,51.6
4.169875,51.516983
-5.27392,56.54501
-5.33815,56.47021
4.1,51.5
5.1295,60.9577
-3.220605,57.75536
5.12953,60.9577
18.4624,-34.2078
3.876501,51.744277
3.85,51.7
4.097819,51.643633
-2.071533,55.870274
-2.072333,55.866978
-2.072333,55.866967
-2.073556,55.866973
-2.073556,55.866973
-2.073562,55.869974
3.911751,51.629061
4.094313,51.524131
4.098116,51.643409
3.988067,51.524711
4.05,51.5
4.05,51.6
-4.879375,56.07922
4.104241,51.609563
4.101384,51.610492
3.927472,51.544369
3.914141,51.628777
4.105596,51.655507
4.105596,51.655507
4.090869,51.643319
4.090869,51.643319
3.912758,51.628051
4.100061,51.643632
4.093024,51.524561
4.104929,51.607314
4.1,51.6
3.7,51.6
3.7,51.6
-5.530732,50.117486
3.7,51.6
-1.977038,48.569517
3.878447,51.743475
3.85,51.7
-1.97771,48.57014
4.147027,51.52065
3.880792,51.743533
4.171457,51.515206
4.142575,51.520894
4.912,60.9768
5.9878,58.4357
5.98776,58.4357
5.129002,60.957295
-5.547402,50.103572
2.226944,41.409639
3.914468,51.629113
3.914413,51.628995
4.171822,51.515645
4.14373,51.520791
-1.775002,57.471508
-2.211555,56.893147
-1.776673,57.471781
-2.213591,56.892844
4.17308,51.516364
4.093477,51.524175
3.91433,51.62851
-1.775313,57.471637
3.9,51.6
3.7,51.6
3.7,51.6
3.9,51.6
-4.680133,58.553159
3.915796,51.628495
-1.776673,57.471781
-4.681274,58.552613
