Longitude,Latitude
5.90488,54.4099
5.9,54.41
5.47071,55.016
5.47,55.02
8.01667,54.0628
8.02,54.060001
8.01738,54.1512
8.01738,54.1512
8.01738,54.1512
8.01738,54.1512
7.97509,54.0875
7.96149,54.2548
8.01738,54.1512
8.01738,54.1512
7.97509,54.0875
8.24557,54.0031
7.96,54.25
8.25,54
8.02,54.150002
8.02,54.150002
7.96,54.25
8.02,54.150002
7.98,54.09
8.02,54.150002
8.02,54.150002
7.98,54.09
8.02,54.150002
7.96267,54.1318
7.96,54.130001
11.10917,58.88278
7.5,54.25
-1,56
-1.5,56.25
-1,56.5
-1,55.5
-1,56.5
-2,56
-2,57
0,54.5
-1.5,56.25
-1,57
-1,56
-0.5,56.25
-1,55.5
-1.5,56.75
0,54
-2,57
-2,56
-0.5,55.75
-0.5,54.75
-0.5,56.75
-1,57
-2.5,56.25
-0.5,56.25
-1.5,55.75
-1.5,56.75
-2,56.5
-0.5,55.25
-0.5,55.75
-0.5,56.75
-2.5,56.25
-1,55
0.5,54.25
-2,56.5
-0.5,54.75
-1,55
0.5,56.75
6.5,56.25
0,56.5
6,55.5
0,57
5,56
6.5,54.75
6,55.5
6,56.5
6,56
1,57
0.5,56.25
3.5,55.75
0.5,56.75
6,55
1,56.5
6,56
0,57
5.5,56.75
3,56
6.5,55.25
5,56.5
4.5,56.25
4.5,56.75
2,56
4.5,56.75
6.5,56.25
5.5,56.75
4,56
8,54
5,57
6,56.5
5,56.5
5.5,56.25
5,55.5
4,57
2.5,56.25
3,57
8,54
1,56
2.5,56.75
3,56.5
5,57
6,55
3,57
1.5,56.25
4,56.5
3.5,56.25
6.5,55.25
5.5,55.25
1,56
3.5,56.75
7.5,54.25
4,56.5
2,56.5
7,54.5
2,57
0.5,56.25
1.5,56.75
4.5,55.75
2,56.5
7,54.5
2.5,56.75
0,56
3,56.5
2,57
1.5,56.25
5.5,55.75
1.5,56.75
6.5,54.75
0,56
1.5,53.75
0.5,54.75
1.5,54.25
0.5,54.75
1.5,53.75
1.5,54.75
1.5,54.25
1,54.5
1,54.5
1,54
1.5,54.75
1,54
0.5,53.75
-89.6903,29.1283
-90.2453,28.6672
11.466667,58.266667
11.466667,58.266667
-75.7333,34.5
-75.3167,34.9333
