Longitude,Latitude
-5.452665,50.113376
-5.530237,50.114283
-5.452665,50.113376
-4.126498,50.356396
-4.12505,50.35544
-4.12505,50.35544
14.80307,68.66762
-5.743725,54.727392
-5.743725,54.727392
11.97038,57.3502299991437
-5.656575,54.226805
-5.656575,54.226805
11.40006,58.24217
2.910041,60.775998
11.575,57.4666699991453
10.3986,63.4392
9.2401,58.719
8.3798,58.2473
8.9535,58.6249
8.3798,58.2473
8.9535,58.6249
22.67273,70.0862
5.3249,60.3959
5.3249,60.3959
5.3099,60.3943
5.2586,60.3153
-5.484399,54.750314
-5.497046,54.7569
-5.492769,54.754902
-5.489326,54.752115
-5.488901,54.752046
-8.212722,43.460833
-8.192972,43.474778
-2.927926,50.725712
5.2917,60.392
5.312,60.3985
10.4072,63.4432
5.312,60.3985
10.5055,63.439
10.4072,63.4432
10.4072,63.4432
12.7155,55.999999999126
12.7411,55.9661699991256
12.71017,56.0086699991261
12.68808,56.0333299991264
8.48686,63.60351
4.950561,61.016579
-3.858835,50.257164
2.301008,57.496624
11.20813,58.6138699991619
11.19918,58.551199999161
11.04508,58.6498299991625
11.69,57.6699999991481
11.5162,58.0028499991529
11.85117,57.5691699991467
11.24098,58.5409799991608
4.696711,61.000409
4.697831,60.990559
4.673851,60.987409
-5.661168,55.03952
-5.696283,55.02342
-5.740148,55.11087
-5.551766,57.35804
-5.649322,57.36253
-5.551766,57.35804
-5.649322,57.36253
-5.551766,57.35804
-5.649322,57.36253
10.05085,54.509183
-1.537651,55.23843
5.273957,60.464902
10.18345,54.52655
12.73562,55.9819999991258
12.68808,56.0333299991264
12.7411,55.9661699991256
3.88413,47.79177
4.37117,48.32195
4.85392,48.38768
4.85465,48.38678
4.57937,48.29325
-2.60437,47.3673
4.00032,47.73497
3.96793,47.72847
4.37117,48.32195
3.88258,47.79177
4.3653,48.31355
4.00032,47.73497
3.13253,47.33133
3.88577,47.79158
4.00032,47.73497
3.88577,47.79158
4.37117,48.32195
-2.84348,47.40835
4.58078,48.29685
4.85392,48.38768
3.88258,47.79177
4.01122,47.73278
3.88413,47.79177
3.88577,47.79158
3.13542,47.33152
4.01122,47.73278
3.13018,47.33117
4.01122,47.73278
-4.911828,55.745834
-5.808975,54.66993
-5.808975,54.66993
-5.795667,54.83915
-5.808975,54.66993
-5.795667,54.83915
-5.81,54.67
-4.37038,48.33104
12.7337,55.986
12.73367,55.9859699991258
2.910041,60.775998
-5.609617,54.46206
-5.783835,54.14719
-5.609617,54.46206
-6.192327,54.07155
-5.783835,54.14719
-5.609617,54.46206
-5.609617,54.46206
-6.192327,54.07155
-5.609617,54.46206
-6.192327,54.07155
-5.609617,54.46206
-9.506624,51.683896
-6.11212,57.15396
-6.18221,57.14843
4.798911,61.040159
-4.152904,50.356512
-3.88413,47.79177
-4.00032,47.73497
-4.58078,48.29685
-4.85427,48.3868
-3.88413,47.79177
-4.00032,47.73497
-3.13253,47.33133
-4.00032,47.73497
-3.13253,47.33133
-4.85427,48.3868
-3.88413,47.79177
-4.00032,47.73497
-2.87382,48.78729
-3.13253,47.33133
-4.85427,48.3868
-3.13253,47.33133
-3.13253,47.33133
-3.88413,47.79177
