Longitude,Latitude
167.406833,-22.515391
167.406905,-22.515786
117.691626,-35.048834
72.862133,4.091104
153.573749,-28.358196
57.95213,23.84814
57.95213,23.84814
57.95213,23.84814
57.95213,23.84814
150.084028,-36.429701
151.740243,-33.011488
151.229443,-34.001979
-157.847665,21.280078
115.33848,-33.629702
152.151094,-32.713912
150.083907,-36.429535
150.083907,-36.429535
150.073755,-36.423281
150.073656,-36.423317
114.13444,22.18749
114.35361,22.32429
114.35361,22.32429
114.35361,22.32429
-61.18816,14.75918
-80.322601,27.45694
-80.322601,27.45694
-80.3226,27.4569
-80.3226,27.4569
-80.3226,27.4569
-80.3226,27.4569
125.251963,1.480238
151.149083,-34.073365
149.905559,-37.047331
3.89671,43.50449
150.061521,-36.507748
150.061521,-36.507748
149.983619,-36.737543
150.084373,-36.429406
150.084309,-36.429414
-157.78223,21.46056
-157.782,21.4606
-157.782,21.4606
-157.782,21.4606
-157.779,21.415
-157.779,21.415
166.43435,-22.30376
150.084234,-36.429466
150.084304,-36.429423
34.9603,29.5529
34.959999,29.549999
153.1375,-26.679167
148.951017,-20.34725
34.9603,29.5529
34.9603,29.5529
34.9603,29.5529
34.959999,29.549999
34.959999,29.549999
34.959999,29.549999
34.9603,29.5529
34.9603,29.5529
34.9603,29.5529
34.959999,29.549999
34.959999,29.549999
34.959999,29.549999
120.97139,13.52482
78.1618,8.7901
78.160004,8.79
151.231899,-33.992935
145.472328,-14.660069
145.472328,-14.660069
145.472328,-14.660069
145.454196,-14.644665
78.2042,8.74972
78.2041,8.7497
78.2058,8.7501
78.204201,8.7497
120.84168,13.67278
120.84149,13.65065
76.9883,8.3756
76.9883,8.3756
76.988297,8.3756
153.14597,-26.802992
153.14597,-26.802992
153.14597,-26.802992
153.14597,-26.802992
153.397414,-27.49449
78.1618,8.7901
41.441,16.8729
42.0688,17.1086
41.4358,17.7828
148.35,-42.18
125.722947,6.983595
127.664291,26.21218
152.04457,-23.4321
137.45752,-34.7198
137.12674,-34.11704
151.4441,-33.48424
34.92,29.31
34.919998,29.309999
130.59791,-31.875005
153.5252,-27.41309
153.5252,-27.41309
118.651,-35.204
118.293,-35.3647
115.336,-35.069689
115.342,-35.07015
118.66,-35.20875
118.3,-35.36775
144.72,-38.32
150.23356,-35.83011
150.23355,-35.8301
159.929833,-9.419667
153.566667,-28.2
130.85205,-12.5222
153.09949,-30.94099
121.8833,-33.85
135.465,-35.0351
152.781906,-24.723049
152.031906,-24.202101
144.625,-38.2802
144.62,-38.2873
144.62,-38.2873
144.62,-38.2873
144.62,-38.2873
144.659,-38.3042
144.659,-38.3042
144.613,-38.2967
144.613,-38.2967
144.613,-38.2967
144.613,-38.2967
144.589,-38.2902
144.589,-38.2902
144.589,-38.2902
144.589,-38.2902
144.598,-38.2941
144.598,-38.2941
144.598,-38.2941
145.61,-38.6803
145.61,-38.6803
145.617,-38.6774
145.617,-38.6774
145.617,-38.6774
145.683,-38.6643
145.683,-38.6643
145.683,-38.6643
145.683,-38.6643
144.717,-38.3173
144.659,-38.3021
144.659,-38.3021
144.801,-38.3069
144.801,-38.3069
144.801,-38.3069
144.801,-38.3069
144.655,-38.2753
144.63,-38.2864
144.63,-38.2864
144.63,-38.2864
144.623,-38.2901
144.623,-38.2901
144.698,-38.2767
144.698,-38.2767
144.698,-38.2767
144.698,-38.2767
150.92666,-34.49166
150.9125,-34.47166
150.90416,-34.46583
150.91166,-34.47166
150.90833,-34.47666
150.90166,-34.47082
150.90166,-34.47082
150.9,-34.47332
150.90166,-34.47082
144.8,13.5
144.8,13.5
144.8,13.5
-157.857,21.2941
-157.844,21.2849
-157.858,21.2934
-157.855,21.293
-157.841,21.2851
-157.866,21.2915
-157.842,21.2879
-158.12,21.3218
-158.121,21.3222
151.20666,-33.97166
151.215,-33.98499
151.21,-33.98833
151.21,-33.97499
151.20833,-34.00333
151.20666,-33.97166
151.683,-32.91999
151.968889,-23.435
-157.869,21.3022
-157.886,21.3141
-157.865,21.3108
-157.877,21.3168
-157.883,21.3173
-157.867,21.3106
-157.865,21.306
-157.887,21.3154
-157.881,21.3168
-157.865,21.3091
-157.864,21.3038
-157.865,21.305
-157.907,21.3181
-157.872,21.3069
-157.873,21.3109
-157.919,21.3117
-157.87,21.3092
-157.894,21.3197
-157.967262,21.32136
-88.18,16.65
148.05,-40.76666
-157.967262,21.324878
143.4,-11.7977
143.6283,-11.723
143.3663,-11.9188
143.2907,-11.6597
143.2608,-11.343
142.9317,-11.3577
142.9283,-11.2863
143.2788,-11.6883
143.1352,-11.2222
143.1608,-11.3992
143.3303,-11.201
142.9312,-11.4985
143.2308,-11.2792
143.0123,-11.1317
143.7947,-11.1965
143.0523,-11.1732
143.2507,-11.8193
143.1383,-11.3025
143.0435,-11.356
143.244,-11.6088
143.0195,-11.7903
142.8627,-11.4827
143.0603,-11.2048
142.9535,-11.2005
-157.967262,21.324878
-88.18,16.65
143.1833,-11.5617
142.995,-11.2267
143.0583,-11.885
143.1017,-11.3567
143.5167,-11.3267
142.8917,-11.385
143.015,-11.82
143.2083,-11.3167
143.1883,-11.1317
143.25,-11.635
142.9717,-11.5317
143.6617,-11.72
143.1483,-11.15
143.2667,-11.6017
142.9483,-11.2683
142.98,-11.58
143,-11.4
143.0483,-11.3517
145.52,-40.856667
-88.1486,16.8086
-88.18,16.65
-74.67,10.17
-88.18,16.65
-88.18,16.65
137.625,-35.941667
115.696667,-31.775
141.617778,-10.1
127.848,26.5
158.6078,-19.11667
142.033333,-10.383333
127.923,26.29
127.848,26.5
159.13499,-29.48499
159.01999,-29.95333
127.847,26.4733
149.883,-37.07832
149.883,-37.07832
149.88499,-37.07832
149.88499,-37.07832
149.92832,-37.10333
149.92832,-37.10333
149.92832,-37.10333
149.92832,-37.10333
148.15,-37.95
146.465,-39.0383
146.465,-39.04
146.465,-39.0383
146.478,-39.0583
146.317,-39.1367
146.465,-39.0383
146.467,-39.0333
135.11501,33.983002
119.3283,-17.2725
122.2,-17.9833
150.733,-35.05
143.478,-39.1117
147.53,-40.1658
146.09,-40.934
147.53,-40.1658
147.53,-40.1658
145.72,-40.1792
145.72,-40.1792
148.133333,-19.983333
148.25,-20.016667
127.848,26.5
148.542,-40.7317
143.123,-39.1117
148.405,-40.1133
142.927,-39.105
143.242,-38.8
143.112,-39.2783
146.313,-39.81
143.113,-39.4383
147.32,-39.805
147.108,-38.895
146.313,-39.81
143.69,-40.445
146.455,-39.215
120.966667,14.616667
120.966667,14.616667
114.333333,22.3
153.466667,-26.983333
152.017222,-21.750556
152.034722,-21.833611
150.966667,-23.166667
145.966667,-16.766667
145.283,-40.37
145.38,-40.63
145.533,-40.3967
145.38,-40.63
145.38,-40.53
145.533,-40.3967
145.283,-40.37
135.502,-0.8367
179,-18
127.397,-1.5417
130.947,-0.83
143.468889,-12.667222
143.334167,-12.485278
150.916667,-23.166667
153.566667,-28.35
151.916667,-23.45
153.116667,-26.683333
153.383333,-28.166667
153.15,-28.133333
145.466667,-14.666667
151.916667,-23.45
153.616,-28.633
-79.87,9.4
147.3,-39.45
147.28,-39.45
147.28,-39.45
-79.8833,9.3833
-79.8833,9.3833
-157.967262,21.32136
-79.93,9.37
151.333,-33.733
151.333,-33.733
150.9,-34.6
-157.967262,21.32136
-79.9533,9.3717
150.733,-35.05
146.401027,-41.168615
148.020983,-39.868594
153.416667,-27.483333
153.283333,-27.483333
151.333,-34.066
151.12832,-34.07166
151.416,-34.066
151.333,-34.066
40.8833,-2.7
51.58,11.4
51.13,11.23
51.05,9.68
50.98,9.55
114.4,-29.833333
153.116667,-26.383333
144.8,-38.3
115.666,-32.2
115.666,-32.2
115.533,-31.983
151.15,-34.066
148.25,-20.033
151.316,-33.733
-72.82,20.07
144.67,-38.2683
29.894361,31.208182
148.62707,-40.94974
148.016,-42.733
148.016,-42.733
145.016,-14.466
145.366,-14.683
151.7,-23.3
151.7,-23.3
151.7,-23.3
151.25,-33.983
148.25,-20.016
151.5,-33.366
-76.8,34.3181
123.367,9.2625
151.24833,-33.816
121.016,5.8592
120.976,5.8542
120.786,5.6944
120.454,5.4111
120.703,5.55
119.85,4.9861
120.786,5.6944
120.95,6.0625
124.83,11.75
124.83,11.75
151.5,-33.5
151.5,-33.5
151.5,-33.5
150.716,-35.066
-69,12
-69,12
-157.99,21.3867
-157.953,21.3575
-157.967,21.3472
-157.978,21.3472
-157.97,21.3242
-157.96,21.3692
-157.976,21.3633
-157.96,21.3845
-157.977,21.375
-157.951,21.3613
-157.936,21.3713
-157.951,21.3712
-157.977,21.375
-157.976,21.36
-157.936,21.3713
151.916667,-23.45
151.916667,-23.45
151.916667,-23.45
115.85,-31.95
115,-32
151.916667,-23.45
151.916672,-23.45
151.907528,-23.927944
155.916667,-23.45
151.916667,-23.45
155.916667,-23.45
151.916667,-23.45
153.083333,-25.05
153.266667,-30.016667
153.266667,-30.016667
147.3,-39.483333
147.3,-39.483333
151.916667,-23.45
145.466667,-14.666667
151.916667,-23.45
151.916667,-23.45
146.916667,-19.216667
151.916667,-23.45
151.916667,-23.45
151.916667,-23.3
145.416667,-14.8
148.25,-20.016667
146.916667,-19.216667
146.016667,-17.533333
-157.894,21.3197
-157.855,21.293
-157.865,21.3108
-157.867,21.3106
-158.121,21.3222
-157.844,21.2849
151.29499,-33.80333
151.266,-33.85
115.85,-31.95
55.37,-4.67
-82.92,22.97
-82.92,22.97
-76,17
-83.0401,29.1363
-82.92,22.97
-83.17,22.95
-76,17
78.2058,8.7501
76.9882,8.3761
78.2025,8.75149
78.2058,8.7501
78.2058,8.7501
76.9882,8.3761
78.2025,8.75149
76.9882,8.3761
78.2025,8.75149
78.2058,8.7501
76.9882,8.3761
78.2025,8.75149
78.2058,8.7501
-149.83206,-17.47881
-149.57969,-17.53795
-149.5802,-17.53412
-149.29905,-17.80884
-149.90102,-17.48514
-149.29886,-17.8155
-149.85141,-17.48077
-149.90047,-17.48854
-149.57664,-17.53966
-149.56922,-17.52571
-149.84914,-17.48312
-149.30098,-17.82796
-149.30247,-17.8217
-149.75496,-17.49836
-149.84952,-17.48331
-149.90081,-17.48658
-149.83199,-17.47713
-60.88205,14.44202
78.209999,8.75
78.199997,8.75
78.199997,8.75
76.989998,8.38
78.209999,8.75
78.209999,8.75
78.199997,8.75
76.989998,8.38
78.199997,8.75
76.989998,8.38
76.989998,8.38
78.209999,8.75
78.209999,8.75
126.568565,33.225681
129.071365,35.058571
126.693291,33.5513
126.566597,33.228016
126.566597,33.228016
126.59861,33.247169
126.769005,33.292965
126.566322,33.222744
126.313271,33.227951
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.515167,33.230232
126.545807,33.23518
126.515175,33.230232
126.515175,33.230232
126.515175,33.230232
126.545822,33.23518
126.545815,33.23518
126.545815,33.23518
126.545822,33.23518
126.545807,33.23518
126.515175,33.230232
126.515175,33.230232
126.515183,33.230232
126.51516,33.230232
126.515175,33.230232
126.51516,33.230232
126.515183,33.230232
126.515167,33.230232
126.515167,33.230232
126.545822,33.23518
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
126.693291,33.5513
-61.21461,14.78133
