Longitude,Latitude
-82.831908,27.96051
-82.815735,28.059856
-82.815735,28.059856
-64.742592,32.324159
-64.777174,18.348265
-81.969381,26.465229
-84.74401,22.21971
-79.80197,22.98494
-79.80208,22.9851
-76.40107,19.94316
-92.309633,20.951783
-92.30193,20.96412
-92.23405,20.90009
-92.20296,20.49111
-89.695139,22.38275
-89.6951,22.3828
-89.750861,22.585111
-82.2173,9.3485
-90.291389,21.441692
-90.147555,21.347167
-90.291389,21.441917
-90.291389,21.441917
-90.291389,21.441917
-90.288472,21.440222
-90.285528,21.439306
-90.283028,21.439417
-90.285528,21.439306
-90.286639,21.439778
-89.675111,22.367056
-82.338,26.239833
-90.2775,21.437969
-90.291528,21.440333
-83.003333,28.285
-82.2342,9.3908
-82.22,9.3339
-82.234169,9.39083
-82.220001,9.33389
-89.675111,22.367056
-89.705555,22.395194
-83.2675,29.088333
-81.208167,30.475833
-82.1,25.467167
-80.665,31.45083
-64.889333,18.309667
-80.5914,31.405
-87.7675,23.368889
-82.2103,26.2978
-82.2103,26.2978
-82.2103,26.2978
-81.6633,25.2967
-82.1408,26.0531
-81.8,25.2944
-81.6633,25.2967
-82.1011,26.7669
-81.6633,25.2967
-81.8,25.2944
-81.8,25.2944
-82.1408,26.0531
-82.1011,26.7669
-82.8694,25.2878
-83.1844,25.7617
-82.5269,25.7647
-83.0344,25.2864
-82.5269,25.7647
-83.0344,25.2864
-83.1844,25.7617
-81.6633,25.2967
-81.6633,25.2967
-82.1408,26.0531
-82.2103,26.2978
-82.1011,26.7669
-81.6633,25.2967
-82.1408,26.0531
-81.6633,25.2967
-81.8,25.2944
-81.8,25.2944
-82.1408,26.0531
-82.2103,26.2978
-82.1408,26.0531
-83.3969,26.2806
-82.8694,25.2878
-83.3969,26.2806
-82.8694,25.2878
-83.0344,25.2864
-83.0344,25.2864
-83.5353,26.7636
-83.5353,26.7636
-82.8694,25.2878
-83.3372,25.7597
-83.8525,24.7903
-82.8694,25.2878
-83.8525,24.7903
-83.3372,25.7597
-57.0667,7.5833
-57.0667,7.5833
-82.877037,24.643629
-34.7333,-8.3667
-83.003333,28.285
-64.9333,18.3333
-77.4,18.4667
-77.4667,18.4667
-68.987,12.131
-62.9667,17.5
