Longitude,Latitude
3.04,51.459999
3.04,51.459999
2.711,51.413
-4.911828,55.745834
-9.580272,53.323983
2.80955,51.433633
3.0581,51.471017
2.80925,51.433567
2.791,51.581
-0.02257,49.335
-3.191483,58.845033
-3.103781,58.856917
-3.012833,58.8495
-3.191483,58.845033
-3.012833,58.8495
2.941667,51.2545
2.816167,51.193
-3.191483,58.845033
-2.912,58.893333
-3.2,58.800833
-2.988533,59.129283
-3.19866,58.801333
-3.19866,58.801333
-2.918,58.8425
-2.905917,59.031633
-2.758783,59.233383
-2.81,59.19
-2.7515,59.157617
-2.758033,59.232717
-2.434833,59.35425
-2.977733,59.322
2.888,51.525
1.59611,50.75083
1.59611,50.75083
2.873,51.529
-5.772845,54.713884
-8.851,41.694
7.899,54.171
7.899,54.171
7.899,54.171
7.899,54.171
7.899,54.171
7.899,54.171
7.899,54.171001
7.899,54.171001
7.899,54.171001
7.899,54.171001
7.899,54.171001
7.899,54.171001
3.27,51.380001
2.422,51.236
3.18,51.37
2.808,51.433
2.808,51.433
2.654,51.737
2.422,51.236
2.518,51.352
-4.050067,48.700078
-4.050067,48.700078
-8.8,41.5
-6.58778,54.0144
-5.071167,55.755333
12.605,67.6533
-16.296,33.073
-16.943,32.633
-25.487,37.715
-8.901,40.176
