Longitude,Latitude
3.875556,43.500833
-4.962,48.403
-4.606334,54.07184
-4.606334,54.07184
-4.606334,54.07184
-5.114754,50.102
26.502627,39.178064
-4.607313,54.07257
-4.607313,54.07257
-6.328828,49.959209
-6.332416,49.960334
-6.295037,49.955518
3.700097,43.424624
-8.885,42.568
-8.904566,37.01178
-7.843935,36.98353
-7.843935,36.98353
-2.525314,49.42904
-1.6896,50.737995
4.85427,48.3868
4.85465,48.38678
4.85465,48.38678
-2.359609,49.402555
-2.242323,49.739011
-2.376506,49.724082
-1.80372,48.88803
-4.85427,48.3868
-4.85427,48.3868
-4.85427,48.3868
-3.923578,48.689601
13.96,44.8
-4.85465,48.38678
-4.85427,48.3868
-4.85465,48.38678
-4.85427,48.3868
-4.85465,48.38678
-4.85465,48.38678
-1.40618,49.70488
-1.3672,49.71257
0.291,50.111
9.121306,39.206389
9.121306,39.206389
9.121306,39.206389
10.599694,35.892944
-2.85413,48.70126
-2.85169,48.71609
-3.27219,48.8544
-3,48
-5.100044,50.081857
-2.5581,48.65148
-2.88805,48.70468
-3,48
-3.85724,47.79491
-3.96734,47.8751
20.791833,39.061917
20.791833,39.061917
20.791833,39.061917
-6.2854,49.956775
-6.338536,49.943098
-6.292465,49.97361
-6.292545,49.974507
-6.351329,49.958996
-6.29083,49.976002
-6.281594,49.928105
-6.284174,49.957002
23.9,37.77
-2.170448,49.186716
26.55,37.36
-2.2022,49.7234
-8.356,37.1
-8.386,37.097
13.662176,45.547993
-3.9337,48.71222
-3.9337,48.71222
-4.85427,48.3868
-3.90615,48.68878
-3.90615,48.68878
-2.146033,50.608955
-2.19184,47.05335
-2.19184,47.05335
-2.19184,47.05335
-4.52842,53.224481
-4.630316,52.906666
20.13,39.24
-1.05917,45.54472
26.063,39.842
-4.525586,53.227239
-5.506101,52.16273
-4.628885,52.907597
-2.93117,50.693501
-3.052505,50.678834
-4.526595,52.938591
19.473392,40.363426
13.6,45.2333
-2.169625,49.190747
-4.162715,53.220894
26.96,36.92
17.92297,40.18485
8.855315,44.814521
-3.57713,48.78542
18.507785,40.142833
-6.286981,49.960586
-6.300297,49.962251
-6.286981,49.960586
-6.294643,49.958916
-6.34028,49.952247
-3.770825,50.23389
3.621,43.406
26.16,39.37
-2.146292,49.180749
-2.237285,49.190744
-2.157952,49.18408
-2.020144,49.226076
-5.43,36.07
23.45,37.72
23.45,37.69
-14.0123,28.6875
-16.837,28.2183
-16.5423,28.0354
-16.8394,28.2204
8.22,40.93
-4.87,36.5
-4.4375,48.365667
-4.4105,48.321833
12.61,35.49
-3.981,48.726
-3.981,48.726
14.457667,35.982167
-8.766833,42.252167
14.430667,36.0015
14.56,35.85
14.29,36.02
12.5,38.01
14.56,35.85
14.29,36.02
-13.5497,28.9554
-13.5497,28.9554
-13.5497,28.9554
24.054025,39.320629
12.62,38.06
15.12,36.72
3.16889,42.367935
11.08,42.41
27.15,35.42
27.15,35.42
27.15,35.42
-2.529584,49.437385
-2.442928,49.480709
-2.459597,49.474041
-2.459608,49.47401
-2.442944,49.480676
-2.530433,49.441512
-2.528766,49.434013
12.589623,35.498197
-3.3015,39.68814
14.45,35.94
-1.95044,50.651167
-4.405591,36.682554
34.008,34.977
16.083333,38.316667
-8.864094,42.499177
31.384,36.765
35.91667,35.91667
14.43333,35.91667
9.71,39.93
