Longitude,Latitude
-9.061611,38.437561
-5.070095,50.141841
-5.069185,50.14223
-2.836494,48.65958
-9.116345,38.433427
18.459387,-34.204467
18.462316,-34.207783
-1.603521,55.639954
-2.820143,48.650764
9.071403,63.467674
-5.530237,50.114283
5.986355,58.435828
-1.684996,46.441054
-6.524637,57.365829
-5.530237,50.114283
-5.530237,50.114283
-9.073444,53.156601
-9.065935,38.435013
11.19079,58.35731
-1.629411,55.630488
-2.204633,43.303981
11.17824,58.36852
-4.109888,50.307341
-9.073444,53.156601
-5.452665,50.113376
-5.574864,54.391276
-9.059895,38.436014
-5.115134,48.445186
-9.073444,53.156601
11.18523,58.36747
11.17824,58.36852
11.61567,58.37026
11.18523,58.36747
11.55762,58.32148
11.02381,58.53687
11.02333,58.53753
11.18888,58.35745
12.267374,65.131933
11.18523,58.36747
-4.568357,48.333251
8.785986,58.432981
11.60096,58.36216
11.22933,58.33011
11.60096,58.36216
11.55946,58.3214
8.415203,63.610992
8.238915,63.489509
8.484203,63.570881
8.238915,63.489509
8.237028,63.489474
11.10521,58.87523
-9.198042,38.408082
11.04319,58.8373
-5.062518,50.145956
9.091947,63.292543
-8.778773,42.228462
-8.798404,42.203432
-5.264534,56.06877
4.908763,60.818291
-8.894067,42.197594
-8.777543,42.226444
-5.24473,56.67616
-6.009518,56.58845
11.044446,56.506616
11.042172,56.507824
14.613236,67.238055
11.08152,58.53216
-5.050117,50.14557
-4.5299,48.34358
-4.45359,48.29332
11.18657,58.35703
-2.48019,57.673496
-5.603526,56.0294
-3.497802,50.40105
-1.934974,50.62593
-4.824534,50.59454
11.29108,58.29953
11.02381,58.53687
11.21028,58.37521
-10.017108,53.474565
-5.245526,51.73786
-4.466973,54.15435
-5.666767,54.66597
-6.723904,55.18055
-2.125232,55.89913
-2.126763,55.90754
-2.079969,55.87579
-1.943236,50.62199
-2.448943,50.55934
-1.17719,44.66407
11.36007,58.32875
-5.554074,57.357749
-8.802611,43.321951
-5.656273,54.67074
-5.243604,51.73607
-5.18727,51.75474
-2.148557,55.91761
-2.125937,55.89949
-4.918079,55.94087
-2.140385,55.91892
-2.140385,55.91892
-5.549333,57.35334
-1.319039,54.89565
-1.319039,54.89565
-3.207642,47.671351
8.790123,58.401974
-1.602904,55.64347
-1.602904,55.64347
-4.77176,48.46842
11.095218,63.837779
-9.073444,53.156601
-5.113393,58.47067
-1.627638,55.63077
-1.627638,55.63077
-3.09293,47.471386
-3.09293,47.471386
-5.654984,54.6709
-5.297015,56.54894
5.741519,58.981031
5.9994,58.415
5.9983,58.4171
5.988,58.4074
5.9841,58.3929
5.9675,58.3963
5.7415,58.9811
10.6238,59.6822
-2.48422,57.67344
-2.48422,57.67344
5.98803,58.4074
5.96748,58.3963
5.99833,58.4171
5.99936,58.415
5.800494,58.974294
10.6235,59.6824
-2.48422,57.67344
5.83277,59.013998
5.2108,60.2662
10.6238,59.6822
5.208,60.2688
5.208,60.2688
8.9838,63.4283
8.9838,63.4283
9.0984,63.4228
-2.48422,57.67344
-3.131834,57.69676
11.02333,58.53753
-4.133353,50.346784
8.9838,63.4283
9.2126,63.4539
9.568,63.7811
-4.115324,51.211878
-0.526561,54.422436
-4.420737,52.99964
-2.447842,50.55861
-3.508118,50.47906
-5.050402,50.14521
-6.395761,49.86272
-3.508387,50.48001
-2.135776,55.913444
4.9797,61.5038
7.5521,57.9913
7.567,57.9886
7.4769,58.021
7.512,58.004
4.7053,61.1758
4.9438,61.578
4.7471,61.5498
7.5336,57.9739
7.555,57.9747
5.2951,60.4231
7.4919,57.9661
7.4489,58.0019
7.5336,57.9739
-2.137554,55.912965
-8.491607,54.98825
-9.082161,53.24868
-8.457294,54.98199
-8.54014,55.02291
-5.189398,58.39003
-2.805545,50.6832
-2.126765,55.90837
-5.1256,58.41824
-5.132531,58.47289
-5.101133,58.41935
-5.123081,58.47447
-2.447543,50.55831
-5.076211,58.45749
-5.434995,56.45383
-6.225532,55.29342
-6.225036,55.27549
-6.287961,55.29715
-6.252272,55.3122
-6.26834,55.30792
-2.200786,43.302768
-4.133838,50.33772
-9.66257,52.68696
-2.089442,55.870767
23.45127,70.75763
-2.482667,49.44007
-2.653915,49.48934
-9.942243,53.64169
-8.459793,54.56633
-9.963064,53.63972
-1.42731,55.03992
-6.723907,55.18057
-2.450529,50.55909
-4.983815,58.63642
-1.452929,55.08014
-1.436442,55.06165
-5.5517,54.38126
-5.052973,50.06005
-3.716097,50.19753
11.03047,58.54124
-4.761,54.085633
-5.124903,51.70984
-5.123432,51.70908
-6.103245,53.28477
-1.397133,55.00266
-5.12474,51.70937
-4.601754,53.23662
-5.123432,51.70908
-4.655856,53.28366
