Longitude,Latitude
4.848953,60.606684
2.716507,51.155905
4.5,52.35
3.7,51.4
4.25,52.05
3.7,51.4
4.55,52.45
4.55,52.45
3.7,51.4
4.5,52.45
3.7,51.4
3.7,51.4
3.7,51.4
4.5,52.45
3.7,51.4
4.55,52.45
4.45,52.3
3.7,51.4
4.55,52.45
3.7,51.4
4.5,52.45
3.7,51.4
4.55,52.45
4.5,52.45
3.7,51.4
4.848953,60.606684
4.848953,60.606684
7.722403,63.056552
18.768525,69.671045
-2.86376,56.463903
-3.103573,53.559012
10.899005,56.480865
5.406007,53.175311
-2.716819,56.060958
9.742339,55.525198
17.995528,69.637768
10.726819,59.730466
13.10942,55.37555
10.734329,59.251057
0.478452,52.928912
8.068066,58.183451
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
4.5,52.45
4.6,52.75
3.7,51.4
3.7,51.4
3.7,51.4
3.4,51.5
3.7,51.4
4.85,53
11.171287,59.161853
3.7,51.4
3.55,51.4
3.7,51.4
3.7,51.4
4.5,52.45
3.55,51.4
4.15,52.05
4.6,52.75
3.7,51.4
9.260193,58.718084
18.761054,69.663202
3.7,51.4
3.7,51.4
3.7,51.4
4.5,52.45
9.258792,58.712328
10.272523,59.531222
10.447838,64.329773
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
5.312254,60.326793
3.7,51.4
3.7,51.4
5.29366,60.320102
3.7,51.4
4.6,52.65
3.7,51.4
3.7,51.4
4.7,53.05
4.45,52.25
4.25,52.05
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
4.5,52.45
3.7,51.4
9.173497,58.696962
9.741232,55.525211
3.7,51.4
6.05,53.4
4.5,52.45
3.7,51.4
3.7,51.4
5.292356,60.319773
5.6,53.4
5.1,53.3
4.45,52.3
3.7,51.4
3.7,51.4
5.247122,59.416855
5.8,53.45
5.299476,60.318672
18.732955,69.63603
12.7828,56.22225
18.761054,69.663202
5.621998,59.424373
32.852845,66.704624
7.431708,58.031549
11.75277,57.64194
3.35,51.35
9.741151,63.848182
6.821689,62.78531
-4.886027,55.7606
11.52945,58.29756
11.56946,58.32959
4.6,52.55
-7.482279,55.097284
10.542655,59.536082
10.868627,59.159868
10.866319,59.158446
9.867815,63.4827
10.862972,59.15634
10.950365,59.035977
10.401665,59.538586
12.44708,56.30337
4.55,52.45
6.2,53.5
4.55,52.45
4.55,52.45
4.55,52.45
4.55,52.45
4.55,52.45
4.55,52.45
4.55,52.45
4.45,52.3
4.45,52.3
3.45,51.45
4.55,52.45
3.4,51.5
10.61797,59.573571
4.25,52.05
6.2,53.5
1.612843,52.163545
1.734423,52.569171
4.5,52.45
4.5,52.45
3.7,51.4
3.7,51.4
4.55,52.45
3.5,51.4
4.35,52.2
4.25,52.1
4.25,52.1
4.5,52.45
4.7,52.9
4.5,52.45
5.8,53.45
1.444153,52.874962
4.55,52.45
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
6.284461,62.487029
5.235938,59.406744
