Longitude,Latitude
-3.9408,48.692799
-3.9408,48.692799
5.19595,60.1846
5.13933,60.2573
5.19595,60.1846
-60.200001,46.139999
7.9,54.189999
7.9,54.189999
7.9,54.189999
7.9,54.189999
7.9,54.189999
-4.1673,50.333801
174.830002,-41.32
3.9573,48.7384
-3.96,48.740002
10.7917,56.856701
174.821503,-36.279499
12.1167,56.666698
2.852222,52.226389
3.154167,52.608333
2.25,51.088889
2.55,51.088889
2.852222,51.473611
3.468611,52.608333
4.406944,52.608333
3.783333,52.226389
3.783333,52.608333
1.95,51.088889
3.154167,51.473611
2.25,51.473611
1.65,51.088889
3.468611,52.226389
2.55,51.473611
3.468611,51.473611
3.154167,52.226389
4.098889,52.608333
4.098889,52.226389
3.020833,51.5611
3.003333,52.226389
2.55,51.088889
3.003333,51.847222
3.020833,51.5611
3.468611,51.753611
3.311389,52.608333
2.852222,51.566944
3.625833,52.226389
3.311389,52.036778
3.154167,51.566944
3.783333,52.036778
2.55,51.566944
2.89,51.257083
2.55,51.942
3.625833,51.847222
4.098889,52.608333
3.154167,52.608333
2.55,51.088889
3.468611,52.608333
4.406944,52.608333
3.783333,52.608333
3.154167,51.473611
3.468611,51.473611
4.098889,52.608333
4.098889,52.226389
2.852222,52.226389
2.25,51.088889
2.852222,51.473611
3.783333,51.847222
3.783333,52.226389
3.468611,51.847222
2.55,51.847222
1.95,51.088889
3.154167,51.473611
2.25,51.473611
1.65,51.088889
3.468611,52.226389
2.852222,51.847222
2.55,51.473611
3.154167,52.226389
1.95,51.473611
3.154167,51.847222
2.25,51.088889
2.55,51.088889
1.95,51.088889
1.65,51.088889
3.154167,51.473611
3.468611,51.473611
2.25,51.088889
2.55,51.088889
2.852222,51.473611
3.154167,51.473611
2.25,51.473611
1.65,51.088889
3.783333,51.847222
3.468611,51.847222
2.55,51.847222
1.95,51.088889
3.154167,51.847222
2.852222,51.847222
2.55,51.473611
3.468611,51.473611
2.852222,52.226389
3.154167,52.608333
3.468611,52.608333
4.406944,52.608333
3.783333,52.226389
3.783333,52.608333
3.468611,52.226389
3.154167,52.226389
4.098889,52.608333
4.098889,52.226389
2.1,51.473611
1.8,51.088889
4.256944,52.226389
3.003333,52.226389
2.55,51.088889
3.311389,51.473611
3.003333,51.847222
3.311389,52.226389
3.003333,51.473611
3.311389,52.608333
2.1,51.088889
3.311389,51.847222
3.941111,52.608333
3.625833,51.847222
4.556944,52.608333
2.701111,51.847222
-3.805556,54.8325
-3.805556,54.8325
-3.805556,54.8325
-3.805556,54.8325
-3.805556,54.8325
-3.805556,54.8325
-3.805556,54.8325
-2.902457,54.041582
-3.65,49.183333
2.533333,51.75
-0.216667,49.55
-0.616667,49.55
2.3,51.55
-0.216667,49.8
2.15,51.283333
-4.55,50.133333
-0.116667,49.65
-3.85,49.9
-5.333333,49.45
-5.75,49.683333
-6.5,49.316667
-5.75,49.416667
29.251941,-1.54783
12.523,55.928001
-3.466667,49.733333
-88.05,16.77
174.83,-41.32
-3.98,48.720001
