Longitude,Latitude
-6.53193,57.370963
-6.431566,57.339466
6.658316,53.608612
8.310433,54.678947
8.348279,54.707539
6.905595,53.550426
-9.074768,53.15602
-4.808788,55.95794
-5.309197,56.45466
-4.808788,55.95794
-5.983492,56.64958
-5.912325,56.55645
8.295984,54.906906
8.582232,54.300644
-6.009518,56.58845
-6.037083,56.62281
-5.372267,56.51345
-5.54457,50.101982
-6.062907,57.27296
1.054274,52.96685
1.135271,52.95106
1.135079,52.95129
1.135469,52.95112
1.054695,52.96522
-1.873289,50.7136
1.135079,52.95129
0.493087,52.95094
1.276929,52.93934
1.135129,52.95127
1.145065,52.94967
1.05573,52.96575
1.147587,52.94994
1.135129,52.95127
1.054206,52.96526
1.054695,52.96522
-2.448699,50.57151
1.135469,52.95112
1.103211,52.95711
1.135079,52.95129
-5.605493,54.541428
-5.605617,54.541342
-5.605502,54.541275
-5.60541,54.541528
-5.628391,54.45144
-5.630463,54.45131
-9.870561,53.62817
-6.208189,53.79065
-5.628345,54.45144
-5.729964,54.95496
-4.917036,55.9402
-2.126763,55.90754
-4.905991,55.96382
-5.28677,56.54717
-2.125232,55.89913
1.135079,52.95129
1.102288,52.95721
1.135469,52.95112
1.146795,52.95001
1.102078,52.9573
1.143796,52.9491
1.211955,52.95004
1.13667,52.95084
1.135469,52.95112
1.054385,52.9678
-1.621994,55.64445
1.732034,52.87009
-1.456633,55.11776
1.135079,52.95129
-1.621994,55.64445
1.13895,52.95025
1.057362,52.96883
1.102995,52.95794
-5.083413,50.66277
1.134959,52.95127
1.102663,52.95746
1.211652,52.94928
4.710355,53.016956
-4.812018,54.0425
-5.628345,54.45144
-5.676773,54.76556
-5.656273,54.67074
-5.630556,54.45131
-5.677733,54.76569
-5.290037,56.04741
-5.56688,57.35863
-2.140385,55.91892
-4.897929,55.98033
-2.148557,55.91761
-2.815716,56.18545
-4.957273,55.72817
-4.905429,55.94521
-4.957273,55.72817
-4.957391,55.71183
-2.140385,55.91892
1.054133,52.96655
1.054385,52.9678
1.144243,52.94993
1.055732,52.96577
1.206008,52.94897
-4.340048,50.21041
1.054133,52.96655
1.055564,52.96572
1.206079,52.95164
-3.477378,50.46111
1.054133,52.96655
1.135469,52.95112
1.055564,52.96572
1.138093,52.95075
1.055564,52.96572
1.207082,52.9496
1.054133,52.96655
1.135079,52.95129
1.135469,52.95112
-4.972715,50.59444
1.143806,52.95129
1.087196,52.96029
1.13725,52.95093
1.135079,52.95129
1.135078,52.95127
1.05573,52.96575
1.135079,52.95129
1.055456,52.96545
1.138093,52.95075
-6.496232,57.378541
-6.53193,57.370963
-9.474232,53.15307
-5.628345,54.45144
-5.628345,54.45144
-9.44107,52.87415
-5.64106,54.49023
-5.628345,54.45144
-4.162249,53.22032
-5.028203,58.44924
-5.028203,58.44924
-5.20704,56.74223
-5.132458,56.68057
-5.132709,56.68084
-2.152788,55.91518
-5.026196,58.44823
-5.072024,56.703
-5.132709,56.68084
-5.132458,56.68057
-1.602904,55.64347
-1.602904,55.64347
1.137766,52.95076
1.654184,52.82259
-1.602904,55.64347
1.137766,52.95076
1.100269,52.95815
1.207665,52.94913
1.135469,52.95112
1.135079,52.95129
1.135079,52.95129
1.053556,52.96565
1.143806,52.95129
-5.457397,50.40044
1.100051,52.95894
1.100051,52.95894
10.084626,54.483932
-5.628345,54.45144
-5.630556,54.45131
-5.628345,54.45144
-5.628345,54.45144
-5.926078,57.33353
-5.926078,57.33353
-5.917688,57.3361
-5.155765,56.68037
-4.734772,50.31483
1.054539,52.96545
1.135139,52.95129
1.055104,52.96637
1.101145,52.95644
1.102345,52.95686
1.054751,52.96645
1.102345,52.95686
1.054751,52.96645
1.145234,52.95076
-5.628345,54.45144
-5.630556,54.45131
-5.65625,54.67014
-5.654984,54.6709
-5.630556,54.45131
-6.74615,57.45818
1.208898,52.94949
-5.022775,50.12695
-5.628345,54.45144
-9.870231,53.61645
-2.450908,50.57217
-9.870659,53.61631
-2.48422,57.67344
-1.873289,50.7136
-2.48422,57.67344
-2.48422,57.67344
-1.873289,50.7136
-5.419052,58.03162
-2.48422,57.67344
-4.977139,56.24993
-6.356389,57.30482
-3.220605,57.75536
-5.06775,56.23109
-5.06775,56.23109
-3.775488,57.77625
-3.131834,57.69676
-5.054365,56.21157
-5.678203,54.76572
-1.916184,50.68906
-2.48422,57.67344
-3.131834,57.69676
-2.48422,57.67344
-4.933094,56.26752
-1.913049,50.66161
-1.873374,50.7136
-5.069385,56.23104
-3.220605,57.75536
-9.559085,53.23551
-8.246942,54.53543
-8.428373,54.58545
-8.45915,54.56668
-5.990316,56.64996
-5.283834,57.91246
-4.886826,55.73962
-5.354563,57.93969
-5.405213,58.00017
-3.508387,50.48001
-6.244069,49.96606
-6.244069,49.96606
-6.395761,49.86272
-3.510491,50.48034
-4.805859,54.04951
-8.470597,54.5905
-4.605048,53.42579
-8.54014,55.02291
-5.129017,55.41365
1.299604,51.08933
1.283915,51.08282
-3.07518,53.77438
-5.450834,58.00477
-5.103441,58.40568
-5.07579,58.45856
-5.434863,56.45362
-5.374008,58.02949
-5.21402,58.37468
-6.021336,57.20557
-5.434995,56.45383
-5.101133,58.41935
-3.07518,53.77438
-5.042323,58.4545
-5.501286,56.40736
-5.4558,57.97163
-5.058574,55.51949
-5.1256,58.41824
-2.126765,55.90837
-6.252272,55.3122
-6.252638,55.31194
-5.672408,50.02184
-4.261067,50.17921
-4.15593,50.36031
-5.672408,50.02184
-5.672408,50.02184
-3.642167,50.20957
-3.536623,50.30595
8.582123,54.304405
-9.963861,53.61472
-9.942243,53.64169
-5.972017,53.3861
-1.452929,55.08014
-6.974509,57.94654
-5.01691,54.94796
-4.904928,55.74968
-4.904521,55.74978
-7.037336,58.05206
-4.77538,56.19132
-6.96853,57.73977
-5.054918,56.24314
1.855221,52.87782
-5.127222,58.41817
-5.587237,54.43832
-3.497318,50.35174
-3.633698,50.22543
-3.497318,50.35174
-4.972717,50.7123
-3.497318,50.35174
8.498345,53.947266
8.607198,54.313793
8.592081,54.340847
-9.300373,51.49826
-5.651036,54.66859
-5.106871,51.70047
-0.329353,50.67784
-6.067935,53.40868
-6.790276,52.14019
-5.651036,54.66859
-5.682878,54.66808
1.14599,52.95092
-0.329612,50.67412
-5.106876,51.70857
1.054216,52.96677
1.207265,52.94895
-5.392581,56.45544
-0.329353,50.67784
-0.329353,50.67784
1.13609,52.95086
-6.485401,57.06982
1.135079,52.95129
1.209483,52.94895
-0.329353,50.67784
1.102145,52.95928
1.276765,52.93964
-6.514467,57.33412
1.135252,52.95121
-6.378183,57.3233
1.301647,51.09013
1.269066,51.08654
1.136425,52.95116
1.102145,52.95928
-2.15191,55.91571
-6.507299,57.33183
1.13609,52.95086
-1.372891,54.98707
1.054194,52.96678
-1.397133,55.00266
1.101546,52.95715
-2.149884,55.91708
-1.347635,54.9648
-0.321015,50.67784
1.14599,52.95092
1.054194,52.96678
-6.303485,57.15979
1.218142,52.94694
1.145887,52.95073
1.054548,52.96546
-5.133528,58.47252
1.301647,51.09013
-0.58566,50.68149
1.054447,52.96551
-6.512399,57.33178
-5.659823,56.31406
1.055362,52.9677
-6.583638,57.33271
1.135161,52.95139
1.054216,52.96677
1.135079,52.95129
1.135252,52.95121
-4.879375,56.07922
-5.779759,56.2338
1.055362,52.9677
1.135079,52.95129
-1.329771,54.90339
-5.034452,50.66758
-4.645553,51.18485
-4.364477,54.3208
-5.627463,54.45089
-5.627463,54.45089
-5.651036,54.66859
-7.941506,55.21456
-6.05341,53.27183
1.135079,52.95129
1.135079,52.95129
-6.080663,53.27293
1.135344,52.95146
1.145388,52.95011
1.135079,52.95129
1.135079,52.95129
1.085784,52.96168
1.069067,52.96434
1.053858,52.96793
1.135075,52.95144
1.219271,52.9476
-5.392581,56.45544
1.052785,52.96761
1.191369,52.94876
1.14449,52.94902
1.138665,52.95073
1.135079,52.95129
1.055795,52.96751
1.054145,52.96746
-1.462771,55.08567
-2.14466,55.91948
1.608083,52.81874
1.145098,52.95033
1.135384,52.95097
1.101721,52.9571
1.135079,52.95129
1.05509,52.96533
-6.101549,56.78628
1.137995,52.95116
1.069929,52.9639
1.135079,52.95129
1.102369,52.95751
-6.097128,56.80282
1.535315,52.84269
1.215711,52.94758
1.137835,52.95079
1.057219,52.96574
1.135344,52.95146
1.135079,52.95129
1.215423,52.94761
1.137835,52.95079
1.253168,52.94361
1.086533,52.96111
-4.339717,50.20908
-5.04315,50.04551
-4.956155,50.71278
7.376118,53.728252
-5.724751,54.72453
-5.724751,54.72453
-6.790276,52.14019
-0.383917,54.267366
-5.724751,54.72453
1.138665,52.95073
1.058488,52.96853
1.135344,52.95146
-4.87396,56.09414
-4.769612,56.19428
1.055694,52.9664
-4.89015,56.12605
-4.87396,56.09414
-5.641551,56.67772
-4.943308,55.71409
-4.829834,56.11808
1.135078,52.95127
-2.148708,55.91514
-5.419381,58.03169
-5.289192,56.5475
-5.456124,58.01379
1.206723,52.94918
-4.94758,55.98672
-5.056266,55.92021
-4.89015,56.12605
-5.881263,56.67116
-4.769533,56.1943
-4.933839,55.98338
-6.630832,56.56284
-5.289192,56.5475
1.138665,52.95073
-5.289192,56.5475
-5.874414,56.6673
-5.297565,56.5475
-5.547187,50.103323
-6.346652,49.87999
-6.272403,49.90656
-3.479797,50.39275
-5.127124,50.09627
-6.272403,49.90656
-6.333385,49.88657
-3.479797,50.39275
-3.479797,50.39275
-5.056119,51.70545
1.084266,52.96034
1.143768,52.95026
1.102326,52.95764
-5.860127,56.63671
-5.894475,56.66291
-2.148381,55.91744
-5.888741,56.66702
-5.944851,57.15071
-5.874049,56.66788
-5.860295,56.66228
-5.892829,56.65171
1.145207,52.94997
-2.143567,55.91816
-3.140524,58.88324
-5.016202,58.2583
-3.141131,58.88323
-3.501047,50.45341
-5.032267,58.45362
-6.062907,57.27296
-4.770233,56.19417
4.143562,51.520787
-5.574167,54.39139
-4.769334,56.19466
-5.493931,55.8149
-5.493931,55.8149
-5.544448,50.102021
-5.682475,54.66809
-4.265368,50.17951
-5.545176,57.36025
-4.950085,55.73109
-5.547187,50.103323
-5.544569,50.101964
-5.547066,50.10338
-5.547066,50.10338
-3.18781,58.8895
-4.966866,55.7219
-2.144149,55.91971
-4.485564,50.17358
-5.897093,56.6617
-5.884709,56.66973
-5.883929,56.67103
-5.883929,56.67103
-5.551911,57.35765
-5.551911,57.35765
-5.417479,56.47573
-5.393637,55.60802
-2.144149,55.91971
-2.144149,55.91971
-5.551911,57.35765
-4.939389,55.71894
-5.883929,56.67103
-5.063094,55.5077
-5.547187,50.103323
-5.547187,50.103323
-5.547066,50.10338
-5.547066,50.10338
-5.547066,50.10338
-5.547066,50.10338
-5.547066,50.10338
-5.625679,54.38622
-1.61052,55.63984
1.63918,52.96138
-6.337488,49.87999
-1.599149,55.65025
-4.737671,50.30881
-4.972645,50.71228
-4.737918,50.30748
-4.737867,50.30937
-4.737671,50.30881
-2.447029,50.55776
-4.487034,50.17491
-2.62466,50.5621
-4.736535,50.30737
-4.645643,51.18468
-4.737867,50.30937
1.274283,51.08093
1.274283,51.08093
-2.62466,50.5621
-5.547187,50.103323
-5.548786,50.105092
-5.547187,50.103323
-5.547187,50.103323
-5.547187,50.103323
3.758743,51.674739
-4.8115,54.04286
-4.365816,54.32095
-7.242425,57.06229
-9.300373,51.49826
-8.442626,54.47156
-8.460447,54.56644
-4.162545,53.22083
-5.099588,58.40451
-6.350087,49.88055
-5.881905,56.6712
-5.051805,58.45132
-6.242242,49.95657
-3.664367,57.68692
1.286403,51.08326
-5.873441,56.65719
-4.403368,51.06505
-1.855411,56.24371
1.280684,51.07854
-5.354614,57.93933
-3.184045,56.04728
-1.473353,55.12216
-6.272749,49.92589
-5.883486,56.67038
-5.880653,56.67126
-5.100751,58.4193
-5.452023,58.02379
-3.833328,57.675
-2.484224,57.67377
-5.847867,56.63242
-5.034252,58.45377
-5.036572,58.45045
-5.547187,50.103323
-5.547187,50.103323
-5.601619,54.50041
-5.590918,54.44433
-5.601416,54.50644
-5.605231,54.50501
-5.584144,54.46789
-5.56417,54.45873
-5.612545,54.50069
-5.5958,54.49443
-5.59217,54.43369
-4.784691,54.12385
-8.459096,54.56653
-9.074768,53.15602
-4.029033,53.31909
1.102631,52.95692
1.052981,52.96744
1.053082,52.96727
1.098825,52.95805
1.055041,52.96569
1.623193,52.91471
1.054928,52.96558
1.102631,52.95692
-5.682878,54.66808
-4.018809,53.32104
1.098826,52.95806
1.259432,51.09375
-4.018809,53.32104
1.608016,52.81775
1.167709,52.94959
1.142633,52.94939
1.055475,52.96551
1.0525,52.9678
1.053082,52.96727
-4.403368,51.06505
1.0525,52.9678
-2.340411,50.59215
1.055475,52.96551
1.142652,52.95108
-5.104433,58.40625
-5.49248,55.81581
1.231268,51.01889
1.303336,52.93362
-5.671305,50.02148
1.218727,52.94669
-1.148061,60.13286
-1.072547,60.20287
-1.0729,60.10268
1.231268,51.01889
-4.257258,50.18072
1.144663,52.94997
1.259432,51.09375
1.135079,52.95129
-1.0729,60.10268
-5.043119,50.04523
-2.48422,57.67344
1.135053,52.95216
1.101306,52.95713
1.167391,52.9482
-5.099542,58.40438
-1.072547,60.20287
1.231268,51.01889
-1.042548,60.13702
1.055365,52.96733
1.055365,52.96733
1.217119,52.9469
-3.507319,50.47923
1.055365,52.96733
-5.21417,58.37463
-4.261067,50.17921
1.055222,52.96572
1.098825,52.95805
1.055041,52.96569
1.0525,52.9678
-1.042548,60.13702
1.052981,52.96744
1.098825,52.95805
1.055321,52.96566
1.05573,52.96575
1.135053,52.95216
-2.125444,55.90038
-5.913323,56.55665
-1.141228,60.13668
-5.49248,55.81581
-1.59304,55.62634
-1.132398,60.13219
1.142652,52.95108
-1.580718,55.40347
1.167391,52.9482
7.250032,53.687305
-4.653053,51.16318
1.137646,52.95219
1.135079,52.95129
1.145937,52.95029
-5.682878,54.66808
-1.945911,55.87454
-3.551713,53.39608
1.253382,52.94319
1.135078,52.95127
-5.17817,51.77312
-1.394919,55.00328
1.054436,52.96556
1.135079,52.95129
1.054436,52.96556
-5.451944,58.02386
-1.119276,60.1193
-5.404392,58.00026
-3.551713,53.39608
-2.382617,56.25709
-5.237926,57.9192
1.216422,52.94844
-1.497534,55.47748
-6.252239,49.96806
-5.103478,58.40591
1.137637,52.95227
-3.18832,58.88971
-4.2522,50.32676
-4.261704,50.18024
1.054483,52.96675
-0.421836,55.82884
-3.637613,50.24883
-6.252239,49.96806
1.136755,52.95069
-4.307549,50.3293
1.216422,52.94844
-2.744191,59.2085
-4.252244,50.32679
-2.484308,57.67372
-0.350455,54.24691
-2.484308,57.67372
-5.29102,56.04782
-5.219772,57.95774
1.055727,52.96528
-1.291325,54.80919
1.054483,52.96675
-5.038564,58.45049
-6.25241,49.96873
-5.033936,58.4501
1.137646,52.95219
-5.35465,57.93935
-1.149426,60.13299
-4.643921,58.55701
-5.404392,58.00026
-5.134473,58.48468
-3.360085,59.04632
-5.071632,58.45257
-5.103536,58.40598
-5.35465,57.93935
-5.282951,57.91296
1.219072,52.94632
-5.283307,57.91279
-5.038724,58.45055
-5.047924,58.45205
-1.072519,60.10343
-3.184384,58.87252
-0.356278,54.25293
-6.252239,49.96806
-3.316586,58.93039
-5.351593,57.93885
1.137646,52.95219
-6.241571,49.95639
-1.436791,55.09589
-5.104361,58.41963
-3.308156,58.9239
-5.985859,56.58219
-2.12344,55.89888
1.054436,52.96556
1.146148,52.95176
-5.03815,58.45066
-2.12344,55.89888
-2.12344,55.89888
1.054483,52.96675
-5.223105,57.91217
1.055685,52.96575
1.054564,52.9657
1.101448,52.95704
-5.642986,54.49026
7.657402,53.765057
-4.782429,54.11751
-9.101511,51.49791
-10.05819,54.09979
-10.02549,54.17797
-6.111407,53.26723
-5.636094,50.03844
-10.02832,54.16585
1.054602,52.96538
1.53568,52.84298
1.138531,52.95032
-5.037751,58.4506
1.055733,52.96706
1.055733,52.96706
-5.119293,58.47607
-2.127652,55.90561
-2.127652,55.90561
-5.273544,56.54612
-5.398245,58.01623
1.145937,52.95029
-4.829589,56.11781
-3.246429,58.93042
-5.032699,58.45345
-3.52401,50.33492
-3.186919,58.85944
-5.070643,55.47953
-3.52401,50.33492
-5.10206,58.40575
-3.194445,58.86602
1.055733,52.96706
-5.35465,57.93935
-5.675069,50.03309
-5.289535,56.54752
-5.232107,57.94992
-5.237026,57.91878
-5.122047,57.87784
-5.019718,56.22918
-5.374752,58.02965
-5.434965,58.01113
1.142236,52.95111
-5.423678,58.01709
-5.351665,57.93888
-5.391113,55.86382
-3.52401,50.33492
-3.52937,50.33376
6.918515,53.673706
8.380985,54.631706
-8.459331,54.56644
1.053713,52.96682
1.053713,52.96682
1.135078,52.95127
1.05846,52.96749
-3.194935,58.86614
1.05573,52.96575
-5.868997,56.66353
1.135078,52.95127
-5.038124,58.45076
-4.815582,50.91612
-5.050751,58.45182
-5.868757,56.66381
-5.065708,58.45444
-3.245359,58.93304
-5.075995,55.5102
1.057542,52.96619
-5.895133,56.66312
-3.19448,58.86602
-5.100509,58.41946
1.146016,52.94973
1.053713,52.96682
-3.190096,58.84541
-3.499374,53.42791
1.139224,52.95012
-3.49943,53.42779
-2.470036,50.58259
1.145937,52.95029
-5.387109,56.45618
1.210722,52.94878
-2.48422,57.67344
1.139224,52.95012
-9.295129,51.50066
-5.046472,56.23793
-5.290221,56.04786
-4.891845,55.7661
-5.068278,56.23123
-5.290221,56.04786
-2.470036,50.58259
-5.068278,56.23123
-5.309908,56.45481
-5.046472,56.23793
-9.638731,53.34759
-9.638731,53.34759
-9.691422,53.29052
1.854665,52.8806
-4.776134,56.19148
-5.596984,56.38084
-5.494332,55.81509
-5.629082,54.45036
-5.573867,54.39149
-9.663506,53.34122
-5.501236,55.81124
-4.824666,55.96031
-4.823743,55.9604
-4.822687,55.9602
8.65772,54.266823
-5.695459,56.86871
-5.087065,51.69343
-9.749662,53.59862
-5.087065,51.69343
-5.087065,51.69343
-5.911473,56.53843
-5.714342,56.49601
-5.930167,56.6771
-5.714342,56.49601
-5.588742,56.50222
-4.899361,55.88674
-5.714342,56.49601
-5.588742,56.50222
-4.899361,55.88674
-5.997472,56.64978
-5.728707,56.51662
-5.728707,56.51662
-5.989145,56.64978
-5.989145,56.64978
-4.341282,50.20784
-5.588742,56.50222
-4.829406,56.11773
-5.728707,56.51662
-5.65918,56.31436
-4.896304,55.8966
-5.989145,56.64978
-4.943243,55.79169
-5.989145,56.64978
-4.896304,55.8966
-5.391376,58.01086
-4.904651,55.94509
-5.588737,56.52967
-5.930167,56.6771
-5.714342,56.49601
-5.911473,56.53843
-5.574672,54.39117
-5.574749,54.39116
-66.91566,44.96938
-5.120196,57.87722
-5.126724,57.87748
-5.129462,57.87696
-5.117304,57.87685
-5.385724,57.90246
-4.656498,53.32133
-4.656498,53.32133
-9.857907,53.6206
-5.183311,51.76666
-4.034692,53.31432
-4.027115,53.32046
-9.073234,53.16524
-9.857907,53.6206
-9.206537,54.27354
-5.218895,49.9473
-5.226116,56.13218
-2.678931,57.68994
-5.779766,56.2333
-2.566908,57.68794
-4.307715,50.32926
-2.497234,57.67727
-5.572154,54.38934
-5.572154,54.38934
-67.02993,45.12863
8.550636,53.933586
-4.750853,54.06367
-4.769639,54.05563
-4.78159,54.05769
-4.805124,54.04949
-9.074768,53.15602
-9.639228,53.34776
-5.682956,54.66792
-6.39693,49.86255
-3.504054,50.3478
-6.256834,49.96917
-6.311407,49.9794
-3.485633,50.45293
-6.256834,49.96917
1.240118,51.01674
-6.39693,49.86255
-3.504054,50.3478
-6.245235,49.96648
-5.375295,56.52684
-7.063509,58.0438
-6.252412,49.93556
1.492968,52.99572
-5.420632,57.97917
-3.510166,50.35525
-3.50405,50.34769
-6.256834,49.96917
-6.272079,49.92572
-6.311407,49.9794
-5.460583,57.99332
-3.535055,50.41722
-3.501006,50.45301
-5.420632,57.97917
-5.448781,57.97905
-1.324914,54.90844
-6.272079,49.92572
-6.252412,49.93556
-7.06067,58.04689
-7.152378,58.03932
-3.504054,50.3478
-6.938342,57.74553
-1.330413,54.90326
-6.272079,49.92572
-3.504054,50.3478
-6.333088,49.88606
-6.252412,49.93556
-5.573868,54.39132
-5.630556,54.45131
8.150331,53.513477
-3.938515,57.64256
-3.138921,58.33283
-3.983867,57.68183
-3.972989,57.68386
-3.839124,57.63298
-3.498716,53.44641
-8.456555,54.56693
-9.300373,51.49826
1.054276,52.96678
1.283696,51.10068
1.66167,52.82332
1.053594,52.96673
-6.238079,49.95839
-1.396993,55.0026
1.102682,51.03032
-0.350531,54.24691
1.100374,52.95721
1.137646,52.95219
1.135079,52.95129
-6.348087,49.87938
1.144667,52.95044
-3.039828,50.66478
1.283696,51.10068
1.054276,52.96678
1.054463,52.96531
1.63918,52.96138
1.053594,52.96673
1.135347,52.95109
1.135079,52.95129
-1.452666,55.1017
-0.360817,54.25735
-1.409143,55.05783
-1.321619,54.90034
1.054401,52.96528
1.135347,52.95109
1.054463,52.96531
-1.452666,55.1017
1.276668,52.94003
1.13882,52.95031
-4.753119,56.20261
1.146157,52.95127
1.143826,52.9489
1.137646,52.95219
-0.350531,54.24691
-1.44725,55.09436
-6.620205,55.224913
-5.574167,54.39139
7.901619,53.790783
1.663522,52.82292
-1.341958,54.87629
1.142882,52.95066
1.137646,52.95219
1.137646,52.95219
1.13513,52.95096
1.145849,52.95031
1.137646,52.95219
0.48228,50.76374
0.275822,52.93254
1.10146,52.95741
-1.401074,54.99947
1.145429,52.95036
1.135079,52.95129
0.481269,50.76272
1.142882,52.95066
-2.126302,55.90874
1.137646,52.95219
1.135138,52.95127
1.100399,52.95787
1.854665,52.8806
-5.529187,56.99368
1.098353,52.9579
1.100399,52.95787
1.146833,52.95176
1.350044,52.91968
-4.26863,50.17945
1.137646,52.95219
-1.351975,54.96787
0.477381,50.75666
1.053081,52.96695
1.053439,52.96664
1.138413,52.95034
-6.475237,57.05292
0.320506,52.94144
1.842713,52.78568
1.137646,52.95219
1.098137,52.95811
-6.116257,56.87908
1.144731,52.95172
1.053081,52.96695
1.104579,52.95853
-2.129253,55.91086
-5.742513,57.02095
-6.116257,56.87908
1.098353,52.9579
1.054463,52.96531
0.483092,50.76474
-5.629082,54.45036
-8.320361,51.61361
-6.616683,55.22514
-5.682475,54.66809
1.135079,52.95129
-4.489313,53.17414
-5.420996,58.02306
1.21021,52.95232
1.621661,52.80972
-1.604287,55.64034
-5.410685,57.22958
1.135079,52.95129
-1.592317,55.62717
1.055041,52.96569
-5.984439,56.57535
-3.182771,58.83492
-5.502196,56.4065
-6.592399,57.51168
-5.415537,56.476
1.31405,51.04524
-1.452666,55.1017
-1.396993,55.0026
-5.064713,55.50693
1.210003,52.94953
-1.594818,55.62638
-5.133926,55.41497
-5.886044,56.66936
1.63918,52.96138
-4.903784,50.19962
-1.383516,55.02093
-5.354356,57.93946
-5.906945,56.55418
-5.984439,56.57535
-5.502196,56.4065
-5.354356,57.93946
-1.594818,55.62638
-5.133926,55.41497
1.135079,52.95129
1.135079,52.95129
-1.60916,55.640338
-1.398506,55.002669
-1.593838,55.627169
-1.59634,55.626333
-5.732715,55.0063
-5.574167,54.39139
-3.082998,53.77918
-3.082998,53.77918
-9.746719,53.59959
-9.816071,53.60827
-9.809932,53.60647
-9.636728,53.34742
-9.837784,53.6227
1.054797,52.96561
1.05449,52.96527
1.137483,52.95087
-3.17393,58.86909
1.135079,52.95129
-3.1639,58.89217
-3.150434,58.89744
1.056331,52.96835
1.209909,52.94857
-4.653198,51.16271
-3.196933,58.86625
-3.138885,58.89831
-2.144149,55.91971
1.135079,52.95129
-3.570174,50.35252
1.054797,52.96561
1.137483,52.95087
-4.338766,50.20913
-5.653271,56.29773
-3.196933,58.86625
-3.148453,58.88742
-3.190453,58.84671
1.097729,52.95886
-3.150434,58.89744
-3.138885,58.89831
1.056331,52.96835
-4.252231,50.32683
-4.252231,50.32683
8.303325,54.677677
8.477154,55.157101
-5.111291,50.09628
-5.336621,55.87593
-9.074768,53.15602
-5.515834,56.39383
-5.392572,56.45535
-5.392572,56.45535
-6.003343,57.10052
8.601608,54.376957
-5.297423,56.54895
-6.023576,57.2056
-2.556511,56.18368
-4.48523,50.17416
-4.339615,50.20901
-4.48523,50.17416
-5.243063,56.67577
-4.915831,55.747797
-4.90945,55.747499
-4.898335,55.749335
-4.915831,55.747797
10.549622,54.549767
-123.01562,48.545404
-6.080055,56.64274
-6.07627,56.64253
-7.232934,57.17601
-7.233767,57.174
-7.233032,57.17104
-5.727299,56.49701
-6.060339,56.64534
-6.078844,56.64264
-9.871361,53.6156
-9.691504,53.2908
-5.066117,50.07024
-0.450566,50.64224
