Longitude,Latitude
-123.011873,48.54521
-52.676104,47.575198
-123.0123,48.5453
-123.0123,48.5453
-123.0123,48.5453
8.82588,64.430838
-167.8161,70.2848
-165.6261,71.0228
-161.9459,70.7253
-159.8827,71.0637
-160.2652,71.196
-166.4688,70.0066
-166.4723,70.0056
-163.0303,71.3639
-166.0563,69.9168
-166.4278,68.8976
-163.398,71.241
-163.0342,70.1434
-168.6052,67.7779
-160.8413,70.5773
-166.916,68.9471
-162.2594,70.6274
-161.9039,70.9702
-164.4248,69.5473
-164.0796,72.4969
-161.1455,70.9594
-161.4087,71.5847
-165.9955,70.6563
-164.4851,71.1541
-164.8552,71.0192
-164.8769,70.7709
-167.3648,70.1876
-163.7713,70.3973
-159.7062,71.3535
-165.2675,70.8913
-164.4836,70.6464
-163.9665,70.0872
-164.8131,69.641
-161.518,70.8444
-162.9333,72.1048
-166.4147,71.2678
-161.1734,70.7147
-161.7657,71.7221
-167.9353,69.0289
-159.5206,70.9344
-166.8257,71.3853
-160.7433,71.072
-166.4237,68.8984
-162.5925,71.4804
-167.1225,68.238
-164.1671,71.7445
-163.9288,69.4503
-162.197,71.5991
-163.726,72.3667
-166.0658,69.9114
-162.6696,70.5101
-164.1307,70.5239
-165.2104,69.731
-161.5429,70.8437
-161.0542,71.449
-163.0304,70.3891
-163.3117,72.2385
-163.7979,71.1194
-165.6261,69.8194
-166.9332,68.2993
-168.226,67.8921
-165.3536,72.1206
-163.3998,70.2677
-159.4106,70.8866
-160.6671,71.3222
-168.285,70.3697
-167.9343,69.0288
-163.4139,70.2647
-168.9554,67.6645
3.65,57
5.2294,60.2408
5.23,60.240002
5.23,60.240002
5.23,60.240002
9.686,58.882
9.686,58.882
-159.5208,70.9298
-161.5466,70.8408
-160.7345,71.0753
-168.9518,67.6797
-165.2395,70.9025
-165.639,71.0279
-70.6183,42.6291
-70.6183,42.6291
-70.6238,42.6609
-6.236717,56.8238
-94.23,58.856
-94.23,58.85
-94.230003,58.860001
11.361,58.258
11.521,57.646
11.52,57.650002
-5.434,56.455
-5.43,56.450001
-5.43,56.450001
77.067001,75.182999
82.282997,78.449997
76.333,76.650002
75.417,76.717003
75.366997,76.25
85.932999,79.116997
81.400002,76.417
82.083,77.067001
86.266998,79.483002
95.532997,77.050003
85.932999,79.116997
82.083,77.067001
78.050003,84.233002
-132.0221,53.20104
-131.23,52.26
-131.36,52.42
-131.76,53.01
-131.30327,52.44307
-66.775,40.895
-75.7503,34.2733
-67.755,40.5717
67.866699,72.966698
67.616699,72.486702
68,73.4217
69.658302,73.68
69.408302,73.303299
63.505001,71.574997
61.599998,69.931702
65.199997,70.816704
69.375,73.275002
74.966698,75.275002
-132.73,53.4
-131.64,54.19
-132.59,53.37
-55.016667,69.686667
-55.016667,69.686667
-62.999167,45
-131.64,54.19
-56.133333,66.733333
-70.765,40.0633
-62,-45
-65.806016,44.979852
-65.806016,44.979852
-56.133333,66.733333
