Longitude,Latitude
-4.22505,50.247
-5.912325,56.55645
-6.009518,56.58845
-4.44895,48.32045
-4.5078,48.35692
-1.80397,48.86395
-4.848861,54.12381
-5.079404,55.48043
-5.044636,48.477552
8.75455,41.85225
-2.24725,48.70793
-2.261646,50.59283
-2.330746,50.59002
-2.711051,50.48915
-2.261646,50.59283
-2.330746,50.59002
6.77364,43.4064
6.77506,43.40722
-4.5078,48.35692
-5.917688,57.3361
-5.926078,57.33353
-5.070094,55.48061
-6.252638,55.31194
-2.524995,49.43789
-2.482667,49.44007
-2.281975,49.73786
-2.524995,49.43789
-2.482667,49.44007
-2.482667,49.44007
-8.459793,54.56633
-2.327682,50.58826
-2.327682,50.58826
-2.327682,50.58826
-2.329678,50.58679
-0.329612,50.67412
-3.804659,50.20675
-2.001173,48.89174
-5.515689,56.39244
-5.450121,58.02024
-2.298939,50.58481
-5.871304,56.66755
-2.298939,50.58481
-5.860295,56.66228
5.23876,43.33053
6.287291,62.475752
6.313611,62.485818
-5.063094,55.5077
5.30574,43.2855
-3.982788,50.2232
3.15462,42.47844
3.15694,42.47635
-6.242242,49.95657
-4.143863,50.29282
-5.099588,58.40451
-3.723662,50.19824
-4.260508,50.18901
-4.649009,52.90903
-2.29941,50.58569
-5.213434,58.37463
-4.257258,50.18072
-3.785836,50.20374
-3.642962,50.21225
-1.80397,48.86395
7.07181,43.51367
5.45505,43.20278
-3.61803,48.77783
-4.51036,48.35596
-5.122047,57.87784
7.00578,43.5438
-5.070004,55.48006
-5.065346,55.53481
-5.224072,58.36539
-5.065346,55.53481
-5.070004,55.48006
-5.874436,56.66807
-5.881607,56.67133
-4.42033,48.311
-5.930167,56.6771
-5.997472,56.64978
-5.930167,56.6771
-4.653449,53.32302
-5.061136,50.03362
-2.12152,50.58497
-6.256834,49.96917
-2.525314,49.42904
-2.522405,49.43822
-3.904025,50.24242
-3.877607,50.233
-3.877607,50.233
-3.877607,50.233
-5.051429,50.03693
-3.904025,50.24242
-3.904025,50.24242
-3.904025,50.24242
-5.78596,55.09545
-5.740148,55.11087
-2.016442,48.89651
-2.016442,48.89651
-2.286348,50.5936
-4.15026,50.29363
-2.286348,50.5936
-4.26863,50.17945
-6.116257,56.87908
-4.263546,50.18244
-4.263546,50.18244
-2.286348,50.5936
-5.079167,55.48042
-5.502196,56.4065
-5.064713,55.50693
-5.791303,54.90735
-6.658145,55.22502
-1.472778,57.61692
-1.470384,57.57606
-1.570462,57.65039
-1.521723,57.6219
-5.515302,56.39202
-3.8991,48.73949
-5.052333,50.06076
5.426855,59.255626
-2.015527,48.89342
-2.015527,48.89342
-4.26554,50.19143
-4.134342,50.30725
-3.890857,50.23825
-3.890857,50.23825
-5.65958,56.31414
-5.961126,57.14608
-5.960452,57.1537
-5.961126,57.14608
-5.960452,57.1537
3.50224,43.24445
-6.322225,49.88561
-5.086186,55.56233
-5.07001,55.48035
-5.07953,55.48061
-5.086186,55.56233
-5.07001,55.48035
-3.084488,58.80856
-5.539359,57.09823
-2.310028,50.58905
-2.305766,50.58331
-2.305766,50.58331
-2.252587,50.59251
-5.912672,56.5565
-5.265005,51.69591
-5.15193,51.6904
-5.594117,56.08344
-3.655594,57.82218
-3.719597,50.19666
-6.258573,49.93506
-5.124166,55.62381
-5.065027,55.53592
-5.059001,55.50355
-5.067562,55.50944
-5.060582,55.50565
-5.055361,55.51054
-5.117388,55.60839
-5.119234,55.61214
-2.18851,50.60636
-5.04869,50.04165
-5.04869,50.04165
-5.281178,51.73055
-5.254652,51.6983
-5.29804,51.72976
-5.254652,51.6983
-5.280953,51.73006
-5.260746,51.69407
-5.281178,51.73055
-5.260746,51.69407
-4.305877,50.32758
-4.244481,50.32726
-3.968163,50.28583
-5.622164,56.0593
-4.267379,50.17937
-5.642195,56.04335
-5.580928,56.09295
-6.073731,56.64404
-6.071665,56.64244
-6.073571,56.64406
-6.072749,56.64265
-6.072972,56.64373
-6.074558,56.64421
-4.172814,50.29615
-3.636946,50.21504
-5.930533,56.67779
-2.142167,50.58759
-3.636946,50.21504
-5.050471,50.04044
-2.136155,50.57993
6.92894,43.45566
-5.124032,51.67683
-4.170586,50.30457
-5.122259,51.67335
-3.9821,50.22353
-5.91328,56.55672
-3.712466,50.149774
-3.711664,50.1273
-3.722431,50.115448
-3.690688,50.127608
-3.738138,50.162884
-3.68073,50.16283
-3.660328,50.139738
-3.661106,50.162213
-3.703088,50.161605
-3.569993,50.158984
-3.72467,50.1388
-3.724079,50.161295
-3.614477,50.108006
-3.507748,50.316304
-3.66276,50.209858
-10.573647,52.1382
1.272642,50.993363
-5.224117,51.71511
-3.981826,50.22366
-3.980003,50.22368
-3.980003,50.22368
-6.292591,49.90495
-5.260239,51.69768
-5.260471,51.69749
-5.260539,51.69762
-5.260513,51.69747
-5.260539,51.69762
-6.252576,49.96856
-5.066443,55.50514
-6.241587,49.95641
-5.070318,55.47993
-3.87352,50.21711
-4.127981,50.2922
-6.139009,57.44724
-4.665563,51.19701
-4.659236,51.18785
-5.978608,56.67045
-6.026252,56.61227
-2.320645,50.61706
-3.980429,50.2238
-5.087137,55.5618
-4.659236,51.18785
7.1401,43.54808
7.08278,43.54028
-5.086985,55.5622
-5.063716,55.5047
-5.325625,51.84071
-4.254272,50.32809
-5.323697,55.43111
-6.118945,56.87023
-5.08637,55.56234
-4.301247,51.209001
-6.197048,50.001002
-6.215139,50.000345
-6.196283,50.008228
-6.159634,50.020347
-6.203771,49.998059
-6.197361,50.00459
-6.159634,50.020347
-6.197361,50.00459
-6.170693,50.01905
-6.170771,50.019947
-6.203771,49.998059
-6.170693,50.01905
-6.185357,49.97893
-6.215139,50.000345
-6.185435,49.979827
-6.573702,50.539254
-6.578372,50.529172
-6.578372,50.529172
-6.583142,50.505588
-6.581736,50.505643
-6.563289,50.504569
-6.585866,50.50458
-6.521257,50.52241
-6.572209,50.538413
-6.521257,50.52241
-6.521257,50.52241
-6.579692,50.52822
-6.573702,50.539254
-6.53199,50.516593
-6.588603,50.489175
-6.573615,50.538357
-6.563289,50.504569
-6.576705,50.526538
-6.573615,50.538357
-6.578372,50.529172
-6.586227,50.493768
-6.563289,50.504569
-6.268054,49.920123
-6.251242,49.93573
-3.980258,50.22373
-6.172439,55.2662
-5.051786,50.0605
-4.625346,52.92925
-4.257264,50.18054
-2.296424,50.61409
-5.051786,50.0605
-4.257264,50.18054
-4.257264,50.18054
-5.254787,51.69695
-10.26159,53.63337
-10.20089,53.63795
-3.898309,50.23199
-3.898309,50.23199
-4.943762,50.13954
-4.933753,50.13954
-1.80397,48.86395
-9.746281,51.65199
-9.770193,51.6442
-5.281789,51.74137
-4.144695,50.29322
-4.144695,50.29322
-4.266929,50.330058
-4.295179,50.333102
-4.325932,50.329792
-4.325932,50.329792
-4.286928,50.336862
-4.266972,50.330957
-4.57975,52.95768
-5.283902,51.7014
-5.709414,56.2301
-4.265371,50.19141
-5.720999,56.24084
-5.700287,56.23957
-5.041028,50.040703
-3.535306,50.33305
-6.20603,55.30656
-6.268355,55.30776
-4.658843,51.185
-4.658843,51.185
-6.04103,56.62479
-4.659389,51.18751
-5.801907,56.53333
-4.659389,51.18751
-5.690397,56.49954
-5.064535,55.50728
-4.65872,51.18484
-5.65172,56.50768
-4.938933,50.14091
-5.801907,56.53333
-6.101277,56.7865
-4.658843,51.185
-4.659389,51.18751
-4.594576,52.9587
-4.596879,52.95388
-4.589445,52.94909
-4.601956,52.95599
-4.600931,52.94932
-4.598874,52.95947
-4.601371,52.95641
-4.583025,52.94979
-4.592775,52.94925
-4.584021,52.95102
3.288097,42.34866
-3.942071,50.20873
-3.873211,50.21673
-3.670665,50.21315
-2.3227,50.58374
-6.217296,56.82819
-3.873169,50.21674
-6.236717,56.8238
-5.040765,50.102781
-6.273353,55.30585
-6.27957,55.2345
-6.273353,55.30585
-6.27957,55.2345
7.11805,43.54371
-6.172439,55.2662
-4.625662,52.92831
-5.254055,51.69784
-4.62497,52.92955
-5.050622,50.0569
-5.281229,51.69967
-5.254055,51.69784
-4.622632,52.93088
-4.134603,50.30774
-5.771197,56.24615
-5.700997,56.2399
-5.702403,56.24409
-5.700997,56.2399
8.62495,42.42127
-4.184344,50.367618
-8.460772,54.56839
-8.460795,54.56776
-4.339615,50.20901
-1.66,43.43
-1.68,43.42
-5.208556,51.77345
-5.234164,50.33437
-5.051791,50.06058
-4.144696,50.29325
-4.170531,50.30492
-7.0323,58.03042
-4.170531,50.30492
-2.00213,48.79876
3.506193,39.850428
-2.314503,50.58215
-2.314503,50.58215
-5.134072,55.41782
-1.799511,57.87141
-2.31589,57.77532
-2.119842,57.76997
