Longitude,Latitude
115.4167,-32
153.562,-27.345
153.562,-27.345
115.4167,-32
115.4167,-32
151.2267,-34.1192
151.2267,-34.1192
136.4473,-35.8322
136.4473,-35.8322
136.4473,-35.8322
153.562,-27.345
153.562,-27.345
147.6184,-19.3085
151.2267,-34.1192
151.2267,-34.1192
148.2333,-42.5967
115.4167,-32
115.4167,-32
151.2267,-34.1192
148.2333,-42.5967
174.887814,-36.605851
115.4167,-32
151.2267,-34.1192
151.2267,-34.1192
148.2333,-42.5967
147.6184,-19.3085
136.4473,-35.8322
136.4473,-35.8322
153.562,-27.345
153.562,-27.345
147.6184,-19.3085
115.4167,-32
115.4167,-32
151.2267,-34.1192
136.4473,-35.8322
136.4473,-35.8322
115.4167,-32
115.4167,-32
12.11667,56.6666699991345
11.43333,58.2583299991566
-61.112,44.723
12.11667,56.6666699991345
11.43333,58.2583299991566
-70.662,40.585
-71.1,40.582
-69.345,40.585
-71.54,40.577
-71.978,40.572
-70.223,40.587
151.2267,-34.1192
115.4167,-32
115.4167,-32
151.2267,-34.1192
151.2267,-34.1192
11.5478,58.3238999991576
11.4357,58.2597999991566
10.51333,58.2749999991569
115.4167,-32
115.4167,-32
11.2622,58.2356999991563
11.5478,58.3238999991576
11.4357,58.2597999991566
11.4357,58.2597999991566
12.11667,56.6666699991345
11.43333,58.2583299991566
10.51333,58.2749999991569
115.4167,-32
115.4167,-32
115.4167,-32
115.4167,-32
130.768,-12.4
151.2267,-34.1192
151.2267,-34.1192
136.4473,-35.8322
153.562,-27.345
147.6184,-19.3085
11.5478,58.3238999991576
11.4357,58.2597999991566
11.4357,58.2597999991566
11.4357,58.2597999991566
151.2267,-34.1192
151.2267,-34.1192
148.2333,-42.5967
115.4167,-32
115.4167,-32
11.4357,58.2597999991566
11.5478,58.3238999991576
1.833,51.81
151.2267,-34.1192
151.2267,-34.1192
115.4167,-32
115.4167,-32
148.2333,-42.5967
153.562,-27.345
153.562,-27.345
136.4473,-35.8322
136.4473,-35.8322
115.4167,-32
115.4167,-32
11.4357,58.2597999991566
151.2267,-34.1192
151.2267,-34.1192
148.2333,-42.5967
148.2333,-42.5967
115.4167,-32
115.4167,-32
115.4167,-32
115.4167,-32
-76.071278,10.016444
151.2267,-34.1192
12.21167,56.9399999991381
12.11667,56.6666699991345
11.43333,58.2583299991566
40.004331,43.386148
11.325,57.674
148.2333,-42.5967
151.2267,-34.1192
151.2267,-34.1192
115.4167,-32
11.4357,58.2597999991566
11.4357,58.2597999991566
11.43333,58.2583299991566
12.11667,56.6666699991345
12.21167,56.9399999991381
9.213,57.425
8.185,57.07
5.987,55.085
6.902,55.942
7.857,56.788
5.69,54.798
7.533,56.508
6.287,55.372
7.215,56.225
6.592,55.657
151.2267,-34.1192
151.2267,-34.1192
115.4167,-32
115.4167,-32
11.4357,58.2597999991566
11.2622,58.2357999991563
11.5478,58.3238999991576
7.042,56.007
8.028,56.843
6.098,55.16
8.392,57.105
5.792,54.877
7.365,56.287
7.695,56.565
6.723,55.725
6.408,55.443
3.905,52.873
11.115,57.73
9.927,57.665
8.898,57.293
9.41,57.482
3.447,52.052
-71.583,40.523
151.2267,-34.1192
151.2267,-34.1192
136.4473,-35.8322
136.4473,-35.8322
11.4357,58.2597999991566
11.4357,58.2597999991566
11.5478,58.3238999991576
12.11667,56.6666699991345
12.21167,56.9399999991381
12.11667,56.6666699991345
7.597,56.482
7.93,56.76
7.267,56.202
3.719,52.044
7.508,56.74
7.054,56.524
151.2267,-34.1192
148.2333,-42.5967
115.4167,-32
115.4167,-32
11.5478,58.3238999991576
11.269,57.704
9.604,57.56
-5.148,47.057
8.023,56.62
136.4473,-35.8322
136.4473,-35.8322
115.4167,-32
11.2622,58.2357999991563
151.2267,-34.1192
151.2267,-34.1192
147.6184,-19.3085
151.2267,-34.1192
151.2267,-34.1192
115.4167,-32
0.116746,5.765876
-0.053659,5.622137
-0.0167,5.6698
130.768,-12.4
130.768,-12.4
151.2267,-34.1192
151.2267,-34.1192
115.4167,-32
115.4167,-32
147.37953,-43.6088
153.45316,-30.3376
138.9125,-38.38504
147.44618,-38.90619
149.97797,-37.72403
151.25872,-34.17264
150.98394,-35.20082
150.86961,-35.52121
151.25872,-34.17264
148.94627,-38.30363
152.70836,-32.58017
149.29199,-38.11144
148.59873,-38.49481
151.50405,-33.90842
147.44618,-38.90619
151.01697,-34.87061
147.85055,-38.79966
149.29199,-38.11144
150.75435,-35.84148
150.63817,-36.16165
152.23102,-33.11286
151.01966,-34.53673
149.63588,-37.91823
130.18766,-37.26443
11.5478,58.3238999991576
148.2333,-42.5967
148.2333,-42.5967
151.2267,-34.1192
115.4167,-32
115.4167,-32
136.4473,-35.8322
136.4473,-35.8322
151.0196,-34.85883
150.03306,-37.69683
149.69112,-37.89107
150.92758,-35.51535
153.26501,-31.20553
152.38359,-33.03913
152.61029,-32.76533
150.8212,-35.83766
151.00958,-34.52506
153.04996,-31.84776
147.91423,-38.785
149.34739,-38.08432
148.2333,-42.5967
0.116746,5.765876
-0.053659,5.622137
-0.0167,5.6698
10.51333,58.2749999991569
11.43333,58.2583299991566
151.2267,-34.1192
151.2267,-34.1192
115.4167,-32
115.4167,-32
136.4473,-35.8322
148.2333,-42.5967
148.2333,-42.5967
11.5478,58.3238999991576
153.562,-27.345
11.2622,58.2357999991563
11.5478,58.3238999991576
8.322,57.072
7.3,56.25
6.977,55.968
7.782,56.895
7.97,56.81
7.627,56.53
6.442,56.238
6.917,56.442
8.637,57.36
7.373,56.648
9.338,57.45
8.827,57.262
8.197,57.14
115.4167,-32
115.4167,-32
11.4357,58.2597999991566
11.5478,58.3238999991576
11.4357,58.2597999991566
11.43333,58.2583299991566
12.11667,56.6666699991345
-75.085,37.128
-75.423,36.935
-74.743,37.322
151.2267,-34.1192
151.2267,-34.1192
115.4167,-32
115.4167,-32
11.4357,58.2597999991566
11.5478,58.3238999991576
12.21167,56.9399999991381
11.43333,58.2583299991566
12.11667,56.6666699991345
8.837,57.27
6.38,55.413
3.84,52.843
5.475,54.558
-5.847,51.418
7.005,55.978
5.773,54.843
-5.788,51.752
6.692,55.697
7.035,56.505
5.183,54.272
6.088,56.093
6.56,56.3
7.647,56.535
7.327,56.26
6.075,55.128
5.623,55.885
115.4167,-32
115.4167,-32
11.5478,58.3238999991576
6.168,55.217
3.667,52.652
4.628,55.43
3.24,52.222
4.595,53.467
5.257,54.367
4.348,53.167
6.48,55.5
3.975,52.922
151.2267,-34.1192
151.2267,-34.1192
115.4167,-32
115.4167,-32
12.21167,56.9399999991381
4.967,54.045
151.2267,-34.1192
151.2267,-34.1192
136.4473,-35.8322
115.4167,-32
115.4167,-32
-117.883,33.617
-117.883,33.617
-117.75,33.617
115.4167,-32
115.4167,-32
153.562,-27.345
153.562,-27.345
-117.833,33.667
-117.8,33.683
-117.833,33.667
148.2333,-42.5967
151.2267,-34.1192
151.2267,-34.1192
153.562,-27.345
153.562,-27.345
151.03323,-34.5584
151.00565,-34.53834
150.22344,-37.47033
151.03243,-34.89228
152.39419,-32.91496
147.44221,-38.91005
146.21228,-39.19335
150.57224,-36.50882
147.03325,-39.00682
149.61942,-37.91501
145.06188,-38.75122
143.67201,-38.83628
149.27938,-38.11244
141.17492,-38.69473
152.63293,-32.64876
151.02407,-35.22529
144.01956,-38.64331
144.36525,-38.44932
147.03325,-39.00682
146.62317,-39.10216
151.91237,-33.44599
145.44375,-38.89985
150.79998,-35.86727
149.62297,-37.91355
141.59642,-38.74267
149.96859,-37.72331
138.6585,-38.37552
150.34069,-37.14994
150.91248,-35.54633
143.28784,-38.91923
150.2945,-37.13486
149.95762,-37.7166
147.85005,-38.81186
152.15401,-33.18071
145.82722,-39.04723
140.33365,-38.59432
149.61942,-37.91501
153.4822,-31.19113
142.44108,-38.834
150.22344,-37.47033
150.18271,-37.45648
150.45695,-36.82944
-117.95,33.667
-117.75,33.617
136.4473,-35.8322
136.4473,-35.8322
115.4167,-32
115.4167,-32
115.4167,-32
151.2267,-34.1192
151.2267,-34.1192
147.6184,-19.3085
115.4167,-32
-117.283,33.5
-117.95,33.667
-117.767,33.617
151.2267,-34.1192
115.4167,-32
115.4167,-32
115.4167,-32
12.11667,56.6666699991345
11.43333,58.2583299991566
-77.454748,6.272983
-77.437461,6.272063
-77.437461,6.272063
-77.454748,6.272983
-77.454748,6.272983
-77.437461,6.272063
-77.412097,6.231994
-77.460554,6.297746
-77.412097,6.231994
-77.460554,6.297746
-77.460554,6.297746
-77.412097,6.231994
-77.411155,6.25295
-77.411155,6.25295
-77.411155,6.25295
-77.403338,6.251811
-77.403338,6.251811
-77.403338,6.251811
114.379997,22.4
136.4473,-35.8322
136.4473,-35.8322
151.2267,-34.1192
115.4167,-32
151.55347,-33.84864
152.29895,-33.06547
150.22979,-37.31657
151.80346,-33.58808
149.76452,-37.83229
148.40273,-38.62463
149.42685,-38.03185
150.10037,-37.63178
151.28625,-34.09691
145.60806,-38.96879
148.74596,-38.42803
148.0251,-38.77001
12.21167,56.9399999991381
115.4167,-32
115.4167,-32
151.2267,-34.1192
151.2267,-34.1192
151.2267,-34.1192
151.67796,-33.86752
153.84974,-28.26844
-77.351245,3.928604
-77.349022,3.925211
-77.351245,3.928604
-77.329396,3.96832
-77.349022,3.925211
-77.349022,3.925211
-77.329396,3.96832
-77.329396,3.96832
-77.061697,3.897239
-77.062754,3.89054
-77.062754,3.89054
-77.081336,3.891564
-77.081336,3.891564
-77.061697,3.897239
-77.062754,3.89054
-77.061697,3.897239
-77.351245,3.928604
-77.081336,3.891564
151.2267,-34.1192
150.485,-37.55088
147.59196,-38.88166
149.46029,-38.11061
148.74568,-38.46867
149.10387,-38.29018
149.81496,-37.92997
148.38573,-38.64606
150.16788,-37.74827
150.485,-36.88339
147.99712,-38.77731
151.2267,-34.1192
151.2267,-34.1192
7.808,56.673
6.223,55.262
8.545,57.177
7.16,56.112
7.482,56.392
8.14,56.952
11.272,57.678
10.703,57.778
9.06,57.36
9.582,57.54
12.11667,56.6666699991345
12.21167,56.9399999991381
11.43333,58.2583299991566
151.2267,-34.1192
151.2267,-34.1192
136.4473,-35.8322
136.4473,-35.8322
115.4167,-32
153.562,-27.345
153.562,-27.345
135.40814,-11.15905
135.73679,-11.07673
136.06539,-10.99459
-117.869,33.5752
7.947,56.778
7.282,56.22
8.772,57.247
8.288,57.057
11.43333,58.2583299991566
12.51,45.310001
12.51,45.310001
151.2267,-34.1192
151.2267,-34.1192
153.562,-27.345
153.10469,-31.69365
152.99698,-32.01481
152.99698,-32.01481
153.90512,-28.42998
0.116746,5.765876
-0.053659,5.622137
-0.0167,5.6698
115.4167,-32
115.4167,-32
115.4167,-32
153.562,-27.345
136.4473,-35.8322
136.4473,-35.8322
148.63279,-38.52066
147.86257,-38.7974
147.45748,-38.90218
150.80169,-36.40199
149.00016,-38.35374
150.73643,-36.73161
148.26372,-38.68644
149.36583,-38.18567
150.09211,-37.84617
150.86639,-36.07234
149.72981,-38.01648
