Longitude,Latitude
4.6,52.65
5.7,52.4
5,52.9
5.7,52.4
4.05,51.4
-1.979949,48.571467
-1.979925,48.57148
10.841252,53.992531
8.025341,53.705597
3.95,51.95
3.6,51.45
-6.018882,57.18375
17.86084,58.76032
3.8,51.7
3.5,51.45
3.7,51.4
3.7,51.4
4.85,53.05
4.45,52.25
4.55,52.45
5.95,53.45
4.7,52.9
4.6,52.7
6.3,53.35
6.3,53.35
3.65,51.55
3.95,51.35
3.7,51.4
3.45,51.45
3.45,51.45
4.6,52.7
3.95,51.35
3.5,51.55
4.55,52.45
4.85,53.05
3.7,51.4
6.3,53.35
6.3,53.35
13.635878,68.121688
5.65,53.45
3.85,51.75
4.75,53
3.85,51.75
4.4,52.25
3.85,51.8
3.85,51.8
5.75,53.45
3.4,51.5
8.07617,53.64584
7.216741,53.706245
3.7,51.35
4.1,51.4
4.75,53
5.75,53.45
5.75,53.45
4.6,52.6
6.75,53.45
-4.206136,53.29824
33.2,66.6
33.2,66.6
33.2,66.6
33.2,66.6
33.2,66.6
33.2,66.6
8.059885,53.642056
-1.13207,45.80135
5.25,53.25
8.399838,54.739339
4.95,52.9
33.960197,66.262302
33.96033,66.262254
33.96033,66.262254
-1.55386,50.70608
-1.756311,50.71747
-4.150332,57.50174
-1.742117,50.72283
-1.503794,50.75354
-1.351711,50.78247
-1.94334,50.67455
-1.555234,50.71058
8.396825,54.627121
8.666112,54.265656
6.05,53.4
3.65,51.55
6.3,53.5
3.35,51.35
1.619389,50.216809
5.35,53.4
4,51.5
10.684513,56.152931
5.35,53.4
3.7,51.4
4.65,52.45
4,51.5
3.9,51.65
4,51.5
-3.524591,55.99451
-3.508705,55.9983
-3.524591,55.99451
-3.508705,55.9983
-4.695601,50.34654
-3.516965,56.00449
-3.516965,56.00449
8.64986,54.26923
8.631986,54.283928
3.7,51.55
3.65,51.55
3.7,51.3
4.85,53.15
3.8,51.7
4.8,53.1
3.6,51.55
-8.312704,51.907361
-2.866019,56.01078
-2.866019,56.01078
-2.867622,56.01077
-2.862811,56.0108
-3.562137,56.01112
-2.859604,56.01083
-3.568623,56.01283
-3.555688,56.0103
-3.568623,56.01283
-3.562137,56.01112
-2.867622,56.01077
-3.555688,56.0103
-2.862811,56.0108
-2.859604,56.01083
-3.794514,50.22993
10.526762,59.888342
3.7,51.3
3.7,51.4
5,53.25
3.7,51.3
5.4,53.15
-8.31,55.068
-4.681622,48.354993
-4.681616,48.354979
-4.681608,48.354988
-4.681619,48.35499
5.9,53.45
-3.084004,50.61376
-1.270113,46.15979
3.8,51.7
6.2,53.4
4.55,52.45
4.6,52.7
-4.681644,48.355075
12.838,56.26947
3.9,51.5
3.9,51.5
3.7,51.4
1.147063,51.94528
4.1,51.35
10.530744,59.896461
10.531876,59.895341
10.522435,59.892446
3.65,51.55
3.7,51.4
4.75,53
5.4,53.15
3.65,51.55
5,52.9
3.65,51.55
3.6,51.45
4.8,53.1
8.687439,53.878441
8.81279,54.184269
8.663525,53.894905
3.65,51.55
6.2,53.45
3.65,51.55
3.6,51.4
3.7,51.4
0.835721,51.73826
8.687439,53.878441
6.3,53.5
3.6,51.4
7,53.3
12.06433,57.4531699991451
12.18867,57.1816699991414
12.06417,57.4508299991451
12.18867,57.1816699991414
12.06417,57.4508299991451
12.06417,57.4508299991451
12.06417,57.4508299991451
12.06433,57.4531699991451
12.06433,57.4531699991451
12.06433,57.4531699991451
12.06417,57.4508299991451
12.06433,57.4531699991451
11.94183,57.371829999144
6.991642,53.672623
6.15,53.45
4.85,53.05
4,51.8
3.7,51.4
4,51.8
-3.22441,55.98094
1.147063,51.94528
12.91667,56.5791699991333
8.465128,53.939617
8.441105,53.96154
6.991488,53.670723
7.360668,53.684307
23.192969,59.947769
23.20336,59.922728
-1.07757,44.72121
4.9,53.1
4.05,51.9
-3.305398,55.98294
17.09948,58.7362
18.60054,60.31288
8.593968,54.641269
7.170979,53.707909
3.95,51.35
4.85,53.15
11.79341,57.56675
23.192969,59.947769
23.20336,59.922728
3.65,51.65
3.65,51.65
6.55,53.5
0.758763,51.69935
-4.371101,53.42223
10.525094,59.889789
10.519032,59.893622
10.526762,59.888342
10.522636,59.891138
10.527235,59.888534
10.52317,59.8932
10.530459,59.886368
10.537578,59.881471
10.52458,59.893716
0.039978,52.932213
4.05,51.5
3.95,51.35
3.75,51.7
-4.234533,51.05965
7.011312,53.418377
4.8,53.1
4,51.9
4.8,53.1
4.8,53.1
-3.423268,50.63889
-3.423268,50.63889
-3.427344,50.61006
-3.43017,50.61002
-3.423268,50.63889
-3.423268,50.63889
3.65,51.55
4.15,51.55
3.65,51.4
5.4,53.15
5,53.3
-3.446235,50.62691
-3.429739,50.6424
-3.429739,50.6424
4.15,52.05
5,53.3
7,53.3
4.3,51.4
4.05,51.8
7,53.3
4.6,52.6
3.8,51.75
3.85,51.75
5.6,53.4
3.65,51.4
4.6,52.65
5.95,53.45
8.869781,54.561432
9.056741,54.739655
5.75,53.4
5.1,53.05
-0.981488,50.83858
-3.856419,51.62261
-3.380009,51.385134
-1.07354,46.0216
-1.07354,46.0216
-1.07354,46.0216
-1.07354,46.0216
-1.07354,46.0216
-1.07354,46.0216
-1.07354,46.0216
-1.07354,46.0216
-1.07354,46.0216
8.846054,54.032375
10.602833,59.898083
4.75,53
4.75,53
4.75,53
4.75,53
4.75,53
4.75,53
4.75,53
6.15,53.45
4.75,53
4.75,53
4.75,53
4.75,53
4.75,53
-4.996037,50.54157
-4.930258,50.55044
13.03667,55.6866699991222
12.88083,55.5133299991201
12.93117,56.5136699991325
12.90667,55.7849999991234
13.03667,55.6866699991222
12.90667,55.7849999991234
13.03667,55.6866699991222
12.90667,55.7849999991234
12.90667,55.7849999991234
12.79358,55.8702299991244
13.03667,55.6866699991222
12.92833,56.4921699991322
12.06417,57.446329999145
12.90667,55.7849999991234
12.82033,56.6541699991343
12.79358,55.8702299991244
12.79358,55.8702299991244
13.03667,55.6866699991222
13.03667,55.6866699991222
13.03667,55.6866699991222
13.03667,55.6866699991222
12.88083,55.5133299991201
12.88083,55.5133299991201
12.06417,57.446329999145
13.035,55.6508299991217
12.88083,55.5133299991201
12.90667,55.7849999991234
12.79358,55.8702299991244
12.79358,55.8702299991244
13.035,55.6508299991217
12.88083,55.5133299991201
12.88083,55.5133299991201
12.8975,56.4599999991318
12.90667,55.7849999991234
12.88083,55.5133299991201
12.90667,55.7849999991234
12.79358,55.8702299991244
12.79358,55.8702299991244
13.035,55.6508299991217
13.035,55.6508299991217
12.92183,56.550669999133
12.92267,56.5139999991325
13.035,55.6508299991217
13.03667,55.6866699991222
12.88083,55.5133299991201
13.035,55.6508299991217
12.92,56.5706699991332
12.06417,57.446329999145
12.90667,55.7849999991234
12.79358,55.8702299991244
12.05667,57.4299999991448
12.79358,55.8702299991244
13.035,55.6508299991217
12.88083,55.5133299991201
12.88083,55.5133299991201
12.90667,55.7849999991234
13.035,55.6508299991217
13.03667,55.6866699991222
12.06417,57.446329999145
12.79358,55.8702299991244
12.06417,57.446329999145
