Longitude,Latitude
-10.035503,54.164999
-10.034734,54.164849
-2.54972,47.47055
-2.84353,47.40805
-4.49108,48.21255
-4.898335,55.749335
9.40228,63.58867
-2.786094,56.338365
1.753744,51.669768
1.810068,51.703036
-3.28273,47.64667
-3.28108,47.6451
-4.48742,48.21472
-3.8662,48.7083
-2.66785,48.5672
1.30494,51.026635
-2.76974,56.329483
9.9499,63.9713
9.93768,63.96965
-2.66823,48.56608
-4.49282,48.20925
-4.316878,51.561684
-1.57734,48.76835
10.9328,64.816967
-4.15035,50.361567
-3.99835,48.73556
-3.33512,47.70265
-2.68748,48.5513
-3.91832,48.67802
-2.67708,48.55187
-1.06758,49.52827
-2.3483,46.72727
1.73852,51.02144
-5.76064,54.71743
-5.76064,54.71743
-5.76064,54.71743
6.975125,62.807627
-4.37137,48.33093
-5.741659,54.85803
-3.86617,48.70833
-3.86617,48.70833
-3.86617,48.70833
-3.86617,48.70833
-3.86617,48.70833
-2.55903,47.51304
-1.42382,46.20753
-2.60233,48.70912
-2.66823,48.56608
-2.49335,48.64868
-2.68748,48.5513
-6.049524,57.313694
-6.049524,57.313694
-6.027886,57.298204
-5.838946,56.663032
-6.039965,57.302312
-6.027886,57.298204
-6.039965,57.302312
-6.039965,57.302312
-6.04162,57.302259
-6.04162,57.302259
-6.039965,57.302312
3.0764,42.589
-3.85724,47.79491
-3.40156,47.64542
-3.46154,47.65794
-3.41999,47.64054
-5.608614,57.257009
-5.672633,57.26684
-5.608614,57.257009
-5.672633,57.26684
-5.608614,57.257009
-5.672633,57.26684
-5.672633,57.26684
-5.672633,57.26684
-5.608614,57.257009
-5.672633,57.26684
-5.76064,54.71743
-5.76064,54.71743
-5.76064,54.71743
5.659,62.325833
-3.05987,47.48338
-2.5546,47.47479
-2.5546,47.47479
-2.5546,47.47479
-2.55248,47.47282
4.50217,43.41333
4.9293,43.3606
4.8955,43.3855
4.0533,43.526
-5.141903,56.68349
-7.234927,57.127663
-5.141903,56.68349
-7.234927,57.127663
-7.234927,57.127663
-7.234927,57.127663
-7.279365,57.149192
-7.279365,57.149192
-5.670979,57.266888
-5.670979,57.266888
-2.54972,47.47055
-2.93448,47.5258
-2.60233,48.70912
-2.55248,47.47282
-3.13018,47.33117
-2.55248,47.47282
-2.54972,47.47055
-3.90645,48.68885
-2.93448,47.5258
-5.692822,56.688136
-5.700703,56.685205
-5.700615,56.684308
-5.698986,56.684357
-5.700703,56.685205
-5.692822,56.688136
-5.698986,56.684357
-5.700615,56.684308
-5.700615,56.684308
-5.700615,56.684308
2.083825,61.338525
1.850656,61.250744
2.241055,61.11911
1.860863,61.263104
2.241055,61.11911
1.97339,61.341499
2.241055,61.11911
2.074039,61.343333
1.837625,61.260825
2.077486,61.341813
2.078904,61.052013
-4.32137,48.32813
-1.78035,43.36658
-4.32137,48.32813
-0.22,39.61
-3.6079,48.70697
-3.6079,48.70697
-2.60233,48.70912
-2.60233,48.70912
-2.6663,48.56583
-2.66785,48.5672
-3.9337,48.71222
-3.6066,48.70828
-2.60233,48.70912
-3.6066,48.70828
-5.318091,55.86082
-5.318091,55.86082
-1.2146,45.96088
-5.695038,57.539494
-5.695038,57.539494
2.67,51.299999
-1.42382,46.20753
-6.388148,58.045185
-6.376106,58.043802
-6.376106,58.043802
-6.388148,58.045185
-6.388148,58.045185
-6.376106,58.043802
-6.376106,58.043802
-6.376106,58.043802
-6.376106,58.043802
-2.69773,48.5527
-4.61092,48.60584
-3.92197,48.67815
-3.32937,47.70352
-3.91832,48.67802
-3.33512,47.70265
-2.60233,48.70912
-3.32937,47.70352
-3.33045,47.70142
-2.66823,48.56608
-4.27342,48.65708
-3.33045,47.70142
-4.61338,48.60557
-4.61257,48.60727
-3.33512,47.70265
-3.91832,48.67802
-0.22,39.61
2.685289,60.46837
-4.32137,48.32813
-6.28443,49.914817
-6.359167,49.940333
-6.359167,49.940333
-4.2875,48.657
-4.27342,48.65708
-4.27342,48.65708
-4.2875,48.657
-0.09,38.52
-4.61092,48.60584
-4.61257,48.60727
-4.623579,52.96521
2.46,51.32
-5.712494,57.27339
-5.712494,57.27339
1.837625,61.260825
1.837625,61.260825
2.089955,61.353308
2.072583,61.39478
2.125286,61.274915
10.749519,67.641977
-5.316526,51.75962
-5.316723,51.79767
-5.316842,51.79771
-5.713,57.27283
-5.713,57.27283
-5.591258,54.70293
3.049719,60.538092
-5.286519,51.731442
-5.251024,51.741425
-5.286454,51.730544
3.0572,42.849
7.724687,64.30315
-4.4105,48.321833
-4.4375,48.365667
-8.766833,42.252167
2.263661,61.106298
2.081717,61.047432
2.380923,59.183027
2.191069,58.959139
-3.05775,59.125065
-10.065926,52.316053
-10.065926,52.316053
-9.854937,52.305579
-9.854937,52.305579
-10.046338,53.410907
-9.903888,53.406777
-10.046338,53.410907
-9.903888,53.406777
-4.292165,52.710924
-6.610741,52.12535
-6.610741,52.12535
-1.289311,50.828422
-10.129164,53.522371
-10.129164,53.522371
-1.567183,55.341422
-9.787289,51.648929
-9.787289,51.648929
-9.792392,51.660032
-9.792392,51.660032
-4.039397,53.319719
-4.059275,53.296003
-2.15,48.6
-6.341234,49.943497
-5.158505,56.139212
-6.341234,49.943497
-5.544893,54.435201
-11.843333,42.873333
-1.266667,45.916667
10.4482,54.5976
1.948707,53.260067
1.957763,53.260665
1.958346,53.250752
2.007768,53.249997
1.908551,53.280281
2.5,51.75
-0.5,55.25
-5.47403,54.559544
-5.47403,54.559544
0.5,54.25
-1,56.5
-1,55.5
0,54.5
-1,56.5
-2,57
-2,56
-1.5,56.25
-2,56.5
-0.5,56.25
-1,55.5
-1.5,56.75
-2,56
-2,57
0,54
-1.5,56.25
-1,57
-2.5,56.25
-0.5,56.25
-0.5,54.75
-1.5,55.75
-1.5,56.75
-1,56
-1,57
-1,56
-0.5,56.75
-0.5,55.75
-0.5,54.75
-2.5,56.25
-1,55
-2,56.5
-1,55
-0.5,55.75
-0.5,56.75
3.5,52.25
2,54.5
3,54.5
5.5,53.75
2.5,55.75
3,55
3,52.5
6.5,54.25
3,53
5,55
4.5,56.25
2.5,53.25
4,54.5
6.5,53.75
3.5,55.75
4,52.5
4,53
4,55
5.5,56.25
4.5,54.75
4.5,52.75
4.5,56.25
3,55.5
6,53.5
2,55.5
4.5,52.75
3.5,54.75
5,55.5
2,53
2,55
5.5,54.75
5.5,54.25
3.5,56.25
3,51.5
4,55.5
3.5,53.75
4,53.5
2.5,52.75
5,56
5.5,55.25
2.5,54.75
6,54
3,56
3,53.5
4.5,55.25
2.5,56.25
3.5,54.25
3.5,51.75
2,55.5
3.5,54.75
3,52
2.5,54.25
3.5,52.75
4,56
5.5,55.75
4,54
2.5,55.25
4,52
4,54.5
2,54
3.5,53.25
4.5,55.75
3,54
6,54.5
2.5,52.25
2,56
5,54
2,53.5
3.5,55.25
5,54.5
-5.626425,54.464687
-5.54775,54.361573
1.5,53.75
1.5,54.25
0.5,54.75
1.5,53.75
1.5,54.75
1.5,54.25
0.5,54.75
1,54.5
1,54
1,54.5
1.5,54.75
1,54
0.5,53.75
4.5,54.25
4.5,53.75
5,53.5
4.5,53.25
-5.882062,54.68149
1.98861,53.430539
1.988263,53.410762
2.088509,53.310219
2.0583,53.340036
1.997841,53.400547
-5.785263,54.721989
-5.785263,54.721989
-3.766012,50.235317
-3.772819,50.229817
-5.768018,54.243644
-5.577328,54.408
-5.572553,54.38454
1.277981,58.639501
-6.063691,54.023225
-6.354995,49.910586
-6.354995,49.910586
-5.831854,56.834091
-4.969662,55.882314
-4.240976,51.632398
-4.26375,51.654443
-4.928427,51.704045
-4.884711,51.722216
23.018,40.325001
-5.151013,51.69918
-5.014954,51.699156
-5.138072,51.700426
3.57407,52.356076
3.114842,51.875459
3.885183,52.102374
3.46944,51.84722
-1.92374,49.67025
-1.87577,49.65723
-0.808163,60.610122
-5.156729,51.698127
-5.244854,51.736199
-5.29204,51.727689
-5.156979,51.701718
-5.269924,51.702223
-5.152832,51.704528
-5.16684,51.718542
-5.227861,51.721377
-5.281062,51.736092
-5.272295,51.694962
-4.630745,53.316127
-4.61606,53.237996
-4.041193,53.312705
-5.281062,51.736092
-5.29066,51.728628
-5.269859,51.701326
-1.833333,50.383333
-4.61606,53.237996
-2.361111,49.838889
-3.266667,50
-3.122349,53.316724
-3.174097,53.355015
-3.229423,53.381332
-4.790344,54.07776
-4.763786,54.115236
-4.787652,54.083217
-4.029801,53.319608
-2.66422,48.55246
-2.63624,48.55341
-2.62366,48.55536
-2.3333,46.72437
-4.56452,48.64917
-2.21274,46.69422
-3.04991,47.38889
-2.66463,47.24936
-4.61257,48.60727
-2.5546,47.47479
-2.66823,48.56608
-1.1298,45.57577
-1.19316,44.68583
-2.5546,47.47479
-2.54972,47.47055
-3.92197,48.67815
-3.13018,47.33117
-3.8662,48.7083
-4.61257,48.60727
-2.5546,47.47479
-2.8982,47.526
-3.33512,47.70265
1.15593,46.00473
-2.5546,47.47479
-3.33045,47.70142
-3.33512,47.70265
-3.86617,48.70833
-2.55248,47.47282
-3.05063,47.4821
-2.5546,47.47479
-4.48742,48.21472
-3.33512,47.70265
-4.42463,48.33463
-3.33045,47.70142
-2.86983,47.52915
-1.1298,45.57577
-3.86617,48.70833
-3.60233,48.70912
-2.89267,47.56035
-4.37137,48.33093
-2.8861,47.55997
-3.86617,48.70833
-2.5546,47.47479
-4.61257,48.60727
-4.61092,48.60584
-2.84353,47.40805
-2.6663,48.56583
-2.5546,47.47479
-4.32137,48.32813
-2.66785,48.5672
6.3868,43.1023
-2.55248,47.47282
-3.86617,48.70833
-4.49282,48.20925
-2.5546,47.47479
-4.39325,48.32498
-4.39325,48.32498
-1.12768,45.57578
-2.5546,47.47479
-2.55248,47.47282
-3.86617,48.70833
-2.55248,47.47282
-4.42463,48.33463
-2.93448,47.5258
-2.8861,47.55997
-3.6066,48.70828
-3.28273,47.64667
-2.54972,47.47055
-2.66823,48.56608
-4.32137,48.32813
-4.61338,48.60557
-3.28108,47.6451
-3.05987,47.48338
-3.60233,48.70912
-2.6663,48.56583
-4.3653,48.31355
-4.00032,47.73497
-4.61338,48.60557
-3.05637,47.48307
-2.55248,47.47282
-3.33512,47.70265
-1.1298,45.57577
-4.48742,48.21472
-1.13064,49.43223
-4.48742,48.21472
-3.6066,48.70828
-4.61338,48.60557
-4.61338,48.60557
