Longitude,Latitude
-2.246372,47.135052
-2.307729,47.025169
-1.09538,46.06255
-1.531517,46.408188
6.725912,53.613537
-5.575263,54.392281
-5.575992,54.391487
4.315883,52.137824
4.343318,52.159653
4.314758,52.137184
4.351308,52.166148
4.55,52.4
4.3,52.1
4.3,52.1
4.55,52.4
4.45,52.25
3.8,51.75
4.2,52.05
4.4,52.2
4.7,53
4.2,52.05
4.5,52.35
4.5,52.4
3.85,51.75
4.3,52.1
4.35,52.2
4.2,52.05
4.5,52.35
4.4,52.2
4.05,51.65
4.55,52.45
4.6,52.65
4.1,52
4.15,52
4.4,52.2
4.4,52.25
4.05,51.95
4.15,52
4.55,52.5
4.05,51.95
3.8,51.75
4.05,51.95
4.45,52.3
4.4,52.2
4.3,52.15
4.55,52.45
4.3,52.1
4.05,51.65
4.05,51.95
4.15,52
4.5,52.45
3.7,51.6
4.45,52.25
4.25,52.05
4.1,51.95
4.05,51.95
3.85,51.8
4.05,51.95
4.35,52.15
4.35,52.2
4.55,52.4
3.9,51.75
4.6,52.6
4.55,52.4
4.5,52.35
4.15,52
4.5,52.4
3.95,51.8
4.3,52.1
1.418938,50.090137
1.418998,50.089997
3.140154,51.320778
9.56174,63.605975
5.75344,58.992796
-5.138487,48.454212
9.56183,63.769992
11.437736,64.711598
-2.880584,47.331489
-5.095106,48.440434
-5.11186,48.440663
-5.111914,48.440546
-5.577958,54.394407
8.327826,54.694397
8.393405,54.62735
-5.495591,50.219544
3.65,51.6
3.9,51.5
3.65,51.6
3.95,51.5
3.7,51.65
3.7,51.6
4.55,52.45
4.35,52.15
3.7,51.6
3.7,51.6
3.85,51.75
-8.330598,51.734019
-5.903145,54.657321
-5.790876,57.262875
8.516511,54.578854
8.515962,54.578922
-5.578,54.394
-5.530237,50.114283
-4.190914,50.33848
3.5,51.45
3.85,51.75
4.75,53
4.2,52.05
3.85,51.75
3.85,51.75
3.85,51.75
4.7,52.95
3.85,51.75
4.6,52.6
4.7,52.85
6.15,53.45
4.1,51.65
4.6,52.6
-9.12041,53.157109
-9.121905,53.157094
-5.854087,54.634546
-1.08967,50.77784
-4.49217,53.18457
-4.281828,51.018718
-6.472713,57.363191
9.742339,55.525198
6.765862,53.616016
6.693935,53.608524
6.729727,53.613071
-5.452665,50.113376
-5.452665,50.113376
-5.087996,50.105933
-5.452665,50.113376
-5.530237,50.114283
-5.530237,50.114283
-2.58578,47.52236
3.65,51.6
4.4,52.2
3.85,51.75
4.4,52.2
3.65,51.6
-9.121881,53.156196
-5.883788,54.680057
-9.136684,53.150664
0.678921,50.879058
5.744169,58.912608
-1.140642,46.103193
-1.801153,46.53598
-6.431566,57.339466
-6.484956,57.381642
-6.136986,57.485298
8.29598,54.747715
6.654282,53.608105
6.784701,53.610592
8.481374,55.081799
-5.452665,50.113376
3.55,51.55
3.45,51.55
3.7,51.65
3.95,51.8
4.1,51.95
4.05,51.95
3.7,51.65
4.15,52.05
4.05,51.95
5.8,53.45
4.05,51.6
4.1,51.95
3.75,51.65
4.05,51.95
3.9,51.75
3.85,51.75
4.25,52.1
4.05,51.95
4.2,52.05
4.05,51.95
3.7,51.6
4.05,51.95
-5.452665,50.113376
-5.452665,50.113376
-5.056024,50.147914
3.85,51.75
3.9,51.75
2.481118,51.071576
3.55,51.55
3.7,51.6
3.7,51.6
3.7,51.6
-10.134673,51.617077
0.968059,49.919112
0.968059,49.919112
-5.68565,57.280843
7.139593,53.704567
-4.982151,50.545
-4.982151,50.545
5.9,53.45
4.1,51.4
3.9,51.75
-8.291453,54.478289
-1.324078,46.008653
-1.323983,46.008667
-1.324283,46.00885
-1.324075,46.008658
-1.324522,46.008928
-1.3237,46.008389
-1.3237,46.008389
-1.32395,46.008669
-4.850683,55.669147
3.995657,51.711457
-1.326189,46.009889
-1.324089,46.008669
-1.324094,46.008667
-1.324039,46.008658
-1.324264,46.008858
-1.32395,46.008678
-1.323975,46.008658
-1.327114,46.008553
-1.325711,46.009528
5.635276,58.926655
-4.160361,50.361157
-5.06855,50.142879
-5.06855,50.142879
-1.324522,46.008928
-1.324081,46.008653
-1.3241,46.008658
-1.323897,46.008756
-1.327564,46.008892
-1.325639,46.008033
-1.324092,46.008667
3.8,51.75
3.7,51.6
3.7,51.65
3.8,51.75
-5.141725,50.103882
3.881002,51.756919
-2.103863,55.876086
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
3.997157,51.71229
-5.547565,54.378358
-3.044875,47.573892
-3.551905,50.406194
-4.083921,50.316696
4.05,51.45
3.4,51.35
3.55,51.4
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
5.630227,58.944918
