Longitude,Latitude
3.65,51.55
5.95,53.45
4.55,52.45
4.6,52.7
5.65,53.45
4.55,52.45
4.6,52.65
4.55,52.45
4.6,52.6
3.65,51.55
-4.996037,50.541566
-4.930258,50.550437
-5.649176,50.042474
-5.698053,50.078712
3.7,52.55
14.34828,68.61428
-2.453477,50.598136
-10.066004,54.125667
-10.067507,54.143164
-10.037171,54.191663
-10.035503,54.164999
-10.074505,54.161328
5.725,58.9898
5.7607,58.9576
5.7332,58.9743
5.7404,58.9729
-10.036402,54.191516
-10.066738,54.143011
-10.034734,54.164849
-10.073735,54.161177
-10.065234,54.125511
-6.188333,54.076667
-6.483769,57.766675
-6.516761,57.79967
-6.350804,57.74968
-6.516755,57.782671
-2.914466,58.894893
-2.800533,58.920795
-7.403175,57.46109
-2.809699,58.941394
-4.868247,58.666594
1.489038,52.996478
26.65,37.7
-6.433792,57.83267
-6.200856,57.682692
-4.901101,55.791637
-4.899998,55.791671
-5.795667,54.83915
-3.258246,58.947886
-3.254848,58.949581
-2.359609,49.402555
-3.254848,58.949581
-6.26399,49.970469
-6.246279,49.97641
-6.3368,49.883009
10.498431,59.263538
18.590937,40.125711
18.590937,40.125711
18.590937,40.125711
18.590937,40.125711
18.590937,40.125711
18.590937,40.125711
4.35,52.2
-5.521404,54.332133
-5.699379,50.07777
-2.997807,59.12108
-2.334666,58.59964
-4.363217,54.3431
-4.735228,54.065698
-4.461518,52.867126
-4.467047,52.859818
-4.467047,52.859818
-4.162715,53.220894
-4.173282,53.222499
-4.467047,52.859818
-5.615631,54.50657
-5.575783,54.40606
-3.451465,57.832711
3.65,51.4
-5.672131,50.036823
-9.104672,53.139988
-9.548445,53.244824
-9.006387,53.151651
-9.007207,53.150702
-9.006437,53.150439
-5.617961,54.55474
-4.468345,59.032559
-4.468345,59.032559
-6.122817,55.221332
-5.248721,51.739011
-5.726539,56.84701
-5.575788,54.5209
-5.537275,54.46673
-5.638792,54.49573
-5.604963,54.26103
-2.905917,59.031633
-3.19866,58.801333
-3.2,58.800833
-0.536993,54.538848
-5.809978,54.70976
-5.464284,54.595025
-5.350953,55.080013
-5.260963,54.950029
-6.417778,57.682684
-4.316878,51.561684
-5.04989,50.158316
-5.032627,50.173162
-5.055482,50.158169
-5.052743,50.159141
-5.571153,54.388888
-5.582642,54.404186
-5.646138,54.494577
-5.537263,54.407593
-5.645277,54.495142
-5.547355,54.435183
-5.565665,54.378916
-5.612994,54.433433
-5.574851,54.384993
-5.644297,54.49439
-5.61865,54.40736
-5.569281,54.38872
-5.572987,54.38473
-5.644297,54.49439
-5.569281,54.38872
-5.580783,54.40364
-5.644297,54.49439
-5.641795,54.49006
-5.647793,54.49357
-5.544942,54.43472
-5.573954,54.5199
-5.573954,54.5199
-5.809978,54.70976
-5.539782,54.47073
-5.544942,54.43472
-5.544942,54.43472
-5.647793,54.49357
-5.532287,54.36155
-5.577362,54.39392
-5.532287,54.36155
-5.573954,54.5199
-5.638792,54.49573
-5.638792,54.49573
-5.644327,54.496163
-5.642835,54.490164
-5.770399,56.229671
-5.722998,56.240568
-6.500771,57.816663
-5.720212,56.224673
-5.646661,54.517837
-5.648168,54.493664
-5.596172,54.381997
-2.973333,58.9581
-5.75089,55.9829
-1.367108,50.745238
-5.847642,54.69626
-4.481339,58.999563
-4.434342,58.999557
-5.62396,54.68026
1.069376,51.731937
-4.654318,51.198822
-4.645019,51.186441
-4.652563,51.168282
-4.654266,51.197924
-4.646152,51.206202
-4.652357,51.164689
-4.654318,51.198822
-4.655747,51.198789
-4.652563,51.168282
-4.646152,51.206202
-4.647582,51.20617
-4.655747,51.198789
-4.652785,51.197058
-4.651304,51.196192
-4.652563,51.168282
-4.652614,51.16918
-4.645019,51.186441
-4.656143,51.180792
-4.664014,51.193205
-4.652357,51.164689
-4.652357,51.164689
-4.652563,51.168282
-4.649063,51.207036
-4.651304,51.196192
-4.651304,51.196192
-4.652357,51.164689
-4.651304,51.196192
-4.651495,51.174602
-4.646152,51.206202
-4.653785,51.164657
-5.638792,54.49573
-5.575788,54.5209
10.808733,64.76495
-5.544942,54.43472
-5.64562,54.51774
-5.647793,54.49357
-5.638785,54.48106
4.4505,62.376
-5.638453,54.48706
-6.16772,55.499952
-5.6413,54.49023
-5.541107,54.47123
-4.368117,53.700192
-4.234151,53.717196
-6.150736,55.559944
-5.538951,54.49506
-5.638965,54.4949
-5.626789,54.4534
-9.966632,53.375896
-14.0123,28.6875
-4.999833,50.541549
-5.795667,54.83915
-5.051951,50.190647
-5.047526,50.187165
-5.052295,50.196035
-5.041246,50.176535
-5.024335,50.219256
-5.027659,50.183187
-5.032082,50.18667
-5.033449,50.208224
-5.04293,50.180988
-5.064999,50.13183
-6.267771,56.7498
-8.955082,54.291962
-1.101744,57.199825
-5.609651,54.46209
-5.57428,54.39322
-2.645927,59.103967
-5.568784,54.5239
-5.544942,54.43472
-5.638965,54.4949
-6.292465,49.97361
-6.335111,49.936028
-6.29083,49.976002
-5.683893,55.882912
-6.28375,56.599812
-5.698053,50.078712
-5.683895,55.866915
-5.700884,55.879911
-5.700894,55.866917
-5.700887,55.832919
-5.805681,54.66822
-5.805681,54.66822
-5.622785,54.55557
-5.805681,54.66822
-5.642288,54.48206
0.526053,53.143175
-7.011918,55.19181
-5.577783,54.39239
-7.011918,55.19181
-5.542284,54.36605
-5.543344,54.35048
-5.609651,54.46209
-5.609651,54.46209
-5.916387,54.07335
-5.916387,54.07335
-5.793468,54.84395
-5.793468,54.84395
-6.028797,55.13189
-6.028797,55.13189
-6.028797,55.13189
-6.028797,55.13189
-6.028797,55.13189
-5.547614,54.49607
-6.113187,57.339067
-6.641356,57.50037
-6.649032,57.551692
-5.691857,57.326024
-5.985337,57.272044
-6.637083,57.500672
-5.801397,57.136031
-6.641356,57.50037
-5.985337,57.272044
-4.739785,52.826857
-4.739785,52.826857
10.31931,36.823325
10.31931,36.823325
-5.805681,54.66822
-5.805681,54.66822
-4.596664,53.285974
19.032,69.700833
-5.891784,54.62421
-5.793468,54.84395
-5.793468,54.84395
-5.793468,54.84395
-5.754768,54.81744
-5.754768,54.81744
-5.795667,54.83915
-5.713159,54.84175
-5.793468,54.84395
-5.795667,54.83915
-5.754768,54.81744
-5.754768,54.81744
-5.795667,54.83915
-5.795667,54.83915
-5.793468,54.84395
-5.793468,54.84395
-5.793468,54.84395
-5.754768,54.81744
-5.392221,54.41898
-5.793468,54.84395
-5.713159,54.84175
-5.795667,54.83915
-5.713159,54.84175
-5.754768,54.81744
-5.713159,54.84175
-7.011918,55.19181
-7.011918,55.19181
-6.234416,55.28352
-7.011918,55.19181
-6.190527,54.07175
-5.639756,54.38908
-6.192327,54.07155
-6.150013,54.05434
-5.639756,54.38908
-6.190527,54.07175
-2.1756,49.7306
-7.53191,56.920862
-6.028797,55.13189
-6.028797,55.13189
-4.174733,53.221574
-4.174733,53.221574
-4.98417,51.698004
-4.979335,51.689169
8.58057,58.32125
8.58058,58.321255
14.285535,42.500215
-5.805681,54.66822
-5.808669,54.67312
-5.805681,54.66822
-5.805681,54.66822
-5.805681,54.66822
-5.805681,54.66822
-5.805681,54.66822
-5.805681,54.66822
-1.701644,49.303455
-1.255588,49.58665
-4.504869,52.794285
-4.326523,52.898622
-5.598603,54.46141
-5.618951,54.42739
-5.713159,54.84175
-5.795667,54.83915
-5.566451,54.72443
-5.795667,54.83915
-7.011918,55.19181
-5.795667,54.83915
-6.028797,55.13189
-5.638965,54.4949
-5.795667,54.83915
-5.795667,54.83915
-5.713159,54.84175
-5.713159,54.84175
-2.153984,50.611507
-5.609651,54.46209
-5.609651,54.46209
-5.609651,54.46209
-5.609651,54.46209
-5.609651,54.46209
-5.609651,54.46209
-5.472138,54.72553
-5.549335,54.79464
-5.609651,54.46209
-5.609651,54.46209
-5.609651,54.46209
-4.648989,51.999364
-5.847776,54.90665
-5.392221,54.41898
-5.392221,54.41898
-5.847776,54.90665
-5.847776,54.90665
-5.392221,54.41898
-5.847776,54.90665
-5.847776,54.90665
-9.941267,51.79811
-9.941267,51.79811
-5.573954,54.5199
-5.639297,54.42739
-5.269496,51.736415
-9.07077,53.156929
-8.952437,53.180258
-9.127436,53.157429
-8.971603,53.212754
-9.109937,53.139098
-9.126667,53.157167
-9.07,53.156667
-8.970833,53.2125
