Longitude,Latitude
-5.530053,50.1195
-5.529334,50.121142
-5.537808,50.095261
-5.529528,50.119966
-5.529528,50.119966
-5.529334,50.121142
-5.529256,50.121027
-1.24306,44.62848
-1.24306,44.62848
1.3522,52.92053
1.135079,52.95129
1.35486,52.91903
1.257053,52.9435
1.35486,52.91903
-1.22266,44.70529
-1.24306,44.62848
-1.53126,50.66409
1.102995,52.95794
1.314016,52.9299
-1.544606,50.66236
1.054385,52.9678
1.314016,52.9299
-1.23891,44.67294
-1.24306,44.62848
-1.23891,44.67294
-2.871511,50.71051
-1.319039,54.89565
-1.319039,54.89565
-2.862531,50.69121
-1.23891,44.67294
-1.24306,44.62848
-2.952492,50.70351
1.583426,52.82503
1.275332,52.93988
1.215833,52.94712
1.616346,52.82508
1.256914,52.94421
1.298336,52.9352
1.315238,52.93159
1.315955,52.93366
-2.330746,50.59002
-3.027045,50.69442
-1.24306,44.62848
-1.21064,44.71395
-2.470249,50.58278
1.223027,52.94754
1.224652,52.94697
1.277846,52.94044
1.223027,52.94754
1.354952,52.91927
1.277846,52.94044
1.224652,52.94697
-1.913049,50.66161
3.97575,43.52317
-1.17719,44.66407
-1.71078,50.70243
-1.516586,50.66543
-4.604174,53.42579
-2.866827,50.69843
-2.076993,50.57732
1.283915,51.08282
1.299604,51.08933
-0.773091,50.70329
-1.21064,44.71395
-1.244593,50.55288
-2.327682,50.58826
-0.98799,37.598604
-2.946234,50.7036
-3.035217,50.64106
1.301647,51.09013
-1.803001,50.68287
1.621661,52.80972
-1.059106,50.54842
-0.40787,50.73195
-0.329353,50.67784
1.301647,51.09013
-1.875878,50.6937
-1.685315,50.66879
-1.803001,50.68287
-0.329353,50.67784
1.301647,51.09013
-1.372891,54.98707
-1.87652,50.68623
-0.331808,50.49939
-1.803001,50.68287
1.255052,52.94282
-1.347635,54.9648
-1.14991,44.67726
1.346431,52.92213
1.277452,52.93987
1.316023,52.93192
-0.770248,50.70371
-0.770248,50.70371
1.608083,52.81874
-1.942183,50.58104
-0.770248,50.70371
1.316023,52.93192
-1.716934,50.68934
1.351621,52.91891
1.377349,52.92691
1.316023,52.93192
-1.716934,50.68934
1.216213,52.94743
-2.875421,50.69908
1.253342,52.94404
1.272249,52.94125
1.573116,52.83556
1.206723,52.94918
-2.213333,56.894999
-2.205994,56.951498
1.352689,52.91944
1.352689,52.91944
1.275798,52.94034
1.275798,52.94034
1.344805,52.92267
-1.877431,50.68971
1.344805,52.92267
1.352711,52.91915
-2.41594,50.59153
-2.298939,50.58481
1.352711,52.91915
-0.986564,37.59228
-2.205994,56.951498
-5.533137,50.113873
-5.6739,54.79493
-5.496829,54.757635
-5.484858,54.749321
-5.497446,54.756853
-5.497046,54.7569
-5.493182,54.755366
-5.492557,54.754431
-5.49049,54.75245
-5.501763,54.759848
-5.501736,54.759714
-5.501786,54.758679
-5.489433,54.752084
-5.496337,54.756247
-5.491432,54.753996
