Longitude,Latitude
4.4,52.25
2.814317,51.191117
-1.003172,50.796653
-1.125104,50.725688
2.871,51.218833
2.888167,51.226
2.956833,51.255167
2.9575,51.262167
2.8825,51.2315
2.887667,51.225833
2.885167,51.2285
2.875667,51.229333
2.877833,51.221833
2.8695,51.221333
2.865167,51.219667
2.874167,51.223333
-2.22009,46.68324
-1.95634,46.60263
-1.95634,46.60263
2.9595,51.2545
2.857667,51.223167
2.865667,51.225
2.872333,51.227333
2.871167,51.218667
3.207,51.433
3.147,51.442
-6.297993,49.943311
-6.297753,49.94062
4.4,52.25
2.938783,51.24205
2.880833,51.2225
2.878667,51.223783
3.127,51.43
2.909,51.278
3.044,51.46
1.85007,50.97807
1.749167,54.758
1.443833,54.806833
1.867667,54.487667
-1.49,45.56
-1.29,45.48
-1.66,45.64
-1.38,45.56
-1.42,45.45
-1.52,45.49
-1.57,45.64
-1.39,45.48
0.04992,49.43567
1.84288,50.96931
5.25,56.55
5.25,56.55
5.25,56.55
5.25,56.55
5.25,56.55
5.25,56.549999
5.25,56.549999
5.25,56.549999
5.25,56.549999
5.25,56.549999
3.27,51.43
3.21,51.43
3.25,51.389999
3.25,51.380001
3.27,51.389999
3.05,51.450001
0.06617,49.43208
0.06627,49.43222
2.701,51.184
2.702,51.185
2.85,51.308
3.19,51.37
2.85,51.22
2.65,51.73
3.18,51.37
2.85,51.22
-2.986376,54.006318
1.46359,50.2397
2.85,51.22
3.19,51.37
3.18,51.37
2.85,51.22
3.18,51.37
3,51.57
3.263,51.381
3.123,51.435
3.044,51.455
3.044,51.46
3.05,51.458
3.059,51.46
3.008,51.445
3.044,51.47
3.054,51.446
3.008,51.451
3.058,51.455
3.18,51.37
2.85,51.22
3,51.58
2.69,51.75
3.18,51.37
2.85,51.22
3.18,51.37
2.85,51.22
2.7,51.75
3.18,51.37
3.18,51.37
2.86,51.22
3.23,51.44
2.8,51.41
2.43,51.27
2.701,51.185
3.19,51.37
2.85,51.22
3.19,51.37
2.63,51.16
3.23,51.45
2.334368,52.591715
2.043308,52.253889
2.089151,52.385449
2.339845,52.870405
3.18,51.37
-1.95634,46.60266
3.17,51.39
3.23,51.44
2.8,51.41
2.35,51.45
3.18,51.37
3,51.57
3.19,51.37
3.23,51.45
2.8,51.41
3.05,51.58
2.85,51.22
3.19,51.37
3.11,51.439999
2.73812,51.2476
2.735807,51.168468
2.732928,51.169601
2.951317,51.25782
2.632783,51.137699
2.962567,51.26228
2.71038,51.161316
2.795013,51.195034
2.728458,51.165001
2.727728,51.1688
2.724412,51.167282
3.19,51.38
2.86,51.22
3.19,51.37
2.7,51.74
3.399,51.417
3.008,51.455
3.156,51.435
3.141,51.432
3.25,51.377
1.845,50.97
8.1665,54.7497
3.05,51.325
2.787,51.191
2.799,51.197
2.862,51.224
2.801,51.195
-2.442456,59.27298
-2.442456,59.27298
-2.442456,59.27298
-2.442456,59.27298
-2.442456,59.27298
-2.442456,59.27298
-2.442456,59.27298
2.787375,51.190967
2.798802,51.19705
2.861742,51.224267
2.800873,51.19495
7.9983,54.3342
7.8333,54.2493
7.6655,54.233
6.9992,54.248
7.5035,54.166
7.3333,54.3335
7.168,54.4167
7.8338,54.4173
7.6692,54.8328
6.9995,54.8327
7.4988,54.9163
8.1647,54.9158
8.1648,54.916
7.0002,55.0007
7.6658,55.0832
7.667,55.0003
7.3333,55.0843
7.9992,54.1667
7.6658,54.2333
6.9992,54.2497
8.1707,54.334
7.5048,54.3335
7.5013,54.1667
7.002,54.4172
7.6665,54.4162
8.1708,54.334
8.1668,54.8333
7.6662,54.7505
6.9998,54.6658
7.6677,54.4998
8.1673,54.5828
7.6675,54.6655
6.9973,54.4998
6.9973,54.4997
7.4973,54.5837
8.1672,54.4985
8.1673,54.1678
7.1687,54.666
7.334,54.751
7.9992,54.5828
7.999,54.5825
7.8333,54.6675
7.9972,54.749
7.8367,54.5002
7.3312,54.5832
7.1668,54.4998
7.4968,54.4147
6.9985,54.3332
8.1677,54.4165
8.1672,54.2517
7.5013,54.2495
7.8337,54.8327
7.167,54.8325
7.3332,54.9167
7.6675,54.3335
7.6672,54.3338
7.9982,54.9152
7.6668,55.001
7.8335,55.0003
7.3328,55.0845
8.1663,54.7493
6.9997,55.0007
6.9973,54.1665
7.6665,54.1667
7.6652,55.0837
7.1663,54.4997
7.4967,54.5835
7.8365,54.4997
8.1663,54.5832
7.3317,54.5835
7.4988,54.7502
7.667,54.6662
7.0002,54.666
7.999,54.8333
7.8317,54.7492
7.1673,54.3345
7.0003,54.3337
7.4973,54.4155
8.1673,54.4168
7.3363,54.4988
7.8332,54.5848
8.0008,54.5002
7.8322,54.334
7.1642,54.5833
7.3353,54.667
8.0003,54.2477
7.1675,54.7502
7.999,54.6672
7.334,54.25
7.166,54.1665
7.9982,54.7488
7.3343,54.751
7.8332,54.6677
7.1687,54.6663
7.8348,54.833
8.001,54.5
7.1647,54.5835
7.8338,54.585
7.3365,54.4997
7.3335,54.8328
7.3335,54.833
7.1662,54.9168
7.8335,54.9147
7.8348,54.1643
7.3345,55.0012
8.003,54.9992
7.5002,55.0818
7.1632,55.086
8.1658,55.0833
8.0015,54.4168
7.5008,54.666
7.8323,54.3342
8.0003,54.2492
7.1677,54.3345
7.335,54.25
7.6662,54.584
7.5015,54.8325
7.3345,54.4183
7.3343,54.418
7.3352,54.1662
8.1682,54.666
6.9992,54.9175
7.6675,54.9162
8.166,54.8325
7.6678,54.9158
7.6638,54.7505
7.5003,55.0002
6.9985,54.7512
8.1658,55.0003
7.3288,55.168
7.831,55.0848
7.0028,55.085
7,54.5835
7.5005,54.4997
7.5003,54.4997
7.8335,54.165
7.1675,54.2498
7.335,54.1667
7.8337,54.4167
7.8335,54.4167
7.833,54.2488
7.998,54.334
7.502,54.8323
6.9982,54.9177
7.3317,54.3333
7.1662,54.917
7.168,54.4162
8.0013,55.0003
7.8328,54.9153
6.9993,55.167
7.3342,55.0002
7.4993,55.1667
8.0013,55.0825
7.6675,54.5003
6.9975,54.5
7.6673,54.6657
7.0003,54.666
7.4972,54.5835
8.1668,54.5828
