Longitude,Latitude
-4.871784,55.76672
-4.871784,55.76672
-2.125232,55.89913
6.12669,62.571056
-6.25024,55.29103
10.29634,59.04313
6.50283,58.22833
4.914171,60.423669
-3.03518,50.6484
11.115303,59.038457
10.58157,59.43692
9.753881,59.02325
10.703994,59.254302
9.808552,58.99358
-5.485451,54.750437
-5.484399,54.750314
-5.21295,51.71513
-2.197245,49.28535
1.352949,52.91857
1.135053,52.95216
1.352244,52.92003
1.101306,52.95713
1.35454,52.91903
10.5268,59.0267
11.115303,59.038457
10.703994,59.254302
10.58157,59.43692
9.753881,59.02325
9.808552,58.99358
-4.214528,58.55508
1.354992,52.91911
-4.97992,58.62127
-4.214528,58.55508
-4.969186,58.6172
-4.326476,58.55521
1.34403,52.92343
1.345952,52.92316
1.055733,52.96706
-5.154879,51.66933
1.053713,52.96682
-3.47471,50.56182
-5.186005,49.96031
-5.179558,49.96099
6.50283,58.22833
10.29634,59.04313
4.914171,60.423669
-4.74774,54.11627
1.412248,51.16654
-3.904025,50.24242
-2.972413,50.64291
-5.78596,55.09545
-5.750444,55.05754
-5.698006,55.05621
-5.696283,55.02342
-5.661168,55.03952
-6.116257,56.87908
-4.659209,51.18513
-6.116257,56.87908
10.482809,59.45012
10.703994,59.254302
10.5268,59.0267
-5.091233,55.54528
6.262803,62.471156
-5.808975,54.66993
-5.795667,54.83915
-7.224144,55.06666
-5.795667,54.83915
-7.224144,55.06666
-7.224144,55.06666
-5.808975,54.66993
-7.224144,55.06666
-7.356045,56.98509
-7.416242,56.93361
-7.385287,56.96126
-7.307942,57.01722
-7.244548,57.08145
-7.320537,56.9994
-7.206228,57.10914
-7.323104,57.00005
-7.253201,57.06694
-7.314687,57.00254
-7.417744,56.9351
-7.388332,56.95863
-7.388055,56.96217
-7.309281,57.01885
-7.256356,57.06414
-7.258505,57.06659
-7.238604,57.08067
-7.231537,57.17317
-7.206763,57.10813
-7.239988,57.07912
-7.307912,57.01273
-7.205095,57.10933
-7.359621,56.98576
-7.384753,56.96213
-7.30795,57.0182
-7.357889,56.98748
-7.204165,57.10741
-7.239592,57.08065
-7.35962,56.98919
-7.320253,57.00053
-7.324699,56.9999
-7.307083,57.01952
-7.382615,56.96011
-7.313436,57.0036
-7.208043,57.10982
-7.230384,57.17252
-7.258542,57.06814
-7.238096,57.08
-7.356434,56.98573
-7.256449,57.06514
-7.385035,56.95872
-7.241238,57.0813
0.320491,52.94144
-7.224129,55.06666
-5.609617,54.46206
-6.192327,54.07155
-5.609617,54.46206
-5.609617,54.46206
-5.609617,54.46206
5.71851,59.05966
6.094391,59.251089
5.426855,59.255626
10.703994,59.254302
5.878673,58.968962
6.405344,59.322629
11.115303,59.038457
8.06625,58.1323
9.753881,59.02325
8.581778,58.316602
9.808552,58.99358
4.914171,60.423669
8.537156,58.273133
-4.688178,53.29968
-5.664713,51.71799
-5.664713,51.71799
-1.428042,55.039818
1.544564,52.08958
11.26825,58.43986
1.054025,52.96807
1.052323,52.96686
-3.988799,50.30126
10.5268,59.0267
-2.865027,59.37614
1.6132,52.16688
1.613394,52.16702
1.278044,51.03616
1.498052,51.25817
-6.064034,50.161405
-1.904446,50.66151
9.808552,58.99358
10.703994,59.254302
9.753881,59.02325
8.581778,58.316602
11.115303,59.038457
9.267662,58.74279
8.537156,58.273133
8.06625,58.1323
8.035953,58.144695
8.522821,58.25454
7.603002,58.010866
5.878673,58.968962
5.71851,59.05966
-3.91391,57.72866
-4.936667,53.842217
-7.096912,57.59387
-5.082123,55.53892
-7.144761,57.62199
-5.050306,50.04292
-5.050324,50.04342
-2.9755,58.900501
-2.9755,58.900501
-5.375187,56.0059
-8.553188,57.79586
-8.562183,57.79892
-5.369349,56.01018
-8.483396,57.87201
-8.553188,57.79586
-8.483396,57.87201
-5.369303,56.0102
-5.572279,54.38989
1.05563,52.96623
1.350618,52.92018
1.135509,52.95168
1.352391,52.91963
-3.660328,50.139738
-3.617575,50.116957
-3.738138,50.162884
-3.518037,50.24242
-3.639315,50.139138
-3.567118,50.199496
-3.507748,50.316304
-3.645478,50.237087
-3.597381,50.140622
-3.72467,50.1388
-3.703088,50.161605
-3.567855,50.221971
-3.606782,50.128799
-3.639271,50.260559
-3.496177,50.305661
-3.681573,50.107053
-3.607535,50.151274
-3.536782,50.258362
-3.713302,50.173147
-3.68073,50.16283
-3.648736,50.128211
-3.661106,50.162213
-3.711664,50.1273
-3.724079,50.161295
-3.690688,50.127608
-3.528838,50.316928
-3.576537,50.187676
-3.539663,50.304193
-3.546865,50.223152
-3.614477,50.108006
-3.586548,50.151563
-3.66276,50.209858
1.021372,50.965057
-3.583148,50.260438
-3.590459,50.269332
1.037585,50.995219
1.013738,50.957159
1.005122,50.933995
1.022363,50.980323
1.051814,50.994848
-3.677949,50.203344
-3.704368,50.197563
-3.58992,50.25315
-3.600504,50.234118
-3.679696,50.213212
-3.6197,50.22126
-3.626522,50.215768
-3.656939,50.203646
-3.765149,50.211945
1.044229,50.98785
-0.774911,54.596427
-0.668474,54.537782
-4.544596,52.136559
-4.333953,52.216453
-3.503013,50.433284
-2.475829,50.501376
-5.208474,51.77209
3.212557,42.06685
5.71851,59.05966
5.878673,58.968962
8.035953,58.144695
10.703994,59.254302
8.522821,58.25454
8.581778,58.316602
9.753881,59.02325
9.808552,58.99358
7.603002,58.010866
8.06625,58.1323
9.267662,58.74279
1.285889,50.999287
1.295316,51.011615
0.652371,51.412033
1.261693,51.040445
1.271725,51.000585
0.784303,51.453041
1.262801,51.035916
1.256035,51.020813
1.27495,51.005891
0.588562,51.402668
0.733604,51.423656
1.255391,51.052314
0.695195,51.406558
0.750971,51.449332
1.278302,51.012994
1.287438,51.001043
1.267515,51.042081
1.286143,51.002878
1.264891,51.025063
1.30494,51.026635
1.27204,51.045552
0.626466,51.411717
0.758375,51.452755
1.281565,51.038988
1.271471,51.037472
1.250194,50.998488
1.251868,51.002039
0.790546,51.460987
0.666448,51.431499
1.295061,51.008024
1.272642,50.993363
1.294339,51.017939
0.7539,51.450162
0.754062,51.452857
0.775733,51.454144
0.721369,51.435633
1.275583,51.014869
1.25032,51.000283
1.237597,51.09602
1.239641,51.09563
-4.20896,53.18564
-3.191483,58.845033
-0.115469,54.092679
-0.112291,54.095326
-0.112291,54.095326
-0.112291,54.095326
-0.112291,54.095326
-0.115469,54.092679
-0.087427,54.103923
-0.112291,54.095326
-0.115469,54.092679
-0.115469,54.092679
-0.112291,54.095326
-0.115469,54.092679
-0.112291,54.095326
-0.115469,54.092679
-0.115469,54.092679
-0.112291,54.095326
-0.112291,54.095326
-0.112291,54.095326
-0.115469,54.092679
-0.112291,54.095326
-0.112291,54.095326
-0.112291,54.095326
-0.115469,54.092679
1.135081,52.95132
1.138572,52.95027
-4.954265,51.69718
-4.747234,54.11718
-4.770083,54.10407
-4.743218,54.06427
-4.770083,54.10407
-4.811441,54.04278
-4.830063,54.05466
-5.870733,56.78679
-5.726539,56.84701
-5.875649,56.82367
1.311475,51.118202
-1.118087,50.797578
-5.208667,51.85585
-5.207129,51.77172
1.155358,52.94859
-5.641795,54.49006
-2.905917,59.031633
-5.071182,55.53567
-5.076446,55.53871
-5.087438,55.54604
1.145763,52.987219
-1.580303,50.678754
-3.576777,50.364854
1.384255,52.987858
-1.512234,55.322345
1.540832,52.897851
1.205279,52.965843
-1.294586,50.761009
1.39382,52.976793
1.367639,52.965847
1.135442,52.95054
1.052767,52.96682
1.143633,52.95005
-2.950567,50.66364
-5.416295,54.514779
-5.425299,54.513787
-5.463746,54.590697
-5.411474,54.502749
-5.464284,54.595025
-5.979249,50.135553
-5.871316,50.28946
-4.269856,51.152956
-5.805533,50.239453
-4.049469,51.213684
-6.076713,50.260833
-6.040557,50.264797
-5.898519,50.106805
-3.183011,58.85009
-5.811069,50.168194
-5.833853,50.172842
-5.830726,50.116263
-4.691305,50.825613
-4.834094,50.815034
-4.726498,50.820298
-3.151848,58.89715
-3.195681,58.86614
-5.126384,50.407263
-5.042686,50.550713
-4.908386,50.593726
-5.07667,50.422083
-5.120244,50.420922
-4.932707,50.598513
-5.017283,50.572963
-4.917296,50.600699
-4.948573,50.581021
-5.127271,50.420733
-5.127094,50.418039
-5.012972,50.549687
-5.108764,50.417631
-4.927286,50.602248
-5.642741,55.97179
-5.042513,50.548019
-5.023744,50.121218
-5.026311,50.117553
-5.016719,50.142991
-4.723854,50.701631
-5.027765,50.118414
-6.305635,49.966422
-4.777527,50.675178
-5.037631,50.097466
-4.777262,50.670687
-4.722231,50.698071
11.115303,59.038457
9.267662,58.74279
8.06625,58.1323
7.603002,58.010866
10.703994,59.254302
9.753881,59.02325
-4.467555,54.126534
-4.467555,54.126534
-4.467555,54.126534
-4.467555,54.126534
-4.467555,54.126534
-4.467555,54.126534
-0.903447,50.813744
-1.2919,50.751101
-1.407652,50.789515
-1.373702,50.782144
-1.03674,50.820316
-1.290428,50.754689
-1.285005,50.738469
-2.815397,50.67577
-1.54455,50.68281
-1.887406,50.688448
-2.452401,50.558125
-2.503413,50.575902
-2.578842,50.623214
-2.520171,50.558742
-5.803715,59.13173
0.457318,53.06549
-5.61865,54.40736
-5.572987,54.38473
1.054969,52.96531
1.138649,52.95021
-5.579258,54.40312
-5.622115,54.38827
1.105077,52.95738
1.676096,52.82832
1.135676,52.95049
1.135676,52.95049
1.532383,52.85542
1.135468,52.95132
1.10299,52.95673
1.138649,52.95021
1.532383,52.85542
-5.577362,54.39392
-5.641795,54.49006
-5.647793,54.49357
1.530187,52.85537
1.054993,52.96544
-2.448698,50.55809
-5.818893,56.21682
-0.640334,54.547356
-2.856966,50.6943
-1.182872,50.744093
-1.204129,50.74424
-1.208275,50.750563
-1.252027,50.762543
-1.161615,50.743942
-1.219613,50.75064
-5.244465,53.270527
-5.049373,53.374596
-5.21628,53.194853
-5.225143,53.432022
-5.229055,53.185514
-5.030719,53.535132
-4.716819,53.629897
-4.869209,53.579582
-4.933183,53.587021
-5.170141,53.279723
-5.219743,53.440261
-5.073415,53.332614
-5.284725,55.43787
0.292813,53.396042
-5.036301,50.05432
0.313925,53.313819
0.51808,50.824098
1.418806,51.178078
-5.043817,50.040629
1.406955,51.153237
-5.039034,50.053349
-5.059271,50.042022
0.205969,53.519948
1.416913,51.171836
0.336218,53.364632
-5.04171,50.05148
-5.040315,50.051516
0.24155,53.450959
-5.036958,50.042609
0.268681,53.451346
-5.057762,50.040263
1.292571,51.093549
-5.037015,50.043507
0.230266,53.465555
0.281452,53.436717
0.325233,53.383727
1.369441,51.129138
-5.037525,50.05159
1.393056,51.139249
0.254456,53.410258
0.484837,50.813118
-5.054973,50.040336
-1.413171,55.733447
-1.378933,55.783596
-1.163687,55.70864
-1.253771,55.574438
-1.401955,55.633656
-2.944568,50.66861
0.757881,51.63534
0.909147,51.762997
0.94718,51.768345
0.720357,51.636216
0.823423,51.596907
0.877786,51.74848
-3.233168,53.371232
0.691384,51.635085
0.823423,51.596907
0.720357,51.636216
-3.239544,53.383751
0.859496,51.619417
0.823423,51.596907
-4.659389,51.18751
-4.658843,51.185
3.3062,42.348133
3.304317,42.343622
-4.651304,51.196192
-4.633072,51.177717
-4.636341,51.184838
-4.654266,51.197924
-4.698333,51.168134
-4.647582,51.20617
-4.651304,51.196192
-4.636341,51.184838
-4.654318,51.198822
-4.651304,51.196192
-4.646152,51.206202
-4.646152,51.206202
-4.652785,51.197058
-4.649063,51.207036
-4.655747,51.198789
-4.636341,51.184838
-4.636341,51.184838
-4.64435,51.174764
-4.633072,51.177717
-4.655747,51.198789
-4.646152,51.206202
-10.28328,53.61747
-0.261724,54.21533
-5.731784,57.27709
-5.371672,56.00681
-5.712747,57.27326
-5.573617,54.39198
-5.572116,54.38765
0.883085,51.77691
-1.028301,60.44382
-0.366779,54.26188
-0.112187,54.131281
-5.577362,54.39392
-3.469929,50.456191
-3.482241,50.399375
-4.883568,51.729
-5.281229,51.69967
-4.934072,51.70635
-5.254055,51.69784
-5.254055,51.69784
-1.34019,54.87098
-5.545786,54.38005
-5.640966,54.41439
-5.638785,54.48106
-5.647793,54.49357
1.135587,52.95069
-4.559752,52.94245
-2.912,58.89333
-4.178154,50.324561
-4.144314,50.353073
-4.127818,50.32999
-4.069316,50.30946
-5.423136,56.55066
-5.425279,56.5542
-5.423136,56.55066
-5.638965,54.4949
-5.605114,54.49106
1.666827,59.742718
1.666827,59.742718
1.668898,59.745356
1.668898,59.745356
0.363303,52.956803
0.46781,53.014022
0.365787,52.947762
0.441682,53.000175
0.301598,52.9724
0.279964,52.957532
-5.739511,54.8616
-5.738066,54.86267
-5.741261,54.8598
-5.756312,54.86203
-5.566451,54.72443
-5.713159,54.84175
-5.713159,54.84175
-5.713159,54.84175
-7.224149,55.06669
-7.224149,55.06669
-7.220337,55.07149
-6.384751,49.86305
-6.334422,49.88106
-6.366258,49.87255
-6.250574,49.93589
-5.609651,54.46209
-5.609651,54.46209
-7.011918,55.19181
-7.011918,55.19181
-5.609651,54.46209
-5.609651,54.46209
-5.609651,54.46209
-5.609651,54.46209
-5.609651,54.46209
-5.609651,54.46209
3.466667,42.302267
3.466667,42.302267
0.412244,50.80235
1.246263,51.07545
-6.654529,55.22896
-6.586838,55.22239
-4.417159,52.829333
-4.417159,52.829333
-4.417002,52.829453
-4.417581,52.829451
-3.124226,58.914347
-3.124256,58.915245
-3.124226,58.914347
-3.125962,58.914332
-3.134553,58.911563
-3.110483,58.918957
-3.124226,58.914347
-3.125962,58.914332
-3.124226,58.914347
-3.125962,58.914332
-3.110483,58.918957
-3.124226,58.914347
-3.110483,58.918957
-3.124256,58.915245
-3.134553,58.911563
-3.124256,58.915245
-3.124226,58.914347
-3.134553,58.911563
-6.461977,57.0456
-6.466154,57.04246
-6.344266,57.06385
-6.461977,57.0456
-6.461977,57.0456
-5.418683,58.00319
11.0624,58.53586
11.05602,58.53039
-6.487234,57.07092
-6.487234,57.07092
-5.68518,55.9284
-5.633658,54.74113
-5.598945,54.73323
-5.566451,54.72443
-5.566451,54.72443
-5.805681,54.66822
-5.598945,54.73323
-5.805681,54.66822
-5.566928,57.35794
-5.713159,54.84175
-5.491943,54.75073
-5.549335,54.79464
-5.549335,54.79464
-5.713159,54.84175
-5.713159,54.84175
-5.713159,54.84175
-4.655325,52.759372
-4.796988,52.712717
-4.796886,52.712737
-4.769864,52.719064
-4.655347,52.759489
-4.186382,52.854868
-4.796886,52.712737
0.602118,53.288097
0.525303,53.41023
0.806348,53.19894
0.473771,53.092123
0.550603,53.556246
0.629389,53.39
0.565646,53.754622
0.591293,53.579647
1.141356,53.25442
0.423734,53.529216
0.512966,53.812379
1.059515,53.179215
0.711084,53.373786
0.435727,53.68541
0.656135,53.505396
0.526053,53.143175
0.165961,53.71127
1.866454,53.528103
0.469825,53.64695
0.231504,53.775695
1.050964,53.542723
0.849492,53.442494
0.413135,53.475486
0.305865,53.692476
0.72568,53.578457
0.318778,53.569059
0.138673,53.830427
0.688473,53.492084
0.320978,53.664314
1.060877,53.303276
0.542296,53.063704
0.215453,53.672607
0.313012,53.822697
0.467261,53.421334
-7.011918,55.19181
-6.665765,55.28782
-6.665766,55.29172
-7.011918,55.19181
-7.011918,55.19181
-6.665765,55.28782
-7.011918,55.19181
-7.011918,55.19181
-6.665766,55.29172
-7.011918,55.19181
-5.609651,54.46209
-6.73238,55.19631
-5.609651,54.46209
-6.73238,55.19631
-5.609651,54.46209
-5.543344,54.35048
-6.73238,55.19631
-5.609651,54.46209
-6.234416,55.28352
-6.686772,55.29162
-6.686772,55.29162
-5.639756,54.38908
-6.234416,55.28352
-6.665965,55.29502
-5.609651,54.46209
-6.234416,55.28352
-6.73238,55.19631
-6.672073,55.29172
-6.665965,55.29502
-6.234416,55.28352
-6.73238,55.19631
-5.609651,54.46209
-6.234416,55.28352
-6.234416,55.28352
-5.609651,54.46209
-6.234416,55.28352
-5.609651,54.46209
-5.609651,54.46209
-5.639756,54.38908
-5.543344,54.35048
-5.543344,54.35048
-6.234416,55.28352
-5.543344,54.35048
-5.543344,54.35048
-5.609651,54.46209
-5.793468,54.84395
-5.793468,54.84395
-5.793468,54.84395
-5.754768,54.81744
-5.793468,54.84395
-5.754768,54.81744
-5.793468,54.84395
-5.793468,54.84395
-5.793468,54.84395
-5.793468,54.84395
-5.793468,54.84395
-5.793468,54.84395
-6.028797,55.13189
-6.028797,55.13189
-6.028797,55.13189
-6.028797,55.13189
-6.028797,55.13189
-6.028797,55.13189
-6.028797,55.13189
-6.028797,55.13189
11.41465,57.47401
-5.102941,58.40185
-5.805681,54.66822
-5.598945,54.73323
-5.598945,54.73323
-5.598945,54.73323
-5.598945,54.73323
-5.805681,54.66822
-5.598945,54.73323
-5.598945,54.73323
-5.808669,54.67312
-5.808669,54.67312
1.492153,54.945175
1.962045,54.767067
