Longitude,Latitude
6.970594,53.673195
7.138412,53.70919
-4.908083,55.749517
-1.380314,46.171428
-5.279963,50.056008
-0.754988,49.349369
-0.538661,50.811055
3.243738,42.249838
-3.102315,53.561527
-0.762649,37.84585
-3.628204,51.21912
-6.719595,55.184549
4.296791,52.124783
-6.719513,55.184567
-6.719465,55.184254
-8.792175,40.488164
8.687573,54.269512
4.75,53.1
4.6,52.5
4.65,52.75
4.55,52.45
5.3,53.4
4.75,52.95
3.55,51.55
4.6,52.6
4.6,52.5
5.05,53.3
3.8,51.75
4.55,52.45
4.55,52.45
4.6,52.55
3.85,51.8
4.55,52.45
4.7,52.9
4.3,52.1
4.15,52
5,52.9
4.8,53.15
4.6,52.6
3.85,51.75
4.6,52.6
5.25,53.4
4.4,52.25
5.2,53.4
5.05,53.25
4.6,52.5
4.15,52
3.7,51.4
4.55,52.45
4.7,52.95
4.55,52.45
4.7,52.9
4.6,52.6
4.6,52.7
4.65,52.75
4.6,52.7
3.7,51.6
4.75,52.95
4.8,53.1
5.25,53.4
4.8,53.15
4.55,52.45
4.6,52.65
4.2,52.05
4.6,52.65
4.65,52.75
4.6,52.6
4.7,52.95
4.65,52.75
4.55,52.45
4.7,52.9
4.6,52.7
4.6,52.6
3.95,51.9
4.2,52.05
4.6,52.65
5.95,53.35
3.95,51.9
4.8,53.1
4.8,53.1
4.75,52.95
3.7,51.4
3.4,51.5
4.55,52.45
4.6,52.6
4.6,52.65
4.5,52.4
4.7,52.9
4.55,52.45
4.7,53
5.2,53.35
4.7,52.95
5.05,53.3
4.6,52.65
4.6,52.6
4.45,52.25
4.6,52.65
3.65,51.7
4.8,53.1
4.6,52.6
5.25,53.4
3.35,51.35
4.75,52.95
4.6,52.7
5.2,53.4
4.6,52.5
4.6,52.6
4.65,52.8
4.75,53.1
4.65,52.8
4.6,52.75
6.15,53.5
3.95,51.9
3.7,51.4
4.6,52.65
4.5,52.4
4.55,52.45
4.7,53.05
4.2,52.05
5.25,53.4
4.6,52.65
6.15,53.45
5.25,53.4
5.2,53.4
4.6,52.75
4.55,52.45
4.6,52.75
-3.975384,51.569691
-0.628964,50.788397
-3.630443,54.504341
3.963388,51.955174
-5.480204,54.551375
-5.480204,54.551375
-5.480204,54.551375
-5.474193,56.415693
-5.480204,54.551375
-5.480204,54.551375
8.139564,56.576683
-6.719493,55.184402
