Longitude,Latitude
5.218641,43.328554
11.09721,58.89187
6.407097,42.995608
7.466734,62.947396
-8.742045,54.267874
16.23087,68.40172
14.294,67.17028
13.635878,68.121688
12.7189,66.2376
26.542623,39.016449
8.127696,63.290099
18.557631,70.029552
14.407635,44.958523
25.9125,71.0497
11.79488,65.10808
18.8859,69.6831
14.255313,45.236123
23.550733,70.700816
5.228726,43.199265
23.343887,39.172266
11.55738,65.1982
23.343869,39.172233
22.9552,70.54262
22.96753,70.544
4.819881,60.547929
15.492678,68.157615
2.579454,59.242677
2.00013,58.389383
7.0843,43.53655
19.76113,70.05007
6.177445,62.583562
9.5355,63.6108
13.635878,68.121688
5.158501,61.768419
3.204405,56.538766
3.213176,56.551565
9.6327,63.6262
5.171872,59.266082
5.171298,59.262128
5.170513,59.268182
-5.416539,54.487535
15.299,68.0074
5.4386,59.9561
25.5603,70.8987
5.4386,59.9561
25.4831,70.8819
25.4831,70.8819
25.5603,70.8987
15.1674,67.9612
15.1674,67.9612
5.4943,61.9121
5.4943,61.9121
2.719005,60.543693
2.725744,60.553018
2.682925,60.395195
2.673261,60.39993
2.728344,60.551731
2.012867,60.514636
15.3235,68.3817
17.6331,68.7918
17.6331,68.7918
15.3235,68.3817
23.343193,39.172076
14.5853,68.4998
14.5853,68.4998
15.0376,68.3454
15.0376,68.3454
14.8649,68.8062
15.1381,68.6781
15.0412,68.3376
15.0412,68.3376
15.1381,68.6781
-4.230367,54.592668
-4.832839,53.807501
14.663846,45.148438
14.663672,45.148434
14.6143,68.8031
14.6143,68.8031
10.548503,59.695001
24.9536,70.8906
23.3265,70.2317
24.9536,70.8906
23.2738,70.2391
23.394,70.2375
23.394,70.2375
23.3265,70.2317
23.2738,70.2391
23.6345,70.596
23.6345,70.596
23.411,70.2912
10.6112,64.7553
13.858,67.1281
13.5431,66.7175
13.858,67.1281
23.7795,70.5041
11.7268,65.0172
11.7005,64.9586
8.8892,63.4158
11.7268,65.0172
11.6962,65.1947
10.8363,64.7693
10.6112,64.7553
14.0385,67.151
8.8892,63.4158
23.7795,70.5041
12.5753,66.6731
12.5753,66.6731
11.6078,64.9695
13.5431,66.7175
11.1639,64.7542
11.6962,65.1947
11.6078,64.9695
14.0385,67.151
23.4876,70.2881
23.4876,70.2881
11.1639,64.7542
11.7005,64.9586
23.411,70.2912
10.8363,64.7693
15.2029,68.3187
15.2029,68.3187
15.4104,67.7248
15.4104,67.7248
15.4113,67.7302
15.4113,67.7302
5.200916,60.284781
15.0869,68.8258
15.0869,68.8258
11.436768,56.944973
1.891744,58.081571
1.91768,57.965106
1.836101,59.339878
1.918062,57.952408
1.918062,57.952408
2.30737,59.777504
1.960317,59.49704
-0.12,38.5
-0.13,38.5
-0.13,38.5
-0.13,38.5
0.04,38.62
-0.12,38.5
-0.13,38.5
0.04,38.62
-0.12,38.51
-0.12,38.51
0.03,38.62
-0.12,38.5
-0.12,38.51
-0.12,38.51
-0.12,38.5
0.01,38.62
-0.13,38.5
0.03,38.62
-0.13,38.5
-0.12,38.51
-0.13,38.5
0.01,38.62
-0.12,38.51
0.03,38.62
0.03,38.62
0.03,38.62
0.01,38.62
0.03,38.62
-3.278526,53.355023
-3.685113,53.730254
-4.006652,53.881017
-4.016444,53.974064
-4.012826,53.647831
-0.33,38.44
-0.33,38.44
-4.186734,54.572521
-4.339265,54.115167
-4.172337,54.052666
-4.068497,54.1065
5.370597,43.176212
14.9669,68.5065
14.9669,68.5065
1.11385,50.12873
-0.04,38.56
-0.04,38.56
-0.04,38.56
-0.04,38.56
-0.04,38.56
-0.04,38.56
-0.04,38.56
-0.04,38.56
-0.04,38.56
1.25352,50.13079
1.25352,50.13079
1.2566,50.041
14.66417,68.16612
5.60814,43.163794
-3.600798,50.11719
-3.547593,50.245627
-3.569993,50.158984
-3.597381,50.140622
-3.607535,50.151274
-3.548351,50.269002
1.816638,51.160363
2.840923,57.111544
2.107946,61.376669
3.040951,56.613524
3.077642,56.907491
3.055361,56.61828
2.20421,61.198468
3.053699,57.06695
3.049596,56.621463
3.059694,56.617389
2.309293,61.028294
0.01,38.62
0.01,38.62
0.01,38.62
0.07,38.63
0.07,38.63
0.07,38.63
0.07,38.63
0.07,38.63
0.07,38.63
0.07,38.63
0.19,38.8
0.19,38.8
0.19,38.8
0.19,38.8
0.19,38.8
-3.930836,53.686929
-5.060974,55.5108
-5.060974,55.5108
-5.060974,55.5108
-5.123809,55.43637
1.11051,50.2185
1.11051,50.2185
1.11385,50.12873
15.3301,68.9442
15.3301,68.9442
-5.102735,50.433085
2.013072,60.507903
1.967219,60.515951
2.412912,59.14583
-0.72,37.86
-0.7,37.87
-0.69,37.88
-0.69,37.89
-0.7,37.91
-0.7,37.92
-0.72,37.92
