Longitude,Latitude
6.125378,62.568726
22.586275,38.896754
-1.315915,46.311543
10.429405,57.597324
4.028056,43.555278
2.046609,51.003817
3.6,51.55
3.6,51.55
4.2,52.05
4.35,52.15
4.2,52.05
4.2,52.05
4.45,52.3
4.15,52
4.55,52.45
3.6,51.55
4.55,52.5
3.6,51.55
4.55,52.45
4.55,52.45
4.6,52.6
3.65,51.65
4.6,52.55
4.55,52.45
4.1,52
4.55,52.45
4.55,52.45
4.35,52.15
4.1,51.95
4.7,52.95
4.1,51.95
4.55,52.45
4.55,52.45
4.6,52.6
4.2,52.05
4.55,52.45
4.55,52.45
4.55,52.5
4.7,52.9
5.75,53.45
3.6,51.45
4.15,52
4.55,52.45
4.55,52.45
4.55,52.45
5.75,53.45
5.85,53.45
4.6,52.65
4.35,52.15
4.55,52.4
4.55,52.45
4.2,52.05
4.4,52.2
4.6,52.55
4.55,52.45
-2.869447,56.029481
4.45,52.3
4.55,52.45
4.55,52.45
4.55,52.45
4.45,52.3
4.35,52.15
4.2,52.05
4.55,52.45
4.45,52.3
3.5,51.55
4.5,52.35
4.55,52.45
-4.45204,36.669545
4.15,51.75
4.2,52.05
4,51.85
4.05,51.95
4.45,52.3
4.55,52.45
4.1,51.95
4.35,52.15
4.55,52.45
4.8,53.15
4.55,52.4
4.05,51.95
4.55,52.5
4.2,52.05
4.55,52.4
4.2,52.05
4.55,52.5
10.715179,56.532911
12.67935,56.71142
6.575012,62.54041
22.654073,40.36253
21.423885,70.238657
12.58379,56.83717
8.387533,55.411106
12.27706,57.06259
8.288027,54.875519
8.551323,54.679359
3.6,51.55
4.55,52.4
4.6,52.5
6.1,53.45
-1.563969,48.949181
4.05,51.95
3.95,51.95
3.6,51.55
-1.564344,48.947052
4.2,52.05
4.6,52.6
3.55,51.55
4.6,52.5
4.15,52.05
4.6,52.55
4.8,53.1
4.6,52.5
3.6,51.55
3.6,51.55
4.1,51.95
4.6,52.7
4.8,53.1
4.15,52.05
4.1,51.95
4.05,51.95
4.05,51.95
4.7,52.95
4.8,53.1
4.3,52.1
4.4,52.25
4.15,52
4.65,52.8
4.55,52.5
3.6,51.55
4.7,52.95
-1.564361,48.946763
5.4,53.4
4.55,52.4
4.05,51.95
4.05,51.95
3.5,51.45
4.6,52.55
4.6,52.75
4.4,52.2
4.55,52.45
4.6,52.55
-1.564348,48.947022
-1.564496,48.946667
4.6,52.55
3.6,51.55
4.6,52.6
4.4,52.25
4.55,52.4
4.55,52.5
4.15,52.05
3.95,51.95
4.05,51.95
4.4,52.2
-1.564355,48.947131
4.2,52.05
4,51.85
-1.563971,48.949185
4.6,52.5
8.120556,55.633889
8.479214,55.15926
4.55,52.45
4.6,52.6
3.65,51.7
4.25,52.1
3.6,51.55
4.4,52.2
5.4,53.4
4.65,52.8
3.9,51.8
4.6,52.7
4,51.9
4.1,52
4.4,52.25
4.1,52
3.5,51.55
4.95,53.25
3.45,51.55
4.7,52.9
4.65,52.75
6.15,53.5
9.920922,63.547136
8.493505,53.209682
4.224619,52.07506
5.95,53.45
5.6,53.4
5.95,53.45
3.55,51.45
3.65,51.65
4.6,52.65
4.15,52
5.8,53.45
4.2,51.45
3.6,51.4
4.7,53.05
5.6,53.4
5.6,53.4
4.25,52.1
4.55,52.45
4.8,53.15
4.4,52.25
5.6,53.4
3.7,51.4
3.7,51.4
4.6,52.65
4.8,53.15
5.6,53.4
4.4,52.2
3.55,51.45
4.35,52.15
5.75,53.45
4.1,51.95
4.6,52.7
5.9,53.45
4.6,52.65
4.35,52.15
5.75,53.45
5.6,53.4
4.35,52.15
3.95,51.8
4.35,52.2
5.7,53.45
-8.634284,54.335732
10.030457,57.58978
4.569003,52.472481
4.55,52.45
4.2,52.05
4.35,52.15
3.5,51.45
5.8,53.45
4.05,51.95
4.55,52.45
4.1,51.95
3.9,51.8
4.95,52.3
-1.639624,49.216812
4.05,51.95
4.3,52.15
3.5,51.55
4.55,52.4
4.4,52.2
3.55,51.55
5.6,53.45
4.3,52.1
7.05,53.25
4.1,51.95
3.5,51.45
4.1,51.95
4.1,51.95
3.55,51.55
4.4,52.2
3.6,51.4
5.85,53.45
4.1,51.95
4.4,52.25
4.5,52.35
5.7794,53.461
8.078192,53.645363
8.844199,54.2682
4.323756,52.143622
4.1,51.95
4.4,52.25
4.35,52.15
4.55,52.45
4.7,53
5.9,53.45
3.7,51.7
4.35,52.15
4.6,52.55
5.35,53.4
4.8,53.15
4.5,52.15
4.6,52.65
3.9,51.8
5.35,53.4
5.65,53.45
5.35,53.4
4.1,51.95
4.55,52.45
4.6,52.65
4.55,52.45
4.35,52.2
4.6,52.55
3.7,51.7
4.75,52.65
4.7,53.05
3.75,51.7
5.25,52.25
4.7,53
4.6,52.55
4.4,52.2
4.5,52.4
4.6,52.7
3.95,51.8
4.5,52.35
3.5,51.45
5.45,52.85
4.05,51.8
3.7,51.4
4.8,53
5.35,53.4
5.35,53.4
4.6,52.65
4.85,53.15
5.4,53.4
4.3,52.15
4.6,52.6
5.4,53.4
3.45,51.5
5.35,53.4
5.35,53.4
4.35,52.15
4.2,52.05
4.5,52.35
4.65,52.75
-4.452461,36.669177
-6.951397,55.211544
4.2,52.05
4.5,52.35
4,51.85
4.7,53.05
4.5,52.35
4.3,52.1
4.35,52.15
4.5,52.35
5.75,53.4
5.45,53.4
4.25,52.1
4.6,52.6
5.6,53.4
4.6,52.6
3.75,51.7
4.55,52.45
4,51.85
4.6,52.6
4.2,52.05
4.6,52.6
4.4,52.25
4.6,52.6
5.75,53.45
5.05,53.3
4.25,52.1
3.6,51.55
4.6,52.6
5.25,53.4
4.6,52.5
4.35,52.15
4.25,52.1
5.25,53.4
4.55,52.4
4.6,52.6
4.6,52.6
4.6,52.6
4.25,52.05
5.75,53.4
5.85,53.45
4.6,52.6
4.5,52.35
4.75,52.95
4.6,52.55
5.75,53.4
4.5,52.35
4,51.85
4.6,52.6
5.8,53.45
4.5,52.3
4.3,52.15
4.6,52.3
5.8,53.45
4.4,52.25
4.6,52.6
4.3,52.1
4.55,52.4
4.6,52.6
3.9,51.8
4.6,52.5
5.75,53.45
4.5,52.35
4.4,52.2
4.6,52.55
5.6,53.4
5.85,53.45
4.65,52.8
5.6,53.45
4.6,52.55
5.25,53.4
4.75,53.1
4.45,52.3
4.4,52.2
5.45,53.4
3.75,51.7
4,51.85
4.4,52.2
4.4,52.2
4.7,53.05
4.55,52.45
4.6,52.6
3.75,51.7
5.85,53.45
4.2,52.05
4.6,52.6
4.25,52.1
4.55,52.45
5.6,53.4
4.55,52.45
4.4,52.2
4.6,52.6
5.25,53.4
4.9,51.5
5.6,53.4
5.6,53.4
4.35,52.2
4.6,52.6
4.6,52.6
3.65,51.6
4.6,52.6
5.75,53.4
5.05,53.3
4.55,52.45
4.6,52.6
9.16986,41.171865
10.996826,42.689689
2.418,51.055
6.733675,53.613724
3.700651,51.638382
3.9,51.8
3.9,51.8
4.45,52.25
4.3,52.15
3.9,51.8
4.45,52.3
4.3,52.1
4.65,52.8
4.25,52.1
4.55,52.45
4.6,52.6
4.65,52.1
3.4,51.35
4.4,52.2
3.9,51.8
5.25,53.4
4.75,53.1
5.05,53.3
4.1,51.95
4.5,52.35
3.75,51.7
4.75,53.1
3.45,51.45
5.8,53.45
3.5,51.45
4.4,52.2
4.75,53.1
3.45,51.55
4.4,52.2
5.75,53.45
8.119542,56.494281
3.85,51.8
4.5,52.35
4,51.8
4.1,52
3.9,51.8
4.4,52.2
4,51.8
4.8,53.15
4.75,53.05
4.6,52.6
5.75,53.45
4.45,52.3
5.15,53.35
4.45,52.3
4.4,52.25
3.9,51.8
4.3,52.1
3.5,51.45
4.3,52.15
4.7,53.05
5.3,53.4
4.75,53.1
4.3,52.1
4.45,52.3
4.75,53.1
4.75,53.1
4.65,52.75
3.4,51.35
4.55,52.45
4.35,52.2
5.25,53.4
3.7,51.7
4.25,52.05
3.85,51.8
3.7,51.7
4.75,53.1
3.6,51.55
4.7,52.85
4.6,52.7
5.2,53.25
3.75,51.7
4.45,52.3
4.8,53.15
3.35,51.35
3.75,51.7
9.952578,57.592014
4.6,52.6
4.4,52.2
4.7,52.85
4.6,52.65
3.35,51.35
3.35,51.35
4.7,52.95
4.55,52.5
4.4,52.25
3.9,51.8
4.3,52.15
4.6,52.6
6.2,53.5
4.6,52.1
5.25,53.4
5.25,53.4
3.9,51.8
5.3,53.4
4.45,52.3
4.75,53.1
5.05,53.3
4.2,52.05
3.9,51.8
3.9,51.8
3.85,51.8
4.3,52.1
3.95,51.8
4.05,51.95
4.55,52.45
4.45,52.3
4.85,53.15
4.55,52.5
4.5,52.35
4.2,52.05
3.95,51.9
4.5,52.35
5.05,53.3
5.15,53.35
4.1,52
3.45,51.55
3.65,51.55
4.5,52.35
4.5,52.35
4.5,52.35
4.35,52.15
5.2,53.35
4.4,52.25
5.05,53.3
5.35,53.4
5.4,53.4
4.45,52.3
4.8,53.1
5.1,51.5
5.3,53.4
4.65,52.8
4.3,52.1
23.70733,40.262134
18.761054,69.663202
5.775633,53.459846
5.3,53.35
5.6,53.4
4.7,53.05
5.25,53.4
4.6,52.55
4.8,53.15
3.5,51.45
5.45,53.4
5.3,53.35
4.55,52.45
4.35,52.2
4.55,52.45
4.35,52.2
4.2,52.05
5.3,53.35
3.6,51.55
4.35,52.2
5.25,53.4
4.85,53.15
4.35,52.2
4.35,52.2
5.25,53.4
4.2,52.05
4.25,52.1
4.4,52.25
4.35,52.2
8.476876,55.148665
4.35,52.2
3.85,51.35
4.3,52.1
4.2,52.05
4.55,52.5
4.5,52.45
5.2,53.4
-9.215554,38.69208
4.35,52.2
4.2,52.05
3.75,51.7
4.35,52.15
4.2,52.05
-7.322622,37.192402
4.25,52.1
5.3,53.35
4.1,51.95
4.35,52.2
4.2,52.05
4.35,52.2
5.3,53.4
4.7,53.05
3.9,51.8
4.35,52.2
5.3,53.4
4.8,53.15
4.2,52.05
4.3,52.15
4.4,52.2
3.85,51.8
3.5,51.4
3.5,51.4
4.35,52.15
3.5,51.55
5.45,53.4
3.65,51.6
5.8,53.45
4.25,52.1
4.4,52.2
4.1,51.95
4.1,51.95
3.7,51.55
4.7,52.85
5.6,53.4
5.25,53.4
3.65,51.7
4.6,52.55
3.95,51.8
4.75,53.05
4.1,51.95
4.8,53.15
4.65,52.8
5.3,53.35
4.35,52.2
4.35,52.2
4.9,53.25
3.75,51.7
5.25,53.4
5.25,53.4
4.55,52.4
5.25,53.4
3.5,51.55
3.45,51.55
5.35,53.4
-8.193407,43.410786
4.35,52.2
4.35,52.2
5.2,53.35
4.55,52.45
4.55,52.45
3.5,51.45
4.05,51.95
3.95,51.8
4.8,53.15
4.55,52.45
4.35,52.2
4.35,52.15
-7.519746,37.162393
4.8,53.15
4.75,53.1
5.8,53.45
5.2,53.4
4.5,52.4
4.35,52.2
4.35,52.2
4.35,52.15
4.55,52.45
-0.005139,49.324902
5.8,53.45
4.05,51.95
4.3,52.1
4.55,52.45
4,51.85
4.2,52.05
6.2,53.4
5.75,53.45
4.55,52.45
3.75,51.7
1.681606,50.908064
3.4,51.35
4.8,53.15
3.4,51.35
5.3,53.4
4.35,52.2
5.45,53.4
4.2,52.05
4.3,52.1
5.25,53.4
4.55,52.45
4.2,52.05
4.35,52.2
4.35,52.2
3.9,51.8
4.3,52.1
3.95,51.8
5.75,53.45
4.25,52.1
4.35,52.2
4.3,52.1
4.25,52.1
3.4,51.35
4.35,52.2
4.6,52.7
6.1,53.45
4.35,52.2
4.7,52.85
4.55,52.5
4.85,53.15
0.009871,49.331469
4.5,52.35
3.75,51.7
4.55,52.5
4.6,52.55
5.3,53.4
4.1,51.95
5.1,53.25
4,51.8
4.35,52.2
-7.322368,37.192458
4.2,52.05
4.7,52.85
4.6,52.55
5.2,53.35
4.05,51.5
4.5,52.4
3.65,51.55
4.35,52.2
4.4,52.2
4.55,52.45
3.7,51.65
4.6,52.55
5.75,53.45
4.25,52.1
3.6,51.55
4.6,52.65
4.7,53
4.35,52.2
3.7,51.55
4.55,52.45
3.75,51.7
-1.84536,49.492803
3.8,51.75
6.35,53.5
5.8,53.45
4.75,53.1
3.75,51.7
-8.589641,54.34328
4.021667,43.554444
23.980825,40.378946
11.55912,58.32168
5.25,53.4
3.8,51.75
3.65,51.6
3.65,51.6
4.6,52.7
4.35,52.2
3.8,51.7
4.7,52.85
3.8,51.75
4.65,52.8
4.5,52.4
6.1,53.45
4.8,53.15
4.6,52.6
4.4,52.2
4.6,52.7
3.5,51.45
4.25,52.1
-2.22312,47.014688
3.95,51.8
3.95,51.8
4.5,52.4
4.65,52.8
4.6,52.65
5.75,53.45
4.55,52.45
3.6,51.55
4.35,52.2
5.35,53.4
4.1,51.95
4.8,53.1
4.6,52.65
4.55,52.45
4.65,52.75
4.8,53.1
5.35,53.4
3.85,51.8
3.7,51.65
4.55,52.45
4.6,52.7
4.6,52.55
3.95,51.8
4.55,52.45
5.8,53.45
4.55,52.45
4.85,53.15
5.35,53.4
4.1,51.95
4.4,52.2
4.5,52.4
4.25,52.1
3.5,51.45
5.25,53.4
5.75,53.45
4.6,52.6
4.35,52.2
4.6,52.65
4.1,51.95
4.25,52.05
4.4,52.2
5.75,53.45
4.65,52.8
-2.22305,47.014618
4.6,52.6
3.95,51.8
4.55,52.5
4.7,52.85
3.35,51.35
4.6,52.6
4.6,52.7
7.238545,53.723234
3.5,51.45
4.1,51.95
4.5,52.4
4.85,53.15
4.5,52.4
7.238545,53.723234
3.4,51.5
-3.119323,55.958089
6.992516,53.683266
4.45,52.25
3.95,51.8
4.65,52.8
4.55,52.45
4.1,51.95
4.5,52.4
4.15,52.05
4.85,53.15
3.95,51.8
5.25,53.4
3.65,51.6
4.35,52.2
5.35,53.4
4.6,52.7
4,51.9
5.5,53.4
3.55,51.55
4.45,52.25
4.6,52.6
4.6,52.65
4.35,52.2
4.55,52.45
5.25,53.4
5.5,53.4
5.25,53.4
4.65,52.8
4.5,52.4
4.35,52.2
-8.572355,54.316412
24.860147,40.893928
3.876111,43.501389
8.319492,54.689751
8.301562,54.678272
8.297516,54.670052
8.321703,54.691734
7.241373,53.714951
8.326272,54.694748
12.60368,56.82502
4.027222,43.555555
3.9,51.8
4.6,52.55
4.25,52.1
4.8,53.15
4.65,52.8
8.389372,54.61266
5.25,53.4
3.5,51.45
4.25,52.1
5.3,53.4
4.2,52.05
4.6,52.6
5.25,53.4
5.7,53.45
3.6,51.55
3.95,51.8
4.35,52.2
4.05,51.8
3.75,51.7
4.25,52.1
5.35,53.4
4.55,52.45
4.35,52.15
4.25,52.1
4.55,52.45
4.6,52.6
3.7,51.4
4.55,52.45
4.25,52.1
4.55,52.45
6.55,53.5
3.5,51.55
6.2,53.4
4.55,52.45
4.7,52.9
4.05,51.85
4.6,52.6
3.8,51.7
4.65,51.8
4.6,52.6
5.25,53.4
4.6,52.6
3.8,51.7
4.2,52.05
4.75,53.1
4.6,52.55
4.55,52.45
6.55,53.5
4.75,53
3.9,51.8
4.8,53.15
6.55,53.5
4.6,52.6
4.45,52.25
3.5,51.4
4.85,53.15
4.05,51.85
4.3,52.1
4,51.85
4.6,52.55
4.2,52.05
5.600897,58.888461
7.52838,53.757015
4.021667,43.554722
22.817596,40.495245
4.3,52.15
4.3,52.15
4.6,52.55
4.3,52.15
4.8,53.15
4.05,51.95
4.6,52.6
3.85,51.8
4.8,53.15
5.75,53.45
4.6,52.55
4.8,53.15
4.4,52.25
5.95,53.45
4.8,53.15
5.75,53.45
4.45,52.25
4.2,52.05
4.8,53.15
4.4,52.25
4.6,52.55
4.3,52.15
4.3,52.15
3.35,51.35
4.6,52.55
5.8,53.45
4.5,52.4
5.8,53.45
4.55,52.45
4.8,53.15
3.95,51.8
3.45,51.45
4.05,51.9
4.1,51.95
4.6,52.55
4.6,52.55
5.6,53.45
4.6,52.7
4.4,52.25
4.8,53.15
4.85,53.15
4.1,51.95
4.3,52.15
5.6,53.4
5.75,53.45
3.75,51.7
4.8,53.15
4.55,52.4
4.3,52.15
4.6,52.55
4.8,53.15
3.35,51.35
4.6,52.55
22.589075,40.455903
10.439248,57.545552
4.2,52.05
4.55,52.45
5.25,53.4
4.55,52.45
4.2,52.05
5.25,53.4
3.6,51.55
4.4,52.25
4.55,52.45
4.1,51.95
4.7,52.9
4.35,52.15
4.2,52.05
3.8,51.7
4.7,52.9
3.7,51.65
3.7,51.7
4.7,52.9
4.4,52.25
4.4,52.25
4.4,52.25
4.15,52
4.2,52.05
4.1,52
4.7,52.9
4.55,52.5
4.55,52.45
4.2,52.05
4.55,52.5
4.4,52.25
4.5,52.35
4.55,52.45
4.3,52.15
4.55,52.45
4.2,52.05
4.1,51.95
4.05,51.95
3.4,51.35
4.55,52.4
4.4,52.25
4.6,52.55
4.15,52
4.55,52.45
4.75,53.1
4.6,52.7
4.7,53
4.8,53.1
4.7,53
4.7,53
4.7,53
4.6,52.65
4.75,53.1
4.7,52.95
4.75,53.1
4.55,52.45
4.6,52.7
4.55,52.45
4.6,52.6
4.7,53
4.1,52
4.6,52.55
4.65,52.75
0.404339,40.364774
4.1,52
4.7,52.9
4.6,52.55
6.225981,62.497867
6.14028,59.26995
4.6,52.6
4.55,52.4
3.6,51.55
4.35,52.15
4.55,52.45
