Longitude,Latitude
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
-8.308025,51.745193
3.4,51.35
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
6.25,53.5
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
7.620561,58.042325
12.22013,55.520742
3.7,51.4
3.7,51.4
3.7,51.4
4.05,51.85
3.7,51.4
3.7,51.4
10.712446,59.800316
11.63247,58.38133
4.6,52.75
11.58704,57.88562
3.7,51.4
4.6,52.65
5.25,53.4
4.55,52.5
7.109204,61.231942
22.434122,60.41182
23.89614,59.930981
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
9.213822,58.706916
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
4.75,52.95
-3.0433,53.467497
3.7,51.4
3.7,51.4
3.7,51.4
-3.040816,53.465201
11.630918,58.381902
6.25,53.4
6.25,53.4
10.709436,59.778181
10.712446,59.800316
10.712446,59.800316
14.070268,54.016891
27.6332,40.4284
10.710047,59.791178
17.636272,58.818739
5.585185,59.592955
10.618985,59.876801
11.44761,58.07959
1.135469,52.95112
1.208802,52.94577
1.135079,52.95129
-8.332823,51.861635
10.712446,59.800316
10.713829,59.792213
10.712446,59.800316
6.986315,61.152505
10.682747,59.498222
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
4.6,52.65
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
3.7,51.4
4.45,52.3
3.7,51.4
3.7,51.4
-4.663896,53.7544
-4.492694,53.9876
-3.996793,54.618096
-5.765093,52.860804
-5.889499,53.570903
-4.969994,53.855099
-3.775996,53.479996
-5.795596,53.421698
-4.967907,54.185797
-5.862101,53.198802
-4.512695,52.715004
-5.752303,53.978202
-4.173693,53.8173
-4.041898,54.116204
-5.649796,52.871199
-5.665205,54.723899
-6.010694,53.240597
-3.616199,54.1747
-4.930697,54.351701
-5.677407,54.182499
-6.073005,53.850498
-5.704593,53.9337
-5.422706,54.574197
-4.918205,52.345497
-6.0986,52.634403
-4.272004,52.305701
-5.951494,53.888602
-5.017998,54.131404
-6.0434,52.5669
-5.286994,54.342398
-5.518698,54.127903
-5.418102,53.558797
-3.777095,54.432399
-5.778802,52.583397
-5.696706,53.6482
-5.100007,53.68
-4.235701,54.611204
-3.9177,54.330897
-5.853997,53.706804
-3.705107,53.777398
-5.322093,53.786401
-3.741096,54.600203
-4.249994,53.515999
-4.989502,54.004799
-5.871605,52.375597
-5.399804,54.207398
-6.001004,53.716099
-3.7213,54.294796
-5.309806,54.086904
-5.821697,53.4962
4.5,53.7
4.45,52.25
10.721339,59.781445
11.106725,59.036546
4.6,52.65
10.721339,59.781445
11.81551,58.06897
18.84333,59.55167
19.03458,57.87122
19.74417,63.5135
18.84117,59.57017
19.042,57.86987
18.84,59.5685
18.85983,59.57333
19.74517,63.5215
18.9522,57.92475
