Longitude,Latitude
6.125378,62.568726
1.292037,52.934727
-5.562307,54.389192
-5.056881,50.147542
-2.156551,46.885471
-5.576515,54.391718
-1.571002,48.953666
3.45,51.4
6.022584,62.546962
5.593243,58.876535
1.251771,52.942183
-5.702138,43.564621
9.213822,58.706916
6.098707,59.19904
-5.618212,54.67692
21.423885,70.238657
18.936594,69.709454
-5.095149,48.440413
-5.112972,48.440769
-5.864424,56.816623
6.097355,62.466508
19.097536,69.729562
5.575825,58.90822
18.819499,69.65196
10.489457,63.439288
-5.632008,54.451528
8.560499,54.679451
8.32489,54.640366
3.85,51.6
-8.330598,51.734019
-5.882573,54.680528
-5.693734,54.773487
-9.128718,53.13187
-5.56004,54.659704
-5.791676,54.846548
-5.882906,54.680156
17.127135,68.80226
5.161827,60.673222
-5.732259,54.67206
-5.731964,54.672264
-5.605593,54.541417
-5.530237,50.114283
-5.452665,50.113376
3.5,51.45
3.7,51.4
-9.114455,53.158063
-7.13504,55.291133
-9.121905,53.157094
-9.156833,53.121716
-9.125731,53.131898
18.761054,69.663202
9.955408,63.946928
9.933292,63.919135
9.827408,63.65551
17.894602,69.561005
10.019952,63.494357
9.529149,63.592227
-4.402179,54.208686
-5.639214,54.668566
-5.852595,54.900234
11.18074,58.57344
-4.38117,54.323724
-5.463968,54.503875
-5.852363,54.900258
8.353214,54.618404
-5.530237,50.114283
-3.9132,50.29431
-5.530237,50.114283
-5.452665,50.113376
-4.558986,50.796525
-5.452665,50.113376
3.7,51.6
3.65,51.55
-5.782379,54.856885
-5.478085,54.556483
-5.529036,54.641463
-8.478445,54.433607
-5.529036,54.641463
18.761054,69.663202
5.684117,58.928097
18.020762,69.634126
5.744996,58.92339
-5.964033,55.04352
5.258935,59.418674
5.25633,59.423733
-5.963857,55.043475
5.251327,59.41584
-6.22035,55.207345
-6.220487,55.207058
-6.220288,55.207522
-5.96407,55.043453
-5.056024,50.147914
-5.495591,50.219544
-5.452665,50.113376
-5.061596,50.145796
-5.056024,50.147914
-5.452665,50.113376
-6.219542,55.207408
3.5,51.45
3.45,51.45
3.85,51.6
3.5,51.45
-6.054359,55.081941
-5.963194,55.04476
13.504985,68.212359
-1.629411,55.630488
-1.448467,55.071472
-5.73855,54.675654
5.575825,58.90822
20.63273,69.518202
-5.738769,54.67509
-5.739132,54.675057
6.657569,53.584198
11.18705,58.3573
-5.056024,50.147914
-5.056024,50.147914
-5.452665,50.113376
-5.729204,54.847477
-5.907978,54.950288
-10.102075,51.755196
-6.951397,55.211544
-7.13504,55.291133
-5.907978,54.950288
16.099849,68.821935
18.761054,69.663202
-5.732235,54.672586
5.588689,59.034225
-6.712159,55.189659
5.258935,59.418674
5.251327,59.41584
5.239226,59.423655
-5.7389,54.675032
-5.738812,54.675102
-5.738766,54.675275
8.349438,54.70826
-4.982151,50.545
-5.056024,50.147914
-5.069311,50.141977
-5.06855,50.142879
-5.056024,50.147914
-5.533024,50.114622
4.55,52.45
3.6,51.4
4.1,51.5
4.2,51.45
-5.772189,54.853114
8.091341,63.3052
7.95062,63.292736
8.127696,63.290099
-5.738783,54.675724
-5.738701,54.675878
6.098707,59.19904
7.719403,63.060952
-5.632313,54.45131
-5.738811,54.675292
-5.738811,54.675292
-6.37002,55.244603
-6.369892,55.244672
-4.572472,53.334188
-1.39065,45.966533
-2.85207,47.599297
-4.653787,54.071367
8.400232,56.670818
-4.575267,53.333033
-5.06855,50.142879
-5.06855,50.142879
-5.057851,50.147299
-5.739055,54.674766
-2.8048,47.62444
-5.884409,54.681082
-10.124397,51.758517
-7.442444,52.127496
-8.171692,55.144973
-3.149187,47.343518
-3.149148,47.343498
5.575825,58.90822
18.964055,69.831038
-6.053056,55.076389
-6.053035,55.077077
-6.053042,55.076439
-3.104679,47.316973
-6.053003,55.076442
18.761054,69.663202
-3.190756,47.363508
-3.1475,47.332778
-3.61326,48.672652
-3.61613,48.684583
-3.138889,47.328889
-3.60723,48.67218
8.39683,54.627121
-6.121372,55.213012
-6.545562,55.219605
-6.054458,55.065822
-6.54542,55.21954
-5.731396,54.672521
-5.056024,50.147914
-5.056024,50.147914
-5.056024,50.147914
-5.057851,50.147299
-4.126498,50.356396
-5.057851,50.147299
-5.057851,50.147299
-5.05093,50.146726
-5.056024,50.147914
-5.048035,50.144606
-5.057851,50.147299
-5.438228,54.455222
4.05,51.5
4.05,51.5
3.9,51.5
4,51.5
4,51.5
-6.039702,55.132153
-5.732537,54.672372
-5.732382,54.672545
3.867614,51.777068
-3.5091,48.8368
-4.9521,48.3972
-4.962,48.403
-3.9829,48.7317
-5.167025,51.710278
-5.056775,50.160757
3.6,51.4
-2.02435,48.654201
8.395427,54.627155
8.334606,54.697762
-4.676969,48.354839
8.326349,54.694149
-4.137323,50.364008
-5.05596,50.147932
-5.056024,50.147914
-5.057851,50.147299
3.5,51.4
3.5,51.4
8.33519,54.697918
11.04319,58.8373
-8.2976,55.1255
7.728079,63.110335
-5.056024,50.147914
-4.126498,50.356396
-1.098144,45.952034
3.4,51.35
3.75,51.55
3.4,51.35
3.9,51.5
-7.417515,57.374125
-3.412682,47.702161
9.260193,58.718084
4.05,51.5
-4.540913,54.723097
-2.446446,50.56926
6.225981,62.497867
4.15,51.5
-5.658441,56.67695
-5.726204,54.669176
-8.570437,54.399969
18.955177,69.699235
-5.621744,54.679772
-5.621744,54.679772
11.05043,58.56034
11.05559,58.57571
