Longitude,Latitude
13.30978,55.2781799991173
2.878,51.537
2.775,51.514
2.796,51.519
2.814,51.492
2.784,51.501
-5.783835,54.14719
-4.859817,55.75077
-4.869709,55.74504
-4.896347,55.7322
-4.874894,55.74554
2.85705,51.53275
2.81417,51.49222
2.45,51.708
-1.60766,49.18408
-1.85385,49.57867
-1.85385,49.57867
-1.85385,49.57867
-82.424633,24.654366
-1.125104,50.725688
-1.150359,50.739364
-1.125088,50.726588
-1.125088,50.726588
-1.150359,50.739364
-1.125088,50.726588
-1.150359,50.739364
-1.125104,50.725688
2.571,51.301
2.791,51.581
1.861992,51.206552
-0.44395,49.33947
-0.44395,49.33947
-1.83883,48.87603
-1.83883,48.87603
-0.44395,49.33947
-0.44395,49.33947
-0.44395,49.33947
-1.77973,48.9095
-0.44395,49.33947
-0.44395,49.33947
-0.44395,49.33947
-0.44395,49.33947
-0.44395,49.33947
-5.87029,56.76072
-5.871533,56.76118
-5.87029,56.76072
-5.87029,56.76072
-5.87029,56.76072
2.775,51.514
2.857,51.533
2.655,51.737
2.655,51.737
2.655,51.737
2.765,51.488
0.129451,53.618429
-1.21889,45.94278
-1.57765,48.87502
-6.336538,49.90678
-6.331044,49.923182
-6.282945,49.946568
-6.287114,49.946413
-6.333339,49.917697
-6.328507,49.925977
-5.097663,50.095878
-6.328507,49.925977
-6.297993,49.943311
-5.016832,50.144787
-6.330883,49.921389
-6.382112,49.917661
-6.354969,49.941181
-6.297993,49.943311
-5.016832,50.144787
-6.283024,49.947465
-5.016719,50.142991
-6.340704,49.906623
-6.27913,49.935011
-6.285645,49.945568
-6.284574,49.949207
-6.284414,49.947413
-6.298153,49.945104
-5.094871,50.095953
-6.332594,49.924924
-6.299463,49.944156
-5.092079,50.096027
-6.360446,49.940075
-6.289084,49.905848
-6.357667,49.94018
-6.298153,49.945104
-6.341932,49.904778
-5.092079,50.096027
-6.297753,49.94062
-6.296862,49.977546
-6.363144,49.939074
-6.337828,49.921129
-6.357667,49.94018
-6.357748,49.941077
-6.299463,49.944156
-6.276913,49.972885
-6.277581,49.933269
-6.277741,49.935062
-1.85333,49.57789
-1.85333,49.57789
-1.85333,49.57789
-1.85333,49.57789
-80.8348,31.4141
-80.8957,31.3877
-80.8313,31.3989
-80.8957,31.3877
-3.434099,50.622119
-3.434455,50.633806
-0.936577,50.792468
-1.352452,50.780229
-3.435212,50.612212
-1.027084,50.806747
2.791,51.581
2.79,51.581
2.79,51.581
2.568,51.303
2.635,51.551
2.65,51.572
2.644,51.562
2.654,51.737
2.655,51.737
2.655,51.736
2.654,51.737
2.451,51.482
2.453,51.482
2.765,51.488
2.63,51.529999
2.64,51.560001
6.4333,43.0036
-6.096173,54.03767
-1.85396,49.57675
1.06085,49.93497
1.06083,49.93517
1.06013,49.935
-1.85396,49.57675
2.69,51.650002
2.65,51.57
2.64,51.560001
-80.8768,31.4149
-80.9129,31.4071
-80.8985,31.4084
-80.8985,31.4084
-80.8759,31.4049
-80.8872,31.4012
-80.8872,31.4012
-80.8872,31.4012
-80.8985,31.4084
-80.9053,31.4013
-80.8759,31.4049
-80.9079,31.3884
-80.8768,31.4149
-80.9053,31.4013
-80.9084,31.3771
-80.9084,31.3771
-80.9079,31.3884
-80.9084,31.3771
2.775,51.515
2.858,51.533
2.878,51.538
2.655,51.737
2.655,51.737
2.45,51.709
2.451,51.709
2.451,51.709
2.451,51.709
-4.558427,52.94423
-4.131592,50.351508
-4.070837,50.312132
-4.17634,50.3156
1.400424,60.015657
1.400424,60.015657
2.65,51.740002
2.65,51.740002
2.65,51.740002
2.65,51.740002
2.45,51.709999
2.45,51.709999
2.45,51.709999
2.71,51.650002
2.69,51.34
2.67,51.619999
2.68,51.619999
2.69,51.610001
2.68,51.59
2.86,51.529999
2.88,51.540001
2.78,51.5
2.712,51.653
-1.21439,45.94146
-5.097663,50.095878
-5.092079,50.096027
-1.82815,48.8812
-3.973997,53.326906
-3.973997,53.326906
-4.164115,53.344196
-3.938266,53.347621
-3.937846,53.35259
-3.934134,53.357559
-3.94001,53.339043
-3.900077,53.359788
-83.069703,28.510441
-5.13927,60.680992
-1.107271,60.428386
2.46,51.32
2.452,51.709
2.655,51.737
2.451,51.71
2.451,51.71
2.451,51.71
2.68,51.653
2.828,51.505
2.587,51.553
2.663,51.3
2.65,51.740002
-4.213151,52.795938
-4.769864,52.719064
-4.788196,52.714615
-4.788196,52.714615
-4.777463,52.716297
-4.77762,52.716437
-4.297377,52.758245
-4.769864,52.719064
-4.77762,52.716437
-4.37982,52.720067
-4.768013,52.720465
-4.777463,52.716297
-4.213217,52.796071
1.028823,53.718629
1.5234,53.777038
0.90895,53.673047
9.2856,41.4677
2.467,51.723
-5.543344,54.35048
-81.27798,31.46001
-81.28921,31.44346
-5.793468,54.84395
2.45,51.709999
2.65,51.740002
2.45,51.709999
-5.091729,58.42348
2.616,51.66
2.599,51.708
-0.867988,60.675291
-0.867988,60.675291
-0.867988,60.675291
-0.867988,60.675291
-0.867988,60.675291
2.663,51.3
2.655,51.736
2.451,51.709
2.44,51.560001
2.46,51.599998
2.44,51.59
2.464,51.322
2.688,51.337
-5.131366,51.625332
-5.227857,51.746903
-5.263229,51.835672
-5.144694,51.6185
-5.132593,51.776286
-5.227664,51.746845
-5.227437,51.746915
-5.116587,51.616327
-5.227824,51.746643
-5.262986,51.835714
-5.795667,54.83915
-5.543344,54.35048
-5.543344,54.35048
7.3335,54.8328
7.0032,55.0852
2.79,51.580002
2.663,51.3
-2.442456,59.27298
-2.442456,59.27298
-2.442456,59.27298
-2.442456,59.27298
-2.442456,59.27298
-2.442456,59.27298
-2.442456,59.27298
7.9983,54.3342
8.1672,54.4983
7.3332,54.9167
7.1672,55.001
7.8335,54.585
7.8317,54.7492
7.999,54.8333
7.3353,54.667
8.166,55.0833
7.1642,54.5835
7.6655,54.233
7.168,54.4167
7.8335,55.0003
7.1647,55.0855
8.001,54.5
7.8333,54.2493
7.167,54.8325
7.335,54.1667
6.9992,54.248
7.5042,54.334
7.8335,54.1643
7.8328,55.0007
7.1643,55.0857
7.999,54.6672
7.1673,54.7505
7.8338,54.4173
8.001,54.5
6.9993,54.8333
7.5035,54.166
8.1702,54.3342
7.9982,54.9152
7.8332,54.5848
7.6693,54.833
7.831,54.749
7.5007,55.082
7.3363,54.4993
8.1658,55.0833
7.1677,54.249
7.9987,54.8333
7.3353,54.6675
7.1642,54.5833
7.3317,54.3333
7.5008,54.6658
7.1677,54.2487
7.3363,54.4988
7.5002,55.0818
7.1672,55.0005
7.1668,54.8323
7.3353,54.1663
7.6665,54.4162
8.1672,54.4985
7.998,54.334
7.8348,54.1643
7.1672,55.0008
7.9985,54.9158
7.3343,54.751
8.1685,54.6658
7.8345,54.8328
7.6668,54.5838
7.9983,54.9155
7.8337,54.8327
7.0018,54.4168
7.9982,54.7488
7.833,54.2488
7.1675,54.2498
7.333,54.9168
8.0015,55.0825
7.3333,54.3335
6.9998,54.5835
7.5008,54.666
7.1632,55.086
7.833,55.001
8.0008,54.5002
7.6662,54.4158
7.8348,54.833
6.9995,54.8325
7.5062,54.3332
8.1682,54.666
7.667,55.0003
6.9992,54.2497
7.0002,55.0007
7.5013,54.1667
7.334,54.751
7.002,54.417
7.6662,54.584
7.9972,54.749
8.1672,54.2513
7.3333,55.0843
8.1648,54.916
7.5007,54.4997
6.9992,54.7513
7.6692,54.8327
7.6672,54.4167
7.5012,54.2493
8.1672,54.4987
7.3332,55.0843
7.5015,54.8325
7,54.5835
7,55.0007
7.5005,54.4997
7.5007,54.6665
8.1647,54.9158
7.6657,55.0833
8.1672,54.6663
7.6672,54.3338
7.3333,54.751
6.9972,54.1663
7.6675,54.3335
7.002,54.4172
7.4988,54.9162
7.6658,54.5842
7.997,54.749
8.1675,54.4165
7.6658,54.2332
8.1648,54.9162
7.6692,54.8328
7.3328,55.0845
6.9998,54.6658
7.5048,54.3335
7.4988,54.9167
6.9992,54.2485
7.667,55.0007
7.5003,54.4997
6.9998,54.5833
8.1665,54.7497
6.9985,54.3332
7.6675,54.6655
7.6652,55.0837
8.1677,54.1677
8.1673,54.5828
8.1662,55.0833
7.4988,54.7502
7.6668,55.001
8.1707,54.334
7.6678,54.4997
7.4968,54.4147
8.1708,54.334
7.4988,54.9163
7.5013,55.082
8.1677,54.4165
7.4973,54.5837
7.6658,54.2333
8.1663,54.7493
7.0003,54.666
6.9997,55.0007
7.5022,54.1667
6.9995,54.8327
6.9973,54.4997
7.502,54.8323
7.501,54.25
7.831,55.0848
6.9973,54.4998
7.5007,55
7.4973,54.4155
7.1673,54.3345
8.1673,54.1678
7.6673,54.6657
8.1668,54.5828
7.6683,54.9155
8.1673,54.4168
7.4985,54.75
6.9983,54.1667
7.4983,54.7498
7.8322,54.334
7.8328,54.9153
