Longitude,Latitude
-5.547187,50.103323
-5.453075,54.575302
-5.457038,54.582616
-5.421483,54.504381
-5.417596,54.500013
-5.459379,54.576633
-5.458364,54.575798
-5.456957,54.583131
-5.419569,54.507915
-5.419587,54.508499
-5.459963,54.5764
-5.421751,54.507764
-5.452398,54.575717
-5.418217,54.50005
-5.45265,54.575953
-5.417598,54.499672
-5.454637,54.582415
3.13542,47.33152
-5.370479,56.00233
-5.698675,57.27876
-3.619123,50.162806
-3.648736,50.128211
-6.211956,55.222014
1.240082,51.037448
1.30494,51.026635
1.250194,50.998488
1.229801,51.033235
-5.464284,54.595025
-5.463746,54.590697
-5.416295,54.514779
-5.419025,54.505467
-4.049469,51.213684
-5.036906,50.196439
-5.027878,50.120211
-5.023744,50.121218
1.299673,51.05287
-5.104015,53.526056
-5.036301,50.05432
-6.130436,54.03473
-5.59696,54.2122
-5.444629,54.558314
-4.656092,51.179894
-4.652785,51.197058
-4.654266,51.197924
-4.651304,51.196192
-4.560029,52.94363
-5.170433,56.6901
-5.423136,56.55066
-5.170433,56.6901
-5.170433,56.6901
-2.372764,57.72218
-3.015625,58.47237
-3.007188,58.45857
-5.756312,54.86203
-4.10713,47.69585
-3.85724,47.79491
-3.90299,47.6198
-3.40156,47.64542
-3.96199,47.86776
-4.03597,47.79542
-5.418683,58.00319
-6.444449,57.06214
-5.527676,56.16158
-3.88577,47.79158
-3.88258,47.79177
-3.88413,47.79177
-5.551374,57.35811
-5.566928,57.35794
-5.472138,54.72553
-5.472138,54.72553
-5.472138,54.72553
-5.713159,54.84175
-5.713159,54.84175
-5.472138,54.72553
0.231504,53.775695
-6.64515,35.2986
-5.609651,54.46209
-5.609651,54.46209
-6.65,35.299999
-5.250959,51.740527
1.968896,52.82943
-5.472138,54.72553
-5.472138,54.72553
-5.472138,54.72553
-5.472138,54.72553
-3.88413,47.79177
-5.609651,54.46209
-5.609651,54.46209
-5.274229,53.482843
-5.274367,53.484637
-5.276891,53.478273
24.9875,35.415833
24.987505,35.415789
24.987505,35.415789
24.987505,35.415789
24.987505,35.415789
25.758333,35.251667
25.758333,35.251667
25.758333,35.251667
25.758315,35.251742
25.758333,35.251667
25.758315,35.251742
25.758315,35.251742
25.758315,35.251742
-5.916387,54.07335
-6.282735,54.11106
-5.916387,54.07335
-5.472138,54.72553
-5.472138,54.72553
-5.609651,54.46209
-5.609651,54.46209
-5.472138,54.72553
-5.472138,54.72553
-5.472138,54.72553
-5.472138,54.72553
-4.669413,51.999802
1.966098,52.831323
-4.654524,51.202415
-4.669413,51.999802
-4.669413,51.999802
-5.492734,54.75883
-5.847776,54.90665
-5.847776,54.90665
-5.847776,54.90665
-1.749389,50.554239
-1.075105,50.458208
-0.666271,50.418267
-0.533975,50.417574
2.145268,52.011046
-5.920681,54.96957
-5.920681,54.96957
-5.768349,56.673059
-5.676985,56.684065
-5.662805,56.679359
-2.749015,50.031376
-0.798371,50.203858
-0.698884,50.203686
-0.597999,50.203412
-1.898356,50.203729
-1.507107,50.233307
-5.472138,54.72553
-5.472138,54.72553
-5.472138,54.72553
-4.997956,49.999544
-4.498785,50.249747
-5.267764,56.5461
-0.498479,50.248937
-0.498479,50.248937
-4.623579,52.96521
-4.623579,52.96521
-4.583748,53.02406
-5.960838,52.894
-4.679485,52.92463
-4.679485,52.92463
-5.882407,52.94533
-5.892658,52.98398
-4.582707,53.02336
-4.680056,52.90966
-4.66566,52.97484
-4.918895,53.489361
-0.508426,50.379476
-4.355823,53.693291
-4.387676,53.640516
-4.390369,53.688111
-4.352967,53.642102
-4.920401,53.489324
-4.382703,53.686466
-5.089322,53.30817
-5.158371,53.30968
-5.089322,53.30817
-5.158371,53.30968
-5.712494,57.27339
-5.712494,57.27339
23.995761,40.038449
23.995761,40.038449
23.995761,40.038449
-5.725622,56.8472
-5.859196,56.83392
-5.709615,56.85921
-5.857595,56.84482
-5.818011,56.83383
-4.315515,51.322037
-6.023997,55.12819
-6.023997,55.12819
-5.927682,54.97257
-5.936593,54.97366
-5.927682,54.97257
-5.928491,54.97156
-5.928491,54.97156
-5.936593,54.97366
-5.268,56.54617
-5.268,56.54617
-4.179758,50.359609
-4.179758,50.359609
23.919167,39.962222
-4.811333,52.25967
-4.183667,53.21733
-4.183667,53.21733
151.16166,-34.02166
136.675,-12.208667
-4.039397,53.319719
151.18599,-33.96882
151.19966,-33.97132
136.321167,-15.5775
136.397,-15.6055
136.396333,-15.6055
-4.138897,50.35767
-4.138897,50.35767
151.283,-33.62499
-2.166187,56.433734
-5.27705,51.740701
-5.046809,50.153899
-5.028694,50.155273
-5.028694,50.155273
-5.865918,56.782686
-4.998717,53.381276
0,54.5
-1,56.5
0.5,54.25
-1,55.5
-2,56
-2,57
-1.5,56.25
-2,56.5
-0.5,55.25
-1.5,56.75
-0.5,56.25
-1,55.5
-2,56
-2,57
-1,56.5
-1.5,56.25
0,54
-2.5,56.25
-1,57
-0.5,54.75
-1.5,56.75
-0.5,56.25
-1,56
-1.5,55.75
-1,56
-1,57
-0.5,54.75
-0.5,55.75
-0.5,56.75
-2.5,56.25
-2,56.5
-1,55
-1,55
-0.5,56.75
-0.5,55.75
1.5,53.75
0.5,54.75
1.5,54.25
1.5,53.75
1.5,54.75
0.5,54.75
1.5,54.25
1,54.5
1.5,54.75
1,54.5
1,54
1,54
0.5,53.75
-5.687707,57.019154
-5.402546,57.109043
-81.6633,25.2967
-5.585333,54.42517
-5.629167,54.40483
-5.697833,55.920119
-81.6633,25.2967
-81.6633,25.2967
-81.6633,25.2967
-81.6633,25.2967
-80.2067,30.44
-77.4167,33.5383
151.22499,-33.566
151.22499,-33.566
-96.266667,27.666667
-96.45,27.583333
23.423,38.687
23.487,38.637001
23.014,38.915001
23.695,39.933998
22.990999,38.848999
23.58,39.931
23.917,40.533001
23.771999,40.195999
23.156,38.847
23.208,38.821999
23.117001,39
151.166,-33.99666
151.183,-34.00833
151.16999,-33.95833
-8.49,48.0517
-8.49,48.0517
145.227,-38.349
-5.29204,51.727689
18.485,34.21
25.083333,-34.25
18.303333,-32.071667
18.303333,-32.071667
18.298333,-32.083333
-2.508333,49.616667
1.344444,50.595833
17.975,-33.016667
-4.79181,54.076827
-4.794742,54.074961
-4.816052,54.073564
-4.780919,54.096859
-4.797296,54.090186
-90.7,-0.2667
17.995,-33.064
18.0126,-33.048
18.4241,-33.8684
-4.032669,53.32093
-3.643513,53.316108
93,10
93,10
73,3.25
0,0
136.688333,-12.195
136.675,-12.208667
136.688333,-12.195
136.688333,-12.195
18.303333,-32.071667
17.966667,-33.033333
-1.53109,60.3687
14.1667,40.7167
-2.0833,-32.7
-3.04991,47.38889
-3.88258,47.79177
-3.88413,47.79177
-3.88577,47.79158
-3.96793,47.72847
-3.88577,47.79158
-4.3653,48.31355
-3.13253,47.33133
-3.88577,47.79158
-4.01122,47.73278
-2.93448,47.5258
-3.88413,47.79177
-3.88258,47.79177
-3.32937,47.70352
-3.9337,48.71222
-4.85465,48.38678
-3.88413,47.79177
-3.88258,47.79177
-2.90715,48.78729
-3.88413,47.79177
-4.3653,48.31355
-3.88258,47.79177
-3.88413,47.79177
-3.88413,47.79177
-4.3653,48.31355
-4.3653,48.31355
-4.58078,48.29685
-3.88413,47.79177
-4.85427,48.3868
-3.88577,47.79158
