Longitude,Latitude
24.063147,35.548938
28.617183,36.794564
27.822138,35.906004
27.714142,36.754012
28.007413,36.792165
34.951925,29.557669
27.997492,36.064859
23.677641,35.228992
24.177246,35.502343
29.617603,36.204128
28.225342,36.700267
30.476555,36.400213
28.203451,36.993318
29.590728,36.148983
22.380211,36.642867
34.948191,29.52194
34.052077,35.019743
34.905703,32.555612
29.591614,36.148839
28.264751,36.730806
28.264129,36.730703
28.007324,36.792241
22.258901,36.844334
28.265073,36.730754
28.264558,36.73084
28.227831,36.701437
25.734695,35.257237
25.731707,35.257175
32.937287,34.585085
28.153059,36.232422
27.487271,36.655762
28.094341,36.726355
33.979726,34.987384
32.020296,36.541113
35.804971,35.695478
25.857808,35.018055
26.932751,35.416369
24.9596,34.926
28.077215,36.076457
24.8262,34.9359
30.762299,36.884063
30.545812,36.523748
22.971215,36.471556
22.970829,36.472698
33.959009,35.118361
28.238695,36.37884
25.80548,34.999881
28.305676,36.815276
28.933872,36.709763
38.902478,-6.423969
29.846523,36.172099
34.770958,32.097191
30.881757,-30.310203
36.277167,-20.001333
34.608633,31.798767
34.9115,29.4977
34.638117,28.184617
34.581233,31.7575
34.956833,32.8758
35.8555,34.469
35.8555,34.469
35.6507,34.2507
35.6507,34.2507
45.313333,-25.73
32.973333,-26.506667
33.836667,-25.29
35.445,-24.221667
53.1833,-5.76667
34.950001,29.549999
34.9625,29.53333
34.950001,29.549999
34.7267,-25.0958
34.7875,-25.085
44.7042,-25.6675
51.0217,11.9433
50.825,12.0367
50.98,11.9567
57.55,23.942
34.633335,28.966667
-152.5,22.5
35.017,29.483
39,20
32.95,29.15
32.783,29.05
39,20
32.45,27.8
33.75,27.8
32.833,28.767
32.667,29.517
34.954661,29.549861
