Longitude,Latitude
5.823985,58.995017
5.925539,59.744572
4.855816,60.587495
5.925539,59.744572
17.425062,68.42793
5.903018,59.73474
5.77084,59.013452
5.77084,59.013452
8.44049,63.303174
10.723037,59.767232
6.267645,58.841981
5.77084,59.013452
5.534835,59.266582
11.407302,64.688768
5.925539,59.744572
5.845868,59.713313
9.260193,58.718084
10.488505,63.448308
8.44049,63.303174
5.789858,58.972391
9.260193,58.718084
5.789858,58.972391
5.789858,58.972391
5.789858,58.972391
5.789858,58.972391
5.789858,58.972391
5.789858,58.972391
5.532778,58.917547
5.090825,59.436704
12.531103,65.995268
7.329534,61.288284
11.70543,57.57852
-4.574135,48.339312
6.892504,62.673301
11.55912,58.32168
-5.743258,54.877105
9.247338,58.712104
-4.168583,50.364154
-4.168583,50.364154
7.068953,57.977695
5.767229,59.000292
5.7598,59.002559
5.788366,58.965913
5.925539,59.744572
4.848953,60.606684
5.792624,58.960855
-6.037083,56.62281
6.125747,62.590738
5.925539,59.744572
-0.37442,49.44856
4.15,51.5
-0.29182,49.40886
-4.64344,48.30466
-4.34445,47.78842
6.093371,59.200264
6.0986,59.198879
5.987721,58.419088
6.098204,59.198736
-9.73278,53.29527
-5.628345,54.45144
-1.620808,55.55507
-1.456633,55.11776
-1.429153,55.04021
-5.06445,50.06513
-2.25139,48.70778
-2.071,48.68
-1.97771,48.57014
-2.13955,48.65528
-5.748934,54.887094
5.852291,59.727079
11.22455,58.37252
5.544168,58.850416
-4.848861,54.12381
-4.95604,50.56968
-3.970757,50.28542
-4.340048,50.21041
-5.070396,50.11356
-3.970514,50.29551
-2.862531,50.69121
-3.967806,50.28467
-4.972715,50.59444
-4.24404,50.32626
-4.983731,50.57086
-4.244215,50.32609
-4.983731,50.57086
-4.827812,50.80069
-4.183529,50.31731
-5.044636,48.477552
-0.29967,49.41733
10.61373,59.668532
11.236559,59.091376
6.958692,62.72289
-6.024835,54.01684
-5.65625,54.67014
-9.474232,53.15307
-9.815897,53.15127
-5.628345,54.45144
-5.028203,58.44924
-5.038909,56.70578
-5.028203,58.44924
-5.028203,58.44924
-5.132458,56.68057
-5.038909,56.70578
-5.457397,50.40044
-2.958436,50.64561
-4.948961,50.59394
1.654184,52.82259
-2.330746,50.59002
-2.958436,50.64561
-4.172048,50.30552
-4.5078,48.35692
9.260193,58.718084
10.401665,59.538586
8.44049,63.303174
9.260193,58.718084
7.531565,62.693018
-5.628345,54.45144
-5.628345,54.45144
-5.926078,57.33353
-5.926681,57.33389
-5.926078,57.33353
-5.27392,56.54501
-5.926078,57.33353
-5.917688,57.3361
-4.650608,50.31521
-2.812755,50.67933
-5.022775,50.12695
-4.120364,50.32851
-2.947946,50.65011
-2.809223,50.67893
