Longitude,Latitude
166.8,-48.8
4.914171,60.423669
3.213812,42.06166
5.71851,59.05966
-8.562183,57.79892
3.212933,42.067358
-5.087438,55.54604
-5.087192,55.49761
176,-37
173.6,-40.2
-5.577362,54.39392
172.9675,-40.742167
171.101333,-45.25
173.547,-43.056167
170.788833,-45.9315
-5.032855,50.176754
11.0478,58.52388
11.02687,58.50279
10.57718,58.49446
11.0624,58.53586
161.978,-51.061
161.9765,-51.0955
162.018833,-51.047
173.206162,-41.070168
173.206,-41.07
-9.853923,51.76211
11.61011,58.39948
11.39285,58.22223
-2.039881,50.203767
-2.799352,50.20372
11.06443,58.86412
-4.454873,52.83982
-4.414197,52.85856
-4.454914,52.83976
-5.270683,51.732784
8.7269,42.58
8.726,42.58
8.7262,42.58
8.7262,42.58
8.7262,42.58
8.7262,42.58
8.7276,42.5801
-5.725622,56.8472
8.7262,42.58
8.7269,42.58
8.7269,42.58
8.7276,42.5801
8.7276,42.5801
-157.857,21.2941
-3.076877,59.010849
-3.203981,58.910935
-3.248621,58.897039
5.7,53.45
-157.869,21.3022
-157.887,21.3154
-157.881,21.3168
-157.877,21.3168
-157.883,21.3173
-157.865,21.305
-157.873,21.3109
-157.87,21.3092
-157.872,21.3069
-4.451739,50.344296
-4.691973,51.671033
-157.990351,21.376759
0.24,38.75
19.874667,39.687333
10.9,42.35
10.9,42.35
10.9,42.35
10.9,42.35
19.95,39.668667
19.95,39.624667
19.868667,39.668667
19.95,39.624667
11.11306,58.87666
-5.659047,55.98422
-5.656356,55.989695
-5.649289,55.999795
-5.636068,56.012774
-5.640363,56.007252
-79.8267,32.4117
-81.6633,25.2967
-80.2017,30.4483
-4.660431,51.180695
-4.674593,51.202857
-93.447222,27.914722
-96.466667,27.533333
-94.283333,28.166667
-94.283333,28.166667
-94.016667,28.333333
-94.283333,28.166667
-96.466667,27.533333
174.785004,-41.060001
168.005005,-29.1283
-4.661572,51.172428
-157.967262,21.32136
-80.223333,27.356383
-157.967262,21.324878
-157.967949,21.324239
-82.6154,27.5859
-82.602861,27.768194
-83.966667,27.616667
-83.966667,27.616667
-83.966667,27.616667
-80.045833,31.033333
-80.101944,30.678611
-80.101944,30.678611
174.046707,-40.771702
9.4114,64.1698
9.4114,64.1698
10.0542,64.04
10.0542,64.04
10.0364,64.0436
13.7291,67.1799
13.7864,67.1893
13.7291,67.1799
13.7291,67.1799
13.7864,67.1893
13.7864,67.1893
13.7291,67.1799
11.5956,65.0811
11.5956,65.0811
11.5956,65.0811
11.5956,65.0811
11.5956,65.0811
5.6089,58.9596
5.3864,59.0569
5.3902,59.0544
6.1845,62.4816
11.5956,65.0811
8.4688,63.3303
6.2687,62.4743
6.3501,62.4319
6.2687,62.4743
6.2687,62.4743
6.2687,62.4743
6.2687,62.4743
11.7389,65.0878
7.96,63.1534
119.8766,-8.5014
126.7069,3.9549
130.7916,-1.7083
130.7916,-1.7083
130.7916,-1.7083
4.9929,60.4308
5.5132,59.7831
11.1,58.87
55.45,-4.583333
55.355,-4.655
109.65,18.233333
8.133333,40.5
124,10.266667
124,10.266667
124,10.266667
124,10.266667
124,10.266667
124,10.266667
124,10.266667
124,10.266667
-9.866667,48.7
-7.865,47.948333
-157.881,21.3168
-157.87,21.3092
-157.886,21.3141
-157.883,21.3173
-157.865,21.305
-157.865,21.306
-157.857,21.2941
-157.872,21.3069
-157.877,21.3168
-157.865,21.305
-157.869,21.3022
-157.873,21.3109
-157.887,21.3154
153.333,-27.416
-130,53
