Longitude,Latitude
18.002346,69.636786
7.672888,63.110536
7.733122,63.110769
18.956069,69.646796
-3.057221,53.493914
13.099614,67.936094
-8.779447,40.527313
8.304798,54.855757
-3.044453,53.923103
-9.067411,38.433872
-4.264401,53.366276
-1.603679,55.640461
18.962834,69.650298
-2.784141,56.06512
5.161827,60.673222
-6.188422,53.624838
-6.122117,53.441794
18.819903,69.8507
10.51001,59.35914
-6.53193,57.370963
18.962834,69.650298
11.20757,58.36404
11.19079,58.35731
11.39389,58.2629
11.22023,58.34941
11.20236,58.35463
-5.574855,54.39127
-5.658202,54.670948
-1.629411,55.630488
8.285131,54.872658
11.59035,57.93206
11.76848,57.53571
11.76848,57.53571
11.20779,58.34783
11.18705,58.3573
11.18523,58.36747
11.59035,57.93206
10.95579,63.701126
11.2075,58.36088
11.56971,58.32978
8.217384,63.321733
-2.79505,47.562721
8.367756,56.959381
7.726212,63.100759
11.55762,58.32148
12.69811,55.99019
11.09721,58.89187
-2.149615,55.916189
-2.150674,55.914915
-5.759895,54.914252
10.714943,59.282665
8.618378,57.004774
8.438178,57.008627
6.971924,53.681141
-5.041623,58.449884
11.72508,57.55177
11.70504,57.56001
11.70201,57.52033
11.70543,57.57852
11.7217,57.53068
11.70201,57.52033
11.70543,57.57852
11.75716,57.50591
11.7217,57.53068
11.7217,57.53068
-5.136141,58.483011
-4.62457,48.25531
-4.574135,48.339312
-4.551942,48.340254
-4.454802,48.293559
-4.568357,48.333251
-5.111397,58.422792
11.59035,57.93206
11.60096,58.36216
11.249486,59.093812
11.269132,59.097513
-3.047449,53.635416
-4.158525,53.30566
-4.907863,55.748878
-4.907878,55.748737
-4.907833,55.74892
-3.116092,53.423948
-5.115134,48.445186
11.40916,58.22127
5.2,53.35
5.4,53.4
11.08293,58.94361
7.525749,53.756783
5.05,53.3
10.502105,59.79694
-3.10414,53.555605
-4.488702,53.184095
-4.887948,55.756145
11.5312,58.29805
-8.778773,42.228462
6.155454,62.473942
-8.777543,42.226444
-9.859576,53.62061
-9.074768,53.15602
-5.573746,54.39134
-4.808788,55.95794
-5.144185,56.6787
6.225981,62.497867
-5.24473,56.67616
-5.912325,56.55645
-4.808788,55.95794
-4.829647,56.11815
-5.658441,56.67695
-5.983492,56.64958
-5.2749,56.54486
11.05043,58.56034
18.956069,69.646796
14.625031,67.22709
18.956007,69.646765
18.951874,69.642721
-5.57301,54.67115
-6.037083,56.62281
-2.096761,55.87938
-2.158841,55.91619
-5.018858,56.22768
-2.158841,55.91619
-6.009518,56.58845
-5.540958,54.366721
-4.910749,55.746021
-5.540958,54.366721
8.56322,56.579753
7.49283,63.045201
5.254686,59.43077
8.217384,63.321733
-4.45359,48.29332
-0.25778,49.4116
-4.60709,48.24245
-0.37442,49.44856
6.719165,62.862862
-5.115134,48.445186
-5.573746,54.39134
-5.573746,54.39134
-5.573746,54.39134
-5.573746,54.39134
-5.573746,54.39134
-6.694122,55.19534
-10.13436,51.7574
-9.579164,53.24368
-4.292144,53.41114
-4.041577,51.56546
-5.274674,56.54469
-6.062907,57.27296
-2.084819,50.58553
-3.506841,50.45508
1.135129,52.95127
1.135271,52.95106
1.054274,52.96685
-5.065616,50.07245
1.054206,52.96526
1.05573,52.96575
1.135469,52.95112
1.054695,52.96522
1.135079,52.95129
1.103211,52.95711
1.135079,52.95129
1.135129,52.95127
1.135079,52.95129
-2.73677,48.658
-4.64344,48.30466
-0.31733,49.4179
-0.29182,49.40886
-0.37442,49.44856
-9.87259,53.6174
-9.8726,53.6164
11.19121,58.35737
11.19121,58.35737
8.217384,63.321733
11.43447,58.2679
8.475075,57.044189
11.20791,58.3495
-9.436838,51.451631
-5.416279,54.476284
-5.461237,54.567884
-5.413472,54.487064
-5.429963,54.519454
-5.417664,54.488987
-5.463026,54.567266
-5.418026,54.493698
-5.465435,54.576684
-5.409227,54.486348
-5.436834,54.51863
-5.43947,54.536368
-5.41867,54.486054
-5.399028,54.433987
-5.408804,54.415017
-5.412809,54.482632
-5.445491,54.535153
-5.417366,54.414514
-5.452269,54.553519
-5.433412,54.528312
-4.765511,54.08526
-4.765511,54.08526
-5.573762,54.39135
-6.086509,54.02284
-5.740584,54.94985
-5.683564,54.66863
-6.208189,53.79065
-5.682936,54.66804
-5.628345,54.45144
-9.870561,53.62817
-5.630463,54.45131
-5.915656,54.96163
-5.740584,54.94985
-6.086509,54.02284
-5.666767,54.66597
-6.252348,55.26184
-5.729964,54.95496
-5.628391,54.45144
-5.573762,54.39135
-4.042153,51.5651
-5.075883,58.45786
-5.297498,56.54887
-4.844484,56.10398
-2.126763,55.90754
-4.917036,55.9402
-2.125232,55.89913
-2.080689,55.87593
-2.080975,55.87511
-4.905991,55.96382
-2.1271,55.90788
-2.12866,55.90573
-2.080689,55.87593
-5.28677,56.54717
-5.289784,56.5472
-2.125932,55.90788
-2.126763,55.90754
-4.917036,55.9402
-2.079969,55.87579
1.135079,52.95129
-1.620808,55.55507
-5.083413,50.66277
-1.621994,55.64445
1.102995,52.95794
1.102663,52.95746
-1.621994,55.64445
1.135469,52.95112
1.135469,52.95112
-2.267635,50.54031
1.146795,52.95001
1.102288,52.95721
1.134959,52.95127
1.13667,52.95084
1.212567,52.95016
-3.5088,50.47902
1.13895,52.95025
1.135079,52.95129
1.054385,52.9678
1.102078,52.9573
1.303365,52.93381
-1.456633,55.11776
1.732034,52.87009
1.143796,52.9491
-1.53126,50.66409
-3.501636,50.39992
-0.28714,49.40878
-1.80397,48.86395
-4.45359,48.29332
-3.92139,48.71083
-5.749034,54.885299
12.688687,55.979553
11.59289,57.93313
-22.636895,64.072394
11.16551,59.05397
11.5997,58.36208
11.16551,59.05397
11.4826,58.09534
-4.812018,54.0425
-4.788405,54.07454
-4.848861,54.12381
-2.231951,49.17309
-5.729964,54.95496
-5.628345,54.45144
-5.722683,54.92846
-6.00204,53.49211
-5.750931,54.88181
-5.722323,54.92846
-9.295129,51.50066
-6.172918,55.26596
-9.296047,51.49928
-5.74035,54.95018
-5.746447,54.95373
-8.457827,54.47566
-5.676773,54.76556
-5.746447,54.95373
-5.722323,54.92846
-5.677733,54.76569
-5.729964,54.95496
-8.459,54.56651
-5.243604,51.73607
-5.243604,51.73607
-2.128739,55.90064
-2.079849,55.87585
-5.104426,58.40617
-2.080689,55.87593
-2.148557,55.91761
-5.56688,57.35863
-2.080689,55.87593
-4.905429,55.94521
-4.957273,55.72817
-2.125937,55.89949
-4.957391,55.71183
-5.585521,55.27324
-2.140385,55.91892
-4.918079,55.94087
-4.897929,55.98033
-5.290037,56.04741
-4.917316,55.94095
-2.080689,55.87593
-5.429537,57.23408
-2.140385,55.91892
-4.957273,55.72817
-2.128899,55.90049
-2.143445,55.91971
-2.080689,55.87593
-4.744937,50.67632
-3.469475,50.45617
1.05573,52.96575
-4.24404,50.32626
-3.970757,50.28542
1.055564,52.96572
-4.265368,50.17951
1.606348,52.8612
1.055456,52.96545
1.13725,52.95093
1.135079,52.95129
1.206079,52.95164
-4.183529,50.31731
1.138093,52.95075
-4.252449,50.32667
-3.501211,50.45193
-4.264712,50.18341
-4.264712,50.18341
-4.340048,50.21041
1.135078,52.95127
1.144243,52.94993
-3.477378,50.46111
1.135079,52.95129
1.135469,52.95112
-4.244215,50.32609
-4.972715,50.59444
-4.105193,50.30431
-1.319039,54.89565
1.055732,52.96577
1.054133,52.96655
1.135079,52.95129
-4.339677,50.20913
-4.105193,50.30431
-4.340048,50.21041
-4.340048,50.21041
-1.319039,54.89565
-3.970514,50.29551
1.055564,52.96572
-2.871511,50.71051
-4.827812,50.80069
-2.806764,50.68081
8.119369,56.344578
