Longitude,Latitude
-76.58023,36.861815
-70.927895,42.459892
11.92493,57.55326
-73.97387,40.733275
-69.993483,43.867378
-69.993538,43.867325
-69.993522,43.867345
-72.92486,41.285642
-73.832717,40.636392
4.65,52.45
-68.307037,44.43063
-52.224464,-32.070181
-52.224117,-32.069281
-52.224983,-32.071342
-52.224814,-32.070167
-52.224464,-32.070181
-52.224008,-32.071347
-52.224117,-32.069281
-52.224814,-32.070167
-52.223964,-32.070211
-52.224008,-32.071347
-52.223964,-32.070211
-52.224008,-32.071347
-52.224008,-32.071347
-52.224814,-32.070167
-52.224464,-32.070181
-52.224117,-32.069281
-52.224464,-32.070181
-52.223964,-32.070211
-52.224117,-32.069281
-52.223781,-32.069281
-52.224117,-32.069281
-52.224117,-32.069281
-52.224464,-32.070181
-52.223781,-32.069281
-52.224983,-32.071342
-52.223781,-32.069281
-52.224983,-32.071342
-52.224444,-32.069283
-52.224117,-32.069281
-52.223781,-32.069281
-52.224444,-32.069283
-52.224464,-32.070181
-52.224464,-32.070181
-52.224444,-32.069283
-52.224539,-32.071353
-52.224464,-32.070181
-52.224117,-32.069281
-52.224444,-32.069283
-52.224539,-32.071353
-52.224444,-32.069283
-52.224117,-32.069281
-52.224008,-32.071347
-52.224983,-32.071342
-52.223964,-32.070211
-52.224814,-32.070167
-52.224008,-32.071347
-52.223964,-32.070211
-52.224539,-32.071353
-52.224983,-32.071342
-52.224814,-32.070167
-52.224444,-32.069283
-52.223781,-32.069281
-52.224983,-32.071342
-52.223964,-32.070211
-52.224814,-32.070167
-52.224539,-32.071353
-52.223781,-32.069281
-52.224814,-32.070167
-52.224464,-32.070181
-52.223781,-32.069281
-52.224814,-32.070167
-52.224539,-32.071353
-52.224444,-32.069283
-52.224444,-32.069283
-52.223964,-32.070211
-52.224444,-32.069283
-52.223964,-32.070211
-52.224444,-32.069283
-52.223964,-32.070211
-52.224539,-32.071353
-52.224539,-32.071353
-52.224983,-32.071342
-52.224539,-32.071353
-52.224539,-32.071353
-52.223781,-32.069281
-52.224983,-32.071342
-52.224814,-32.070167
-52.224983,-32.071342
-52.223781,-32.069281
-52.223964,-32.070211
-52.224008,-32.071347
-52.224539,-32.071353
-52.224983,-32.071342
-52.223964,-32.070211
-52.224008,-32.071347
-52.224117,-32.069281
-52.224008,-32.071347
-52.224539,-32.071353
-52.224814,-32.070167
-52.224008,-32.071347
-52.224117,-32.069281
-52.224008,-32.071347
-52.223964,-32.070211
-52.224814,-32.070167
-52.224539,-32.071353
-52.224814,-32.070167
-52.223781,-32.069281
-52.224444,-32.069283
-52.223781,-32.069281
-52.224444,-32.069283
-52.224117,-32.069281
-52.224464,-32.070181
-52.224464,-32.070181
-52.223781,-32.069281
-52.224008,-32.071347
-52.224983,-32.071342
-52.224983,-32.071342
-52.224464,-32.070181
-73.99932,40.696466
-73.999173,40.696587
-122.257469,37.804853
12.30167,56.8466699991369
-52.224464,-32.070181
-52.224983,-32.071342
-52.224117,-32.069281
-52.224983,-32.071342
-52.224464,-32.070181
-52.224117,-32.069281
-52.224464,-32.070181
-52.224008,-32.071347
-52.224983,-32.071342
-52.224117,-32.069281
-52.224008,-32.071347
-52.224464,-32.070181
-52.224008,-32.071347
-52.224814,-32.070167
-52.224008,-32.071347
-52.224814,-32.070167
-52.224814,-32.070167
-52.223781,-32.069281
-52.224444,-32.069283
-52.223781,-32.069281
-52.224117,-32.069281
-52.224983,-32.071342
-52.224444,-32.069283
-52.224444,-32.069283
-52.224117,-32.069281
-52.224983,-32.071342
-52.224814,-32.070167
-52.224983,-32.071342
-52.224983,-32.071342
-52.224008,-32.071347
-52.224814,-32.070167
-52.224539,-32.071353
-52.224983,-32.071342
-52.224983,-32.071342
-52.224464,-32.070181
-52.224464,-32.070181
-52.224814,-32.070167
-52.224008,-32.071347
-52.224464,-32.070181
-52.224539,-32.071353
-52.224539,-32.071353
-52.224444,-32.069283
-52.223964,-32.070211
-52.224539,-32.071353
-52.223964,-32.070211
-52.223781,-32.069281
-52.223781,-32.069281
-52.224814,-32.070167
-52.223781,-32.069281
-52.223964,-32.070211
-52.224464,-32.070181
-52.224814,-32.070167
-52.223964,-32.070211
-52.224814,-32.070167
-52.223964,-32.070211
-52.224444,-32.069283
-52.223781,-32.069281
-52.224983,-32.071342
-52.224444,-32.069283
-52.224444,-32.069283
-52.224539,-32.071353
-52.224539,-32.071353
-52.224117,-32.069281
-52.224983,-32.071342
-52.224814,-32.070167
-52.223964,-32.070211
-52.224444,-32.069283
-52.224444,-32.069283
-52.224539,-32.071353
-52.224539,-32.071353
-52.224539,-32.071353
-52.224008,-32.071347
-52.224008,-32.071347
-52.224008,-32.071347
-52.224539,-32.071353
-52.223964,-32.070211
-52.224539,-32.071353
-52.224983,-32.071342
-52.224117,-32.069281
-52.224008,-32.071347
-52.223964,-32.070211
-52.224539,-32.071353
-52.224464,-32.070181
-52.223781,-32.069281
-52.224117,-32.069281
-52.224117,-32.069281
-52.224008,-32.071347
-52.223964,-32.070211
-52.223781,-32.069281
-52.224464,-32.070181
-52.224008,-32.071347
-52.224117,-32.069281
-52.224117,-32.069281
-52.223781,-32.069281
