Longitude,Latitude
1.102078,52.9573
1.054385,52.9678
-0.918819,50.77943
1.102663,52.95746
1.102995,52.95794
1.102288,52.95721
1.138093,52.95075
1.13725,52.95093
1.144243,52.94993
1.13725,52.95093
1.054133,52.96655
1.055564,52.96572
1.054133,52.96655
1.138093,52.95075
1.137766,52.95076
1.100269,52.95815
1.100051,52.95894
1.055104,52.96637
1.054751,52.96645
1.054447,52.96551
1.136425,52.95116
1.135252,52.95121
1.055362,52.9677
1.102145,52.95928
1.145887,52.95073
1.276765,52.93964
1.069067,52.96434
1.145098,52.95033
1.535315,52.84269
1.535315,52.84269
1.052785,52.96761
1.102369,52.95751
1.085784,52.96168
1.054145,52.96746
1.137835,52.95079
7.376118,53.728252
1.272249,52.94125
1.055694,52.9664
1.213134,52.94747
1.084266,52.96034
-5.547066,50.10338
-5.547187,50.103323
1.167709,52.94959
1.053082,52.96727
1.167391,52.9482
1.142652,52.95108
1.144663,52.94997
1.167391,52.9482
1.142652,52.95108
1.34403,52.92343
1.054564,52.9657
1.136755,52.95069
1.101448,52.95704
1.054436,52.96556
1.216422,52.94844
1.345952,52.92316
1.055733,52.96706
1.055733,52.96706
1.146016,52.94973
-6.191826,54.068306
33.1,66.6
33.1,66.6
33.1,66.6
-1.920621,50.64388
1.35356,52.91734
1.357232,52.91873
10.482809,59.45012
-1.971792,50.69786
-1.971502,50.6847
-1.974234,50.68488
-1.960337,50.69664
1.142633,52.95083
1.164248,51.94791
1.054472,52.96523
1.141445,52.95108
1.158953,51.95116
1.052538,52.96717
1.054472,52.96523
1.052538,52.96717
1.142633,52.95083
1.348307,52.92002
1.138469,52.95039
1.054547,52.96545
1.054025,52.96807
1.14502,52.95069
1.349185,52.91974
1.14502,52.95069
1.052323,52.96686
1.166946,52.95025
1.219628,52.9469
1.145501,52.94993
1.143772,52.95052
1.753945,52.47004
1.207798,52.948
1.143815,52.9505
1.100932,52.95803
1.544534,52.08957
9.808552,58.99358
0.872833,51.784576
0.872833,51.784576
0.884835,51.77684
1.053409,52.96695
-3.778391,50.228832
-5.47038,50.12053
-5.197486,51.85797
-5.204445,51.85633
-4.316878,51.561684
-5.641795,54.49006
-5.283902,51.7014
-5.544942,54.43472
33.1,66.6
-6.254029,54.10019
-4.669413,51.999802
-4.669413,51.999802
-4.669413,51.999802
-4.884539,51.719522
-4.884539,51.719522
-4.884539,51.719522
-1.750373,50.635178
1.195029,51.082451
-1.431047,50.730189
-5.270683,51.732784
-4.884539,51.719522
-4.884539,51.719522
-5.548954,54.36088
-4.454474,52.8093
-5.484394,57.30687
1.453573,51.393843
1.454886,51.373116
1.45352,51.374055
1.457754,51.373031
1.459515,51.396367
-2.568775,51.655558
-4.628892,53.309977
-5.748709,56.85341
-2.691415,51.545204
-5.038848,50.182894
-4.889566,51.717734
-4.897896,51.737046
-4.897153,51.73724
-4.893383,51.756403
-4.897873,51.736686
-4.897873,51.736686
-4.884214,51.729198
-4.884214,51.729198
-4.884214,51.729198
-4.886949,51.731199
-4.886949,51.731199
-4.891299,51.76302
-4.886949,51.731199
-4.897873,51.736686
-4.884214,51.729198
-7.310038,57.102233
-4.274241,52.73288
-67.129997,44.880001
-5.286519,51.731442
-3.012472,58.833542
-4.554724,53.249549
-4.899752,51.708354
-4.882448,51.732164
-5.056129,51.687299
-4.884539,51.719522
-9.8396,53.38382
-9.8396,53.38382
-4.890093,51.715788
-4.892674,51.756196
-4.899621,51.751528
-4.894868,51.767834
-4.887774,51.724839
174.7698,-36.8425
-4.899621,51.751528
-4.901198,51.708319
-4.884539,51.719522
-4.884539,51.719522
-4.884539,51.719522
