Longitude,Latitude
11.58791,58.34623
11.52,58.2967
-4.875792,55.753917
-4.875792,55.753917
-4.875792,55.753917
-4.875792,55.753917
-4.875792,55.753917
-4.871784,55.76672
-4.871784,55.76672
9.62863,63.87153
9.62733,63.86755
9.613,63.86358
9.64418,63.8633
9.190533,63.633333
9.181083,63.640067
9.184917,63.630917
8.0876,62.939
8.08182,62.94057
8.0771,62.94489
23.07867,70.35475
16.72126,68.93183
16.71738,68.94076
18.1401,69.41667
18.13333,69.41667
23.0709,70.35397
18.13333,69.43333
4.800001,61.566669
4.800001,61.566669
4.800001,61.566669
4.766671,61.566669
7.45397,62.95742
4.921231,60.670899
4.924751,60.668319
7.68055,63.03812
7.68465,63.0313
7.6826,63.03935
22.68233,70.07895
11.44385,64.97508
8.96445,63.42917
8.96127,63.44443
8.96283,63.4434
13.10148,66.62935
17.7589,69.57507
13.09537,66.62943
13.10575,66.62943
5.94833,59.21328
5.961,59.20833
5.95792,59.20958
5.321851,62.005749
5.325851,62.006669
9.87392,63.9433
9.88987,63.93918
9.8757,63.9466
16.73613,68.9051
16.7074,68.92812
16.70765,68.93337
16.68783,68.92412
16.69325,68.9264
5.78258,62.20665
5.7835,62.20312
5.78588,62.20787
5.79675,62.20868
9.05337,63.6
17.91378,69.50222
9.06452,63.60845
17.9252,69.5034
9.05897,63.6
9.03118,63.60942
17.92575,69.50473
9.04423,63.6
9.05572,63.6101
17.92662,69.50652
5.210271,60.217479
5.222351,60.222969
5.160001,59.622329
22.74222,70.09077
12.74508,66.48203
6.13633,59.26183
6.1402,59.26805
12.7431,66.47968
6.14195,59.26585
12.73842,66.47635
5.140917,59.606049
6.13585,59.2637
5.142351,59.604566
4.858951,60.819299
6.07775,59.28937
6.08033,59.29288
6.07952,59.2887
6.07528,59.29458
16.23087,68.40172
7.74797,63.30335
7.74132,63.30358
17.91003,69.56583
17.91556,69.55891
4.940431,60.863549
19.57572,70.08795
19.5993,70.10795
8.682368,63.8674
8.68307,63.87535
12.91603,65.31407
5.142101,59.721729
5.144371,59.722929
5.144421,59.724229
4.897751,60.685599
4.907601,60.684519
18,69.51795
6.034534,62.13295
18.02653,69.51555
18.03022,69.50995
18,69.51505
18.0336,69.50697
17.98643,69.52052
15.47812,67.93602
5.73988,60.07045
21.69283,70.26785
22.9792,70.75163
21.6765,70.27692
8.47045,63.76928
6.35703,61.00831
22.97615,70.75348
21.67177,70.27843
19.67525,70.013267
14.29467,67.16932
15.496,67.94012
22.97605,70.76092
21.68932,70.27102
8.45678,63.75595
22.9813,70.75923
16.21187,67.90953
5.163321,59.595869
12.58333,65.78685
19.657283,70.012867
12.53077,65.75192
22.95683,70.71462
22.98455,70.74782
22.98952,70.75085
22.97753,70.71695
12.54102,65.75863
14.294,67.17028
11.05002,65
11.06725,64.99738
11.06978,65
13.2028,66.57868
5.8937,59.34285
5.88967,59.33987
13.19618,66.57815
13.2074,66.5798
13.2012,66.57698
6.81268,62.77943
21.70358,70.24632
21.70037,70.24995
9.12618,63.61148
9.131283,63.612267
21.69872,70.24392
9.132385,63.620673
9.13803,63.61412
21.68908,70.26173
8.517733,63.7894
8.73468,63.8162
8.76583,63.82172
11.17627,64.80457
12.61628,65.80707
12.78003,66.17765
12.77673,66.17687
12.10167,57.3108299991431
12.02583,57.3558299991437
11.98483,57.3414999991436
12.07303,57.2026499991416
12.04862,57.2351299991421
12.1018,57.1945299991415
12.01417,57.3378299991435
12.04705,57.2519299991423
12.12233,57.1198299991405
12.09648,57.2001299991416
12.0974,57.1895799991415
12.07303,57.2026499991416
12.09648,57.2001299991416
12.09648,57.2001299991416
