Longitude,Latitude
-1.575806,46.253556
-4.9588,48.3886
-1.603979,55.640259
-13.671613,28.920353
9.258792,58.712328
-18.008109,27.633442
-5.039873,58.450046
-5.039873,58.450046
-13.671743,28.919566
-13.671595,28.919722
-5.2749,56.54486
-5.983492,56.64958
-5.27467,56.54446
-5.912325,56.55645
-5.018858,56.22768
-5.880634,57.08075
-5.880634,57.08075
-6.009518,56.58845
-4.45359,48.29332
-4.041577,51.56546
-5.881416,57.07891
-5.276267,56.54523
-5.274674,56.54469
-5.628345,54.45144
-5.630463,54.45131
-5.64403,54.49538
-5.628391,54.45144
-5.297498,56.54887
-5.075883,58.45786
-2.1271,55.90788
-2.080689,55.87593
-2.12866,55.90573
-4.917036,55.9402
-4.917036,55.9402
-4.815657,55.64138
-2.080689,55.87593
-4.917036,55.9402
-2.126763,55.90754
-1.621994,55.64445
-1.456633,55.11776
-1.621994,55.64445
-3.20778,47.67139
-4.45359,48.29332
-4.848861,54.12381
-5.656273,54.67074
-5.630556,54.45131
-5.628345,54.45144
-5.243604,51.73607
-5.243604,51.73607
-2.080689,55.87593
-4.957391,55.71183
-5.104426,58.40617
-5.033214,58.44988
-5.290037,56.04741
-5.56688,57.35863
-4.957273,55.72817
-4.918079,55.94087
-4.905429,55.94521
-2.128899,55.90049
-2.080689,55.87593
-2.080689,55.87593
-2.125937,55.89949
-4.252449,50.32667
-4.744937,50.67632
-3.477378,50.46111
-4.244215,50.32609
-3.209949,47.656694
-9.815897,53.15127
-5.64106,54.49023
-5.628345,54.45144
-5.628345,54.45144
-5.628345,54.45144
-5.651036,54.66859
-5.633953,56.9852
-5.026196,58.44823
-5.389293,55.8644
-5.028203,58.44924
-5.05453,58.4608
-5.028203,58.44924
-2.152788,55.91518
-5.028203,58.44924
-5.633953,56.9852
-5.274674,56.54469
-3.035727,50.65075
-3.534641,50.33292
-3.035727,50.65075
-2.711051,50.48915
4.1108,43.50921
-5.628345,54.45144
-5.628345,54.45144
-5.630556,54.45131
-5.628345,54.45144
-5.276278,56.54517
-5.27392,56.54501
-5.276278,56.54517
-5.926078,57.33353
-5.926078,57.33353
-5.274465,56.54472
-1.621704,55.63833
-3.52775,50.45939
-5.654984,54.6709
-5.630556,54.45131
-5.65625,54.67014
-5.630556,54.45131
-5.630556,54.45131
-5.654984,54.6709
-5.628345,54.45144
-5.654984,54.6709
-5.654984,54.6709
-5.243408,56.67579
-5.297015,56.54894
-6.74615,57.45818
-2.143445,55.91971
-5.27459,56.54504
-6.74615,57.45818
-2.121434,55.89687
-5.27459,56.54504
-5.297015,56.54894
-5.657069,54.670875
-5.656201,54.67012
-5.730207,54.95994
-5.628345,54.45144
-5.730207,54.95994
-5.276279,56.545
-5.697421,57.53695
-2.48422,57.67344
-2.48422,57.67344
-2.48422,57.67344
-5.144805,56.679
-4.992438,50.11424
5.33573,43.20895
-5.419052,58.03162
-5.126945,56.16413
-5.126945,56.16413
-2.48422,57.67344
-5.641684,56.67758
-5.264558,56.06868
-5.274185,56.54562
-8.459493,54.56639
-2.48422,57.67344
-3.220605,57.75536
-2.48422,57.67344
5.62222,43.15722
5.61989,43.15948
-8.45915,54.56668
-5.990316,56.64996
-5.459344,58.02696
-5.354563,57.93969
-5.220811,57.95783
-5.405213,58.00017
-6.96137,58.23343
-5.220811,57.95783
-5.283834,57.91246
-6.244069,49.96606
-6.395761,49.86272
-4.45359,48.29332
-4.604174,53.42579
-8.54014,55.02291
-8.452,54.58746
-4.471521,53.42184
-4.471521,53.42184
-4.605048,53.42579
-4.604174,53.42579
-5.119668,58.47527
-5.101133,58.41935
-5.132531,58.47289
-5.374008,58.02949
-5.103441,58.40568
-5.274127,56.54496
-5.189398,58.39003
-5.123081,58.47447
-5.101133,58.41935
-5.103441,58.40568
-5.03832,58.45024
-5.913085,56.5564
-5.1256,58.41824
-5.07579,58.45856
-5.450834,58.00477
-5.097202,58.4678
-5.501286,56.40736
-5.097202,58.4678
-5.03832,58.45024
-5.076211,58.45749
-5.119668,58.47527
-6.021336,57.20557
-5.097202,58.4678
-5.1256,58.41824
-5.21402,58.37468
-5.042323,58.4545
-5.132531,58.47289
-6.021336,57.20557
-5.132531,58.47289
-5.132531,58.47289
-5.03832,58.45024
-5.21402,58.37468
-5.1256,58.41824
-5.119668,58.47527
-5.4558,57.97163
-5.103441,58.40568
-6.252638,55.31194
-6.25024,55.29103
-4.15593,50.36031
-4.155475,50.35988
-4.15593,50.36031
-4.133838,50.33772
-4.15593,50.36031
-3.642167,50.20957
-4.15593,50.36031
-4.15593,50.36031
-4.15593,50.36031
5.29633,43.26628
-8.459793,54.56633
-4.68882,53.31109
-4.609344,53.42194
-5.018732,58.58865
-5.196066,58.3888
-5.127222,58.41817
-4.983815,58.63642
-6.974509,57.94654
-5.264536,56.06861
-5.129983,58.47839
-5.13191,58.47285
-7.103572,57.97572
-5.177424,58.39145
-5.01691,54.94796
-7.037336,58.05206
-5.548773,54.51184
-5.589787,54.43525
-5.589754,54.43473
-5.591143,54.43262
-4.650305,50.31329
-3.497318,50.35174
-3.035217,50.64106
-3.497318,50.35174
-3.716097,50.19753
-5.682878,54.66808
-6.103245,53.28477
-5.627463,54.45089
-5.683977,54.66977
-5.133528,58.47252
-6.512399,57.33178
-6.580718,57.32996
-4.879375,56.07922
-6.514467,57.33412
-6.580718,57.32996
-6.512399,57.33178
-5.389794,55.86446
-6.303485,57.15979
-6.507299,57.33183
-6.531906,57.36275
-6.531906,57.36275
-6.485401,57.06982
-6.583638,57.33271
-6.507299,57.33183
-5.659823,56.31406
-6.514467,57.33412
-5.779759,56.2338
-6.507299,57.33183
-2.069429,55.8632
-6.583638,57.33271
-5.651036,54.66859
-7.941506,55.21456
-6.080663,53.27293
-5.627463,54.45089
-5.627463,54.45089
-5.627463,54.45089
-6.101549,56.78628
-5.334826,56.61787
-5.544586,56.14904
-5.334826,56.61787
-5.575768,56.11223
-5.540995,56.15211
-5.539084,56.15454
-6.097128,56.80282
-6.101549,56.78628
-5.04315,50.04551
7.17169,43.65544
-5.724751,54.72453
-5.419381,58.03169
-5.265024,56.06868
-5.265024,56.06868
-5.787439,56.70138
-4.87396,56.09414
-5.881263,56.67116
-5.26622,56.06876
-5.450121,58.02024
-5.457127,58.07697
-4.93876,55.71947
-5.40216,55.88645
-5.788216,56.70113
-5.318556,57.97972
-5.788216,56.70113
-5.318556,57.97972
-5.377329,56.5881
-5.26622,56.06876
-5.456124,58.01379
-5.515689,56.39244
-4.87396,56.09414
-2.125939,55.90032
-5.40216,55.88645
-5.26622,56.06876
-5.056266,55.92021
-5.539993,56.24303
-5.856072,56.66266
-5.298236,56.54931
-5.297565,56.5475
-5.298236,56.54931
-5.787439,56.70138
-5.390729,55.86483
-5.874414,56.6673
-4.829322,56.11823
-4.829834,56.11808
-5.390729,55.86483
-5.297565,56.5475
-5.641551,56.67772
-5.450121,58.02024
-4.93876,55.71947
-5.881263,56.67116
-5.855162,56.6627
-5.40216,55.88645
-5.26622,56.06876
-4.943308,55.71409
-5.529741,50.11906
-4.265451,50.19163
-3.623687,50.21882
-3.536239,50.33192
-3.623688,50.21884
-3.623688,50.21884
-8.976133,37.096161
-4.914406,51.70243
-5.573746,54.39134
-4.937355,51.70182
-8.455439,54.4769
-4.915285,51.70192
-5.881434,56.67171
-5.276689,56.54597
-5.867786,56.66558
-5.894475,56.66291
-5.867786,56.66558
-5.944851,57.15071
-5.856425,56.6626
-5.888741,56.66702
-5.860295,56.66228
-5.881434,56.67171
-5.881434,56.67171
-5.892829,56.65171
-5.856425,56.6626
-5.874049,56.66788
-5.876822,56.67038
-5.888741,56.66702
-5.866953,56.66335
-5.876822,56.67038
-5.533137,50.113873
-5.806513,54.66443
-5.837166,54.696439
-5.82558,54.692121
-5.805927,54.69132
-5.827661,54.683233
-5.857523,54.690073
-5.798007,54.667377
-5.806472,54.670627
-5.781445,54.711323
-5.831952,54.686604
-5.828755,54.665032
-5.855586,54.668524
-5.879531,54.663522
-5.826324,54.69672
-5.883413,54.667454
-5.836718,54.660796
-5.790524,54.672153
-5.804373,54.693617
-5.828704,54.703353
-5.682773,54.6688
-4.668571,53.28206
-5.537989,56.24293
-5.27467,56.54446
-3.140524,58.88324
-3.141131,58.88323
-3.185095,58.84208
-2.143567,55.91816
-5.016202,58.2583
-5.032267,58.45362
-5.036437,58.45047
-5.618917,57.27448
-5.545176,57.36025
-5.676599,57.26616
-5.618917,57.27448
-5.5659,57.35779
-5.676599,57.26616
-5.5659,57.35779
-5.5659,57.35779
-5.557156,57.35803
-5.62772,57.34515
-5.545176,57.36025
-5.618917,57.27448
-5.676599,57.26616
-5.5659,57.35779
-5.618917,57.27448
3.7,43.42472
-5.878914,56.67104
-5.297252,56.54782
-5.565782,57.35786
-5.297252,56.54782
-4.948553,55.75618
-4.939389,55.71894
-5.565611,57.35798
-5.883929,56.67103
-5.565611,57.35798
-5.871785,56.65983
-5.565782,57.35786
-5.883929,56.67103
-5.297252,56.54782
-5.886415,56.64936
5.30574,43.2855
3.7,43.42472
-5.203617,51.71568
-5.2118,51.71418
-5.005869,50.11824
-4.736535,50.30737
-4.737867,50.30937
-4.737918,50.30748
-9.655971,52.696596
-8.460447,54.56644
-3.781124,50.20218
-3.723662,50.19824
-6.272749,49.92589
-3.723662,50.19824
-3.781124,50.20218
-6.350087,49.88055
-5.515033,56.39219
-6.242242,49.95657
-5.100751,58.4193
-5.904238,56.66967
-5.880653,56.67126
-5.880653,56.67126
-5.869858,56.66078
-5.034252,58.45377
-3.781124,50.20218
-5.879714,56.67183
-3.723653,50.19799
-5.904238,56.66967
-3.781124,50.20218
-5.452023,58.02379
-3.781124,50.20218
-5.876307,56.65648
-3.780813,50.20209
-5.032858,58.45033
-5.342676,57.97651
-3.781128,50.20209
-5.883486,56.67038
-5.051805,58.45132
-5.099588,58.40451
-5.036572,58.45045
-5.881905,56.6712
-5.22075,57.95771
-5.036767,58.45052
-6.242242,49.95657
-5.552157,54.49537
-5.584144,54.46789
-5.613017,54.47444
-5.552942,54.46953
-5.590038,54.48704
-5.572401,54.47744
-5.550501,54.48616
-5.576221,54.43497
-5.59217,54.43369
-5.591295,54.43418
-5.043119,50.04523
-2.48422,57.67344
-5.213434,58.37463
-5.104433,58.40625
-1.072547,60.20287
-5.753567,57.56199
-1.0729,60.10268
-5.099542,58.40438
-5.186974,58.3901
-1.072547,60.20287
-5.118484,58.47604
-5.190661,58.38961
-1.0729,60.10268
-5.100795,58.41941
-5.11176,58.4229
-5.129309,58.4735
-1.148061,60.13286
-5.13458,58.48452
-5.104433,58.40625
-1.0729,60.10268
-5.913323,56.55665
-5.125804,58.41821
-5.140519,58.47492
-5.104364,58.40625
-5.21417,58.37463
-5.123547,58.47547
-5.104433,58.40625
-6.28962,49.980667
-6.28962,49.980667
-8.454381,54.61261
-5.682878,54.66808
-3.715124,50.19658
-3.642968,50.21243
-3.633254,50.22598
-5.131417,58.41313
-1.497534,55.47748
-5.103478,58.40591
-6.241571,49.95639
-5.29102,56.04782
-3.715124,50.19658
-5.104361,58.41963
-1.149426,60.13299
-5.066945,58.45407
-5.103536,58.40598
-3.360085,59.04632
-5.094506,58.4069
-5.29102,56.04782
-1.045297,60.17204
-2.12344,55.89888
-3.715119,50.19684
-5.03815,58.45066
-5.223105,57.91217
-5.047924,58.45205
-2.484308,57.67372
-4.326476,58.55521
-4.125074,58.57033
-3.642962,50.21225
-4.969186,58.6172
-4.252244,50.32679
-4.969186,58.6172
-5.237926,57.9192
-5.134473,58.48468
-5.120778,58.47579
-4.214528,58.55508
-6.241571,49.95639
-5.033936,58.4501
-3.957248,58.57495
-5.495277,57.96022
-1.436791,55.09589
-1.119276,60.1193
-4.214528,58.55508
-5.038724,58.45055
-5.282951,57.91296
-4.643921,58.55701
-4.97992,58.62127
-5.191772,58.39035
-4.326476,58.55521
-2.744191,59.2085
-1.394919,55.00328
-1.072519,60.10343
-3.18832,58.88971
-5.237926,57.9192
-1.045297,60.17204
-4.97992,58.62127
-3.715119,50.19684
-5.351593,57.93885
-5.121879,58.47562
-4.97992,58.62127
-2.12344,55.89888
-5.133917,58.48498
-5.121879,58.47562
-1.497534,55.47748
-5.219772,57.95774
-1.072519,60.10343
-4.643921,58.55701
-5.125623,58.4181
-5.071632,58.45257
-2.484308,57.67372
-5.451944,58.02386
-5.642986,54.49026
-3.61803,48.77783
3.97498,43.51075
3.84376,43.44901
3.84376,43.44901
-8.458491,54.54992
-9.95685,54.27141
-8.458492,54.56605
-9.344703,51.46076
-6.111407,53.26723
-10.05819,54.09979
-5.675069,50.03309
-5.636094,50.03844
-9.691597,53.28999
-5.675069,50.03309
-5.636094,50.03844
-5.675069,50.03309
-4.829589,56.11781
-3.52937,50.33376
-5.119293,58.47607
-5.393764,58.0164
-5.119261,57.87762
-5.436483,58.01362
-5.117509,58.47627
-5.273544,56.54612
-5.232107,57.94992
-5.273927,56.54565
-5.2974,56.54774
-5.119261,57.87762
-5.2974,56.54774
-5.274199,56.54522
-1.426386,55.04325
-3.52937,50.33376
-3.52401,50.33492
-3.194445,58.86602
-5.10206,58.40575
-3.52401,50.33492
-5.122047,57.87784
-5.016774,58.44651
-5.237026,57.91878
-5.298024,56.54874
-5.420162,58.00919
-5.119261,57.87762
-5.273544,56.54612
-3.52937,50.33376
-3.246429,58.93042
-3.52401,50.33492
-5.430934,57.23235
-4.829589,56.11781
-5.032699,58.45345
-5.675069,50.03309
-5.273927,56.54565
-5.273927,56.54565
-5.298024,56.54874
-5.435404,58.00582
-5.274199,56.54522
-5.02013,58.25796
-9.957497,54.27117
3.91122,43.4905
3.84376,43.44901
3.71871,43.39571
3.84376,43.44901
3.84376,43.44901
-3.078617,58.8175
-3.200333,58.8694
-5.092744,51.6638
-6.089482,54.02729
-6.129371,54.03231
-6.129387,54.03232
-6.129387,54.03232
-6.089482,54.02729
-5.114264,51.6686
-4.674652,53.32174
-5.224072,58.36539
-5.038624,58.45058
-5.879412,56.6492
-5.272428,56.54592
-5.515539,56.39283
-5.272428,56.54592
-5.872044,56.65996
-5.879714,56.67183
-5.070004,55.48006
-5.296472,56.54737
-5.868997,56.66353
-5.075995,55.5102
-5.895133,56.66312
-3.076766,58.82557
-5.032954,58.45344
-5.515539,56.39283
-5.874436,56.66807
-5.879412,56.6492
-5.881607,56.67133
-5.075493,58.45869
-5.065708,58.45444
-5.100509,58.41946
-5.058837,58.45292
-3.076766,58.82557
-5.515539,56.39283
-5.073425,58.45248
-5.848795,56.63639
-5.070004,55.48006
-5.038124,58.45076
-5.868997,56.66353
-5.075995,55.5102
-5.879714,56.67183
-5.296472,56.54737
-5.075995,55.5102
-3.190096,58.84541
-5.071635,58.4526
-5.272428,56.54592
-5.050751,58.45182
-5.874436,56.66807
-5.070915,58.45261
-5.881607,56.67133
-5.065346,55.53481
-5.889832,56.6445
-3.2083,47.6714
-2.48422,57.67344
-5.747416,56.24857
-2.48422,57.67344
-5.659335,56.31378
-5.467993,56.48857
-5.592051,56.22548
-5.566619,57.35809
-5.290221,56.04786
-5.290221,56.04786
-5.4655,57.23207
-5.289375,56.04887
-5.264853,56.06856
-5.289375,56.04887
-5.4655,57.23207
-5.264853,56.06856
-5.290221,56.04786
-5.566619,57.35809
-5.289375,56.04887
-4.45892,48.2992
8.76325,41.87743
-5.596984,56.38084
-5.406872,55.8942
-5.581261,57.35273
-5.585061,57.35041
-5.264221,56.06869
-5.274712,56.54532
-5.273704,56.54552
-5.273704,56.54552
-5.273704,56.54552
3.7,43.42472
-5.087065,51.69343
-5.333242,56.63245
-5.53666,56.38083
-5.728707,56.51662
-5.087065,51.69343
-5.652152,56.68193
-5.087065,51.69343
-5.652152,56.68193
-5.53666,56.38083
-5.930167,56.6771
-5.588742,56.50222
-5.728707,56.51662
-4.893273,55.93258
-5.652152,56.68193
-4.899361,55.88674
-4.943243,55.79169
-5.588737,56.52967
-5.588737,56.52967
-5.652152,56.68193
-5.333242,56.63245
-5.930167,56.6771
-4.899361,55.88674
-5.728707,56.51662
-5.714342,56.49601
