Longitude,Latitude
8.524167,63.78225
-0.918819,50.77943
-5.6195,54.76223
-8.214028,43.480472
9.43726,63.79783
5.270221,60.394858
8.23745,63.27303
6.965133,62.8279
-73.253,-42.462
-1.42985,43.68118
-1.42845,43.67755
-1.42895,43.67945
-1.42845,43.67755
-1.42895,43.67945
-1.42845,43.67755
-5.127669,55.62042
-5.124444,55.61104
-5.130914,55.62762
-5.077051,55.53773
-7.361747,57.09172
7.66735,63.10043
-1.293128,50.763698
-71.6669,-30.8668
-1.57279,49.66929
-8.851,41.694
-8.851,41.694
-2.04056,49.47823
-8.85,41.689999
-8.85,41.689999
-3.42524,48.83261
-71.2484,-28.464
-2.3483,46.72727
-75.105833,-48.906444
8.244859,63.21632
-3.40156,47.64542
-3.96734,47.8751
-3.87404,47.79655
-3.40594,47.63603
-3.88012,47.8069
-3.41999,47.64054
-3.96199,47.86776
-3.97819,47.86605
-3.92398,47.7756
-3.85724,47.79491
-8.85118,41.6938
-8.85118,41.6938
1.1506,50.2405
-8.85,41.689999
-8.85,41.689999
-7.205295,57.422244
-7.205295,57.422244
-7.205295,57.422244
-7.205295,57.422244
-7.205295,57.422244
178.785969,-49.706383
-5.737718,57.548125
-5.737718,57.548125
-5.737718,57.548125
-5.737718,57.548125
-5.739661,57.550765
-5.737718,57.548125
-5.739661,57.550765
-5.746238,57.54967
-5.739661,57.550765
-5.737718,57.548125
113.5963,-22.59555
113.5963,-22.59555
113.5963,-22.59555
113.5963,-22.59555
113.5963,-22.59555
113.5963,-22.59555
-5.696704,57.539445
-5.148291,58.309302
-5.148291,58.309302
-5.696704,57.539445
-5.148291,58.309302
-5.696704,57.539445
-5.148291,58.309302
-5.148291,58.309302
-5.148291,58.309302
-5.696704,57.539445
-5.148291,58.309302
-5.148291,58.309302
-5.148291,58.309302
-5.696704,57.539445
-5.696704,57.539445
-5.216401,56.446064
-5.216401,56.446064
-6.153441,56.464066
-6.153441,56.464066
-6.153441,56.464066
-5.216401,56.446064
-5.216401,56.446064
-5.216401,56.446064
-5.216401,56.446064
-4.49108,48.21255
-5.198768,55.926014
-5.198842,55.926911
-5.198768,55.926014
-5.198768,55.926014
-5.198768,55.926014
-5.198768,55.926014
-5.198842,55.926911
-5.198842,55.926911
-5.198768,55.926014
113.9906,-21.88582
2.565,51.111
2.5646,51.111
-7.205295,57.422244
-7.197513,57.426165
-7.197513,57.426165
-7.205295,57.422244
-7.205295,57.422244
-7.197513,57.426165
16.9425,69.638167
14.311,68.947333
14.192833,68.951667
15.507667,69.381
-5.216401,56.446064
-5.216401,56.446064
-5.216401,56.446064
-2.29909,47.08836
-1.14949,44.67529
7,54.5
4.015,55.995
5,55.8
6,55
3.505,56.13
5,56
5.5,55.25
3.167,56
5,56.066
5,55.25
3.25,55.75
8,54
4.333,55.9
5,55.5
6,54
4.75,55.233
3.417,55.867
7.167,54.667
4.752,55.373
6.5,54
6,54.25
4.75,54.75
6.747,53.717
5,54.75
3.5,55.5
7.5,55
8.117,54.375
5.75,55.083
7.667,53.867
8.083,53.933
7.825,54.733
6.5,55.417
7.002,54.75
7,54
7.243,54.755
4.5,55.25
6.083,54.917
5.5,55.5
8.133,54.667
6.333,53.867
6.5,55
4.5,55.5
6.833,54.5
6.5,54.5
7.5,55.25
5.333,55
7.833,54.583
