Longitude,Latitude
-5.053993,50.140655
-5.53784,50.094747
-5.537704,50.094796
-5.537083,50.092449
-5.538157,50.095637
-5.537808,50.095261
-5.53462,50.084634
-5.537843,50.094792
-0.918819,50.77943
-2.205994,56.951498
4.940181,60.331199
-5.703884,50.078695
17.718073,75.888537
-4.911828,55.745834
22.27669,71.286581
-9.514818,52.616702
-9.580272,53.323983
27.247167,75.6485
26.672147,76.029685
-4.058472,52.479208
-1.83883,48.87603
33.531398,73.34687
-3.312267,58.916348
-3.262315,58.964115
-3.312267,58.916348
-3.05742,50.719675
-2.11,48.6425
-2.11,48.6425
-4.544545,52.135661
-2.971292,58.956486
-2.959667,58.984845
-3.185061,58.917154
-2.758033,59.232717
-2.977733,59.322
-3.312231,58.916312
-4.316878,51.561684
-4.544596,52.136559
-4.544545,52.135661
-4.544596,52.136559
-4.544545,52.135661
33.701167,72.0995
-3.312231,58.916312
7.88,54.18
7.88,54.18
7.88,54.18
7.88,54.18
7.88,54.18
7.88,54.18
-1.23889,49.64806
-1.25833,49.58472
-1.23889,49.64806
-1.25833,49.58472
7.88,54.18
7.88,54.18
7.88,54.18
7.88,54.18
7.88,54.18
7.88,54.18
8.223327,67.021287
-4.544545,52.135661
-4.544545,52.135661
-4.651304,51.196192
-1.307498,50.817334
25.2195,71.337667
-8.851,41.694
-8.851,41.694
-8.85,41.689999
-8.85,41.689999
0.10385,49.57875
-4.618334,48.258056
-4.386944,48.217778
-4.556389,48.239444
-4.386944,48.217778
-4.556389,48.239444
-4.618334,48.258056
-4.333906,52.215555
-4.333953,52.216453
-3.41999,47.64054
-5.579527,57.79447
-8.85118,41.6938
-8.85118,41.6938
-8.85118,41.6938
-5.112523,51.686716
-5.143341,51.713777
-5.110215,51.821689
-8.85,41.689999
-8.85,41.689999
-8.85,41.689999
-5.042885,51.619287
-4.050067,48.700078
-4.066389,48.702778
-4.050067,48.700078
-4.050067,48.700078
-4.066389,48.702778
-4.050067,48.700078
0.526053,53.143175
7.95,54.183333
-4.596664,53.285974
-4.218045,57.55044
-4.544545,52.135661
-4.544596,52.136559
-4.544596,52.136559
-4.544596,52.136559
-4.544596,52.136559
-4.544545,52.135661
-4.544545,52.135661
-4.544545,52.135661
-4.544596,52.136559
-4.544545,52.135661
-6.282735,54.11106
-5.08793,51.708052
-5.112523,51.686716
-1.26603,49.58662
11.9445,56.94916
11.74,57.17167
11.74,57.17167
11.81083,57.20528
11.944,56.951
-1.2411,49.58785
-4.032709,57.827344
-4.081664,57.83168
10.8497,58.69993
10.8715,58.71108
10.8715,58.71108
10.711,58.871
-0.00486,49.453
0.94647,49.92481
-5.811672,56.796946
-3.100002,59.744997
0.32223,49.74875
-4.885756,51.715894
-6.306091,49.94031
-5.372,55.011
-5.071167,55.755333
-4.4105,48.321833
-5.189731,51.755698
-5.209914,51.937732
-5.15687,51.949061
-5.181693,51.950191
-4.81035,51.643975
-5.03988,51.617566
-5.127174,51.961546
-8.766833,42.252167
-8.790667,42.248
-9.654881,53.811884
-9.654881,53.811884
-2.223729,58.339322
-5.160275,50.006027
-0.530075,54.43192
-25.4655,37.71453
-25.47117,37.7146
-5.737636,54.852292
-5.689124,54.80196
-5.721031,54.842996
-3.579857,50.372907
-3.946955,50.305279
-6.189103,55.30547
-6.379035,55.243459
-6.200131,55.270597
-6.379035,55.243459
-5.636757,54.44602
-6.200131,55.270597
-6.200131,55.270597
-5.544893,54.435201
1.248817,51.101071
-5.987194,55.000439
-5.841749,54.885635
-5.987194,55.000439
-5.987194,55.000439
-5.987194,55.000439
-4.186288,50.318112
-4.195709,50.370102
-5.561416,54.390606
-5.501907,54.330978
-5.501907,54.330978
-5.561416,54.390606
-5.576637,54.393608
-5.501907,54.330978
-5.47403,54.559544
-5.519795,54.340333
-5.47403,54.559544
-5.576637,54.393608
-5.576637,54.393608
-5.501907,54.330978
-5.47403,54.559544
-5.437572,54.475206
-6.330395,55.241007
-5.519795,54.340333
-5.47403,54.559544
-5.47403,54.559544
-6.563949,55.21703
-6.127066,55.21829
1.285036,51.108154
1.285036,51.108154
-5.706019,54.668399
-5.439113,54.475239
-5.706019,54.668399
-5.542869,54.443247
-5.538281,54.339814
-5.54817,54.457732
-5.810457,54.657754
-5.532382,54.36126
-5.626425,54.464687
-5.626425,54.464687
-5.706019,54.668399
-5.54817,54.457732
-5.538281,54.339814
-5.532382,54.36126
-5.810457,54.657754
1.204797,51.084297
1.204797,51.084297
1.204797,51.084297
1.204797,51.084297
1.245902,51.100253
1.441759,51.389694
0.041598,50.773153
-0.056871,50.792823
-5.594134,54.384074
-5.53966,54.471038
-5.54063,54.454883
-5.544893,54.435201
-5.544893,54.435201
-5.544893,54.435201
-5.513542,54.342002
-5.641179,54.422743
-5.635499,54.387587
-5.53966,54.471038
-5.513542,54.342002
-5.631172,54.515999
-5.549233,54.362502
-5.631172,54.515999
-5.594134,54.384074
-5.532382,54.36126
-5.487322,54.368417
-5.594134,54.384074
-5.549233,54.362502
-5.53966,54.471038
-5.532382,54.36126
-5.54063,54.454883
-5.882062,54.68149
-5.633949,54.414514
-5.602751,54.421087
-5.602751,54.421087
-5.628327,54.37846
-5.633949,54.414514
-2.543997,49.501664
-2.67416,49.434002
-5.531469,54.478959
-5.775246,54.819743
-5.847163,54.901006
-6.260633,55.29034
-6.211055,55.307591
-5.847163,54.901006
-6.211055,55.307591
-6.280813,55.296914
-5.742753,54.816447
-6.260633,55.29034
-6.260633,55.29034
-6.211055,55.307591
-6.280813,55.296914
-5.539331,54.656141
-5.605976,54.471472
-5.593424,54.448758
-5.605976,54.471472
-5.62172,54.439434
-5.62172,54.439434
-5.605976,54.471472
-5.605976,54.471472
-5.593424,54.448758
-3.761035,50.252481
