Longitude,Latitude
151.22307,-34.1836
-177.95269,-29.28238
-177.90325,-29.25075
151.9229,-23.26282
151.91197,-23.44736
113.616,-22.65555
166.411167,-22.326639
166.327028,-22.266639
166.411167,-22.326639
-79.949997,27.82
-79.959999,27.83
-79.959999,27.83
-79.959999,27.83
-79.959999,27.83
152.56832,-32.21083
152.565,-32.21016
152.56832,-32.21083
152.56832,-32.21083
152.56832,-32.21083
152.56832,-32.21083
152.53833,-32.18633
152.565,-32.21016
152.483,-32.216
152.56832,-32.21083
153.07566,-30.94949
153.09949,-30.94099
153.08833,-30.91133
153.09949,-30.94099
153.07566,-30.94949
153.08833,-30.91133
153.09949,-30.94099
153.08833,-30.91133
153.08833,-30.91133
153.08833,-30.91138
153.08833,-30.91138
34.956185,29.548293
122.07854,-0.46094
124.05375,0.35855
122.00305,-0.44883
122.43544,-0.43769
-45.864917,-24.127283
151.21166,-33.96999
-149.833,-17.5
-149.833,-17.5
-140.166,-15
-140.166,-15
145.82832,-5.14166
159.01999,-29.95333
159.04666,-29.91333
159.06166,-29.45666
159.13666,-29.43499
159.13499,-29.48499
159.10333,-29.49166
159.07832,-29.93833
159.07832,-29.96333
159.08499,-29.966
-88.075,16.7794
-88.08,16.8
145.466,-14.7
145.466,-14.7
145.466,-14.7
145.466,-14.7
-83.0344,25.2864
-83.7197,25.2817
145.466,-14.7
145.466,-14.7
145.466,-14.7
145.466,-14.7
145.466,-14.7
145.466,-14.7
145.466,-14.7
-90.1628,29.0472
-90.1628,29.0472
144.5,-14.166
139.5,34.08
145.45,-14.666
145.45,-14.666
145.45,-14.666
145.45,-14.666
145.466,-14.666
145.466,-14.666
145.466,-14.666
145.466,-14.666
145.466,-14.666
145.466,-14.666
-88.0818,16.8032
145.45,-14.666
145.45,-14.666
145.45,-14.666
145.466,-14.666
145.466,-14.666
145.45,-14.666
145.45,-14.666
145.45,-14.666
145.466,-14.666
152.316,-32.616
152.316,-32.616
152.083,-23.5
172.95,1.833
-51.825,-34.425
152.083,-23.5
152.083,-23.5
152.083,-23.5
43.48,-23.4
43.48,-23.4
43.48,-23.4
43.48,-23.4
43.48,-23.4
43.48,-23.4
45.867,-18.367
152.083,-23.5
152.083,-23.5
152.083,-23.5
152.083,-23.5
152.083,-23.5
152.083,-23.5
152.083,-23.5
153.283,-29.816
153.366,-29.783
153.15,-30.316
152.083,-23.5
152.083,-23.5
152.083,-23.5
152.083,-23.5
43.48,-23.4
43.48,-23.4
43.48,-23.4
43.48,-23.4
43.48,-23.4
43.48,-23.4
43.48,-23.4
43.48,-23.4
43.48,-23.4
48.241667,-13.558333
-117.838042,33.513056
-117.838042,33.513056
-121.9,36.62
-121.9,36.62
171.401,54.4192
-30,56
35,-6
-80.258333,27.508333
-149.833,-17.5
-149.833,-17.5
43.48,-23.4
-113.333333,31.583333
-113.583333,31.333333
-109.916667,22.883333
