Longitude,Latitude
10.602734,59.658949
-4.496854,48.229487
-5.575156,54.392394
-5.57522,54.392469
3.558655,43.318341
3.558727,43.318564
4.939688,43.428423
4.939363,43.428407
4.939817,43.428499
-9.66961,53.315952
4.919843,43.419413
-8.759917,42.261774
16.400015,43.507376
16.399599,43.50766
4.939352,43.428328
4.939352,43.428328
-5.631517,54.451892
-5.452665,50.113376
3.70003,43.424697
11.20757,58.36404
11.19079,58.35731
11.19507,58.35789
3.172119,39.331231
11.59035,57.93206
11.76848,57.53571
4.843807,43.377933
3.109339,42.525293
11.56971,58.32978
11.56971,58.32978
-5.89518,56.918183
14.663652,45.148234
11.1875,58.56039
11.09721,58.89187
3.978126,43.513967
4.930748,60.440866
3.700017,43.424585
3.978126,43.513967
6.409762,43.019984
-5.039873,58.450046
11.70201,57.52033
11.70201,57.52033
11.7217,57.53068
11.75716,57.50591
11.55912,58.32168
13.491709,45.491209
-9.066847,38.432854
-6.001696,56.64948
3.766478,43.427644
3.766476,43.427621
11.43112,58.2428
3.700521,43.42497
14.375018,44.575343
11.5312,58.29805
-2.457442,50.5964
-4.829647,56.11815
-5.983492,56.64958
-5.2749,56.54486
-5.912325,56.55645
-5.24473,56.67616
3.97978,43.50867
11.05559,58.57571
11.05043,58.56034
11.03596,58.53758
-6.037083,56.62281
-6.009518,56.58845
3.7,43.42472
11.55913,58.32191
14.625148,67.227139
5.251327,59.41584
8.76325,41.87743
-4.45359,48.29332
8.76325,41.87743
8.78945,41.86713
8.76325,41.87743
3.7,43.42472
-10.13436,51.7574
-4.292144,53.41114
-2.418208,50.58595
-2.448699,50.57151
-5.115134,48.445186
8.76541,41.84313
-0.31733,49.4179
11.02381,58.53687
14.625238,67.227167
-4.4433,50.35577
-5.573762,54.39135
-5.666767,54.66597
-9.85437,53.62472
-7.703963,55.21277
-5.683564,54.66863
-4.917036,55.9402
-4.829573,56.11781
-5.935769,56.65236
-6.592323,57.44852
-5.075883,58.45786
-2.18983,50.60776
-1.544606,50.66236
-1.53126,50.66409
8.75475,41.85043
-1.97771,48.57014
-4.45359,48.29332
-2.231951,49.17309
-1.916304,49.27815
-5.729964,54.95496
-9.300373,51.49826
-9.300857,51.50047
-9.296047,51.49928
-9.295129,51.50066
-5.74035,54.95018
-9.300857,51.50047
-9.295129,51.50066
-9.301727,51.49771
-5.656273,54.67074
-5.243604,51.73607
-5.243604,51.73607
-5.243604,51.73607
-5.243604,51.73607
-5.243604,51.73607
-5.317861,56.52842
-5.56688,57.35863
-4.957273,55.72817
-5.317861,56.52842
-4.917316,55.94095
-4.957391,55.71183
-6.217334,57.15578
-5.776708,56.71222
-5.816363,56.88576
-5.903718,56.6585
-4.897929,55.98033
-5.033214,58.44988
-5.787138,56.70212
-4.918079,55.94087
-3.970514,50.29551
-5.070396,50.11356
-5.070396,50.11356
-4.444355,48.209451
8.74246,41.8383
8.75475,41.85043
-5.651036,54.66859
-9.815897,53.15127
-5.597428,56.03481
-5.132458,56.68057
-5.389293,55.8644
-5.633953,56.9852
-5.026196,58.44823
-5.132458,56.68057
-5.028203,58.44924
-5.389293,55.8644
-5.028203,58.44924
-5.55651,56.21385
-5.389293,55.8644
-5.026196,58.44823
-6.430589,57.02942
-5.56189,56.21113
-2.958436,50.64561
-3.027045,50.69442
-2.377022,50.62421
-2.330746,50.59002
-3.035727,50.65075
-2.261646,50.59283
-3.027045,50.69442
-3.035727,50.65075
-8.810901,37.698887
-4.77176,48.46842
9.40998,41.76606
-5.532958,54.362122
11.56899,58.32956
-5.573782,54.39122
-5.926078,57.33353
-5.27392,56.54501
-5.926681,57.33389
-5.926078,57.33353
-2.912022,58.8713
-5.926078,57.33353
-2.947946,50.65011
-2.947946,50.65011
-5.022775,50.12695
-2.947946,50.65011
-2.809223,50.67893
-2.947946,50.65011
-5.532563,54.361137
-4.454068,50.343606
3.7,43.42472
-3.52775,50.45939
-3.52775,50.45939
-2.052746,49.16261
-5.654984,54.6709
-5.65625,54.67014
-5.722323,54.92846
-6.74615,57.45818
-5.556188,56.21385
-2.470249,50.58278
-2.470249,50.58278
-5.573762,54.39135
-5.656201,54.67012
-9.044066,53.161
-5.371947,56.51315
-2.444762,50.56965
-2.444762,50.56965
-2.450908,50.57217
-1.948892,50.60802
-7.701015,55.20868
